Yaw,Pitch,Roll
270.7824,2.324082,284.6608
270.7824,2.324082,284.6608
270.7203,2.340108,284.253
270.7016,2.230475,283.782
270.7016,2.230475,283.782
270.7138,2.214314,283.6412
270.7055,2.191058,283.3955
270.7013,2.15065,283.1989
270.7013,2.15065,283.1989
270.6957,2.143726,283.0134
270.685,2.145779,282.9348
270.6996,2.079469,282.8463
270.7253,2.015397,282.8026
270.7253,2.015397,282.8026
270.7482,2.035902,282.7262
270.7582,1.988835,282.7911
270.7582,1.988835,282.7911
270.7833,1.940862,282.959
270.7928,1.932442,283.0673
270.8045,1.903603,283.3357
270.8237,1.870098,283.6293
270.8292,1.863317,283.7977
270.8292,1.863317,283.7977
270.8372,1.83045,284.1574
270.8568,1.80384,284.516
270.8773,1.81146,284.801
270.8773,1.81146,284.801
270.8846,1.818734,285.0284
270.862,1.80704,285.2859
270.8519,1.796412,285.4247
270.8353,1.778216,285.6646
270.8353,1.778216,285.6646
270.8251,1.844108,286.0226
270.8241,1.843023,286.1368
270.819,1.776663,286.3567
270.819,1.776663,286.3567
270.7976,1.748754,286.6086
270.8029,1.690738,286.8249
270.8069,1.63788,286.9142
270.8114,1.517366,287.0305
270.8114,1.517366,287.0305
270.8145,1.419804,287.1041
270.825,1.369155,287.0952
270.8449,1.310754,287.0759
270.8564,1.27935,287.1021
270.8806,1.2073,287.0499
270.8995,1.181493,287.0318
270.8995,1.181493,287.0318
270.9539,1.143385,287.0044
271.0549,1.044049,287.0417
271.1963,0.96627,287.1122
271.1963,0.96627,287.1122
271.2473,0.9781818,287.1356
271.3294,1.026053,287.1951
271.3959,1.016437,287.3031
271.4495,0.990005,287.4164
271.4666,1.013697,287.485
271.4666,1.013697,287.485
271.4987,1.044175,287.6006
271.4971,1.031669,287.7206
271.4855,1.000262,287.8716
271.472,0.9689358,287.9639
271.464,0.9670692,288.1252
271.4836,0.9821901,288.2155
271.4836,0.9821901,288.2155
271.4667,0.9779359,288.3141
271.4501,0.9675577,288.3769
271.4193,0.9596745,288.4461
271.3906,0.9585713,288.4546
271.3775,0.9673545,288.4636
271.3775,0.9673545,288.4636
