Yaw,Pitch,Roll
0.03853335,4.589661,275.4103
0.03853335,4.589661,275.4103
0.1236833,4.55209,275.8535
0.1236833,4.55209,275.8535
0.1293602,4.554691,275.8917
0.1168822,4.562455,275.8984
0.1227315,4.574742,275.9551
0.1087134,4.569772,275.9924
0.1072387,4.555343,275.9764
0.1072387,4.555343,275.9764
0.115871,4.543487,275.9661
0.1198893,4.536994,275.9568
0.1357417,4.523172,275.9325
0.1357417,4.523172,275.9325
0.1626544,4.506902,275.9108
0.1626544,4.506902,275.9108
0.2251977,4.462099,275.9542
0.2626722,4.435569,275.952
0.2873414,4.418965,275.9467
0.2873414,4.418965,275.9467
0.2981664,4.394642,275.9343
0.3171676,4.378103,275.9211
0.3171676,4.378103,275.9211
0.3314321,4.374354,275.9162
0.3469734,4.375787,275.9282
0.3467658,4.385089,275.8952
0.3467658,4.385089,275.8952
0.3330407,4.400333,275.9094
0.3306771,4.389,275.9347
0.3222423,4.364291,275.9495
0.3222423,4.364291,275.9495
0.2524102,4.420534,275.7603
0.2524102,4.420534,275.7603
0.2862841,4.437211,275.9233
0.3049649,4.435971,276.0164
0.3101148,4.444177,276.0634
0.3054363,4.452978,275.9676
0.3054363,4.452978,275.9676
0.3202249,4.470162,276.0807
0.3315098,4.461954,276.0981
0.3315098,4.461954,276.0981
0.3407331,4.458369,276.0565
0.3589012,4.460497,276.0284
0.3589012,4.460497,276.0284
0.3876178,4.461876,276.0159
0.4174858,4.451834,276.0469
0.4304046,4.446868,276.0502
0.4538732,4.442728,276.064
0.4657515,4.439575,276.0754
0.4657515,4.439575,276.0754
0.4377655,4.455801,276.1076
0.4377655,4.455801,276.1076
0.3477798,4.542647,276.1714
0.101255,4.721369,276.3323
0.101255,4.721369,276.3323
359.1988,4.916383,276.9355
359.1988,4.916383,276.9355
358.7099,4.937157,277.2021
358.0872,4.933487,277.506
354.207,4.842566,279.0139
352.8652,4.796345,279.4647
349.8118,4.683257,280.4159
349.8118,4.683257,280.4159
348.0971,4.646444,280.8934
342.2636,4.640511,282.2466
342.2636,4.640511,282.2466
338.0238,4.592387,283.1768
333.6924,4.596553,284.2015
329.4229,4.561901,285.2665
327.3627,4.544843,285.8006
323.4439,4.493467,286.8802
323.4439,4.493467,286.8802
321.5919,4.481984,287.4187
315.9904,4.109975,289.9873
315.9904,4.109975,289.9873
311.8953,4.15964,291.1826
311.8953,4.15964,291.1826
309.7479,4.266172,291.7683
308.8456,4.374384,291.9646
307.045,4.837825,292.2969
306.6867,4.810184,292.3887
306.6867,4.810184,292.3887
306.4325,4.902438,292.5788
306.5685,5.131423,292.5811
306.71,5.232495,292.5973
307.0396,5.337582,292.571
307.0396,5.337582,292.571
307.3557,5.496278,292.5757
307.4601,5.569749,292.6061
307.696,5.767008,292.6286
307.7375,5.8066,292.6394
307.7636,5.846577,292.6509
307.7636,5.846577,292.6509
307.7553,5.867642,292.6641
307.7149,5.84398,292.6985
307.6931,5.860498,292.6967
307.6931,5.860498,292.6967
307.6931,5.860498,292.6967
307.647,6.061607,292.5933
307.685,6.076016,292.593
307.685,6.076016,292.593
307.9211,6.076494,292.5975
308.8293,5.93416,292.6259
309.3838,5.811128,292.6423
309.3838,5.811128,292.6423
311.8445,5.4554,292.7339
311.8445,5.4554,292.7339
312.9542,5.322978,292.7912
314.1571,5.162767,292.8805
320.2462,4.366651,293.1858
321.9951,4.125741,293.1852
321.9951,4.125741,293.1852
325.7855,3.671755,293.0659
327.8182,3.44476,292.9836
334.5593,2.857521,292.7771
334.5593,2.857521,292.7771
336.9918,2.620317,292.6802
339.5474,2.416551,292.5671
345.0342,2.438244,293.4955
353.5913,2.052942,291.6896
353.5913,2.052942,291.6896
2.906267,1.83833,291.4885
2.906267,1.83833,291.4885
6.160609,1.795846,291.4838
16.31234,1.536162,291.4744
23.17634,1.294964,291.5464
26.58572,1.042939,291.5733
26.58572,1.042939,291.5733
29.9444,0.7684492,291.5846
39.54945,0.09687775,291.8042
39.54945,0.09687775,291.8042
45.33138,359.9168,292.1418
50.50772,0.05225949,292.4482
57.07407,0.7346053,292.482
57.07407,0.7346053,292.482
58.8348,0.9903687,292.3746
60.44058,1.209969,292.2203
64.05306,1.526535,291.5748
64.88101,1.615492,291.3871
65.9653,1.676648,291.0809
66.82986,1.977943,289.8124
66.82986,1.977943,289.8124
66.94478,2.020594,290.4533
66.92984,1.877752,290.3885
66.78588,1.807289,290.3318
66.45447,1.762033,290.1771
66.29585,1.75517,290.1728
66.29585,1.75517,290.1728
66.07846,1.82485,290.1443
65.89774,1.975305,290.0908
65.74148,2.14123,290.0193
65.67704,2.203084,289.9857
65.57605,2.362498,289.9026
65.57605,2.362498,289.9026
65.50304,2.538833,289.7787
65.43977,2.587217,289.6408
65.41649,2.603227,289.5944
65.30937,2.660769,289.5061
65.21093,2.708289,289.4563
65.21093,2.708289,289.4563
65.09057,2.766737,289.4063
64.9145,2.836113,289.3513
63.69646,3.366859,288.9202
62.56414,3.871878,288.5641
62.56414,3.871878,288.5641
61.14275,4.432423,288.0713
59.38089,5.183117,287.3392
59.38089,5.183117,287.3392
57.01271,5.974157,286.3826
53.98216,6.713495,285.1287
50.31486,7.713481,283.6451
48.2477,8.234853,282.8448
43.64552,9.201569,281.123
43.64552,9.201569,281.123
38.50424,10.27631,279.2433
32.83021,11.20592,277.3463
29.90228,11.55509,276.435
23.87347,12.17526,274.5507
17.67385,12.53452,272.5516
17.67385,12.53452,272.5516
11.21917,12.66544,270.2028
4.734896,12.49906,268.2046
1.486586,12.29282,267.1548
355.0158,11.87033,265.1038
355.0158,11.87033,265.1038
348.6718,11.34609,263.1966
345.6353,10.99611,262.3516
339.8351,10.20598,260.9045
334.3133,9.317136,259.6583
331.6359,8.846374,259.0978
