Yaw,Pitch,Roll
352.8026,0.7560737,276.7713
352.8026,0.7560737,276.7713
352.8224,0.7371924,276.7592
352.8224,0.7371924,276.7592
352.8554,0.7226301,276.7557
352.8716,0.761162,276.7798
352.8635,0.7621211,276.7896
352.8424,0.7042378,276.8175
352.8362,0.6633112,276.8275
352.8141,0.657585,276.8369
352.7877,0.652326,276.8577
352.7843,0.6479982,276.8708
352.7716,0.6330107,276.8789
352.7444,0.6184096,276.8984
352.7444,0.6184096,276.8984
352.7218,0.6194364,276.9163
352.6767,0.5975587,276.9319
352.6097,0.5310016,276.9754
352.6097,0.5310016,276.9754
352.5864,0.5247545,277.0293
352.556,0.5015109,277.0831
352.5289,0.4756146,277.1319
352.5289,0.4756146,277.1319
352.3504,0.4177765,277.3083
352.2106,0.3267209,277.3556
352.2106,0.3267209,277.3556
352.0838,0.2083818,277.3683
351.9816,0.04372261,277.3633
351.9013,359.8424,277.3198
351.8247,359.642,277.2971
351.8247,359.642,277.2971
351.722,359.4324,277.3495
351.5963,359.2532,277.4106
351.445,359.0558,277.4578
351.445,359.0558,277.4578
351.3102,358.8312,277.4737
351.1936,358.6482,277.4973
351.1438,358.5574,277.5159
351.0493,358.4509,277.5537
350.9942,358.3975,277.577
350.9942,358.3975,277.577
350.9395,358.2191,277.705
350.96,358.0198,277.9665
350.9997,357.963,278.1328
350.9997,357.963,278.1328
351.1211,357.8969,278.4398
351.4021,357.809,278.8065
351.5934,357.7767,278.9841
351.6969,357.7746,279.0505
351.6969,357.7746,279.0505
351.9174,357.7099,279.1151
352.2868,357.5883,279.1936
352.2868,357.5883,279.1936
352.5394,357.5209,279.2938
352.6822,357.4684,279.3368
352.8165,357.4392,279.3721
352.8165,357.4392,279.3721
352.9735,357.416,279.4112
353.2802,357.3846,279.5602
353.5968,357.3363,279.7505
354.317,357.3329,280.2524
354.5278,357.3717,280.3999
354.5278,357.3717,280.3999
354.7421,357.3946,280.5305
355.396,357.5262,280.82
355.396,357.5262,280.82
355.8429,357.6464,280.974
356.2983,357.7883,281.1123
356.7389,357.9002,281.1781
357.1296,358.012,281.1984
357.1296,358.012,281.1984
357.4895,358.227,281.2755
357.8243,358.5166,281.3355
357.8243,358.5166,281.3355
358.1928,358.7452,281.361
358.5742,359.0749,281.3671
359.0128,359.5396,281.3865
359.0128,359.5396,281.3865
359.3043,359.8413,281.4425
359.9909,0.5817714,281.5503
0.6944453,1.306967,281.6079
1.073389,1.678529,281.6532
1.485085,2.071797,281.6922
2.660679,3.212595,281.7573
2.660679,3.212595,281.7573
3.373102,3.937647,281.8417
4.008739,4.613842,281.9778
4.279391,4.918959,282.0434
4.705044,5.510946,282.1688
4.863561,5.809727,282.2424
5.015888,6.432946,282.4161
5.015888,6.432946,282.4161
5.088832,7.026486,282.603
5.045182,7.630745,282.7475
4.957081,7.961416,282.8264
4.719157,8.554782,283.0408
4.719157,8.554782,283.0408
4.405157,9.140935,283.2428
4.231537,9.480993,283.3539
3.814416,10.16814,283.55
3.345132,10.70391,283.7889
2.847398,11.29243,284.0782
2.56554,11.58057,284.1824
2.56554,11.58057,284.1824
2.086466,11.9766,284.2947
1.86653,12.20926,284.3272
1.432402,12.75597,284.3256
1.06742,13.07301,284.2455
0.8225669,13.39392,284.1482
0.8225669,13.39392,284.1482
0.6698421,13.59149,284.0893
0.3593264,13.84338,283.8235
0.2303633,13.91714,283.6594
359.9754,14.13227,283.3551
359.8364,14.23584,283.1851
359.5822,14.32271,282.9192
359.5822,14.32271,282.9192
359.3505,14.45136,282.7884
359.1494,14.49915,282.6124
358.985,14.55857,282.534
358.8268,14.5624,282.5011
358.8268,14.5624,282.5011
358.7524,14.47666,282.3634
358.7524,14.47666,282.3634
358.7231,14.48145,282.274
358.7645,14.37987,282.0066
358.7645,14.37987,282.0066
358.8139,14.31524,281.6307
358.8139,14.31524,281.6307
358.9198,14.1578,281.4606
358.9757,14.13145,281.371
359.1122,14.07119,281.0563
359.1641,14.05083,280.9442
359.2049,14.06868,280.851
359.2462,14.07105,280.7627
359.3175,13.98959,280.5541
359.3846,13.91334,280.4478
359.5191,13.90639,280.307
359.6185,13.94343,280.198
359.6185,13.94343,280.198
359.7041,13.87087,279.9823
359.8676,13.74794,279.6678
359.9394,13.74308,279.4857
0.001052032,13.73078,279.2856
0.001052032,13.73078,279.2856
0.2473466,13.54838,278.7609
0.3389438,13.51339,278.6105
0.5157878,13.35769,278.2216
0.5990195,13.29381,277.9985
0.803584,13.26036,277.2873
0.803584,13.26036,277.2873
0.897938,13.16335,277.028
1.033304,13.08004,276.5603
1.137405,13.07255,276.1682
1.154617,13.0199,276.0782
1.128682,12.90994,275.9961
1.082947,12.88133,275.9745
1.036268,12.86735,275.9626
0.9691749,12.85144,275.9724
0.687688,12.7859,275.9816
0.687688,12.7859,275.9816
0.5931404,12.78524,275.9792
0.4797649,12.79831,276.0007
0.4797649,12.79831,276.0007
0.2578138,12.84243,275.9719
359.8378,12.90414,275.8199
359.7072,12.91161,275.7416
359.6535,12.93211,275.6922
359.6014,12.95088,275.6319
359.6014,12.95088,275.6319
359.4673,13.03048,275.4904
359.4503,13.04747,275.5005
359.4388,13.11539,275.4793
359.4293,13.18426,275.4582
359.3823,13.29839,275.3555
359.4089,13.2061,275.2648
359.4465,13.15622,275.2152
359.4664,13.15044,275.146
359.4664,13.15044,275.146
359.4898,13.14231,275.0646
359.5254,13.15234,274.8762
359.5254,13.15234,274.8762
359.5254,13.1697,274.8197
359.4977,13.09875,274.7998
359.2053,13.1118,274.7563
359.2053,13.1118,274.7563
358.8527,13.01737,274.7373
358.6891,12.99929,274.6857
358.6891,12.99929,274.6857
358.3188,12.94194,274.4925
358.3188,12.94194,274.4925
357.8748,12.94954,274.1454
357.6171,12.96775,273.9102
357.0314,12.9485,273.3217
357.0314,12.9485,273.3217
355.5886,12.74163,271.8008
355.1768,12.65732,271.5983
354.7656,12.5824,271.424
353.4962,12.39514,271.0065
353.1028,12.32445,270.9685
352.7259,12.24412,270.9913
352.7259,12.24412,270.9913
351.5987,12.13794,270.9399
351.2029,12.12818,270.8735
350.8347,12.0765,270.8248
350.4937,12.0016,270.8341
350.4937,12.0016,270.8341
349.7771,11.95649,270.7997
348.9973,11.96296,270.597
348.362,11.76896,270.5836
347.511,11.58745,270.6111
347.2094,11.57084,270.5646
346.6911,11.48512,270.5037
346.2721,11.46961,270.4697
346.0766,11.51098,270.4327
345.8668,11.55306,270.3844
345.5321,11.48048,270.3653
345.4348,11.39562,270.4312
345.4348,11.39562,270.4312
345.3265,11.35856,270.4839
345.2213,11.34117,270.5091
344.7721,11.35448,270.525
344.7131,11.32029,270.574
344.6812,11.28981,270.6417
344.6169,11.27781,270.7401
344.6265,11.23108,270.8206
344.6265,11.23108,270.8206
344.7067,11.17823,270.9208
344.7771,11.14515,271.025
344.8923,11.10007,271.1434
344.8923,11.10007,271.1434
345.0645,11.09198,271.1555
345.1771,11.1098,271.2814
345.2353,11.08794,271.3191
345.2672,11.05123,271.3172
345.3202,11.01207,271.3113
345.3755,10.99299,271.3219
345.481,10.9746,271.3172
345.481,10.9746,271.3172
345.5347,10.95529,271.2936
345.6808,10.89728,271.3011
345.8134,10.90227,271.3783
345.9425,10.89345,271.412
346.2385,10.87913,271.4916
346.3418,10.89379,271.5228
346.4337,10.92206,271.5198
346.4998,10.95945,271.4933
346.6909,11.03319,271.4461
346.6909,11.03319,271.4461
346.7802,11.07845,271.4793
346.7816,11.09937,271.4714
346.7196,11.09135,271.4286
346.6741,11.06446,271.4337
346.6073,11.0453,271.4373
346.6073,11.0453,271.4373
346.5297,11.00808,271.4281
346.2541,10.84643,271.4769
346.1976,10.80225,271.4861
346.1593,10.76279,271.4824
346.0946,10.68976,271.4166
346.0997,10.66842,271.4034
346.1097,10.6447,271.4182
346.138,10.62898,271.4218
346.2076,10.62134,271.3761
346.2582,10.64057,271.3452
346.2582,10.64057,271.3452
346.3044,10.63086,271.3173
346.5352,10.46208,271.2563
346.5352,10.46208,271.2563
346.6753,10.27187,271.1501
346.775,10.14278,271.1372
346.8168,10.08596,271.1256
346.8512,10.03454,271.1005
346.8871,9.979907,271.0748
347.006,9.846305,271.1961
347.0314,9.818839,271.2191
347.0581,9.749991,271.2123
347.125,9.611843,271.2607
347.216,9.399193,271.3582
347.2448,9.323322,271.3807
347.2898,9.24433,271.386
347.2898,9.24433,271.386
347.3799,9.078754,271.3987
347.3799,9.078754,271.3987
347.5318,8.870728,271.5909
347.7474,8.588933,271.6772
347.7474,8.588933,271.6772
347.9278,8.441341,271.8207
348.0115,8.369589,271.8903
348.1571,8.22651,272.0258
348.27,8.066174,272.1873
348.3248,7.954111,272.2808
348.3475,7.844396,272.3751
348.3564,7.717404,272.4652
348.3535,7.097722,272.8571
348.3535,7.097722,272.8571
348.3691,6.63945,273.2082
348.3691,6.63945,273.2082
348.3965,6.091967,273.6065
348.3879,5.183248,274.1031
348.3879,5.183248,274.1031
348.2921,4.500587,274.3711
348.1464,3.690312,274.6048
348.0873,3.260304,274.7049
347.9587,2.509632,274.9446
