Yaw,Pitch,Roll
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4224,354.7367,280.2047
359.4637,354.7721,280.241
359.4693,354.7898,280.2392
359.4693,354.7898,280.2392
359.487,354.7989,280.236
359.4917,354.8209,280.2132
359.4917,354.8209,280.2132
359.4917,354.8209,280.2132
359.4917,354.8209,280.2132
359.4917,354.8209,280.2132
359.4917,354.8209,280.2132
359.4917,354.8209,280.2132
359.4917,354.8209,280.2132
359.4997,354.8396,280.0135
359.4856,354.8385,279.9787
359.4856,354.8385,279.9787
359.4717,354.8539,279.9624
359.457,354.8607,279.9424
359.4373,354.8515,279.8883
359.4373,354.8515,279.8883
359.4253,354.8378,279.8747
359.4033,354.7802,279.8567
359.4033,354.7802,279.8567
359.3688,354.7535,279.8239
359.2764,354.7281,279.775
359.1352,354.6972,279.6928
359.1352,354.6972,279.6928
359.1352,354.6972,279.6928
359.1352,354.6972,279.6928
359.1352,354.6972,279.6928
358.355,354.4841,279.1121
357.8425,354.3136,278.8716
357.2109,354.0738,278.6171
357.2109,354.0738,278.6171
356.5057,353.8177,278.3794
355.7411,353.5237,278.1645
354.9698,353.2091,277.9827
354.9698,353.2091,277.9827
354.1611,352.8768,277.7692
353.3777,352.4447,277.5381
353.3777,352.4447,277.5381
352.5898,351.9459,277.3251
351.826,351.4656,277.1303
351.0762,350.9966,276.9323
351.0762,350.9966,276.9323
350.2906,350.5219,276.742
349.4759,350.0349,276.5974
349.4759,350.0349,276.5974
348.6658,349.564,276.4252
347.8482,349.1038,276.2422
347.018,348.6127,276.0886
347.018,348.6127,276.0886
346.2018,348.1096,275.9455
345.4013,347.6558,275.7933
345.4013,347.6558,275.7933
344.6222,347.1785,275.6389
343.9091,346.6306,275.5418
343.2315,346.0667,275.5179
343.2315,346.0667,275.5179
342.6165,345.6143,275.4934
342.0224,345.1541,275.4958
341.4438,344.6399,275.468
341.4438,344.6399,275.468
340.8788,344.1975,275.4113
340.8788,344.1975,275.4113
340.343,343.8704,275.305
339.8646,343.685,275.0523
339.4551,343.4105,274.8453
339.4551,343.4105,274.8453
339.052,343.1586,274.718
338.6695,342.8484,274.6473
338.2448,342.5173,274.6913
338.2448,342.5173,274.6913
337.8311,342.1779,274.7302
337.3619,341.8409,274.7873
336.9063,341.5297,274.8143
336.9063,341.5297,274.8143
336.3051,341.168,274.7799
336.3051,341.168,274.7799
336.1174,341.0706,274.7648
335.9583,340.9735,274.7476
335.9583,340.9735,274.7476
335.2281,340.5241,274.6328
335.2281,340.5241,274.6328
334.817,340.3646,274.6634
334.817,340.3646,274.6634
334.4039,340.1707,274.7029
333.8994,339.9265,274.772
333.3167,339.6354,274.8814
332.7103,339.3408,274.985
332.7103,339.3408,274.985
332.0289,339.0867,275.108
331.2965,338.7661,275.2966
331.2965,338.7661,275.2966
330.5644,338.3606,275.5006
329.8227,337.8739,275.8009
329.0795,337.4278,276.1937
329.0795,337.4278,276.1937
328.3532,337.0273,276.6097
327.6759,336.6671,277.0005
327.1033,336.299,277.3554
327.1033,336.299,277.3554
326.5414,335.9703,277.7648
326.5414,335.9703,277.7648
326.5414,335.9703,277.7648
326.5414,335.9703,277.7648
326.5414,335.9703,277.7648
326.5414,335.9703,277.7648
324.1847,334.4041,279.4034
323.6427,334.0441,279.8384
323.6427,334.0441,279.8384
323.113,333.4759,280.2599
322.8389,333.2029,280.4332
321.9375,332.3458,281.0402
321.358,331.7469,281.5095
321.358,331.7469,281.5095
320.8227,331.1465,281.9575
320.3316,330.5981,282.4
320.3316,330.5981,282.4
319.8275,330.1609,282.8685
319.3402,329.7025,283.3414
318.912,329.2629,283.8297
318.912,329.2629,283.8297
318.4132,328.8684,284.239
317.9706,328.4431,284.6735
317.9706,328.4431,284.6735
317.5591,328.15,285.0419
317.1413,327.7475,285.4313
316.9225,327.5235,285.6622
316.9225,327.5235,285.6622
316.1565,327.164,286.2961
315.5716,326.8573,286.7617
315.5716,326.8573,286.7617
315.1245,326.4272,287.0694
314.7319,326.0141,287.3731
314.313,325.4763,287.9609
314.313,325.4763,287.9609
313.9331,325.1425,288.5071
313.9331,325.1425,288.5071
313.9331,325.1425,288.5071
313.0391,324.6573,289.9503
312.4941,324.5894,290.8599
312.0372,324.4657,291.8954
312.0372,324.4657,291.8954
311.7571,324.7356,293.076
311.6643,325.1561,294.3549
311.6643,325.1561,294.3549
311.9697,325.7062,295.5099
312.5436,326.4217,296.5831
313.4018,327.2929,297.5414
313.4018,327.2929,297.5414
314.4541,328.2923,298.1477
315.6176,329.534,298.4067
315.6176,329.534,298.4067
316.8766,330.8456,298.407
318.1307,332.3146,298.371
319.475,333.9124,298.3153
319.475,333.9124,298.3153
320.9791,335.6279,298.2429
322.6241,337.2215,298.0741
