Yaw,Pitch,Roll
358.2094,357.9738,278.0081
358.2065,357.9676,277.9913
358.2021,357.9673,277.979
358.2021,357.9673,277.979
358.2021,357.9673,277.979
358.199,357.9827,277.9932
358.2005,357.9909,277.9929
358.195,358.0188,277.9846
358.1931,358.0323,277.9938
358.1887,358.0432,278.0023
358.1816,358.0583,278.0264
358.1777,358.0702,278.0312
358.1491,358.1059,278.058
358.1426,358.1079,278.1061
358.1292,358.109,278.1204
358.1314,358.1136,278.1182
358.1314,358.1136,278.1182
358.1305,358.1138,278.1061
358.1305,358.1138,278.1061
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.1494,358.1255,278.0855
358.2039,358.1019,277.8784
358.2039,358.1019,277.8784
358.2087,358.0913,277.8803
358.2039,358.0648,277.88
358.1968,358.0723,277.8737
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.193,358.0861,277.8659
358.3158,357.9985,277.908
358.3264,357.9981,277.9044
358.3398,357.9959,277.8989
358.3398,357.9959,277.8989
358.3508,357.9939,277.8999
358.3634,357.9964,277.9135
358.373,358.016,277.9142
358.4021,358.0257,277.9264
358.4732,357.9905,277.9514
358.5025,357.9985,277.9459
358.5662,358.0407,277.933
358.5662,358.0407,277.933
358.5662,358.0407,277.933
358.5662,358.0407,277.933
358.5662,358.0407,277.933
358.5662,358.0407,277.933
358.5662,358.0407,277.933
358.5662,358.0407,277.933
358.5662,358.0407,277.933
0.8855786,358.4126,278.9016
0.8855786,358.4126,278.9016
2.050279,358.5869,279.5021
2.777841,358.6789,279.8167
5.514278,359.0318,280.5591
5.514278,359.0318,280.5591
7.63482,359.1957,281.0388
8.772659,359.2674,281.2761
9.933329,359.3634,281.5019
12.26598,359.5242,281.9214
13.43909,359.5447,282.1422
15.79868,359.6044,282.5637
16.95827,359.6658,282.7948
19.1731,359.7255,283.1963
20.26477,359.7552,283.3957
21.28749,359.8111,283.5924
23.15376,359.8699,283.9984
24.7769,359.8483,284.4816
25.53655,359.8427,284.7183
26.86495,359.8778,285.13
27.98942,359.8875,285.4701
27.98942,359.8875,285.4701
29.25091,359.9304,285.8316
29.25091,359.9304,285.8316
29.56796,359.9046,285.9059
30.12545,359.8376,285.9776
30.32144,359.8203,285.9743
30.72264,359.6707,285.9463
30.72264,359.6707,285.9463
30.89688,359.5689,285.8248
30.92743,359.5115,285.846
30.96402,359.3826,285.8444
30.95785,359.2136,285.769
30.95785,359.2136,285.769
30.89062,359.1614,285.6702
30.8789,359.0441,285.6508
30.91475,359.0056,285.6806
30.97513,358.9951,285.8004
31.04834,358.9732,285.8884
31.04834,358.9732,285.8884
31.12981,359.0391,285.9314
31.14759,359.0617,285.9298
31.15122,359.0902,285.8793
31.15122,359.0902,285.8793
31.13184,359.1103,285.8498
31.08653,359.1182,285.8203
31.06115,359.122,285.7731
31.02998,359.1094,285.7336
31.03058,359.1188,285.7036
31.07606,359.2108,285.6682
31.09093,359.2577,285.6359
31.12325,359.2606,285.6074
31.17771,359.2943,285.5626
31.20715,359.3312,285.5574
31.23185,359.4083,285.5331
31.25274,359.4219,285.4879
31.26246,359.4294,285.4709
31.2721,359.4446,285.4503
31.25751,359.4641,285.4525
31.24877,359.4679,285.454
31.24877,359.4679,285.454
31.251,359.4349,285.4474
31.26001,359.4365,285.4455
31.31295,359.3594,285.4289
31.36808,359.3444,285.4376
31.36808,359.3444,285.4376
31.42672,359.3509,285.446
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.53528,359.387,285.4521
31.76334,358.9947,285.0675
31.78637,358.9499,285.0041
31.84564,358.8886,284.9099
31.86072,358.8659,284.8779
31.88411,358.8491,284.848
31.88411,358.8491,284.848
31.90738,358.7666,284.7077
31.91238,358.7223,284.6611
31.91238,358.7223,284.6611
31.92959,358.6875,284.626
31.94235,358.5926,284.4152
31.92215,358.5595,284.2581
31.91814,358.5429,284.173
31.90755,358.4954,283.9685
31.89565,358.4767,283.8064
31.89565,358.4767,283.8064
31.8714,358.4633,283.6147
31.83869,358.4291,283.3784
31.75741,358.3551,282.856
31.75741,358.3551,282.856
31.65516,358.3303,282.2233
31.50296,358.1549,281.583
31.50296,358.1549,281.583
31.46627,357.9295,281.2126
31.46482,357.7883,280.7798
31.68761,357.397,279.6942
31.81379,357.2887,279.4232
31.92685,357.2007,279.096
32.32919,356.9321,278.1939
32.4757,356.8738,277.8988
32.4757,356.8738,277.8988
32.90952,356.5894,276.8834
32.90952,356.5894,276.8834
33.05828,356.4608,276.5442
33.21052,356.3734,276.2208
33.48626,356.2427,275.6452
33.60785,356.1443,275.3654
33.60785,356.1443,275.3654
34.13076,355.7511,274.3366
34.13076,355.7511,274.3366
34.27995,355.592,274.0121
34.35591,355.5311,273.8471
34.42292,355.4919,273.6787
34.49203,355.4812,273.5172
34.59851,355.3931,273.1754
34.68967,355.2695,272.7588
34.76801,355.1986,272.3622
34.82482,355.1548,272.1443
34.87858,355.0912,271.9105
34.96886,355.0124,271.4803
35.01181,354.9827,271.3204
35.01181,354.9827,271.3204
