Yaw,Pitch,Roll
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.844226,2.159623,284.2429
1.918173,2.203641,284.4135
1.918173,2.203641,284.4135
1.903249,2.211093,284.4125
1.83506,2.22321,284.2915
1.83506,2.22321,284.2915
1.824043,2.278836,284.2654
1.824043,2.278836,284.2654
1.824043,2.278836,284.2654
1.824043,2.278836,284.2654
1.824043,2.278836,284.2654
1.824043,2.278836,284.2654
1.824043,2.278836,284.2654
1.824043,2.278836,284.2654
3.579145,2.482543,284.8833
4.28891,2.450837,285.1194
4.28891,2.450837,285.1194
5.049753,2.430481,285.4633
5.934885,2.407148,285.8259
5.934885,2.407148,285.8259
6.91383,2.383534,286.2431
8.074479,2.306399,286.6756
9.357276,2.213306,287.0992
9.357276,2.213306,287.0992
9.357276,2.213306,287.0992
9.357276,2.213306,287.0992
13.18924,1.65256,288.3774
13.18924,1.65256,288.3774
13.18924,1.65256,288.3774
13.80166,1.568278,288.5439
15.50988,1.310888,289.0072
17.03007,0.9701825,289.4581
17.03007,0.9701825,289.4581
17.92348,0.7143906,289.7024
18.72939,0.5420775,289.9142
18.72939,0.5420775,289.9142
19.44636,0.4149991,290.0668
20.0717,0.2893793,290.2119
20.62024,0.1594612,290.2782
20.62024,0.1594612,290.2782
20.86539,0.09341398,290.2899
21.52612,359.9128,290.1508
21.52612,359.9128,290.1508
21.72805,359.8794,290.1715
22.27942,359.7733,290.0547
22.59376,359.7312,290.0533
22.59376,359.7312,290.0533
22.91163,359.6966,290.0513
23.23894,359.6649,290.0019
23.54199,359.6299,289.888
23.54199,359.6299,289.888
23.83369,359.6054,289.7684
23.83369,359.6054,289.7684
23.83369,359.6054,289.7684
24.3333,359.5764,289.601
24.56273,359.5824,289.4507
24.75662,359.5901,289.3287
24.75662,359.5901,289.3287
24.84387,359.5838,289.2769
25.03396,359.5889,288.9807
25.09858,359.5714,288.8098
25.09858,359.5714,288.8098
25.12084,359.5646,288.5967
25.07792,359.5848,288.4003
25.07792,359.5848,288.4003
25.01448,359.5982,288.2204
24.91582,359.6205,287.9967
24.91582,359.6205,287.9967
24.91582,359.6205,287.9967
24.63214,359.6801,287.5063
24.63214,359.6801,287.5063
24.46536,359.6776,287.2955
24.30567,359.6751,286.9995
24.10364,359.7188,286.5408
24.01915,359.7559,286.3706
24.01915,359.7559,286.3706
24.01915,359.7559,286.3706
24.01915,359.7559,286.3706
24.01915,359.7559,286.3706
24.01915,359.7559,286.3706
23.37701,359.9128,284.1755
23.30581,359.9624,283.9045
23.30581,359.9624,283.9045
23.30581,359.9624,283.9045
23.30581,359.9624,283.9045
23.30581,359.9624,283.9045
23.30581,359.9624,283.9045
23.03975,0.3112516,282.2199
22.98128,0.3620818,281.9305
22.98128,0.3620818,281.9305
22.85653,0.4791067,281.4706
22.85653,0.4791067,281.4706
22.72392,0.5622156,281.1725
22.72392,0.5622156,281.1725
22.72392,0.5622156,281.1725
22.72392,0.5622156,281.1725
22.72392,0.5622156,281.1725
22.72392,0.5622156,281.1725
22.72392,0.5622156,281.1725
22.72392,0.5622156,281.1725
21.23394,0.9865629,279.5261
21.23394,0.9865629,279.5261
21.23394,0.9865629,279.5261
21.23394,0.9865629,279.5261
20.05354,0.9621798,279.0718
20.05354,0.9621798,279.0718
19.75175,0.9907735,278.9634
18.84987,1.021795,278.9101
18.84987,1.021795,278.9101
18.47371,1.043585,278.8668
18.47371,1.043585,278.8668
18.47371,1.043585,278.8668
