Yaw,Pitch,Roll
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
352.0936,357.9723,280.4322
349.9097,357.7372,281.045
349.4823,357.6535,281.134
349.034,357.5866,281.1895
349.034,357.5866,281.1895
348.5989,357.5607,281.2471
348.5989,357.5607,281.2471
348.0815,357.591,281.317
348.0815,357.591,281.317
347.6006,357.5701,281.4209
347.6006,357.5701,281.4209
347.2526,357.5945,281.5422
347.2526,357.5945,281.5422
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
347.056,357.6092,281.6287
346.3637,358.2189,280.6414
346.3637,358.2189,280.6414
346.2867,358.3343,280.4627
346.1991,358.4401,280.2388
346.1991,358.4401,280.2388
346.1142,358.5581,279.959
346.0404,358.6378,279.5844
345.9533,358.7255,279.1096
345.9533,358.7255,279.1096
345.8475,358.8379,278.6169
345.7309,358.8907,278.0897
345.601,358.9196,277.5693
345.601,358.9196,277.5693
345.4543,358.9297,277.1304
345.2872,358.9424,276.7703
345.2872,358.9424,276.7703
345.1213,358.9604,276.4579
344.9435,358.9756,276.1959
344.9435,358.9756,276.1959
344.7783,358.9834,275.978
344.6371,359.0024,275.8449
344.5295,359.0269,275.7869
344.5295,359.0269,275.7869
344.4638,359.0589,275.7862
344.4363,359.081,275.8079
344.4363,359.081,275.8079
344.4363,359.081,275.8079
344.4363,359.081,275.8079
344.4363,359.081,275.8079
344.4363,359.081,275.8079
344.4363,359.081,275.8079
344.7176,359.1736,275.8636
344.7798,359.1934,275.9076
344.7798,359.1934,275.9076
344.8327,359.2123,275.9371
344.8327,359.2123,275.9371
344.8327,359.2123,275.9371
344.8327,359.2123,275.9371
344.8327,359.2123,275.9371
345.6116,359.5674,276.3519
345.6116,359.5674,276.3519
345.9107,359.7649,276.48
346.6978,0.2448844,276.7464
346.6978,0.2448844,276.7464
347.7453,0.9425347,277.1153
349.6787,2.719139,277.9293
351.0055,5.052949,278.7271
351.0055,5.052949,278.7271
352.3867,7.334077,279.4329
354.006,9.008006,279.7737
354.006,9.008006,279.7737
355.639,10.40113,279.9907
357.2473,11.70496,280.3141
358.9245,12.66585,280.6247
358.9245,12.66585,280.6247
0.2027485,13.18631,280.5873
1.16721,13.40484,280.6397
1.16721,13.40484,280.6397
1.87468,13.49335,280.7748
2.011729,13.37914,280.7394
1.902939,13.28713,280.7522
1.902939,13.28713,280.7522
1.819605,13.14827,280.8668
1.774052,12.96912,280.987
1.84207,12.90439,281.1481
1.84207,12.90439,281.1481
1.900938,12.91054,281.2206
1.900938,12.91054,281.2206
1.900938,12.91054,281.2206
1.900938,12.91054,281.2206
1.900938,12.91054,281.2206
1.900938,12.91054,281.2206
1.900938,12.91054,281.2206
2.223992,12.75615,281.5587
2.260687,12.72434,281.5775
2.260687,12.72434,281.5775
2.441098,12.60573,281.5963
2.669717,12.55095,281.7172
2.833988,12.56979,281.7983
2.833988,12.56979,281.7983
2.9473,12.47126,281.8582
2.9473,12.47126,281.8582
3.075381,12.39802,281.8994
3.125956,12.28586,281.9119
3.125956,12.28586,281.9119
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
3.112411,12.2315,281.9127
