Yaw,Pitch,Roll
25.95512,4.774452,264.6317
25.95512,4.774452,264.6317
25.95512,4.774452,264.6317
25.95512,4.774452,264.6317
25.95512,4.774452,264.6317
25.95512,4.774452,264.6317
25.95512,4.774452,264.6317
25.95512,4.774452,264.6317
28.83109,5.102048,264.9752
28.83109,5.102048,264.9752
28.9637,5.083568,264.9774
28.92451,5.029708,264.9293
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
28.86729,4.998096,264.8785
27.49693,4.862869,264.6708
27.49693,4.862869,264.6708
27.39391,4.861578,264.6467
27.36446,4.858993,264.6339
27.36446,4.858993,264.6339
27.36446,4.858993,264.6339
27.36446,4.858993,264.6339
27.36446,4.858993,264.6339
27.36446,4.858993,264.6339
27.2384,4.844508,264.5686
27.23317,4.845325,264.5656
27.23031,4.838974,264.5593
27.23031,4.838974,264.5593
27.23031,4.838974,264.5593
27.25485,4.794472,264.4649
27.26619,4.79699,264.4625
27.29913,4.785264,264.4343
27.29913,4.785264,264.4343
27.28717,4.793588,264.4282
27.26484,4.808664,264.3854
27.26073,4.793625,264.3332
27.23034,4.804076,264.3277
27.23034,4.804076,264.3277
27.21512,4.797416,264.3539
27.20958,4.77643,264.3649
27.2065,4.750082,264.3727
27.2065,4.750082,264.3727
27.20112,4.73859,264.3983
27.19851,4.715209,264.4471
27.20716,4.693562,264.4872
27.22732,4.669407,264.5439
27.22732,4.669407,264.5439
27.23403,4.668564,264.5306
27.24092,4.662135,264.5463
27.25922,4.635043,264.602
27.26398,4.629526,264.6037
27.26398,4.629526,264.6037
27.25919,4.613916,264.605
27.25425,4.609006,264.6017
27.25763,4.585191,264.6534
27.25763,4.585191,264.6534
27.26596,4.556624,264.6723
27.24006,4.554558,264.6973
27.24006,4.554558,264.6973
27.08841,4.544135,264.8353
27.00983,4.543754,264.8737
26.80338,4.538353,265.0017
26.80338,4.538353,265.0017
26.5412,4.506021,265.1826
26.5412,4.506021,265.1826
26.5412,4.506021,265.1826
26.5412,4.506021,265.1826
25.3181,4.349174,266.0142
24.89993,4.309864,266.3558
24.89993,4.309864,266.3558
24.38746,4.294526,266.6605
23.71448,4.22379,267.0185
22.86906,4.118763,267.3963
22.86906,4.118763,267.3963
21.77596,4.009224,267.8088
20.39948,3.878849,268.2942
20.39948,3.878849,268.2942
18.7937,3.704149,268.8549
16.95534,3.538058,269.4624
16.95534,3.538058,269.4624
14.94885,3.363477,270.0836
12.91272,3.210907,270.705
11.93761,3.159779,271.0286
10.08245,3.082767,271.6774
10.08245,3.082767,271.6774
8.388319,3.077679,272.332
6.829592,3.163877,272.9584
5.402277,3.271837,273.5647
5.402277,3.271837,273.5647
4.079627,3.421495,274.1133
2.872687,3.588021,274.5771
2.315886,3.6698,274.7967
1.278144,3.871334,275.2449
0.3570754,4.106043,275.5697
0.3570754,4.106043,275.5697
359.5395,4.282332,275.8481
358.8286,4.437296,276.0923
358.8286,4.437296,276.0923
358.184,4.564219,276.2697
357.6283,4.677216,276.4165
357.1436,4.782666,276.6682
357.1436,4.782666,276.6682
356.7345,4.861425,276.8752
356.4112,4.925326,277.059
356.4112,4.925326,277.059
356.2696,4.951149,277.1377
356.2696,4.951149,277.1377
356.2696,4.951149,277.1377
355.8184,5.042183,277.4691
355.7839,5.074415,277.552
355.7839,5.074415,277.552
355.7988,5.097913,277.6388
355.8374,5.091577,277.6724
355.8852,5.086274,277.6989
355.8852,5.086274,277.6989
355.8852,5.086274,277.6989
355.8852,5.086274,277.6989
355.8852,5.086274,277.6989
356.416,5.023732,277.7324
356.5543,4.987248,277.7298
356.5543,4.987248,277.7298
356.6726,4.968524,277.6136
356.7331,4.969633,277.5714
356.8865,4.949047,277.4971
357.0982,4.902064,277.381
357.4192,4.82943,277.2612
357.4192,4.82943,277.2612
357.9289,4.725179,277.0907
358.5417,4.648156,276.8348
358.5417,4.648156,276.8348
359.3083,4.607229,276.5367
0.2518619,4.569795,276.2241
0.7615414,4.542819,276.0341
1.846477,4.506439,275.6038
1.846477,4.506439,275.6038
3.018248,4.488772,275.1322
4.231224,4.47171,274.6094
5.479813,4.444339,274.0262
5.479813,4.444339,274.0262
6.712249,4.444305,273.5259
7.332047,4.441214,273.2749
8.509802,4.45726,272.7623
9.651957,4.428974,272.2437
10.73625,4.393677,271.7638
10.73625,4.393677,271.7638
11.24871,4.393311,271.5021
12.73378,4.337255,270.7266
12.73378,4.337255,270.7266
13.65087,4.299833,270.2694
14.51805,4.255036,269.8625
14.92527,4.238307,269.6648
15.70823,4.20997,269.2534
15.70823,4.20997,269.2534
16.43915,4.215458,268.8407
17.12132,4.215192,268.563
17.7916,4.182493,268.2372
17.7916,4.182493,268.2372
18.4177,4.184481,267.9375
19.00198,4.21016,267.6401
19.00198,4.21016,267.6401
19.58982,4.257633,267.3624
20.18396,4.314475,267.0663
20.7935,4.369548,266.7139
20.7935,4.369548,266.7139
21.41803,4.464632,266.3828
21.73523,4.52538,266.2012
22.3665,4.673003,265.8586
22.92708,4.84415,265.6298
23.20438,4.917952,265.516
23.72209,5.045955,265.2845
23.72209,5.045955,265.2845
24.17695,5.188576,265.0772
24.37694,5.273351,264.9664
24.71312,5.426658,264.7932
25.02114,5.543868,264.6628
25.27253,5.656931,264.5034
25.27253,5.656931,264.5034
25.38497,5.701251,264.462
25.62037,5.795204,264.3914
25.72174,5.841898,264.3281
25.9129,5.923288,264.2506
26.12066,5.990827,264.2171
26.32458,6.057998,264.1761
26.32458,6.057998,264.1761
26.50102,6.130075,264.1801
26.61018,6.145264,264.1929
26.8529,6.166495,264.2308
27.13197,6.201021,264.2776
27.13197,6.201021,264.2776
27.54317,6.19931,264.3007
28.11177,6.21316,264.4165
28.43942,6.233487,264.4835
29.18722,6.280365,264.6208
29.18722,6.280365,264.6208
30.08952,6.318492,264.7365
31.09827,6.320304,264.8948
