Yaw,Pitch,Roll
0.1441415,1.461769,279.947
0.1441415,1.461769,279.947
0.1441415,1.461769,279.947
0.1441415,1.461769,279.947
0.1441415,1.461769,279.947
0.1441415,1.461769,279.947
0.1441415,1.461769,279.947
0.1441415,1.461769,279.947
0.1441415,1.461769,279.947
0.1441415,1.461769,279.947
0.2458376,1.525696,279.7546
0.262062,1.535528,279.7131
0.2694804,1.537135,279.6925
0.277347,1.541372,279.6759
0.2811615,1.534602,279.6601
0.2848001,1.522687,279.6341
0.2889361,1.517073,279.5848
0.2884976,1.514459,279.5736
0.2949489,1.516974,279.5484
0.2949489,1.516974,279.5484
0.3014332,1.510891,279.5387
0.3167068,1.516054,279.5327
0.3256136,1.528118,279.5307
0.3393219,1.539934,279.5227
0.3507051,1.552684,279.5213
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
0.3866315,1.55099,279.5451
359.9912,1.74097,279.8036
359.5732,1.784526,280.0651
359.3074,1.792731,280.2105
359.0146,1.792935,280.3683
359.0146,1.792935,280.3683
357.4355,1.815177,281.0938
357.4355,1.815177,281.0938
356.9502,1.814109,281.287
356.4199,1.810503,281.4968
355.2312,1.787577,281.9416
354.5774,1.769967,282.1725
353.1978,1.742625,282.6627
352.4659,1.729416,282.9254
352.4659,1.729416,282.9254
349.3784,1.679669,284.1226
347.0295,1.626733,285.1313
347.0295,1.626733,285.1313
345.5037,1.588462,285.91
344.0024,1.530227,286.7141
342.5298,1.497297,287.4733
342.5298,1.497297,287.4733
341.8025,1.501195,287.8252
340.352,1.545822,288.4803
338.9356,1.623648,289.0522
338.9356,1.623648,289.0522
337.5983,1.705895,289.5751
336.3417,1.741145,290.0346
335.7684,1.735185,290.2141
334.7447,1.750431,290.5685
334.3041,1.761225,290.7036
333.5486,1.755111,290.9343
332.9412,1.756269,291.1448
332.9412,1.756269,291.1448
332.5024,1.747779,291.2911
332.3496,1.748884,291.3485
332.1388,1.756271,291.4504
332.0567,1.749185,291.5477
332.0567,1.749185,291.5477
332.0695,1.742454,291.6188
332.1111,1.745059,291.64
332.2609,1.753512,291.6837
332.2609,1.753512,291.6837
332.4536,1.741975,291.7318
332.649,1.745292,291.7694
332.8488,1.758794,291.8065
332.8488,1.758794,291.8065
332.8488,1.758794,291.8065
