Yaw,Pitch,Roll
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
356.4518,6.677757,273.9236
354.7917,6.749422,269.256
354.6274,6.7518,268.5528
354.5627,6.745516,268.2497
354.5044,6.745686,267.9492
354.5044,6.745686,267.9492
354.3868,6.745477,267.214
354.3868,6.745477,267.214
354.2589,6.770426,266.0899
354.2394,6.795934,265.0211
354.2425,6.776893,264.6179
354.2425,6.776893,264.6179
354.282,6.787505,264.1809
354.4533,6.757731,264.0419
354.5609,6.759724,263.9218
354.6556,6.723296,263.9157
354.6556,6.723296,263.9157
354.7434,6.70148,263.9222
354.8228,6.672751,263.9479
355.0078,6.610622,264.0311
355.1339,6.588842,264.1207
355.4794,6.480049,264.3647
355.9637,6.321365,264.6297
355.9637,6.321365,264.6297
356.2419,6.279374,264.8311
356.9011,6.204744,265.4482
357.7973,6.060574,266.3035
0.255211,5.615848,268.4104
0.255211,5.615848,268.4104
2.217535,5.359128,269.7107
3.293507,5.243979,270.3625
3.293507,5.243979,270.3625
4.387113,5.119052,271.0829
5.570196,5.004643,271.8996
8.13955,4.902052,273.5156
13.21293,4.144229,276.3293
14.37924,3.903436,277.0357
14.37924,3.903436,277.0357
15.5258,3.620822,277.7464
16.57439,3.333757,278.3753
20.10561,2.404082,279.87
20.86291,2.226456,280.0279
21.58084,1.94938,280.1183
21.58084,1.94938,280.1183
22.23035,1.737873,280.1115
24.29467,1.084945,279.2893
25.09144,0.7847817,278.3972
25.42412,0.6796172,277.8204
25.42412,0.6796172,277.8204
25.76353,0.563387,277.139
26.77199,0.227165,274.8803
27.08105,0.1794831,274.1212
27.3818,0.1320183,273.3777
27.3818,0.1320183,273.3777
28.72009,359.9823,269.9167
28.72009,359.9823,269.9167
29.18526,0.2715659,268.2133
29.49496,0.3473565,267.2261
29.58958,0.4554683,266.5936
29.40109,0.9923284,265.4546
29.40109,0.9923284,265.4546
28.92137,1.94963,263.6816
28.92137,1.94963,263.6816
28.72777,2.311025,262.8961
28.2274,3.127044,261.0597
27.95358,3.538423,260.0982
27.49929,4.257164,258.3793
27.17399,4.677007,257.6388
26.46017,5.214317,256.5863
26.11029,5.319493,256.188
25.43454,5.500469,256.1891
24.92338,5.613323,256.281
24.92338,5.613323,256.281
24.2512,5.679425,256.1888
23.31953,5.757128,256.4415
22.81167,5.735518,256.6427
21.77787,5.751232,256.9931
21.15853,5.859272,257.1545
19.76503,6.132982,257.5177
19.00807,6.220458,257.7267
17.31748,6.298446,258.4928
17.31748,6.298446,258.4928
15.3936,6.351747,259.3892
13.24032,6.276027,260.3394
10.93722,6.078512,261.6083
10.93722,6.078512,261.6083
8.39622,5.912601,262.986
5.840227,5.696112,264.3391
4.574265,5.620027,265.0163
2.093276,5.54919,266.2117
0.8617357,5.560181,266.6952
358.4442,5.607316,267.3305
358.4442,5.607316,267.3305
356.3248,5.623669,267.8427
355.4999,5.633138,268.1467
354.1223,5.695847,268.5469
352.9028,5.762463,268.6733
352.9028,5.762463,268.6733
351.9767,5.73911,268.6827
351.2799,6.086612,268.5593
350.9213,6.305341,268.41
350.1199,6.77421,267.8341
349.2326,7.408571,266.8478
349.2326,7.408571,266.8478
347.9399,8.328443,265.4816
346.2402,9.134202,263.9571
346.2402,9.134202,263.9571
344.2334,9.936583,262.2639
343.0923,10.34865,261.392
340.6938,10.98758,259.6996
339.4081,11.26761,258.8695
336.5523,11.73609,257.2193
333.5779,12.02149,255.5424
333.5779,12.02149,255.5424
330.8044,12.10823,254.1478
329.0582,11.82149,254.1783
326.5707,11.59522,252.4747
324.4233,11.17229,251.3091
322.6892,10.64454,250.6664
322.6892,10.64454,250.6664
321.9236,10.43935,250.335
320.5817,10.1007,249.8061
320.0519,9.88572,249.7129
319.2359,9.503188,249.9541
318.5099,9.459987,250.4498
318.2197,9.447571,250.8427
317.8736,9.334853,252.0896
317.8736,9.334853,252.0896
317.6445,9.436594,253.6061
317.4212,9.599327,255.5288
317.3255,9.663579,256.6981
317.2737,9.726995,257.8682
317.2901,9.788918,260.493
317.4539,9.879765,263.9004
317.5172,10.02141,265.4722
317.7408,10.12073,268.6289
317.7408,10.12073,268.6289
318.3533,10.28201,274.2133
318.3533,10.28201,274.2133
318.6212,10.53672,277.0664
318.7503,10.59673,278.3872
319.0666,10.78312,280.8952
319.2063,10.89921,282.0327
319.4702,11.00388,283.9395
319.6057,11.01571,284.7608
319.8577,11.02449,286.3528
319.9698,11.00337,287.0841
320.1934,10.88561,288.3038
320.3464,10.82219,288.8349
320.8379,10.67604,289.7021
320.8379,10.67604,289.7021
321.4696,10.43979,290.2422
322.3537,10.02191,290.4661
323.3647,9.612014,290.4808
323.3647,9.612014,290.4808
324.5607,9.092673,290.2764
325.9788,8.450264,289.8395
325.9788,8.450264,289.8395
327.6241,7.577286,289.162
329.5188,6.550859,288.2892
331.6599,5.151304,287.3513
332.9039,4.520735,286.8597
335.3892,3.868448,285.8705
335.3892,3.868448,285.8705
337.8698,3.236613,284.5752
339.0841,2.994621,283.8787
341.4821,2.498972,282.2301
342.7023,2.213751,281.194
344.9496,1.885197,279.0248
346.814,1.879305,276.7876
346.814,1.879305,276.7876
348.7007,2.08785,274.5175
349.4782,2.296884,273.527
350.5883,2.620153,272.1462
351.8159,2.345952,271.3734
352.513,2.367074,271.0121
353.6744,2.881086,270.2541
353.6744,2.881086,270.2541
354.631,3.269974,269.9164
355.5977,3.656821,269.829
356.4808,3.998622,269.7527
356.8365,4.205887,269.8673
356.8365,4.205887,269.8673
357.3889,4.513181,270.1794
357.5971,4.60996,270.2649
357.8364,4.881886,270.4626
357.9137,5.087359,270.6379
357.6872,5.671395,271.1951
357.4801,5.860781,271.3568
357.4801,5.860781,271.3568
357.1169,6.149481,271.6254
356.8262,6.373757,272.0175
356.7031,6.476075,272.1913
356.4916,6.643435,272.5087
356.4088,6.681542,272.7302
356.4088,6.681542,272.7302
356.3636,6.723297,272.9665
356.5325,6.884951,273.7172
356.6249,6.885296,273.864
356.8446,6.84584,274.235
356.9397,6.83488,274.3901
357.1024,6.814695,274.5762
357.1623,6.827321,274.6486
357.1623,6.827321,274.6486
357.2571,6.808713,274.7257
357.2867,6.852667,274.6686
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
357.3835,6.882439,274.5658
