Yaw,Pitch,Roll
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
358.6558,358.5117,279.2442
1.750307,359.892,281.6338
1.750307,359.892,281.6338
2.779994,0.04973958,282.2321
3.351053,0.1612671,282.5229
4.524044,0.3411568,283.0076
5.73692,0.497517,283.4036
6.355799,0.5575002,283.596
7.574156,0.7301275,283.9303
7.574156,0.7301275,283.9303
8.736362,0.8729063,284.2075
9.827101,0.9687566,284.5163
10.36121,1.011612,284.6751
11.35027,1.148172,284.9699
11.78461,1.241484,285.1334
12.18853,1.335709,285.3042
12.87198,1.499785,285.6712
13.17008,1.591655,285.8607
13.66279,1.781056,286.1785
14.0656,1.939703,286.5247
14.23964,2.025397,286.7432
14.40524,2.113491,286.9566
14.55191,2.19092,287.1353
14.88925,2.35568,287.5022
14.88925,2.35568,287.5022
15.06083,2.433674,287.7485
15.1401,2.47266,287.8502
15.25075,2.473344,287.9825
15.3306,2.41414,288.0112
15.3306,2.41414,288.0112
15.40938,2.349608,288.1048
15.43672,2.310634,288.1318
15.47818,2.233159,288.0923
15.49659,2.151282,288.0174
15.50753,2.119889,288.0213
15.50753,2.119889,288.0213
15.55928,2.079911,288.0377
15.57907,2.069195,288.0158
15.5658,2.032685,287.9204
11.31977,9.651099,296.8152
17.5134,8.69527,294.7038
12.75848,8.298766,296.6509
356.0406,13.67743,289.4295
354.1019,12.1966,291.0222
357.6766,7.529518,292.9885
357.6766,7.529518,292.9885
7.008267,5.700004,290.7091
10.03368,11.90567,292.3739
7.326056,21.98866,296.1761
7.326056,21.98866,296.1761
6.138954,23.36987,295.2175
5.482826,24.01539,294.3225
5.482826,24.01539,294.3225
5.109413,24.37952,293.7516
4.985004,24.48061,293.5358
4.829153,24.60891,293.2043
4.747501,24.63641,292.9547
4.747501,24.63641,292.9547
4.706778,24.62326,292.7742
4.670027,24.61528,292.6053
4.652442,24.61905,292.5191
4.604934,24.62793,292.3505
0.9513508,25.34475,291.9654
3.086254,26.8792,294.7162
3.064791,27.26391,294.9104
3.064791,27.26391,294.9104
2.99274,27.5005,294.8897
3.079854,27.64151,294.8576
352.1867,34.49918,294.4536
347.8461,41.69705,290.7642
347.8461,41.69705,290.7642
345.199,42.27368,288.0336
347.4195,43.74776,290.0118
347.074,43.43203,289.9453
347.5152,42.78123,290.1069
347.7617,42.48886,290.1755
347.6067,41.71135,289.322
347.6067,41.71135,289.322
347.4509,40.78572,288.1964
347.5489,40.41552,287.8701
347.5055,39.60945,286.8954
347.4415,38.72331,285.742
347.4415,38.72331,285.742
347.6913,38.1963,285.2397
347.7301,37.95578,284.9375
350.4598,22.23608,299.084
350.4598,22.23608,299.084
350.4598,22.23608,299.084
350.4598,22.23608,299.084
350.4598,22.23608,299.084
350.4598,22.23608,299.084
350.4598,22.23608,299.084
350.4598,22.23608,299.084
2.989336,10.83947,267.6614
347.9524,352.883,280.1828
347.9524,352.883,280.1828
356.8569,359.2509,277.5451
352.1186,348.8395,281.4923
352.1186,348.8395,281.4923
357.119,355.6067,276.2823
353.7746,346.9526,280.2168
353.7746,346.9526,280.2168
3.291799,357.3937,277.4968
354.2843,353.1656,272.4445
354.2843,353.1656,272.4445
354.2843,353.1656,272.4445
341.7259,345.2611,281.3994
355.3493,355.8591,273.3996
355.3493,355.8591,273.3996
2.583037,351.8692,281.4195
3.429368,352.7554,271.8979
1.243191,353.651,276.4596
1.243191,353.651,276.4596
18.65471,2.576349,276.1852
18.67391,357.6856,291.7439
15.65907,13.79333,281.7236
10.2245,10.39576,281.8109
6.064928,12.3383,282.4707
357.9992,6.984844,280.553
350.6178,6.188673,277.4009
350.6178,6.188673,277.4009
350.2949,9.165547,284.2756
348.7845,11.1471,285.7745
348.7845,11.1471,285.7745
347.2278,12.98405,285.4818
347.2278,12.98405,285.4818
346.6831,13.64189,285.1291
346.6831,13.64189,285.1291
346.6178,13.69268,285.0583
346.6246,13.67142,285.011
346.7134,13.6483,285.1179
346.7386,13.64748,285.1643
346.7386,13.64748,285.1643
346.7375,13.66502,285.2169
346.7244,13.67775,285.2318
346.6945,13.63015,285.2539
346.7048,13.63424,285.2797
346.7373,13.66357,285.3856
346.7422,13.68476,285.4395
346.7208,13.73957,285.5005
346.6979,13.7678,285.504
346.6792,13.79682,285.5133
346.6792,13.79682,285.5133
346.6734,13.83226,285.5349
346.6217,13.98929,285.608
346.6024,14.02008,285.6035
346.5717,14.05552,285.6056
346.5658,14.10479,285.6197
346.5529,14.13138,285.6079
346.5529,14.13138,285.6079
346.525,14.14383,285.5856
346.5086,14.18009,285.5456
346.5249,14.195,285.5583
346.5532,14.20338,285.5943
346.5667,14.20061,285.604
346.6064,14.19085,285.6274
346.6374,14.19744,285.6522
346.6644,14.20332,285.6799
348.2133,13.70596,284.2757
348.2133,13.70596,284.2757
348.2133,13.70596,284.2757
348.2133,13.70596,284.2757
348.2133,13.70596,284.2757
348.2133,13.70596,284.2757
348.2133,13.70596,284.2757
348.2133,13.70596,284.2757
348.2133,13.70596,284.2757
337.825,355.2266,270.0916
348.0078,350.9128,276.3474
348.0078,350.9128,276.3474
0.9088913,358.5366,273.7103
353.1842,346.4793,276.9875
358.5712,355.1617,271.7312
2.670519,356.1447,271.4185
355.8793,351.6301,277.0381
355.8793,351.6301,277.0381
358.3846,355.5422,269.4451
354.4197,344.6622,277.3266
354.4197,344.6622,277.3266
4.861093,356.7094,272.2698
354.917,344.8333,277.1345
354.917,344.8333,277.1345
357.9663,352.468,277.137
357.9663,352.468,277.137
2.844015,355.8899,271.6861
359.2586,353.9222,272.5135
5.340657,356.7825,272.3935
355.1656,344.7156,277.1334
358.6403,354.9642,268.4249
3.059128,355.8486,271.5905
355.4191,344.8444,277.9671
355.4191,344.8444,277.9671
355.4191,344.8444,277.9671
5.726312,356.7648,272.2069
359.0482,352.7402,276.9216
3.370161,355.9376,271.7983
355.4667,344.7755,278.0754
355.4667,344.7755,278.0754
332.0221,349.7905,279.4341
351.1648,353.6082,283.9207
357.4995,359.2935,283.8815
0.9663672,1.807023,281.8682
5.034323,2.234251,281.2551
5.034323,2.234251,281.2551
10.78741,349.6257,286.9653
10.78741,349.6257,286.9653
16.61939,2.739471,272.8578
10.63826,356.902,279.8589
10.13486,1.05135,272.1272
10.13486,1.05135,272.1272
10.13486,1.05135,272.1272
357.0034,354.5706,287.8517
358.1101,7.86611,273.702
351.2873,8.837324,283.4321
350.8259,8.94841,283.7994
350.8259,8.94841,283.7994
350.3584,9.123861,283.7277
349.8944,9.241826,283.8372
349.8944,9.241826,283.8372
349.0038,9.202833,284.3362
347.0393,8.675531,286.0061
345.7237,8.446377,286.8004
344.3004,8.291366,287.3335
343.5856,8.253924,287.5403
343.5856,8.253924,287.5403
342.8909,8.244499,287.7151
341.0149,8.311864,288.0949
340.0141,8.426972,288.2843
340.0141,8.426972,288.2843
339.1608,8.647516,288.4477
338.7706,8.787579,288.4886
338.0875,9.088829,288.5724
337.508,9.380504,288.7677
337.2568,9.526435,288.8557
336.7891,9.809644,288.9286
336.5597,9.928506,288.932
336.3597,10.03468,288.9449
335.9187,10.23156,288.9587
335.7576,10.32809,288.9678
335.6029,10.39862,288.9381
335.4764,10.46461,288.8849
335.3581,10.52011,288.8011
335.3581,10.52011,288.8011
335.1704,10.60018,288.6933
335.0232,10.65702,288.6779
334.8742,10.76591,288.5252
334.7748,10.8512,288.4196
334.7377,10.88469,288.4116
334.7377,10.88469,288.4116
334.6275,10.92312,288.4015
334.5583,11.02814,288.343
334.5583,11.02814,288.343
334.5272,11.07242,288.3669
334.5272,11.07242,288.3669
334.4987,11.10913,288.3646
334.4987,11.10913,288.3646
334.5008,11.1555,288.3792
334.5008,11.1555,288.3792
334.5182,11.23856,288.4665
334.5229,11.32048,288.473
334.5252,11.35098,288.4658
334.5252,11.35098,288.4658
334.507,11.38653,288.4347
334.4703,11.41745,288.3357
334.4377,11.43346,288.2652
334.4213,11.43345,288.2172
334.4023,11.42685,288.1192
334.3998,11.4298,288.0689
334.3933,11.43311,288.0264
334.3933,11.43311,288.0264
334.4203,11.52019,287.9131
334.4203,11.52019,287.9131
334.4182,11.5389,287.859
334.424,11.54585,287.8444
334.424,11.54585,287.8444
334.4109,11.56314,287.7704
334.3635,11.54526,287.631
334.2905,11.47681,287.4871
334.1914,11.38707,287.3064
334.0577,11.29426,287.0661
333.9266,11.14352,286.8571
333.8647,11.05705,286.7556
333.8122,10.97533,286.6566
333.6789,10.65513,286.3091
333.7121,10.31239,286.2079
333.7121,10.31239,286.2079
333.801,10.18021,286.2194
336.5733,9.870829,286.1768
336.5733,9.870829,286.1768
336.29,9.598759,285.1305
337.255,9.11712,283.5348
337.255,9.11712,283.5348
337.255,9.11712,283.5348
337.255,9.11712,283.5348
