Yaw,Pitch,Roll
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.39124,1.360814,281.5916
13.69552,1.31191,281.8626
13.69552,1.31191,281.8626
13.8968,1.328875,281.9925
14.11903,1.28974,282.0937
14.11903,1.28974,282.0937
14.24213,1.278557,282.1566
14.75115,1.177126,282.4523
14.75115,1.177126,282.4523
15.20045,1.109752,282.7032
15.56258,1.084144,282.9161
16.06228,1.026691,283.1921
16.36555,0.9976063,283.3322
16.36555,0.9976063,283.3322
17.0458,0.882836,283.6326
18.25129,0.7287787,284.1759
18.25129,0.7287787,284.1759
19.20308,0.6674305,284.6097
20.2001,0.5810004,284.9877
21.21269,0.444555,285.3285
21.21269,0.444555,285.3285
22.2526,0.2792107,285.6799
23.26737,0.1365015,285.9935
23.26737,0.1365015,285.9935
24.24509,359.9589,286.2943
24.24509,359.9589,286.2943
25.17353,359.7504,286.6234
26.50815,359.4612,287.1712
27.32166,359.2833,287.5244
27.32166,359.2833,287.5244
28.14231,359.0897,287.8502
28.94268,358.8823,288.1874
28.94268,358.8823,288.1874
29.74591,358.6793,288.494
30.5523,358.4743,288.7782
30.5523,358.4743,288.7782
31.37607,358.3187,289.0672
32.20615,358.1452,289.3349
33.02579,357.9904,289.5905
33.02579,357.9904,289.5905
33.84681,357.845,289.8555
34.64973,357.6735,290.1
35.44542,357.5117,290.3201
35.44542,357.5117,290.3201
36.21184,357.3773,290.5656
36.95633,357.2572,290.8251
36.95633,357.2572,290.8251
37.6793,357.1492,291.047
38.38879,356.9774,291.2732
39.07438,356.8157,291.475
39.07438,356.8157,291.475
39.71703,356.6882,291.6263
40.28702,356.6246,291.7481
