Yaw,Pitch,Roll
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
356.0854,359.3503,282.651
351.2911,358.7552,285.1116
351.2911,358.7552,285.1116
349.9365,358.6227,285.9152
348.56,358.4136,286.6342
347.1514,358.2805,287.3898
347.1514,358.2805,287.3898
345.6227,358.1178,288.2602
344.1513,357.9514,288.982
344.1513,357.9514,288.982
342.6631,357.8625,289.8821
341.139,357.7193,290.8443
339.7671,357.6,291.6139
339.7671,357.6,291.6139
338.4214,357.5681,292.4679
337.0593,357.4948,293.3087
337.0593,357.4948,293.3087
335.7581,357.5083,294.0276
334.4523,357.5469,294.7148
333.169,357.627,295.2762
333.169,357.627,295.2762
331.9297,357.7755,295.7253
330.6347,357.9551,296.0856
330.6347,357.9551,296.0856
329.3684,358.1781,296.2603
328.102,358.4264,296.2861
328.102,358.4264,296.2861
326.2491,358.7582,296.0757
326.2491,358.7582,296.0757
324.53,359.0462,295.6007
324.53,359.0462,295.6007
323.4623,359.2401,295.1144
323.4623,359.2401,295.1144
322.0726,359.5122,294.1194
321.2524,359.64,293.3683
320.538,359.7379,292.5144
320.538,359.7379,292.5144
319.954,359.8163,291.5337
319.4075,359.9381,290.4758
319.4075,359.9381,290.4758
318.9322,359.9808,289.4282
318.5603,-0.002592057,288.2926
318.2256,0.04108188,287.1653
318.2256,0.04108188,287.1653
317.9324,0.06499439,286.0152
317.6683,0.1446414,284.8564
317.3746,0.3010966,283.7114
317.3746,0.3010966,283.7114
317.1849,0.2749145,282.5152
317.1849,0.2749145,282.5152
316.9747,0.4007766,281.3484
316.7513,0.5318591,280.1899
316.5375,0.6445666,279.0798
316.3564,0.7270727,277.9981
316.3564,0.7270727,277.9981
316.1558,0.8179242,276.9779
315.9572,0.8783882,275.9786
315.9572,0.8783882,275.9786
315.7911,0.9119849,275.0052
315.6633,1.021579,274.1047
315.532,1.233416,273.411
315.532,1.233416,273.411
315.3655,1.596248,272.8376
315.127,2.01141,272.2144
315.127,2.01141,272.2144
314.9388,2.435901,271.4959
314.9388,2.435901,271.4959
314.7632,3.158829,270.1807
314.7929,3.677667,269.1639
314.7929,3.677667,269.1639
314.9905,4.241105,268.2112
315.6322,4.769845,267.4126
316.862,5.470406,266.9902
316.862,5.470406,266.9902
318.8408,6.27599,267.0806
321.9492,7.17148,267.9144
325.8719,8.969069,269.5673
325.8719,8.969069,269.5673
330.8828,10.85089,271.8857
337.8441,13.04342,275.4037
337.8441,13.04342,275.4037
346.2047,15.61145,279.2267
356.146,16.92311,284.3149
6.82386,18.20423,289.9567
6.82386,18.20423,289.9567
17.85486,19.3767,295.4163
28.90842,20.5276,300.7617
28.90842,20.5276,300.7617
38.70798,21.7877,305.4162
44.05376,21.84691,307.4084
44.73153,20.74979,306.947
44.73153,20.74979,306.947
41.78367,19.46971,304.7582
38.35684,18.78185,302.9623
38.35684,18.78185,302.9623
34.72491,18.03453,301.5797
31.82728,17.41801,300.6398
29.9818,16.52182,300.0496
29.9818,16.52182,300.0496
29.34801,16.36391,299.9381
29.27078,15.87213,299.7396
29.29216,15.36777,299.3072
29.29216,15.36777,299.3072
29.33993,14.81085,298.7148
29.33993,14.81085,298.7148
29.32094,14.38348,297.846
29.13198,13.77628,296.7914
28.97485,13.5028,295.985
29.04855,13.34665,295.6041
29.04855,13.34665,295.6041
29.09856,13.26971,295.2555
29.22376,13.18676,295.0497
29.22376,13.18676,295.0497
29.4088,13.22755,295.0498
29.53563,13.30837,295.0722
29.65942,13.23952,295.0732
29.65942,13.23952,295.0732
29.97758,13.14614,295.0295
29.97758,13.14614,295.0295
30.04396,13.07542,294.8767
30.0886,12.99214,294.7531
30.09716,12.95355,294.6828
30.09716,12.95355,294.6828
30.09716,12.95355,294.6828
30.09716,12.95355,294.6828
30.09716,12.95355,294.6828
30.09716,12.95355,294.6828
30.09716,12.95355,294.6828
30.11011,12.67412,293.9644
30.03806,12.63517,293.8227
30.03806,12.63517,293.8227
30.03,12.60153,293.7674
30.00287,12.62107,293.6984
29.97281,12.55799,293.5968
29.97281,12.55799,293.5968
30.02052,12.54927,293.6049
30.02052,12.54927,293.6049
30.036,12.54967,293.6412
30.036,12.54967,293.6412
30.0189,12.42601,293.6728
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
29.96986,12.46451,293.6811
