Yaw,Pitch,Roll
356.1964,0.9726931,276.4572
356.1964,0.9726931,276.4572
356.2111,0.966989,276.4094
356.2053,0.9666808,276.4083
356.1949,0.9736223,276.4027
356.1864,0.9724564,276.4047
356.1696,0.9765796,276.3697
356.1696,0.9765796,276.3697
356.1619,0.9790999,276.3188
356.1594,0.9758859,276.332
356.1772,0.9804484,276.3441
356.2045,0.978401,276.3158
356.2045,0.978401,276.3158
356.2298,0.9797953,276.2684
356.2215,1.002273,276.3182
356.2128,1.005422,276.3354
356.2128,1.005422,276.3354
356.1982,1.002928,276.3602
356.1819,1.013646,276.3623
356.1649,1.024365,276.3456
356.1424,1.01358,276.336
356.1449,0.9797897,276.2866
356.1535,0.9804578,276.2685
356.1942,0.9686968,276.2522
356.1942,0.9686968,276.2522
356.2335,0.9666494,276.2708
356.2434,0.9696279,276.287
356.2397,0.9647286,276.2987
356.2105,0.9676994,276.2887
356.196,0.9790084,276.2641
356.1593,0.9815084,276.2952
356.1593,0.9815084,276.2952
356.15,0.9848361,276.3467
356.1626,0.9900569,276.3617
356.1711,0.9832855,276.3893
356.181,0.9826484,276.4163
356.181,0.9826484,276.4163
356.181,0.9826484,276.4163
356.181,0.9826484,276.4163
356.181,0.9826484,276.4163
356.1794,0.9755118,276.4204
356.1794,0.9755118,276.4204
356.197,0.9656137,276.3967
356.202,0.962337,276.4001
356.2076,0.964883,276.3778
356.2193,0.9597583,276.3765
356.2193,0.9597583,276.3765
356.2165,0.9674841,276.4306
356.2078,0.9726139,276.489
356.2078,0.9726139,276.489
356.1948,0.9682984,276.4938
356.1834,0.9504059,276.4555
356.1833,0.9439889,276.4469
356.1902,0.924553,276.4194
356.205,0.9072276,276.384
356.205,0.9072276,276.384
356.2254,0.8974521,276.3913
356.2449,0.8926749,276.3773
356.2613,0.8749095,276.3758
356.2708,0.8679082,276.3998
356.2708,0.8679082,276.3998
356.2605,0.8707742,276.3666
356.256,0.8747643,276.3619
356.2256,0.8885248,276.3578
356.2004,0.8841038,276.3429
356.1985,0.8674948,276.347
356.208,0.8331923,276.3317
356.208,0.8331923,276.3317
356.2345,0.8399117,276.3239
356.2729,0.8265027,276.2351
356.2784,0.8299615,276.2559
356.2888,0.8281503,276.2845
356.2932,0.8232571,276.2712
356.2733,0.8426049,276.2416
356.2733,0.8426049,276.2416
356.2322,0.8582327,276.2344
356.2322,0.8582327,276.2344
356.2266,0.8591097,276.2423
356.2165,0.8903528,276.3019
356.2165,0.8903528,276.3019
356.2281,0.8780609,276.3602
356.2238,0.8869481,276.3754
356.2238,0.8869481,276.3754
356.2249,0.9033599,276.3503
356.2112,0.8855575,276.336
356.1689,0.8596799,276.3699
356.0717,0.8511502,276.4236
356.0717,0.8511502,276.4236
355.9387,0.8398637,276.4881
355.9387,0.8398637,276.4881
355.4031,0.8010263,276.7159
354.8605,0.7499119,276.88
354.8605,0.7499119,276.88
354.5098,0.7274483,277.0045
353.6805,0.6674407,277.3682
352.7155,0.5874144,277.7985
351.6667,0.4832642,278.2303
351.6667,0.4832642,278.2303
350.5471,0.3847167,278.6683
349.9779,0.3226116,278.8788
348.8523,0.2311137,279.3414
348.2953,0.1905737,279.6138
347.186,0.1338266,280.1092
346.1396,0.08431104,280.5368
346.1396,0.08431104,280.5368
345.1423,0.03779571,280.8974
344.1261,0.07848744,281.3899
343.6523,0.08830243,281.5853
342.7611,0.1258318,282.003
341.9366,0.2224692,282.4116
341.9366,0.2224692,282.4116
340.8555,0.4054656,282.9716
340.8555,0.4054656,282.9716
340.3206,0.5027374,283.218
340.0952,0.5610125,283.3126
339.6512,0.7438729,283.5122
339.6512,0.7438729,283.5122
339.567,0.7990009,283.5451
339.4479,0.8989282,283.6205
339.4479,0.8989282,283.6205
339.4479,0.8989282,283.6205
339.4479,0.8989282,283.6205
339.4479,0.8989282,283.6205
339.4479,0.8989282,283.6205
339.4479,0.8989282,283.6205
339.4479,0.8989282,283.6205
339.7985,1.119462,284.303
339.9248,1.115606,284.3332
340.1134,1.088091,284.3164
340.1134,1.088091,284.3164
340.3253,1.026647,284.2678
340.5973,0.95724,284.2089
340.9656,0.8634446,284.0442
341.1641,0.8265849,284.0128
341.5923,0.762059,283.9418
341.5923,0.762059,283.9418
342.068,0.6752874,283.7704
342.6002,0.5615461,283.5372
342.8714,0.5135671,283.4168
343.3907,0.477271,283.2323
343.3907,0.477271,283.2323
343.9286,0.4068573,283.0353
344.4809,0.2977387,282.8158
345.0344,0.2130192,282.5608
345.0344,0.2130192,282.5608
345.5984,0.1484991,282.209
346.1766,0.08851629,281.7779
346.1766,0.08851629,281.7779
346.7874,0.02972157,281.3194
347.435,359.9539,280.7931
347.7767,359.92,280.5377
348.4644,359.8686,280.0583
348.4644,359.8686,280.0583
349.1483,359.8098,279.6248
