Yaw,Pitch,Roll
351.1284,4.382825,276.2789
351.1124,4.389684,276.2945
351.0843,4.366612,276.3132
351.0808,4.372767,276.3249
351.0808,4.372767,276.3249
351.0761,4.381163,276.3416
351.0847,4.379075,276.3402
351.082,4.386788,276.3318
351.0999,4.403681,276.2971
351.1052,4.400814,276.2862
351.1068,4.389822,276.2823
351.116,4.368279,276.2889
351.1354,4.344928,276.3119
351.1665,4.309149,276.3307
351.1846,4.296781,276.334
351.1846,4.296781,276.334
351.2126,4.298968,276.3378
351.236,4.311799,276.3336
351.236,4.311799,276.3336
351.2406,4.284835,276.3329
351.234,4.290152,276.3277
351.2267,4.28117,276.3215
351.2159,4.261745,276.3148
351.2159,4.261745,276.3148
351.2051,4.239297,276.302
351.2351,4.261053,276.2638
351.2478,4.327306,276.2597
351.2421,4.336114,276.2393
351.2251,4.320686,276.22
351.2055,4.204689,276.1906
351.2055,4.204689,276.1906
351.214,4.212016,276.1452
351.2347,4.224957,276.1138
351.2491,4.243282,276.0471
351.267,4.263432,276.0173
351.267,4.263432,276.0173
351.2694,4.259147,276.0127
351.2692,4.260021,275.9998
351.2686,4.25252,275.9987
351.2586,4.260166,276.0025
351.2586,4.260166,276.0025
351.2562,4.271695,276.0546
351.2471,4.252756,276.07
351.2471,4.252756,276.07
351.2396,4.244383,276.0451
351.2518,4.244618,276.012
351.2755,4.235615,275.9914
351.2946,4.230184,275.9873
351.2946,4.230184,275.9873
351.3046,4.218054,275.9866
351.3514,4.165305,276.0165
351.3514,4.165305,276.0165
351.3925,4.146683,276.0337
351.4241,4.143848,276.0327
351.4241,4.143848,276.0327
351.4589,4.148929,276.0091
351.4734,4.143836,275.9781
351.4734,4.143836,275.9781
351.4734,4.143836,275.9781
351.4734,4.143836,275.9781
351.5019,4.123646,275.8969
351.5587,4.093,275.8401
351.5679,4.118329,275.8442
351.5771,4.157132,275.8513
351.5771,4.157132,275.8513
351.5821,4.12991,275.8689
351.5631,4.02329,275.805
351.5631,4.02329,275.805
351.5639,4.034837,275.775
351.5635,4.046494,275.7437
351.5635,4.046494,275.7437
351.5635,4.046494,275.7437
351.5635,4.046494,275.7437
351.5532,4.051374,275.4993
351.5532,4.051374,275.4993
351.5656,4.036336,275.4429
351.583,4.017935,275.3929
351.5776,4.018678,275.3938
351.5776,4.018678,275.3938
351.5816,4.021524,275.3949
351.567,3.974249,275.4308
351.5511,4.003955,275.4348
351.5015,4.017016,275.4231
351.5015,4.017016,275.4231
351.4461,4.016393,275.4467
351.4174,4.028535,275.4722
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
351.3757,4.013788,275.508
346.8885,5.180011,275.8672
346.8885,5.180011,275.8672
346.6805,5.299778,275.9083
346.6805,5.299778,275.9083
346.614,5.288747,275.9337
346.5573,5.285687,275.9422
346.5334,5.356091,275.9573
346.5425,5.385724,275.9635
346.5425,5.385724,275.9635
346.6436,5.419104,276.0104
346.7343,5.461071,276.0712
346.8526,5.447638,276.0851
346.9281,5.484104,276.0604
346.9554,5.49115,276.0441
347.0118,5.478608,276.0063
347.0549,5.461976,276.0086
347.0638,5.464146,276.0193
347.0638,5.464146,276.0193
347.0786,5.4594,276.0163
347.0814,5.460418,276.0165
347.0768,5.470839,276.0279
347.0724,5.469459,276.0293
347.0582,5.473438,276.046
347.0482,5.468647,276.0637
347.0419,5.460904,276.0764
347.0547,5.454611,276.095
347.0619,5.469842,276.1075
347.0952,5.49502,276.1263
347.1024,5.524956,276.1486
347.1096,5.554694,276.1691
347.1078,5.571681,276.1828
347.1026,5.573017,276.1936
347.1024,5.500547,276.1845
347.1024,5.500547,276.1845
347.1122,5.491333,276.1711
347.1122,5.491333,276.1711
347.1381,5.49607,276.1589
347.1676,5.504382,276.154
347.1676,5.504382,276.154
347.2461,5.52563,276.1825
347.3256,5.486569,276.2894
347.3578,5.490695,276.2378
347.4396,5.486264,276.2289
347.5152,5.512172,276.2623
347.5152,5.512172,276.2623
347.6472,5.429793,276.3403
347.6818,5.427314,276.333
347.7678,5.560701,276.2785
347.8414,5.669429,276.2672
347.8414,5.669429,276.2672
348.0461,5.704017,276.1767
348.0461,5.704017,276.1767
348.1614,5.629003,276.0779
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
348.1941,5.535269,275.9944
