Yaw,Pitch,Roll
358.3697,354.6424,278.8344
358.3697,354.6424,278.8344
358.3697,354.6424,278.8344
358.3697,354.6424,278.8344
358.3697,354.6424,278.8344
358.3697,354.6424,278.8344
358.3697,354.6424,278.8344
358.3559,354.6836,278.7155
358.3559,354.6836,278.7155
358.3591,354.6902,278.7687
358.3611,354.6979,278.7774
358.3791,354.6839,278.8386
358.3791,354.6839,278.8386
358.3758,354.6839,278.8492
358.3758,354.6839,278.8492
358.3726,354.6869,278.8444
358.3726,354.6869,278.8444
358.3726,354.6869,278.8444
358.3726,354.6869,278.8444
358.3726,354.6869,278.8444
358.3726,354.6869,278.8444
358.3726,354.6869,278.8444
358.3726,354.6869,278.8444
358.3726,354.6869,278.8444
358.3726,354.6869,278.8444
358.4662,354.538,278.8561
358.4662,354.538,278.8561
358.473,354.5447,278.8318
358.5013,354.526,278.8804
358.5013,354.526,278.8804
358.5324,354.5344,278.8823
358.5512,354.5289,278.8558
358.5512,354.5289,278.8558
358.5592,354.5452,278.8478
358.5473,354.5548,278.8771
358.5473,354.5548,278.8771
358.5473,354.5548,278.8771
358.5473,354.5548,278.8771
358.4449,354.5813,278.9791
358.3998,354.5839,278.9953
358.3998,354.5839,278.9953
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
358.3807,354.581,279.0012
