Yaw,Pitch,Roll
0.3152314,358.2188,277.1735
0.3152314,358.2188,277.1735
0.3041179,358.2063,277.1679
0.299714,358.2047,277.1712
0.299714,358.2047,277.1712
0.299714,358.2047,277.1712
0.299714,358.2047,277.1712
0.299714,358.2047,277.1712
0.299714,358.2047,277.1712
0.299714,358.2047,277.1712
0.258072,358.2174,277.1382
0.2914307,358.2159,277.1
0.2914307,358.2159,277.1
0.3034604,358.2183,277.0915
0.3034604,358.2183,277.0915
0.3034604,358.2183,277.0915
0.3034604,358.2183,277.0915
0.3034604,358.2183,277.0915
0.3034604,358.2183,277.0915
0.3034604,358.2183,277.0915
0.3034604,358.2183,277.0915
0.3034604,358.2183,277.0915
0.3034604,358.2183,277.0915
0.3151629,358.219,277.2276
0.3151629,358.219,277.2276
0.3021954,358.221,277.251
0.3021954,358.221,277.251
0.2888482,358.2062,277.2899
0.2951262,358.2142,277.2983
0.305334,358.2146,277.3012
0.305334,358.2146,277.3012
0.317752,358.2101,277.3075
0.3199024,358.215,277.3273
0.3199024,358.215,277.3273
0.3199024,358.215,277.3273
0.3199024,358.215,277.3273
0.3199024,358.215,277.3273
0.3266857,358.1776,277.3988
0.3266857,358.1776,277.3988
0.3277004,358.1832,277.3831
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3375913,358.217,277.364
0.3233068,358.1996,277.3744
0.3233068,358.1996,277.3744
0.367461,358.2072,277.3762
0.367461,358.2072,277.3762
0.3816809,358.195,277.3787
0.3855312,358.1849,277.3947
0.3855312,358.1849,277.3947
0.3855312,358.1849,277.3947
0.3855312,358.1849,277.3947
0.3855312,358.1849,277.3947
0.3855312,358.1849,277.3947
0.3855312,358.1849,277.3947
0.3855312,358.1849,277.3947
0.3855312,358.1849,277.3947
0.3393447,358.2353,277.5593
0.3393447,358.2353,277.5593
0.3637975,358.245,277.5814
0.3851449,358.282,277.6339
0.3851449,358.282,277.6339
0.3851449,358.282,277.6339
0.3851449,358.282,277.6339
0.3851449,358.282,277.6339
0.3851449,358.282,277.6339
0.7860749,358.4699,278.2873
0.7860749,358.4699,278.2873
0.7860749,358.4699,278.2873
0.7860749,358.4699,278.2873
1.462013,358.7679,278.8587
1.693262,358.786,278.9724
1.693262,358.786,278.9724
1.841812,358.8077,278.9926
1.977426,358.8777,279.1042
2.053913,358.873,279.1823
2.053913,358.873,279.1823
2.082685,358.8971,279.1638
2.072444,358.9224,279.1753
2.072444,358.9224,279.1753
2.047746,358.9425,279.2762
2.032547,358.9714,279.2726
2.007902,358.9832,279.2199
2.007902,358.9832,279.2199
1.973827,358.9998,279.2206
1.956767,359.004,279.2166
1.956767,359.004,279.2166
1.954075,359.022,279.1609
1.941123,359.0109,279.1095
1.921688,358.968,279.104
1.921688,358.968,279.104
1.928718,358.9523,279.1144
1.949148,358.9674,279.0854
1.949148,358.9674,279.0854
1.949148,358.9674,279.0854
1.949148,358.9674,279.0854
1.949148,358.9674,279.0854
1.949148,358.9674,279.0854
1.949148,358.9674,279.0854
1.856519,358.9497,279.0542
1.831775,358.9594,279.0322
1.831775,358.9594,279.0322
1.815866,358.9611,279.0366
1.815866,358.9611,279.0366
1.815866,358.9611,279.0366
1.815866,358.9611,279.0366
1.815866,358.9611,279.0366
1.815866,358.9611,279.0366
1.815866,358.9611,279.0366
1.861355,358.9314,278.9619
1.886916,358.9227,278.9487
1.886916,358.9227,278.9487
1.886916,358.9227,278.9487
1.886916,358.9227,278.9487
1.886916,358.9227,278.9487
1.886916,358.9227,278.9487
1.929325,358.9121,278.9756
1.904287,358.8812,278.9942
1.904287,358.8812,278.9942
1.868313,358.8619,278.9946
1.844748,358.866,278.9767
1.831346,358.8469,278.9799
1.831346,358.8469,278.9799
1.825627,358.8318,278.9691
1.825627,358.8318,278.9691
1.866441,358.7475,278.8854
1.866441,358.7475,278.8854
1.887514,358.7179,278.8958
1.91931,358.6753,278.8581
1.91931,358.6753,278.8581
1.945883,358.5874,278.769
1.956492,358.5437,278.7193
1.956492,358.5437,278.7193
1.956492,358.5437,278.7193
