Yaw,Pitch,Roll
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.5629799,1.412086,279.9989
0.6453478,1.420722,280.0701
0.6453478,1.420722,280.0701
0.6270432,1.434958,280.0535
0.5832176,1.469934,280.0459
0.5626341,1.472579,280.0677
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5684086,1.430275,280.0255
0.5607001,1.490307,280.033
0.5603667,1.489659,280.0227
0.5523449,1.498885,280.0356
0.5505088,1.50442,280.0384
0.5505088,1.50442,280.0384
0.5505088,1.50442,280.0384
0.5505088,1.50442,280.0384
0.563256,1.514851,279.9913
0.5403929,1.518304,280.002
0.5253959,1.511779,279.9712
0.5253959,1.511779,279.9712
0.5244023,1.494475,279.9377
0.5244023,1.494475,279.9377
0.5244023,1.494475,279.9377
0.5244023,1.494475,279.9377
0.5188297,1.473588,279.9661
0.5029873,1.482322,279.9902
0.4919253,1.488327,280.0064
0.4539702,1.499335,280.0618
0.4539702,1.499335,280.0618
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4288491,1.508931,280.0882
0.4884098,1.529603,280.0397
0.5127158,1.52506,280.0361
0.5199186,1.5349,279.9932
0.5157294,1.537807,279.9699
0.5019391,1.534553,279.9452
0.5019391,1.534553,279.9452
0.4775165,1.523703,279.9624
0.4653192,1.526202,279.9938
0.460847,1.52398,280.0219
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.4603695,1.53345,280.0431
0.436941,1.619771,279.9033
0.440316,1.62579,279.9078
0.4350346,1.633195,279.9229
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.4270214,1.633977,279.9346
0.3764951,1.666406,279.9794
0.3635101,1.675554,279.9448
0.3635101,1.675554,279.9448
0.3557509,1.663518,279.9332
0.3557509,1.663518,279.9332
0.3557509,1.663518,279.9332
0.3693505,1.623344,279.9199
0.3693505,1.623344,279.9199
0.3693505,1.623344,279.9199
0.3693505,1.623344,279.9199
0.3747759,1.638398,279.8576
0.3555397,1.618471,279.8135
0.3555397,1.618471,279.8135
0.3555397,1.618471,279.8135
0.3555397,1.618471,279.8135
0.3555397,1.618471,279.8135
0.3555397,1.618471,279.8135
0.3555397,1.618471,279.8135
0.3555397,1.618471,279.8135
0.3555397,1.618471,279.8135
0.3555397,1.618471,279.8135
0.354246,1.637274,279.8532
0.354246,1.637274,279.8532
0.3536723,1.62784,279.8471
0.3469575,1.618946,279.9085
0.3489484,1.618396,279.8867
0.3489484,1.618396,279.8867
0.3489484,1.618396,279.8867
0.3489484,1.618396,279.8867
0.3489484,1.618396,279.8867
0.3489484,1.618396,279.8867
0.3489484,1.618396,279.8867
0.3489484,1.618396,279.8867
0.3489484,1.618396,279.8867
0.3489484,1.618396,279.8867
0.3617574,1.574933,279.8382
0.3609419,1.583038,279.8647
0.3646438,1.580661,279.8681
0.3646438,1.580661,279.8681
0.3850085,1.567659,279.8659
0.3947672,1.565848,279.8641
0.4058491,1.562997,279.817
0.4058491,1.562997,279.817
0.4058491,1.562997,279.817
0.4058491,1.562997,279.817
0.4058491,1.562997,279.817
0.339453,1.623256,279.7957
0.3312241,1.59856,279.7899
0.3312241,1.59856,279.7899
0.3312241,1.59856,279.7899
0.3312241,1.59856,279.7899
0.3312241,1.59856,279.7899
