Yaw,Pitch,Roll
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.8448,4.502914,276.2968
354.7852,4.496609,276.173
354.7852,4.496609,276.173
354.7852,4.496609,276.173
354.7852,4.496609,276.173
354.7852,4.496609,276.173
354.282,4.508117,276.0813
354.282,4.508117,276.0813
354.282,4.508117,276.0813
354.282,4.508117,276.0813
354.282,4.508117,276.0813
354.282,4.508117,276.0813
354.282,4.508117,276.0813
354.282,4.508117,276.0813
352.6828,4.684937,276.7758
352.4178,4.726253,276.9344
352.1305,4.722418,277.0232
352.1305,4.722418,277.0232
352.1305,4.722418,277.0232
352.1305,4.722418,277.0232
352.1305,4.722418,277.0232
352.1305,4.722418,277.0232
348.5806,4.672105,277.9583
347.4957,4.749488,278.2209
347.4957,4.749488,278.2209
346.9769,4.771429,278.3485
345.437,4.745018,278.7737
344.8867,4.727994,278.9054
344.3635,4.735793,279.0691
343.8241,4.73868,279.1974
343.8241,4.73868,279.1974
343.8241,4.73868,279.1974
341.8022,4.738797,279.8034
341.8022,4.738797,279.8034
341.8022,4.738797,279.8034
339.0663,4.874283,280.7554
338.6472,4.871094,280.9122
338.6472,4.871094,280.9122
