Yaw,Pitch,Roll
358.6303,0.7519177,277.8862
358.6303,0.7519177,277.8862
358.4973,0.6670308,277.9091
358.4836,0.69924,277.9546
358.5302,0.6934659,277.9832
358.5481,0.7414402,277.985
358.5691,0.8240493,277.9916
358.5691,0.8240493,277.9916
358.6155,0.8456387,277.9998
358.6552,0.8755782,277.9968
358.6619,0.892305,278.0056
358.7195,0.8647016,278.0557
358.7501,0.8503308,278.0639
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
358.7469,0.8441115,278.0512
353.5601,0.08562072,280.9347
353.0089,0.007603708,281.1869
351.738,359.9402,281.6986
351.0341,359.8712,281.9627
350.3189,359.7394,282.2256
348.7892,359.4266,282.7513
347.133,359.2369,283.2572
345.4406,359.0209,283.7407
345.4406,359.0209,283.7407
343.6337,358.8941,284.2603
342.6931,358.8496,284.543
340.9056,358.6448,285.1318
339.1338,358.5128,285.7743
338.2245,358.4948,286.1092
336.4421,358.4052,286.8168
336.4421,358.4052,286.8168
334.7192,358.2814,287.5256
333.054,358.2516,288.2527
332.2244,358.2501,288.6149
330.6019,358.2411,289.299
330.6019,358.2411,289.299
329.8192,358.2351,289.6138
327.6667,358.2625,290.4745
327.0149,358.3063,290.7214
325.8589,358.3737,291.1489
324.8547,358.4477,291.5282
324.4009,358.4824,291.6975
323.6547,358.507,291.9641
323.3642,358.5256,292.0564
323.3642,358.5256,292.0564
323.1034,358.5937,292.1407
322.8606,358.6788,292.2195
322.8606,358.6788,292.2195
322.287,358.7942,292.4517
322.1683,358.8806,292.4801
322.0511,358.9104,292.5097
321.9567,358.9038,292.5692
321.9795,358.9376,292.5828
321.9795,358.9376,292.5828
322.058,359.1322,292.5831
322.0412,359.2033,292.5229
322.0033,359.2539,292.4935
321.9684,359.3003,292.475
321.9427,359.3253,292.4706
321.8971,359.408,292.4404
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
321.805,359.4657,292.4185
329.2572,358.5907,291.9761
329.2572,358.5907,291.9761
333.3441,358.3587,291.8658
333.3441,358.3587,291.8658
336.3939,358.199,291.8907
339.6104,358.0251,291.9108
343.0114,357.8604,291.9216
344.7874,357.8168,291.9734
344.7874,357.8168,291.9734
348.4387,357.7383,292.0573
352.3718,357.5804,291.8694
354.4104,357.5558,291.7472
358.5868,357.3648,291.6751
2.78896,357.1469,291.5316
2.78896,357.1469,291.5316
7.008431,357.0417,291.3329
11.08208,356.8358,291.226
14.80388,356.5651,291.0027
14.80388,356.5651,291.0027
18.15005,356.6101,290.8672
21.19081,356.5582,290.8056
23.81104,356.3513,291.0938
23.81104,356.3513,291.0938
26.8656,356.7126,290.9102
26.8656,356.7126,290.9102
27.62637,357.0152,290.8751
28.79788,357.3202,290.8802
29.88254,356.7215,292.7251
30.49186,356.7504,292.8155
30.49186,356.7504,292.8155
30.84747,356.8118,292.984
31.01392,356.7383,293.1365
31.01392,356.7383,293.1365
31.10455,356.698,293.2682
31.14412,356.6277,293.3912
31.13779,356.582,293.4507
31.10339,356.5082,293.5446
31.08058,356.4567,293.6025
31.05165,356.384,293.7104
31.02246,356.3221,293.7781
31.02246,356.3221,293.7781
30.99415,356.2934,293.7722
30.91303,356.2226,293.7911
30.91303,356.2226,293.7911
30.87697,356.0918,293.8369
30.87697,356.0918,293.8369
30.88962,356.0819,293.8265
30.87065,356.0676,293.8173
30.82243,356.0226,293.8203
30.82442,356.0064,293.8352
30.82442,356.0064,293.8352
30.84166,356.0766,293.8867
30.81684,356.0792,293.9608
30.81289,356.0806,293.9825
30.78156,356.1166,294.0071
30.78156,356.1166,294.0071
30.74789,356.1054,294.0303
30.73351,356.1114,294.0393
30.7155,356.092,294.038
30.70673,356.0581,294.0608
30.70291,356.0511,294.0693
30.6895,356.0486,294.0753
30.6895,356.0486,294.0753
30.67495,356.0555,294.0983
30.67567,356.0711,294.1018
30.67723,356.0723,294.1164
30.68212,356.0479,294.1423
30.69782,356.0338,294.1391
30.74539,356.0591,294.08
30.75559,356.0638,294.0472
30.79123,356.0143,293.9674
30.83619,356.005,293.9011
30.91485,356.0151,293.7595
30.91485,356.0151,293.7595
30.98111,355.9743,293.5956
31.06246,355.9355,293.3742
31.06246,355.9355,293.3742
31.15031,355.9036,293.0326
31.26337,355.9111,292.5695
31.41635,355.9335,291.9153
31.50771,355.9399,291.4964
31.71179,355.967,290.4841
31.71179,355.967,290.4841
32.07197,355.8943,288.5405
