Yaw,Pitch,Roll
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.8872,0.1195628,276.7216
354.9248,0.1102923,276.4567
354.9291,0.08179539,276.5092
354.9214,0.06251226,276.521
354.9198,0.05695269,276.4996
354.9112,0.05621609,276.4942
354.8992,0.05763976,276.5019
354.8992,0.05763976,276.5019
354.8992,0.05763976,276.5019
354.5145,0.07649643,276.7275
353.571,0.0550381,276.8651
352.8938,359.9862,276.9482
352.1138,359.9043,277.0381
350.4049,359.8939,277.3154
349.4302,359.9478,277.5101
347.2549,359.9417,277.9733
346.1295,359.8924,278.211
343.6306,359.9076,278.7
342.2415,359.8846,279.0341
340.8087,359.8111,279.4102
337.732,359.6956,280.256
335.9421,359.766,280.763
331.7968,359.8312,282.062
329.5483,359.7646,282.7882
325.1938,359.5728,284.2357
323.1283,359.556,284.9019
321.2054,359.5643,285.5544
317.6133,359.9219,286.6896
315.9615,0.1804949,287.1826
313.0104,0.4506708,287.9775
313.0104,0.4506708,287.9775
309.4387,1.172834,288.7162
308.429,1.456047,288.8706
306.8616,1.899779,289.0768
306.2261,2.031242,289.1034
305.6516,2.182898,289.1577
304.683,2.518736,289.3544
304.3155,2.606869,289.4508
303.8958,2.792428,289.4094
303.7199,2.889288,289.3974
303.5438,2.973141,289.4254
303.3364,3.050663,289.3662
303.2973,3.282485,289.1863
303.268,3.337319,289.1618
303.2349,3.30169,289.1285
303.2349,3.30169,289.1285
303.2349,3.30169,289.1285
303.3829,3.438797,288.824
303.4666,3.435673,288.7852
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
303.5543,3.509734,288.7381
