Yaw,Pitch,Roll
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
358.9709,1.698341,291.0486
359.5411,1.257126,290.5019
359.5411,1.257126,290.5019
359.5411,1.257126,290.5019
359.5411,1.257126,290.5019
359.5411,1.257126,290.5019
359.5411,1.257126,290.5019
359.5411,1.257126,290.5019
359.5411,1.257126,290.5019
359.5411,1.257126,290.5019
359.5411,1.257126,290.5019
356.5452,1.798821,290.984
355.9564,1.803441,291.1314
355.9564,1.803441,291.1314
355.9564,1.803441,291.1314
352.1851,2.250843,292.3986
351.2206,2.285992,292.693
350.3367,2.381156,292.9314
350.3367,2.381156,292.9314
347.0686,2.725061,293.6526
346.3614,2.785621,294.2791
344.5734,3.031402,294.1071
343.9061,3.101344,294.2402
342.6662,3.115779,294.2893
342.0826,3.112361,294.3085
341.4812,3.201407,294.449
340.9329,3.279485,294.5724
339.9236,3.354697,294.7032
339.4272,3.373294,294.7792
338.5009,3.305254,294.8428
338.0955,3.303054,294.8605
337.3476,3.27368,294.9143
336.9978,3.245426,294.9532
336.3773,3.164756,295.0138
336.1135,3.105761,295.0147
335.6561,3.031276,295.0303
335.4454,2.997014,295.0817
335.0977,2.880782,295.1451
334.9538,2.853962,295.1468
334.7361,2.792507,295.1479
334.6566,2.715405,295.1514
334.5446,2.590548,295.1763
334.52,2.538037,295.182
334.5058,2.483227,295.1951
334.4985,2.438035,295.2014
334.6318,2.077734,294.9263
334.6187,2.014994,294.8639
334.6732,1.948441,294.8672
334.6654,1.943546,294.9477
334.5786,1.825351,295.1042
334.5159,1.745993,295.1509
334.3775,1.61891,295.2015
334.3013,1.57665,295.2181
334.1704,1.492471,295.2297
334.1277,1.454929,295.2191
334.0843,1.457684,295.3046
334.0682,1.470867,295.3606
334.0061,0.5102295,293.958
334.0281,0.4216826,293.849
334.0397,0.3751372,293.805
334.0635,0.3357834,293.7661
334.5186,359.6895,293.1497
334.4517,359.7285,293.0588
334.3981,359.852,293.1238
334.414,359.8443,293.1754
334.461,359.8512,293.2404
334.483,359.8679,293.2454
334.4751,359.928,293.3132
334.5166,359.7962,293.2849
334.5276,359.7897,293.2225
334.5341,359.9444,293.1945
334.5405,0.000162217,293.1854
334.5872,359.9799,293.1606
334.619,359.9729,293.1481
334.6704,359.9684,293.1312
334.702,359.9838,293.114
334.6158,0.2424929,293.3166
334.7156,0.07198936,293.3792
334.7426,0.04980746,293.4012
334.8008,0.05063818,293.4132
334.8246,0.04316339,293.3953
334.8548,0.03175355,293.379
334.8685,0.02619463,293.3731
334.8867,0.02443756,293.3491
334.8839,0.02256097,293.3094
334.8745,0.005891038,293.2704
334.8752,359.9848,293.1945
334.8698,359.9829,293.1514
334.85,359.9482,293.0492
334.8529,359.9495,293.0041
334.8556,359.9893,292.9585
334.8656,359.9838,292.9571
334.8807,359.9627,292.9678
334.8969,359.9501,292.9783
334.9208,359.9489,292.9836
334.9516,359.9413,293.009
335.032,359.8371,292.9059
335.0244,359.8846,292.8861
335.0281,359.8938,292.8815
335.032,359.8848,292.872
335.0348,359.8166,292.7913
335.0542,359.814,292.7435
