Yaw,Pitch,Roll
355.9617,2.075199,272.8622
355.9617,2.075199,272.8622
355.9672,2.098264,272.875
355.973,2.10671,272.8971
355.9769,2.102255,272.9123
355.9769,2.102255,272.9123
355.9878,2.084101,272.9129
356.0077,2.072487,272.9192
356.019,2.071522,272.9289
356.0362,2.066917,272.9313
356.043,2.067796,272.9349
356.0497,2.064486,272.9507
356.0497,2.064486,272.9507
356.0389,2.061851,272.9667
356.0072,2.050103,272.9845
355.9536,2.039893,273.035
355.8435,2.037382,273.1761
355.8435,2.037382,273.1761
355.8435,2.037382,273.1761
355.5605,2.019285,273.4599
355.212,1.989818,273.7353
354.7654,1.942016,274.0896
354.7654,1.942016,274.0896
354.2275,1.933837,274.5574
353.9087,1.944525,274.9687
353.1497,1.789153,275.8934
352.3512,1.628723,276.64
352.3512,1.628723,276.64
351.4111,1.518694,277.4486
350.8922,1.445629,277.8468
349.8066,1.279954,278.4881
349.2321,1.192294,278.8002
347.9777,1.06797,279.4977
346.6034,0.8272197,280.142
346.6034,0.8272197,280.142
345.0201,0.7474172,280.7895
343.3284,0.551437,281.4362
341.6924,0.3152242,282.069
341.6924,0.3152242,282.069
339.2483,359.9526,283.0099
339.2483,359.9526,283.0099
337.7542,359.7293,283.5278
336.4045,359.6229,284.1306
335.1646,359.5361,284.7565
335.1646,359.5361,284.7565
334.6105,359.4529,285.0529
333.542,359.372,285.7005
332.5685,359.3381,286.2465
331.7125,359.283,286.7017
331.7125,359.283,286.7017
330.9075,359.2758,287.1827
330.19,359.3036,287.5385
329.8873,359.3091,287.6552
329.6272,359.3232,287.7601
329.3984,359.3332,287.8354
329.0706,359.3844,287.9477
328.9605,359.4835,287.9049
328.9605,359.4835,287.9049
329.0459,359.6039,287.8444
329.1419,359.6482,287.8708
329.4613,359.7198,287.8734
329.9504,359.7817,287.7466
330.2489,359.7815,287.7286
330.9417,359.7685,287.7238
331.7789,359.7757,287.5677
331.7789,359.7757,287.5677
332.8088,359.7997,287.4224
333.403,359.7655,287.3669
334.7728,359.6375,287.1661
336.4946,359.6063,286.8192
336.4946,359.6063,286.8192
339.8115,359.9682,286.4629
339.8115,359.9682,286.4629
342.3243,359.8044,286.1679
344.9443,359.689,285.8271
344.9443,359.689,285.8271
347.7327,359.7713,285.4471
349.1651,359.8222,285.3138
351.9947,359.9141,285.0878
354.9084,0.07278529,284.8055
357.8749,0.3664258,284.5715
357.8749,0.3664258,284.5715
0.7827992,0.5864556,284.5532
3.680594,0.7031443,284.4746
3.680594,0.7031443,284.4746
6.567116,1.098227,284.4636
9.253185,1.39313,284.5813
11.80148,1.47234,284.7272
11.80148,1.47234,284.7272
13.07912,1.56784,284.7865
15.44363,1.734739,284.8815
17.48583,1.830973,285.0507
18.51365,1.872565,285.1487
20.45191,2.050626,285.2896
21.26268,2.158154,285.325
22.64344,2.276819,285.4333
23.93037,2.437108,285.5201
23.93037,2.437108,285.5201
24.87968,2.632892,285.4854
25.40368,2.714932,285.4989
25.5941,2.784886,285.4866
25.82037,2.879668,285.3362
25.82037,2.879668,285.3362
25.65075,2.916944,284.9976
25.37593,2.950863,284.7904
25.00396,2.952837,284.5775
24.13718,2.923507,284.1062
23.66801,2.933496,283.817
22.51518,2.978244,283.1199
21.81379,3.011197,282.7598
20.27086,3.030442,282.0308
18.51889,2.970638,281.0947
16.52984,2.893841,280.0844
16.52984,2.893841,280.0844
14.5388,2.885297,279.2492
13.55532,2.856845,278.7817
11.47608,2.683128,277.639
9.255652,2.611697,276.3619
8.063675,2.665737,275.6949
5.544891,2.649537,274.3449
5.544891,2.649537,274.3449
1.623132,2.113034,272.186
1.623132,2.113034,272.186
0.3547817,1.9907,271.6553
357.8036,1.637286,270.6828
356.5562,1.345161,270.661
354.119,0.8320835,269.6285
351.7654,0.4827985,268.8774
349.5469,0.1063696,268.2363
349.5469,0.1063696,268.2363
347.4685,359.7162,267.5363
345.4871,359.3405,266.7709
344.5192,359.161,266.3699
342.6846,358.7726,265.5207
342.6846,358.7726,265.5207
340.9649,358.3397,264.6529
340.1581,358.0973,264.2211
338.6798,357.6139,263.3737
337.4392,357.2228,262.5436
337.4392,357.2228,262.5436
336.4313,356.9343,261.7669
336.002,356.834,261.4595
335.2917,356.6995,260.9042
335.0107,356.6748,260.6389
334.6159,356.6837,260.0861
334.5,356.6962,259.8395
334.4743,356.7342,259.4696
334.6874,356.8202,259.1029
334.8585,356.9017,258.9518
334.8585,356.9017,258.9518
335.2738,357.0711,258.7363
335.8693,357.2249,258.5653
336.7246,357.437,258.362
337.8521,357.67,258.1029
337.8521,357.67,258.1029
340.098,357.9748,257.6772
340.098,357.9748,257.6772
341.8215,358.3338,257.444
342.7299,358.5516,257.335
344.7049,359.0707,257.1002
346.9174,359.6191,256.9349
346.9174,359.6191,256.9349
349.2223,0.2635323,256.8402
350.4081,0.6653484,256.8111
352.8635,1.573058,256.7596
355.3795,2.450785,256.7189
356.6493,2.877177,256.7005
359.2087,3.778278,256.6572
359.2087,3.778278,256.6572
0.4910808,4.223137,256.6401
3.001412,4.968494,256.6515
5.510362,5.640808,256.7441
7.981649,6.128029,256.8666
10.24498,6.437693,256.9723
10.24498,6.437693,256.9723
11.2847,6.609697,257.0235
13.17693,6.999128,257.0881
14.08601,7.136322,257.1106
15.77812,7.330738,257.1361
17.25474,7.502992,257.1715
18.65844,7.68075,257.2645
18.65844,7.68075,257.2645
19.84002,7.762805,257.3025
20.64637,7.80033,257.2496
20.64637,7.80033,257.2496
20.88926,7.950187,257.0141
20.99987,7.910067,256.9066
20.99987,7.910067,256.9066
21.03158,7.80781,257.0031
20.79937,7.715758,257.0848
20.26316,7.555132,257.0713
20.26316,7.555132,257.0713
19.72809,7.296477,257.2896
19.39319,7.186828,257.452
18.97976,7.030326,256.6599
18.56571,6.883162,256.9709
17.60376,6.396055,259.2709
17.0637,6.253092,258.3925
15.91021,5.902934,258.8056
14.63409,5.485873,259.3938
13.2639,4.884652,259.9374
13.2639,4.884652,259.9374
11.66163,4.184676,261.0169
10.52061,3.699665,263.98
8.617242,3.015611,262.6224
6.421296,2.403229,263.8456
6.421296,2.403229,263.8456
4.157156,1.675828,265.0672
1.699163,1.029205,266.368
1.699163,1.029205,266.368
359.05,0.3892615,267.7797
357.7167,0.06746275,268.4274
355.0876,359.5211,269.7811
352.5009,359.0512,271.2112
350.0435,358.6225,272.488
350.0435,358.6225,272.488
347.6201,358.341,273.9076
346.4459,358.2175,274.6103
344.1948,357.9264,275.9034
344.1948,357.9264,275.9034
341.8768,357.796,277.2376
339.7014,357.6533,278.5079
337.6311,357.5968,279.6872
336.643,357.6182,280.3056
334.9369,357.5529,281.4171
334.9369,357.5529,281.4171
333.5006,357.517,282.4149
332.8728,357.5693,282.8951
331.7984,357.6829,283.6803
331.0091,357.821,284.2828
330.4206,357.976,284.8107
330.4206,357.976,284.8107
330.2079,358.0638,284.9909
329.9628,358.2233,285.2607
329.9515,358.4149,285.4906
330.1955,358.6077,285.5888
330.1955,358.6077,285.5888
330.651,358.7536,285.6294
330.901,358.8098,285.7132
331.1685,358.8651,285.7954
331.861,358.9326,285.8297
332.8075,359.0359,285.7764
333.9424,359.1729,285.8043
333.9424,359.1729,285.8043
336.3863,2.262552,285.7523
337.9067,357.9071,286.2438
339.5476,358.4884,285.9594
339.5476,358.4884,285.9594
341.414,359.1281,285.4384
342.3919,359.5146,285.1996
344.7251,359.7296,284.9635
345.8199,0.09301057,284.698
348.4937,0.5821663,284.1738
351.4034,1.2073,283.7833
351.4034,1.2073,283.7833
356.0708,1.856832,283.2533
356.0708,1.856832,283.2533
357.7038,2.090247,283.1033
0.8801529,2.685488,283.1093
4.161826,3.021605,283.1663
7.264088,3.295843,283.1285
7.264088,3.295843,283.1285
10.24039,3.469088,283.2057
10.24039,3.469088,283.2057
15.69726,3.476542,283.382
15.69726,3.476542,283.382
18.10817,3.409485,283.5677
20.30107,3.318069,283.7396
21.23266,3.240855,283.7956
22.86119,3.011345,283.9138
22.86119,3.011345,283.9138
24.8985,2.753278,284.0074
24.8985,2.753278,284.0074
25.77867,2.546987,283.9941
26.53656,2.304579,284.0782
26.53656,2.304579,284.0782
27.08464,2.168541,284.098
27.3702,2.026052,284.0238
27.43859,1.968843,283.9797
27.47305,1.867579,283.856
27.47305,1.867579,283.856
27.26848,1.765396,283.6821
26.74904,1.617667,283.4675
25.89495,1.434718,283.1616
25.89495,1.434718,283.1616
24.73587,1.254798,282.6468
23.24743,1.050182,281.8832
21.3687,0.86637,280.6949
21.3687,0.86637,280.6949
20.33416,0.813093,280.033
18.13748,0.7875499,278.9279
15.65746,0.7424623,277.8809
14.3565,0.6695864,277.2503
11.66037,0.4965887,275.864
8.837681,0.3347849,274.2915
8.837681,0.3347849,274.2915
5.940637,0.1622219,272.7111
4.457597,0.05947218,271.9111
1.461723,359.7645,270.1844
358.4585,359.2776,268.4404
356.9626,358.9688,267.6092
354.0461,358.3155,266.2183
354.0461,358.3155,266.2183
351.2628,357.7952,265.9722
348.6129,357.3922,265.1813
346.141,357.0533,264.4733
346.141,357.0533,264.4733
344.9761,356.928,264.17
342.7774,356.7647,263.6108
340.8864,356.6599,263.0087
339.2957,356.5878,262.2942
339.2957,356.5878,262.2942
338.0129,356.6126,261.6765
337.1083,356.7466,261.1028
336.404,356.9635,260.4958
336.404,356.9635,260.4958
336.0517,357.12,259.9102
336.0556,357.2997,259.2836
336.1721,357.4067,258.943
336.7482,357.6526,258.3244
336.7482,357.6526,258.3244
338.5089,358.1966,257.5522
338.5089,358.1966,257.5522
339.9729,358.663,257.0701
341.6917,359.0915,256.6624
341.6917,359.0915,256.6624
343.6748,359.5529,256.3093
345.7848,0.06053726,255.9977
347.9388,0.5387652,255.773
347.9388,0.5387652,255.773
350.2697,1.054064,255.6078
352.7934,1.629698,255.5027
352.7934,1.629698,255.5027
355.4402,2.24573,255.4299
358.2093,2.861598,255.3799
1.146993,3.456102,255.3683
1.146993,3.456102,255.3683
2.604759,3.749679,255.3808
5.438392,4.321495,255.447
8.141347,4.874069,255.5393
10.66907,5.3887,255.6431
10.66907,5.3887,255.6431
13.00494,5.848195,255.7801
15.19837,6.237253,255.9023
17.14997,6.499361,255.998
17.14997,6.499361,255.998
