Yaw,Pitch,Roll
359.4074,4.309759,277.2058
359.4074,4.309759,277.2058
359.3887,4.324843,277.1817
359.3887,4.324843,277.1817
359.3648,4.339341,277.1819
359.3251,4.365369,277.179
359.3251,4.365369,277.179
359.2943,4.398474,277.1781
359.2798,4.411947,277.1769
359.2798,4.411947,277.1769
359.2744,4.410251,277.1704
359.2569,4.393858,277.1251
359.2677,4.391593,277.101
359.2677,4.391593,277.101
359.2677,4.391593,277.101
359.2677,4.391593,277.101
359.2677,4.391593,277.101
359.2916,4.384524,277.1142
359.2185,4.456334,277.1167
358.9467,4.662801,277.2
358.2675,4.926716,277.4271
357.7972,5.018027,277.592
356.6647,5.067661,277.9454
356.6647,5.067661,277.9454
355.2921,5.11725,278.3599
353.6445,5.14851,278.8371
351.8116,5.112586,279.36
351.8116,5.112586,279.36
350.821,5.091563,279.6388
348.6464,5.074605,280.2988
346.3709,5.016565,281.0432
345.2195,4.976235,281.4178
342.9479,4.923383,282.1378
341.8439,4.914379,282.4886
339.7464,4.838707,283.1817
338.768,4.798738,283.5168
337.0074,4.717049,284.1421
337.0074,4.717049,284.1421
335.459,4.647601,284.6582
334.0543,4.621478,285.1385
332.8205,4.599073,285.5587
332.8205,4.599073,285.5587
331.7888,4.53282,285.9099
330.9259,4.495804,286.2062
330.9259,4.495804,286.2062
330.233,4.425406,286.4405
329.9495,4.408182,286.563
329.4668,4.360036,286.7415
329.1313,4.363835,286.8359
329.0409,4.353951,286.8881
329.0044,4.37909,286.9563
329.0044,4.37909,286.9563
329.1651,4.423533,286.9704
329.5029,4.48087,286.9711
330.0042,4.520239,286.9937
330.0042,4.520239,286.9937
330.6816,4.459987,286.9987
331.6063,4.350474,286.9701
332.7706,4.217144,286.9554
333.4929,4.104982,286.9342
333.4929,4.104982,286.9342
335.2209,3.87774,286.8615
336.2313,3.826658,286.8341
338.562,3.776845,286.8497
341.1357,3.63364,286.8782
343.9767,3.488095,286.9642
343.9767,3.488095,286.9642
346.9786,3.360755,287.0934
348.5173,3.280364,287.1422
351.6267,3.052231,287.2635
354.769,2.781163,287.3684
356.3351,2.67549,287.4016
359.4205,2.517852,287.452
359.4205,2.517852,287.452
2.410939,2.284536,287.5321
5.295025,2.113228,287.5928
5.295025,2.113228,287.5928
8.009274,1.967088,287.6508
10.53111,1.847788,287.6813
10.53111,1.847788,287.6813
12.89081,1.726767,287.6692
15.09249,1.647604,287.6139
16.12369,1.621409,287.5873
18.0553,1.580606,287.5763
19.74389,1.577323,287.5276
19.74389,1.577323,287.5276
21.55983,1.625692,287.0247
22.74936,1.648924,287.0079
23.69836,1.691476,286.8571
23.69836,1.691476,286.8571
24.09158,1.715164,286.7775
24.76326,1.841874,286.6071
25.21018,2.003765,286.4501
25.47234,2.134333,286.2909
25.47234,2.134333,286.2909
25.54194,2.258911,286.0957
25.41267,2.389833,285.8519
25.41267,2.389833,285.8519
25.09508,2.503026,285.6395
24.8695,2.578266,285.5288
23.8546,2.868915,285.0731
23.8546,2.868915,285.0731
22.84586,3.038988,284.6586
22.28586,3.114037,284.4409
21.01106,3.298365,283.9594
20.29014,3.436957,283.6595
17.57749,4.060102,282.518
17.57749,4.060102,282.518
16.48947,4.280072,282.089
16.48947,4.280072,282.089
15.33374,4.491266,281.6233
10.03878,5.492366,279.3578
7.152706,6.01454,278.3891
4.058233,6.560687,277.3347
4.058233,6.560687,277.3347
2.45536,6.820316,276.7578
359.1368,7.318673,275.3289
359.1368,7.318673,275.3289
357.5199,7.569074,275.0397
357.5199,7.569074,275.0397
350.9166,8.222883,271.9658
346.3408,8.327644,269.7679
344.9383,8.321615,269.1034
344.9383,8.321615,269.1034
342.3232,8.240082,267.8078
339.9947,8.007765,266.5781
337.9401,7.671307,265.3787
336.1492,7.309821,264.1963
336.1492,7.309821,264.1963
334.5088,7.067523,263.0715
333.0298,6.900617,262.1302
332.3917,6.796904,261.7117
331.2754,6.570698,261.0078
331.2754,6.570698,261.0078
330.426,6.348304,260.3831
329.8267,6.200792,259.8322
329.6207,6.138092,259.6573
329.3849,6.05526,259.3994
329.3703,6.04176,259.2929
329.528,6.061275,259.1447
329.7115,6.078774,259.0919
330.336,6.098959,259.0368
330.336,6.098959,259.0368
331.1977,6.056612,259.0054
332.3702,6.059502,258.9484
333.032,6.090936,258.9258
334.5725,6.195837,258.8753
334.5725,6.195837,258.8753
336.4701,6.313242,258.8286
338.6161,6.437716,258.8129
339.8367,6.532312,258.8069
342.4889,6.734839,258.8353
343.8851,6.861142,258.8608
346.8997,7.094575,258.9602
350.0842,7.348786,259.1442
350.0842,7.348786,259.1442
351.7073,7.477652,259.2643
354.9688,7.708344,259.5376
356.6179,7.813369,259.6801
359.9361,8.03167,259.9493
3.224074,8.215947,260.1726
6.342216,8.392116,260.3339
6.342216,8.392116,260.3339
9.266054,8.58355,260.4384
12.02095,8.793743,260.5651
12.02095,8.793743,260.5651
14.60457,9.010319,260.6962
17.04446,9.218255,260.7427
19.27634,9.424303,260.6992
19.27634,9.424303,260.6992
22.21429,9.686623,260.5944
22.21429,9.686623,260.5944
23.08823,9.771773,260.5538
24.61366,9.95062,260.4539
25.89796,10.0649,260.4579
26.92738,10.13534,260.5132
27.35657,10.1558,260.5538
28.06175,10.16431,260.6493
28.06175,10.16431,260.6493
28.33051,10.15499,260.6808
28.6779,10.14585,260.7603
28.81308,10.09635,260.8246
28.82182,10.05608,260.8683
28.82182,10.05608,260.8683
28.44411,9.831335,261.0163
28.44411,9.831335,261.0163
28.28179,9.771934,261.0519
27.6054,9.59595,261.2387
27.6054,9.59595,261.2387
26.65159,9.352121,261.5979
26.65159,9.352121,261.5979
26.21121,9.299179,261.7224
25.68767,9.255922,261.8628
24.34378,9.130211,262.2887
24.34378,9.130211,262.2887
22.73398,8.857021,262.9515
22.73398,8.857021,262.9515
18.65583,8.293267,264.4387
15.05616,7.817722,265.7203
13.79973,7.673639,266.1887
12.51036,7.555632,266.6726
9.886503,7.279586,267.724
7.267069,7.017844,268.8464
