Yaw,Pitch,Roll
357.1071,354.6141,274.314
357.1071,354.6141,274.314
357.1075,354.6304,274.345
357.1108,354.6562,274.3597
357.1108,354.6562,274.3597
357.0988,354.6551,274.3659
357.0797,354.6194,274.3636
357.0736,354.6091,274.3632
357.0548,354.59,274.3789
357.0548,354.59,274.3789
357.0395,354.5763,274.4085
357.0177,354.565,274.4248
357.007,354.5635,274.4253
357.007,354.5635,274.4253
357.0048,354.5603,274.4225
356.9968,354.5508,274.4218
356.9875,354.5444,274.4191
356.9875,354.5444,274.4191
356.9875,354.5444,274.4191
356.9875,354.5444,274.4191
356.9875,354.5444,274.4191
356.9875,354.5444,274.4191
355.3933,354.682,275.348
355.051,354.6763,275.5062
354.3542,354.7254,275.7587
353.9413,354.7834,275.9092
353.0758,354.8709,276.2012
353.0758,354.8709,276.2012
352.1595,354.9833,276.5014
351.2497,355.0757,276.7618
350.3715,355.1703,276.987
350.3715,355.1703,276.987
349.209,355.3414,277.2814
349.209,355.3414,277.2814
348.5796,355.4715,277.4618
348.3024,355.5335,277.5606
347.8424,355.6897,277.7136
347.6542,355.7752,277.7719
347.3618,355.9406,277.8684
347.1308,356.0859,277.9809
347.1308,356.0859,277.9809
346.967,356.2279,278.0684
346.9123,356.303,278.108
346.8803,356.3879,278.1379
346.8554,356.4761,278.1693
346.8344,356.6543,278.2555
346.853,356.8244,278.3139
346.8723,356.9081,278.3219
346.9435,357.0535,278.3165
347.0302,357.1904,278.3107
347.0302,357.1904,278.3107
347.1191,357.2967,278.2922
347.2009,357.414,278.29
347.2347,357.4621,278.2927
347.3075,357.5473,278.3239
347.3367,357.5736,278.3448
347.3802,357.5727,278.3382
347.3802,357.5727,278.3382
347.4251,357.6166,278.3026
347.4441,357.6435,278.2798
347.4819,357.7428,278.2381
347.5206,357.7953,278.2003
347.5947,357.859,278.2062
347.5947,357.859,278.2062
347.6525,357.9067,278.2384
347.8117,357.9798,278.286
348.0767,358.0447,278.341
348.2472,358.1111,278.4098
348.6886,358.24,278.5521
348.6886,358.24,278.5521
349.2865,358.341,278.7618
350.0828,358.6293,279.132
350.5562,358.7758,279.2809
351.5826,358.994,279.5533
352.732,359.2256,279.8959
353.3564,359.3424,280.0669
354.6306,359.528,280.2764
354.6306,359.528,280.2764
355.8839,359.6437,280.4246
357.1384,359.7547,280.5112
357.1384,359.7547,280.5112
358.3561,359.8842,280.5596
359.5026,359.9803,280.5062
0.5215121,0.03482981,280.4065
0.5215121,0.03482981,280.4065
1.443554,0.07313929,280.3544
2.241413,0.1419581,280.3241
2.906544,0.161882,280.2834
2.906544,0.161882,280.2834
3.195777,0.1522889,280.2619
3.702949,0.07381985,280.1927
4.088672,0.0008546274,280.1354
4.343577,359.9352,280.0384
4.343577,359.9352,280.0384
4.47326,359.8636,279.9337
4.500434,359.8427,279.9004
4.497127,359.7949,279.8657
4.467202,359.7683,279.8516
