Yaw,Pitch,Roll
359.5543,2.681052,285.2753
359.5543,2.681052,285.2753
359.5868,2.643619,285.1387
359.6004,2.619786,285.0483
359.6004,2.619786,285.0483
359.6124,2.596274,285.0797
359.625,2.6039,285.1752
359.6363,2.608211,285.2592
359.6363,2.608211,285.2592
359.6302,2.597701,285.3
359.6203,2.611189,285.3508
359.5894,2.657961,285.3677
359.5592,2.695781,285.3825
359.5592,2.695781,285.3825
359.5247,2.715328,285.3667
359.5247,2.715328,285.3667
359.4819,2.747955,285.3438
359.4372,2.800971,285.3294
359.3706,2.856188,285.3432
359.2093,2.966018,285.4492
358.9151,3.082288,285.5563
358.9151,3.082288,285.5563
358.736,3.131289,285.6022
358.308,3.249135,285.7026
357.8331,3.371296,285.7879
357.3837,3.440999,285.8572
357.3837,3.440999,285.8572
356.981,3.532465,285.879
356.796,3.582771,285.8728
356.4401,3.685969,285.8582
356.2717,3.723225,285.8439
356.1145,3.760713,285.8122
356.1145,3.760713,285.8122
355.9616,3.825958,285.797
355.4937,4.067389,285.7139
355.4937,4.067389,285.7139
355.4234,4.09623,285.6974
355.3873,4.123447,285.6837
355.4275,4.20884,285.8032
355.4829,4.230127,285.8475
355.6416,4.217127,285.9286
355.8941,4.207041,286.0591
356.0411,4.21242,286.1313
356.0411,4.21242,286.1313
356.2016,4.212247,286.1989
356.2016,4.212247,286.1989
356.3896,4.232453,286.2654
356.8856,4.229323,286.3699
358.178,4.193766,286.4815
358.5146,4.179471,286.5109
359.1365,4.164606,286.5646
359.4225,4.148437,286.5982
359.4225,4.148437,286.5982
359.6934,4.1199,286.6117
0.5776152,3.994647,286.7875
0.7582042,3.961531,286.8595
0.9107535,3.936656,286.9316
0.9107535,3.936656,286.9316
1.043429,3.909917,287.0049
1.609444,3.798817,287.2747
2.001395,3.778519,287.4393
2.55503,3.807276,287.7004
2.940466,3.815874,287.8756
2.940466,3.815874,287.8756
3.845397,3.826442,288.2141
4.361319,3.847538,288.3903
5.533736,3.8736,288.7798
6.859685,3.851458,289.1546
8.241093,3.771034,289.4962
8.241093,3.771034,289.4962
8.935944,3.737259,289.6844
10.35889,3.691176,290.0709
11.81355,3.56916,290.4443
13.22195,3.439708,290.7772
13.22195,3.439708,290.7772
14.58552,3.317193,291.086
15.92647,3.18007,291.3609
16.5557,3.109352,291.4692
17.1402,3.024079,291.5668
18.22486,2.861928,291.7345
19.17936,2.726481,291.8834
19.61878,2.627106,291.9491
20.33834,2.466821,292.0392
20.33834,2.466821,292.0392
20.61346,2.361505,292.0745
21.06834,2.185972,292.1401
21.33301,2.076447,292.1956
21.4136,2.033557,292.2125
21.48644,1.974558,292.2308
21.38181,1.92088,292.1956
21.38181,1.92088,292.1956
21.17095,1.921031,292.1542
21.05577,1.930114,292.1486
20.81688,1.965892,292.147
20.57107,2.025794,292.1613
20.44687,2.053067,292.1622
20.24042,2.111663,292.1961
20.24042,2.111663,292.1961
20.06768,2.179514,292.248
19.99457,2.20478,292.2618
19.86464,2.28776,292.2999
19.78143,2.371978,292.3464
19.73442,2.409442,292.3424
19.67027,2.452399,292.3278
19.67027,2.452399,292.3278
19.59863,2.49985,292.2944
19.43856,2.633649,292.2017
19.43856,2.633649,292.2017
18.59361,3.119125,291.9019
17.77896,3.520274,291.5807
17.18215,3.818914,291.3454
15.41022,4.427101,290.7196
13.12047,5.062413,289.8748
11.76925,5.404291,289.3585
8.804065,6.127258,288.1845
8.804065,6.127258,288.1845
5.528121,6.825267,286.8059
2.097045,7.443085,285.2986
358.5453,7.974288,283.6036
356.7482,8.245549,282.7123
356.7482,8.245549,282.7123
354.9708,8.500542,281.8244
349.9315,9.056538,279.138
348.3743,9.126714,278.2016
345.5082,9.202914,276.2718
342.8563,9.405674,274.4767
341.6199,9.577702,273.6039
341.6199,9.577702,273.6039
339.649,9.64808,271.9964
338.0542,9.705582,270.8183
337.4171,9.73057,270.2989
336.5206,9.748505,269.3698
335.9442,9.722912,268.5356
335.7722,9.775839,268.2061
335.7722,9.775839,268.2061
335.6621,9.82203,267.9136
335.6031,9.885621,267.6238
336.0578,9.990552,266.7835
336.0578,9.990552,266.7835
336.4946,10.01497,266.5177
336.7489,10.03351,266.3826
337.0166,10.05034,266.2542
338.0216,10.08327,265.935
338.4607,10.13228,265.8859
338.9599,10.18031,265.8407
338.9599,10.18031,265.8407
341.1524,10.20222,265.9271
342.1591,10.26839,266.0194
342.1591,10.26839,266.0194
343.2811,10.32752,266.1169
345.8226,10.37339,266.2788
345.8226,10.37339,266.2788
352.0439,10.61155,266.5917
355.5524,10.66366,266.7238
359.4538,10.56755,266.7185
3.204164,10.55776,266.7058
3.204164,10.55776,266.7058
6.838191,10.64206,266.883
8.568554,10.73197,267.0238
11.71872,10.83063,267.2813
13.12434,10.8695,267.3974
14.45805,10.85321,267.5013
17.77708,10.75009,267.6727
17.77708,10.75009,267.6727
18.65544,10.67959,267.7289
20.98926,10.51368,267.9669
21.64315,10.43137,268.0396
22.2047,10.33188,268.0943
22.2047,10.33188,268.0943
22.72081,10.25962,268.1393
24.42566,10.00484,268.2786
25.0638,9.878367,268.3102
25.35367,9.811286,268.3162
25.35367,9.811286,268.3162
25.6142,9.712926,268.3192
26.1357,9.47854,268.3523
26.26004,9.392911,268.3815
26.43515,9.214042,268.4498
26.45632,9.10579,268.4729
26.433,9.009411,268.4933
26.433,9.009411,268.4933
26.38366,8.920342,268.5056
26.22211,8.790303,268.6065
26.03782,8.659886,268.75
26.03782,8.659886,268.75
