Yaw,Pitch,Roll
0.8694139,353.3916,283.0591
0.8694139,353.3916,283.0591
0.8694139,353.3916,283.0591
0.8811657,353.4063,283.0226
0.8811657,353.4063,283.0226
0.8944471,353.4416,282.9791
0.9030224,353.4555,282.9501
0.9030224,353.4555,282.9501
0.8994846,353.467,282.9326
0.8994846,353.467,282.9326
0.8767231,353.4694,282.933
0.8767231,353.4694,282.933
0.8803045,353.4978,282.9437
0.9026932,353.525,282.9836
0.9026932,353.525,282.9836
0.9182621,353.4842,283.024
0.9182621,353.4842,283.024
0.9074628,353.4627,283.0376
0.9074628,353.4627,283.0376
0.9074628,353.4627,283.0376
0.9074628,353.4627,283.0376
0.1772314,353.6147,283.4155
359.1942,353.5981,283.8108
359.1942,353.5981,283.8108
357.246,353.4928,284.4756
355.7198,353.4932,284.9846
355.7198,353.4932,284.9846
354.0987,353.4698,285.4505
352.4601,353.4889,285.8991
351.6344,353.5267,286.1165
351.6344,353.5267,286.1165
350.0291,353.6243,286.4321
349.2783,353.7116,286.5609
349.2783,353.7116,286.5609
346.5866,353.8753,287.1897
345.4721,353.9831,287.4549
344.4759,354.1481,287.6943
344.4759,354.1481,287.6943
344.0192,354.2356,287.8167
343.1943,354.3946,288.0976
342.524,354.5961,288.3492
342.524,354.5961,288.3492
342.2534,354.6974,288.4446
342.2534,354.6974,288.4446
342.2534,354.6974,288.4446
342.2534,354.6974,288.4446
342.2534,354.6974,288.4446
342.2534,354.6974,288.4446
342.2534,354.6974,288.4446
342.2534,354.6974,288.4446
344.06,355.5927,288.4293
344.06,355.5927,288.4293
345.1052,355.6929,288.3312
346.3638,355.7136,288.2135
347.8991,355.715,288.0755
347.8991,355.715,288.0755
349.757,355.7531,287.9468
351.7247,355.7572,287.8317
351.7247,355.7572,287.8317
353.8255,355.6862,287.7669
356.1768,355.7159,287.7029
358.6078,355.7476,287.6255
358.6078,355.7476,287.6255
1.008286,355.7487,287.5972
3.458527,355.761,287.5885
3.458527,355.761,287.5885
5.877865,355.7375,287.6273
5.877865,355.7375,287.6273
9.256147,355.6826,287.5886
9.256147,355.6826,287.5886
11.36287,355.5964,287.6146
15.31936,355.1999,287.5247
15.31936,355.1999,287.5247
16.2563,355.1139,287.4985
16.2563,355.1139,287.4985
18.18237,354.9767,287.4227
20.0453,354.8004,287.3072
22.46989,354.6839,287.2007
22.46989,354.6839,287.2007
23.11919,354.6312,287.1736
24.29599,354.503,287.1263
25.30687,354.4449,287.1307
25.30687,354.4449,287.1307
26.05241,354.388,287.1489
26.55103,354.1962,287.1511
26.55103,354.1962,287.1511
27.07673,354.0731,287.0357
27.07673,354.0731,287.0357
27.07673,354.0731,287.0357
26.99157,353.8866,286.9039
26.70032,353.7912,286.8384
26.16558,353.7743,286.7384
26.16558,353.7743,286.7384
25.40948,353.7558,286.6476
24.44838,353.7199,286.5687
23.28414,353.701,286.4052
23.28414,353.701,286.4052
21.97949,353.6138,286.2991
20.47264,353.4803,286.0519
20.47264,353.4803,286.0519
18.69621,353.444,285.6924
16.69161,353.4053,285.3066
16.69161,353.4053,285.3066
14.49265,353.3367,284.9874
12.06934,353.3461,284.6722
9.442243,353.4484,284.4034
9.442243,353.4484,284.4034
6.625469,353.5618,284.1539
3.670029,353.6308,283.9242
3.670029,353.6308,283.9242
0.3194976,354.1902,284.0452
356.873,354.7314,284.2956
353.8043,355.0686,284.025
353.8043,355.0686,284.025
350.8626,355.3315,283.6017
348.2517,355.4993,283.2109
345.9738,355.6233,282.8297
345.9738,355.6233,282.8297
343.9632,355.6823,282.412
342.2205,355.64,281.9028
340.6733,355.5477,281.3956
340.6733,355.5477,281.3956
339.3845,355.259,280.9962
338.2946,354.8969,280.5318
338.2946,354.8969,280.5318
337.2028,354.5598,279.9695
336.146,354.1768,279.4047
336.146,354.1768,279.4047
335.2588,353.8174,278.8886
334.4951,353.5256,278.5775
333.9634,353.265,278.2547
333.9634,353.265,278.2547
333.7335,353.1097,278.064
333.6952,353.0782,278.0011
333.6952,353.0782,278.0011
333.6952,353.0782,278.0011
333.6952,353.0782,278.0011
335.4597,352.8626,277.311
335.4597,352.8626,277.311
336.6773,352.9791,277.1521
338.2758,353.1115,276.9641
338.2758,353.1115,276.9641
340.2929,353.2611,276.7311
342.8087,353.528,276.4903
345.5665,353.8883,276.3388
345.5665,353.8883,276.3388
348.5628,354.2381,276.0724
348.5628,354.2381,276.0724
351.7425,354.7403,276.0007
356.6525,355.5667,275.9992
356.6525,355.5667,275.9992
359.989,356.0297,276.074
3.247469,356.3876,276.0432
3.247469,356.3876,276.0432
6.357802,356.7057,275.9593
9.241102,357.0679,275.8649
11.83588,357.3453,275.7523
11.83588,357.3453,275.7523
14.17269,357.4882,275.6338
16.22885,357.6306,275.5525
18.00189,357.5734,275.5277
18.00189,357.5734,275.5277
19.53045,357.3057,275.63
21.07837,356.5209,275.6624
21.07837,356.5209,275.6624
22.57478,355.7794,275.5883
23.84363,355.3584,275.5537
24.9833,355.1781,275.5383
24.9833,355.1781,275.5383
25.9503,354.9749,275.4657
26.76283,354.7217,275.408
27.37253,354.5696,275.4146
27.37253,354.5696,275.4146
27.75326,354.425,275.5026
27.89913,354.3041,275.5734
27.89913,354.3041,275.5734
27.89913,354.3041,275.5734
27.89913,354.3041,275.5734
27.89913,354.3041,275.5734
27.89913,354.3041,275.5734
27.89913,354.3041,275.5734
25.05322,353.8918,276.5193
25.05322,353.8918,276.5193
23.49634,353.8137,276.8069
21.56899,353.6656,277.3813
19.17303,353.1642,278.4094
19.17303,353.1642,278.4094
16.5037,352.5512,279.5579
12.33279,351.8042,281.2555
12.33279,351.8042,281.2555
10.93722,351.6144,281.7337
8.192492,351.3928,282.4979
5.5332,351.196,283.0512
5.5332,351.196,283.0512
2.926983,351.0286,283.4516
0.3583564,350.9249,283.9575
357.8635,350.9338,284.4356
357.8635,350.9338,284.4356
355.3059,350.9034,284.9231
352.7582,350.793,285.4835
352.7582,350.793,285.4835
350.0986,350.6884,286.0814
347.3749,350.598,286.6857
344.8227,350.5894,287.1993
344.8227,350.5894,287.1993
342.5023,350.5411,287.7041
339.5214,350.4214,288.3005
339.5214,350.4214,288.3005
338.6854,350.3638,288.4454
336.6275,350.2492,288.7601
336.6275,350.2492,288.7601
335.5494,350.1801,288.9648
335.0722,350.1501,289.056
334.3289,350.0539,289.1745
334.3289,350.0539,289.1745
333.7822,349.9756,289.2623
333.4105,349.9531,289.3847
333.2612,349.9632,289.3837
333.2612,349.9632,289.3837
333.391,349.9866,289.3623
333.8138,349.9419,289.2794
333.8138,349.9419,289.2794
334.4597,349.9652,289.1553
335.4997,349.9421,289.0203
336.8129,349.9636,288.7385
336.8129,349.9636,288.7385
338.4409,350.2474,288.5645
340.6182,350.3896,288.3227
340.6182,350.3896,288.3227
344.7602,350.9082,287.8033
347.666,351.2587,287.428
350.6013,351.7794,287.056
350.6013,351.7794,287.056
353.5655,352.1178,286.9366
354.9929,352.2652,286.9064
357.7348,352.5091,286.8111
357.7348,352.5091,286.8111
1.787834,352.8239,286.7364
4.432167,353.113,286.6826
4.432167,353.113,286.6826
6.903447,353.4177,286.6619
8.062014,353.6026,286.6497
8.062014,353.6026,286.6497
11.39355,354.0107,286.2563
12.44397,354.1455,286.0919
14.56056,354.5,285.7626
14.56056,354.5,285.7626
17.57894,355.1347,285.011
19.39056,355.4326,284.6252
20.26093,355.5724,284.5947
20.26093,355.5724,284.5947
22.53748,355.8878,284.7808
23.64799,355.9859,285.0631
23.64799,355.9859,285.0631
24.46747,355.9835,285.2695
25.04551,356.0348,285.1548
25.04551,356.0348,285.1548
25.38062,356.0905,285.1952
25.43829,356.1319,285.0558
25.40328,356.2199,285.0107
25.40328,356.2199,285.0107
25.29898,356.2633,285.0099
24.98511,356.2794,284.9322
24.49696,356.2718,284.7336
24.49696,356.2718,284.7336
23.82807,356.3123,284.414
22.92114,356.4253,284.0154
22.92114,356.4253,284.0154
21.71634,356.5224,283.841
20.29008,356.5429,283.5625
18.63988,356.5479,283.1512
18.63988,356.5479,283.1512
16.65231,356.5765,282.793
14.34654,356.5578,282.5292
14.34654,356.5578,282.5292
11.75538,356.4751,282.231
9.021449,356.3353,281.6918
9.021449,356.3353,281.6918
6.162902,356.263,281.1822
3.186422,356.2112,280.8094
0.1435322,355.9546,280.4138
0.1435322,355.9546,280.4138
357.0243,355.7012,280.0778
353.7381,355.4972,279.852
350.5329,355.2455,279.7696
350.5329,355.2455,279.7696
347.4804,355.0082,279.6764
344.4295,354.7601,279.7318
341.5545,354.4437,279.6698
341.5545,354.4437,279.6698
338.8403,354.1227,279.4957
338.8403,354.1227,279.4957
336.3138,353.8267,279.3115
334.0486,353.5015,279.2044
332.0487,353.2513,279.1682
330.3811,353.0323,279.1313
330.3811,353.0323,279.1313
329.0714,352.8333,279.0989
328.3068,352.6591,278.956
327.9158,352.6255,278.8603
327.9158,352.6255,278.8603
327.9806,352.6795,278.7129
327.9806,352.6795,278.7129
327.9806,352.6795,278.7129
327.9806,352.6795,278.7129
327.9806,352.6795,278.7129
327.9806,352.6795,278.7129
327.9806,352.6795,278.7129
333.0546,353.7289,277.5902
334.8248,354.1161,277.0648
334.8248,354.1161,277.0648
336.8552,354.5907,276.3255
339.1721,354.8397,275.6539
339.1721,354.8397,275.6539
341.6725,355.3293,275.2171
344.3242,355.8553,274.8632
347.1822,356.3697,274.5968
347.1822,356.3697,274.5968
350.1902,356.9536,274.645
353.2097,357.4696,274.8894
356.2099,357.7875,275.0296
356.2099,357.7875,275.0296
359.1743,358.0143,275.0591
2.010977,358.2046,274.8458
2.010977,358.2046,274.8458
4.65185,358.3901,274.6118
7.153133,358.5977,274.436
9.644527,358.8262,274.3299
9.644527,358.8262,274.3299
12.11735,359.1257,274.4638
14.44412,359.35,274.6508
14.44412,359.35,274.6508
16.65112,359.649,275.0572
18.38602,359.9193,275.3987
18.38602,359.9193,275.3987
19.91278,0.03526768,275.6622
21.22069,0.0895071,275.8139
22.25842,0.23635,275.7983
22.25842,0.23635,275.7983
23.15421,0.321923,275.7477
23.85468,0.3226966,275.701
24.42822,0.3725203,275.7086
24.42822,0.3725203,275.7086
24.99703,0.4603435,275.8584
25.4065,0.4541577,275.9856
25.4065,0.4541577,275.9856
25.60229,0.4281399,276.0258
