Yaw,Pitch,Roll
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
1.813295,358.8925,278.1446
0.9667112,358.8213,280.1061
0.6731257,358.7531,280.4316
0.6731257,358.7531,280.4316
0.2637339,358.6725,280.8215
0.002380192,358.5861,281.0522
359.2603,358.3529,281.73
358.2387,358.1647,282.434
357.6751,358.1017,282.7757
357.0717,358.0529,283.1276
355.69,357.9556,283.89
354.0284,357.8417,284.7113
354.0284,357.8417,284.7113
351.2593,357.6974,285.8593
351.2593,357.6974,285.8593
349.3289,357.6181,286.4877
348.3714,357.5718,286.7538
346.498,357.5158,287.3407
346.498,357.5158,287.3407
344.7832,357.5734,287.9178
343.2401,357.6615,288.3466
341.9964,357.7213,288.7376
340.9339,357.8145,289.1349
340.9339,357.8145,289.1349
340.454,357.8504,289.288
340.454,357.8504,289.288
339.3185,357.9168,289.5852
338.7798,357.9343,289.7538
338.2888,357.951,289.827
337.88,357.9371,289.8903
337.88,357.9371,289.8903
337.481,357.9517,290.1394
337.3374,357.9464,290.2375
337.3374,357.9464,290.2375
337.1206,357.9013,290.3348
336.9679,357.8138,290.3864
336.9679,357.8138,290.3864
336.9013,357.7985,290.4005
336.8429,357.7729,290.4067
336.7031,357.8266,290.2956
336.7477,357.8774,290.2895
336.7993,357.9008,290.2682
336.7993,357.9008,290.2682
336.8714,357.9126,290.2344
336.9721,357.9338,290.1759
337.7267,357.9457,290.0338
337.7267,357.9457,290.0338
338.3555,357.8199,290.0504
339.341,357.6786,290.0653
340.6001,357.6415,290.2466
341.3159,357.6212,290.3274
341.3159,357.6212,290.3274
343.0767,357.5547,290.2721
345.092,357.5694,290.4233
346.1625,357.5162,290.5407
348.3358,357.3695,290.7669
350.5874,357.2834,290.9454
351.7209,357.2548,291.0706
351.7209,357.2548,291.0706
352.8351,357.2216,291.1899
353.955,357.1493,291.2589
358.6455,357.0199,291.2036
359.798,357.0194,291.2024
359.798,357.0194,291.2024
0.9254599,356.9904,291.1636
4.120004,356.8718,291.1522
5.103022,356.8226,291.1521
6.047696,356.7656,291.1347
7.849938,356.6672,291.1565
8.666971,356.6164,291.2031
8.666971,356.6164,291.2031
9.396881,356.5784,291.2265
10.70213,356.4727,291.2344
13.16029,356.3011,291.1679
13.6961,356.3051,291.1615
14.65808,356.2882,291.1941
15.09325,356.2425,291.1777
15.86429,356.2633,291.1056
16.15685,356.3126,291.0908
16.57387,356.3802,291.0654
16.57387,356.3802,291.0654
16.68319,356.3893,291.0375
16.82805,356.3547,290.9886
16.86319,356.3261,290.9749
16.84466,356.3111,290.8757
16.70787,356.3289,290.6914
16.44351,356.3873,290.4313
16.01718,356.5194,290.0784
16.01718,356.5194,290.0784
15.73895,356.61,289.8486
14.9992,356.7953,289.3095
14.10419,357.0804,288.7429
13.58358,357.2464,288.3883
12.35343,357.5537,287.4982
12.35343,357.5537,287.4982
10.08217,357.8593,286.055
9.253786,357.9669,285.6362
7.559217,358.1789,284.6555
7.559217,358.1789,284.6555
5.670571,358.2968,283.4108
4.709201,358.3431,282.9031
2.872018,358.5043,282.0964
1.120594,358.6999,281.1159
0.2155028,358.7694,280.5171
359.3033,358.8315,279.8978
357.4405,358.9774,278.6034
356.5022,359.0432,277.9387
355.5724,359.099,277.2872
355.5724,359.099,277.2872
354.6573,359.1487,276.6607
352.802,359.2381,275.5066
349.2809,359.4009,273.5575
349.2809,359.4009,273.5575
346.9647,359.5206,272.2852
346.9647,359.5206,272.2852
346.2475,359.5379,271.8672
344.2664,359.4868,270.4056
344.2664,359.4868,270.4056
343.6817,359.4586,269.9838
342.2001,359.2192,268.4399
341.4036,358.9747,267.3377
341.0237,358.8377,266.8025
341.0237,358.8377,266.8025
340.6799,358.7277,266.3132
339.8733,358.4123,265.0612
339.4956,358.2463,264.3408
339.4956,358.2463,264.3408
339.2107,358.0425,263.5887
339.2107,358.0425,263.5887
339.2481,357.9872,263.1563
339.2934,357.9853,262.9315
339.3766,357.9885,262.7266
339.4904,357.9789,262.5439
339.4904,357.9789,262.5439
340.4111,357.9593,261.9344
340.7731,357.9852,261.8058
341.2237,358.0007,261.6994
344.1878,358.0755,261.3311
344.1878,358.0755,261.3311
345.1713,358.201,261.2098
346.2396,358.3778,261.088
350.029,358.8799,260.6455
351.3816,359.1292,260.4866
353.9753,359.5802,260.3034
353.9753,359.5802,260.3034
355.2384,359.7003,260.2074
356.5069,359.7934,260.0456
0.2533173,0.3805327,259.3518
2.550022,0.6856483,259.0431
4.733668,0.8773956,258.7198
4.733668,0.8773956,258.7198
6.727409,1.233188,258.3712
8.547669,1.621122,258.0825
9.458932,1.756352,257.9726
11.23542,1.987377,257.845
11.23542,1.987377,257.845
12.89239,2.262512,257.741
14.44427,2.488742,257.6136
15.99599,2.627709,257.5735
15.99599,2.627709,257.5735
17.4572,2.865804,257.5984
18.78298,3.144548,257.6236
20.00234,3.269837,257.6451
20.00234,3.269837,257.6451
20.53954,3.30522,257.6627
21.01941,3.351936,257.6736
21.42932,3.401403,257.6931
22.05302,3.463263,257.7245
22.63293,3.328259,257.9016
22.75163,3.261046,257.9656
22.81077,3.176004,258.0235
22.81888,3.091665,258.0802
22.6589,2.844437,258.299
22.55874,2.76216,258.3834
22.55874,2.76216,258.3834
22.42103,2.671802,258.4738
21.81343,2.257176,258.8118
21.25862,2.033984,259.1184
20.95703,1.918855,259.2781
20.65512,1.796184,259.4372
19.74527,1.419816,259.9489
19.74527,1.419816,259.9489
19.46164,1.312116,260.1329
19.19814,1.202582,260.3261
18.94925,1.096672,260.5045
18.45484,0.8851543,260.8602
18.19707,0.7506345,261.1114
16.54086,359.8164,263.1386
16.54086,359.8164,263.1386
15.82242,359.4185,263.9955
13.93197,358.3904,265.9284
11.54603,357.2739,268.1528
11.54603,357.2739,268.1528
10.15629,356.6963,269.4935
5.425642,355.2179,273.1956
3.690728,354.8682,274.2309
1.94334,354.5386,275.26
1.94334,354.5386,275.26
356.95,353.7324,277.8
353.9385,353.4243,279.2303
353.9385,353.4243,279.2303
351.1897,353.3477,280.6824
348.7147,353.2412,281.9088
347.5195,353.1989,282.5228
344.4737,353.1215,284.1433
342.8466,353.1789,285.0953
342.8466,353.1789,285.0953
342.118,353.1665,285.5424
341.4705,353.0988,285.9306
340.0772,353.2383,286.7464
339.5248,353.2489,287.0981
339.5248,353.2489,287.0981
339.3228,353.2744,287.198
339.1638,353.3158,287.2984
338.9932,353.5061,287.4222
339.0984,353.59,287.301
339.2197,353.6479,287.2102
339.2197,353.6479,287.2102
339.5294,353.8476,286.9566
340.0541,354.123,286.7362
340.0541,354.123,286.7362
340.6833,354.1315,286.5011
341.1251,354.1884,286.425
342.3735,354.3761,286.3871
343.2182,354.45,286.3825
345.3783,354.637,286.325
347.8166,354.9067,286.4304
347.8166,354.9067,286.4304
350.3217,355.1475,286.4716
352.8241,355.3928,286.5081
354.0521,355.5229,286.604
356.3568,355.6785,286.8029
356.3568,355.6785,286.8029
358.556,355.7733,286.8819
0.8088824,356.0294,286.9558
3.052964,356.1854,287.1536
3.052964,356.1854,287.1536
5.165605,356.2982,287.259
7.265561,356.5033,287.2398
7.265561,356.5033,287.2398
9.24301,356.7026,287.4269
10.95031,356.7543,287.494
12.57225,356.9884,287.3746
12.57225,356.9884,287.3746
14.5038,357.3716,287.5136
14.5038,357.3716,287.5136
15.36309,357.5207,287.4499
16.06583,357.6604,287.35
16.06583,357.6604,287.35
16.40407,357.7468,287.3094
16.38517,357.72,287.2119
16.3299,357.7056,287.1365
16.24687,357.708,286.9869
16.03029,357.7052,286.8183
16.03029,357.7052,286.8183
15.65877,357.7104,286.6144
15.4621,357.7481,286.4943
15.12362,357.8946,286.2754
14.93169,357.9686,286.157
14.70772,358.011,286.0151
14.1464,358.1129,285.5569
13.48637,358.2586,284.7859
12.63804,358.3837,283.877
12.63804,358.3837,283.877
11.61418,358.3653,282.8918
10.45274,358.264,281.5909
10.45274,358.264,281.5909
9.079681,358.2505,280.3235
7.469967,358.2045,279.3102
6.63823,358.1227,278.6728
5.783529,358.0399,277.965
3.898999,358.0141,276.752
2.926244,357.9871,276.4449
1.023923,357.8428,275.8617
359.1004,357.7428,274.9229
359.1004,357.7428,274.9229
357.1372,357.5946,273.7829
355.1901,357.4063,272.6151
354.2409,357.3404,272.0162
352.3963,357.3283,270.8356
352.3963,357.3283,270.8356
350.5795,357.2668,269.7639
348.9663,357.0668,268.6874
348.9663,357.0668,268.6874
347.5043,356.8196,267.7487
346.2798,356.7098,266.7371
345.2859,356.5505,265.9099
344.8205,356.5106,265.587
344.0696,356.32,265.0172
344.0696,356.32,265.0172
343.0413,356.0796,264.232
343.0413,356.0796,264.232
342.3044,355.9046,263.8382
341.5064,355.6661,263.549
341.1196,355.514,263.4211
340.3945,355.2414,263.1485
340.3945,355.2414,263.1485
339.7141,354.9917,262.9081
339.1096,354.7255,262.809
338.6077,354.502,262.7236
338.6077,354.502,262.7236
338.2688,354.371,262.6202
338.1029,354.3775,262.5966
338.1029,354.3775,262.5966
338.0463,354.4457,262.6204
338.101,354.4845,262.6068
338.3601,354.6084,262.5465
338.6074,354.679,262.5044
338.9084,354.7446,262.474
339.719,354.837,262.3819
340.9042,354.9765,262.205
341.6377,355.0968,262.095
343.4361,355.4146,261.8295
344.4612,355.6335,261.6918
346.5858,356.0619,261.3491
348.9193,356.5089,260.8852
348.9193,356.5089,260.8852
351.5404,357.0539,260.344
354.2954,357.6192,259.822
354.2954,357.6192,259.822
356.8614,358.2509,259.305
358.1112,358.5752,259.0291
0.5528131,359.1274,258.5861
1.746859,359.3287,258.4335
2.900403,359.4981,258.3208
5.042177,359.8756,258.1523
7.065349,0.3367676,258.0754
8.917225,0.8469082,258.1298
8.917225,0.8469082,258.1298
11.48132,1.481792,258.2663
11.48132,1.481792,258.2663
12.27565,1.666731,258.3432
13.74823,2.091188,258.5529
