Yaw,Pitch,Roll
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
0.7081442,0.4477385,279.686
355.8256,1.677995,282.1055
353.0231,1.887846,283.3471
348.4526,2.141922,285.0931
345.4578,2.443138,286.1569
345.4578,2.443138,286.1569
342.4929,2.684723,287.1484
339.6995,2.973338,287.926
339.6995,2.973338,287.926
337.2061,3.213933,288.6217
335.0092,3.554603,289.2037
333.1451,3.855141,289.6534
333.1451,3.855141,289.6534
331.6285,4.120722,289.9855
330.4609,4.377235,290.2476
330.4609,4.377235,290.2476
329.6006,4.549372,290.4568
329.0341,4.68159,290.6736
328.7658,4.824742,290.8881
328.7658,4.824742,290.8881
328.6476,4.841557,291.0129
328.814,4.857593,291.0244
328.814,4.857593,291.0244
329.2376,4.826884,291.0302
329.5259,4.784511,291.0303
330.6606,4.58852,291.0095
330.6606,4.58852,291.0095
331.6875,4.413031,291.1176
332.9518,4.230292,291.2184
332.9518,4.230292,291.2184
334.4387,4.00927,291.3576
336.0186,3.743921,291.6158
337.6843,3.451053,291.8548
337.6843,3.451053,291.8548
339.4487,3.096592,292.0821
341.3442,2.740049,292.218
343.396,2.491387,292.2885
343.396,2.491387,292.2885
345.6068,2.190603,292.318
347.8832,1.77561,292.386
347.8832,1.77561,292.386
349.0292,1.530485,292.4457
352.633,0.8323165,292.6141
352.633,0.8323165,292.6141
355.1421,0.4076804,292.743
356.4001,0.1783599,292.8406
0.413634,359.5256,293.0867
0.413634,359.5256,293.0867
3.132706,359.002,293.2219
4.487653,358.7265,293.3008
4.487653,358.7265,293.3008
8.501145,357.9636,293.3698
10.99589,357.5648,293.2967
13.28597,357.2422,293.1528
13.28597,357.2422,293.1528
15.38267,357.0018,292.9063
17.23499,356.8098,292.6217
18.84277,356.6258,292.3209
18.84277,356.6258,292.3209
20.23026,356.4612,291.9854
21.43021,356.3862,291.68
21.43021,356.3862,291.68
22.39517,356.3681,291.4121
23.1762,356.3168,291.1201
23.80745,356.2496,290.7872
23.80745,356.2496,290.7872
24.32045,356.2598,290.4608
23.60556,357.953,291.9386
23.60556,357.953,291.9386
24.1216,359.3642,293.4944
24.31319,359.7365,293.6757
24.40134,0.005301934,293.6339
24.40134,0.005301934,293.6339
23.85495,3.700004,297.1435
23.73189,3.873653,295.6547
23.73189,3.873653,295.6547
23.05725,4.086377,295.005
21.82613,4.639269,294.1937
19.96403,5.420214,293.1637
19.96403,5.420214,293.1637
17.44839,6.623118,291.8712
15.87986,7.424325,291.0825
9.739047,9.803523,287.8526
9.739047,9.803523,287.8526
5.080619,11.25637,285.3898
0.062204,12.43697,282.8358
0.062204,12.43697,282.8358
355.0667,13.22305,280.2375
350.4174,13.5444,277.8952
345.9766,13.86666,275.0777
345.9766,13.86666,275.0777
342.1976,13.45942,272.4086
340.4751,13.21831,271.1271
340.4751,13.21831,271.1271
335.3187,13.45573,267.9942
332.9809,12.76933,266.3401
331.2188,11.87832,264.7997
331.2188,11.87832,264.7997
329.9744,10.79458,263.2548
328.1173,10.70555,261.9173
328.1173,10.70555,261.9173
327.5765,9.707697,260.9447
326.7962,9.291258,260.2549
326.7962,9.291258,260.2549
325.8651,9.25762,259.8347
325.508,9.261598,259.7202
325.1611,9.185427,259.6077
325.1907,9.158609,259.7063
325.1907,9.158609,259.7063
325.6186,9.167212,259.8177
325.6186,9.167212,259.8177
326.4081,9.150153,260.0432
327.382,9.193828,260.3007
328.5676,9.274336,260.5992
329.992,9.349502,260.9356
329.992,9.349502,260.9356
331.6503,9.452487,261.2967
333.574,9.545731,261.7174
333.574,9.545731,261.7174
335.8864,9.559633,262.128
338.5503,9.533976,262.4557
341.5358,9.537211,262.7342
341.5358,9.537211,262.7342
343.1654,9.539409,262.8623
