Yaw,Pitch,Roll
356.5671,0.0519421,279.6872
356.5671,0.0519421,279.6872
356.6415,359.8717,279.8481
356.6415,359.8717,279.8481
356.6985,359.7777,280.08
356.6985,359.7777,280.08
356.7925,359.6996,280.1589
357.025,359.5419,280.2752
357.025,359.5419,280.2752
357.3114,359.4507,280.4049
357.5544,359.4333,280.5119
357.8106,359.4175,280.6096
357.8106,359.4175,280.6096
358.0999,359.397,280.734
358.2693,359.3865,280.9174
358.2693,359.3865,280.9174
358.2645,359.3918,281.0588
357.6727,359.3459,281.7249
357.6727,359.3459,281.7249
356.1118,359.1414,282.6112
354.5876,358.9086,283.2324
354.5876,358.9086,283.2324
351.8005,358.5157,284.2238
351.8005,358.5157,284.2238
349.6813,358.2114,284.8766
347.5409,357.9505,285.5084
347.5409,357.9505,285.5084
345.297,357.7415,286.3152
342.9993,357.4036,287.0767
342.9993,357.4036,287.0767
339.798,357.0823,288.1552
339.798,357.0823,288.1552
337.756,356.9439,288.8777
337.756,356.9439,288.8777
334.9343,356.6227,289.848
333.3542,356.5346,290.3893
333.3542,356.5346,290.3893
331.9279,356.4656,290.9688
330.6796,356.3938,291.4765
329.7222,356.3493,291.7875
329.7222,356.3493,291.7875
329.0591,356.3517,291.9551
328.706,356.3985,292.0467
328.6172,356.4839,292.1239
328.6172,356.4839,292.1239
328.7731,356.5695,292.1571
329.1475,356.6582,292.1178
329.1475,356.6582,292.1178
329.6714,356.7538,292.0479
330.3454,356.8535,291.9737
331.1176,356.9638,291.8863
331.1176,356.9638,291.8863
331.9454,357.0385,291.8091
332.9137,357.0718,291.7323
334.0382,357.1442,291.6382
334.0382,357.1442,291.6382
335.3741,357.2247,291.5879
337.1064,357.4077,291.5692
337.1064,357.4077,291.5692
339.1145,357.5494,291.5061
341.5159,357.6107,291.4919
344.3205,357.7872,291.5117
344.3205,357.7872,291.5117
347.4028,357.8552,291.451
350.7914,357.9016,291.3843
350.7914,357.9016,291.3843
354.314,358.0245,291.3414
357.9089,358.1217,291.2253
1.5243,358.2266,291.0437
1.5243,358.2266,291.0437
5.040856,358.4165,290.8923
10.22477,358.4817,290.7323
10.22477,358.4817,290.7323
13.75447,358.2659,291.7683
13.75447,358.2659,291.7683
16.81505,358.1915,291.6663
19.68369,358.1341,291.6622
22.29501,358.0751,291.65
22.29501,358.0751,291.65
24.66276,358.0069,291.65
26.73203,358.0805,291.6814
26.73203,358.0805,291.6814
28.5213,358.098,291.7061
30.05206,358.3407,291.7455
31.26646,358.5706,291.773
31.26646,358.5706,291.773
32.17147,358.6527,291.7255
32.74107,358.6774,291.6563
32.74107,358.6774,291.6563
32.96679,358.7372,291.5145
32.86235,358.743,291.2574
32.43737,358.7155,291.0166
32.43737,358.7155,291.0166
31.74323,358.7428,290.7351
