Yaw,Pitch,Roll
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
359.7,4.673713,273.1243
353.8893,4.698108,275.1087
352.5757,4.691939,275.6534
352.5757,4.691939,275.6534
351.4677,4.694355,276.1399
350.4954,4.765825,276.5516
349.5937,4.857222,277.0022
349.5937,4.857222,277.0022
348.8021,4.948263,277.437
348.1291,5.107315,277.7953
348.1291,5.107315,277.7953
347.5237,5.234069,278.1118
347.0406,5.339699,278.3941
346.6224,5.477639,278.6991
346.6224,5.477639,278.6991
346.2732,5.595024,278.9676
345.9693,5.772348,279.1377
345.9693,5.772348,279.1377
345.7714,5.878091,279.2574
345.727,5.931061,279.4178
345.7937,5.959893,279.4084
345.7937,5.959893,279.4084
345.9788,6.021374,279.4972
346.2461,6.03316,279.564
346.5812,6.044897,279.6476
346.5812,6.044897,279.6476
347.0014,6.019357,279.7666
347.5218,5.973587,279.8152
347.5218,5.973587,279.8152
348.0453,5.933147,280.0623
348.0453,5.933147,280.0623
348.6678,5.782835,280.2099
349.3321,5.601777,280.2963
350.0525,5.391888,280.4512
350.9273,5.142516,280.6379
350.9273,5.142516,280.6379
352.0385,4.833359,280.7643
353.4691,4.472742,280.8649
355.2625,4.078781,281.0443
355.2625,4.078781,281.0443
357.5661,3.627614,281.265
0.3011906,3.253494,281.4521
0.3011906,3.253494,281.4521
3.228269,2.868301,281.6122
6.281857,2.471722,281.7062
10.79216,1.860547,281.7261
10.79216,1.860547,281.7261
12.1875,1.682704,281.6737
14.7687,1.318768,281.5194
14.7687,1.318768,281.5194
17.03741,0.9683501,281.3312
19.03084,0.6241413,281.15
20.71492,0.1293886,280.9857
20.71492,0.1293886,280.9857
22.72218,359.6774,280.7146
23.20171,359.5236,280.6366
23.20171,359.5236,280.6366
24.04804,359.2167,280.4803
24.65345,359.0016,280.3336
25.123,358.872,280.0655
25.123,358.872,280.0655
25.19698,358.8368,279.9138
25.09822,358.7843,279.7858
25.09822,358.7843,279.7858
25.0063,358.7612,279.7312
24.57711,358.795,279.6441
24.22237,358.8607,279.6825
24.22237,358.8607,279.6825
23.83535,358.9064,279.7285
23.4206,358.998,279.825
23.4206,358.998,279.825
22.95998,359.1439,279.9343
22.42081,359.3285,280.0027
22.11417,359.4313,280.0181
22.11417,359.4313,280.0181
21.44846,359.6749,280.0422
20.68084,359.9347,280.0568
19.24963,0.4353297,280.0847
19.24963,0.4353297,280.0847
18.03157,0.8195235,280.0242
18.03157,0.8195235,280.0242
16.55533,1.26831,279.8711
14.87653,1.718476,279.6054
13.94448,1.951322,279.4961
11.89026,2.475256,279.2429
11.89026,2.475256,279.2429
8.4386,3.346349,278.6786
5.956393,3.930912,278.1747
5.956393,3.930912,278.1747
3.404708,4.428902,277.5827
0.841345,4.828873,276.9395
358.3158,5.165327,276.1265
358.3158,5.165327,276.1265
355.8791,5.342233,275.0851
353.621,5.421222,273.8929
353.621,5.421222,273.8929
351.6249,5.392296,272.672
349.8622,5.299888,271.45
348.3214,5.259022,270.2265
348.3214,5.259022,270.2265
347.0273,5.269013,269.0799
345.9811,5.271396,268.0438
345.9811,5.271396,268.0438
345.1494,5.282031,267.1781
344.509,5.296337,266.4858
343.9831,5.332486,265.8732
343.9831,5.332486,265.8732
343.6216,5.278745,265.3865
343.3991,5.182018,265.0544
343.3991,5.182018,265.0544
343.3292,5.073647,264.7904
343.415,4.973684,264.6014
343.603,4.911242,264.5532
343.603,4.911242,264.5532
343.8826,4.875636,264.5884
344.2261,4.829212,264.666
344.616,4.816736,264.798
344.616,4.816736,264.798
344.9938,4.78788,264.9842
345.3944,4.749493,265.2235
345.3944,4.749493,265.2235
345.8176,4.710409,265.5089
346.3228,4.629361,265.7841
346.3228,4.629361,265.7841
346.9424,4.511257,266.0644
347.7658,4.38461,266.4429
348.9849,4.246507,266.7833
350.6307,4.084562,267.0471
350.6307,4.084562,267.0471
352.7815,4.001461,267.2736
355.277,3.878411,267.4095
355.277,3.878411,267.4095
358.0645,3.69926,267.6148
1.060531,3.481401,267.6437
1.060531,3.481401,267.6437
4.054949,3.195448,267.6051
6.988151,2.757592,267.4574
9.722202,2.32797,267.1635
9.722202,2.32797,267.1635
12.14926,1.937753,266.8617
14.25407,1.600919,266.3791
14.25407,1.600919,266.3791
16.07549,1.328834,265.9186
17.59138,1.033592,265.4832
17.59138,1.033592,265.4832
18.84071,0.7446687,265.1174
19.7868,0.4604306,264.8899
20.45238,0.2861742,264.7654
20.8978,0.118661,264.645
20.8978,0.118661,264.645
21.18527,0.03111237,264.7132
21.32069,-0.002998453,264.7709
21.32069,-0.002998453,264.7709
21.34228,359.986,264.8203
21.26958,0.001296882,264.8914
21.13281,0.01776191,265.036
21.13281,0.01776191,265.036
20.90623,0.09335165,265.1341
20.67409,0.1903244,265.2839
20.67409,0.1903244,265.2839
20.43202,0.3198927,265.4551
20.12509,0.4742212,265.6512
19.77169,0.6454708,265.8788
19.77169,0.6454708,265.8788
19.34736,0.8118985,266.1356
18.81337,0.9979684,266.4084
18.81337,0.9979684,266.4084
18.09369,1.180404,266.696
17.01254,1.342609,267.0667
15.51239,1.548575,267.4274
15.51239,1.548575,267.4274
13.67429,1.674952,267.7767
11.48878,1.818769,268.1751
11.48878,1.818769,268.1751
9.035212,2.016736,268.5828
6.337162,2.235298,269.1299
3.528952,2.366207,269.604
3.528952,2.366207,269.604
0.6605985,2.57789,270.0371
357.7943,2.884044,270.5371
357.7943,2.884044,270.5371
355.0303,3.260614,271.101
352.3824,3.702021,271.7614
349.938,4.229992,272.4659
349.938,4.229992,272.4659
347.6753,4.787486,273.2345
347.6753,4.787486,273.2345
344.6752,5.621135,274.4718
343.0188,6.162049,275.4807
341.5984,6.613259,276.3998
341.5984,6.613259,276.3998
340.3878,6.8854,277.2262
339.273,7.093752,277.713
339.273,7.093752,277.713
338.2761,7.314886,277.8764
337.4081,7.557932,277.879
336.6806,7.779446,277.9357
336.6806,7.779446,277.9357
336.1441,7.989303,277.9847
335.7693,8.165102,278.0403
335.7693,8.165102,278.0403
335.5804,8.287049,278.1182
335.5698,8.380857,278.2519
335.5698,8.380857,278.2519
335.7368,8.421487,278.351
336.0411,8.405972,278.486
336.4977,8.320029,278.6282
336.4977,8.320029,278.6282
337.2084,8.122057,278.7522
338.2662,7.671654,278.9776
339.8241,6.802169,279.5682
339.8241,6.802169,279.5682
341.7448,5.937269,280.1153
343.9132,5.394616,280.5389
346.4135,5.08692,280.9133
346.4135,5.08692,280.9133
349.2513,4.697052,281.2394
352.3484,4.302004,281.4957
352.3484,4.302004,281.4957
355.6501,3.921172,281.7845
358.9466,3.533495,282.0576
1.997019,3.175483,282.3095
1.997019,3.175483,282.3095
4.810354,2.796227,282.5098
7.277523,2.461213,282.7417
7.277523,2.461213,282.7417
9.38564,2.130435,282.991
11.17076,1.752168,283.1001
11.17076,1.752168,283.1001
12.74034,1.495969,283.1698
13.95061,1.310428,283.2119
