Yaw,Pitch,Roll
352.8925,0.3582827,273.9429
352.8925,0.3582827,273.9429
352.8925,0.3582827,273.9429
352.8925,0.3582827,273.9429
352.8925,0.3582827,273.9429
352.8925,0.3582827,273.9429
351.1411,0.1131951,274.3473
349.9263,0.03520835,274.5406
349.1696,359.9492,274.6519
347.4092,359.6809,274.8654
346.2686,359.6588,274.9814
343.6375,359.471,275.2537
342.1713,359.2099,275.3999
339.0049,358.7423,275.7193
337.3632,358.5171,275.8735
333.9607,358.1725,276.2167
332.168,358.0068,276.4095
330.3773,357.7529,276.629
328.6197,357.4356,276.8517
326.9129,357.1405,277.092
321.9323,356.8203,277.7961
320.331,356.6895,278.0589
317.2732,356.3524,278.552
315.7651,356.2757,278.7689
314.337,356.1996,278.9667
311.6781,355.9998,279.3243
310.4203,355.9393,279.4726
308.1045,355.7991,279.7249
307.0346,355.743,279.8423
305.9771,355.7326,279.9388
304.0591,355.6794,280.0762
302.2968,355.6395,280.3932
301.4842,355.6181,280.4556
300.7513,355.5218,280.5197
299.4484,355.3662,280.6211
298.8672,355.3727,280.667
297.8443,355.307,280.7722
297.4148,355.2447,280.8258
296.6166,355.2676,280.9047
296.2782,355.303,280.9576
295.9818,355.2906,281.0125
295.4987,355.3215,281.1054
295.2816,355.3582,281.1426
294.9499,355.3599,281.176
294.7619,355.4102,281.0286
294.5857,355.5267,281.1377
294.5218,355.533,281.1526
294.4978,355.5097,281.1461
294.4719,355.5875,281.1028
294.4697,355.626,281.084
294.5821,355.5543,281.012
294.6371,355.6971,280.8594
294.6142,356.4695,280.1659
294.7715,356.6585,279.9822
295.1182,356.9987,279.5329
295.6505,356.9825,280.4162
295.7723,357.1692,280.8422
296.1227,356.8422,280.4296
296.3691,356.6823,280.2809
296.8817,356.5634,280.1283
297.231,356.4752,280.0258
298.1895,356.2739,279.7177
298.7717,356.2746,279.5088
299.393,356.3513,279.2963
300.7666,356.4505,278.8349
301.5439,356.4418,278.5713
303.1312,356.547,278.0111
303.836,356.6874,277.7327
305.12,356.8546,277.1789
305.7596,356.8817,276.8964
306.2827,357.0085,276.6074
306.9395,357.3421,276.1455
307.176,357.3926,275.9811
307.4043,357.4187,275.6726
307.4159,357.4881,275.4794
307.3967,357.5086,275.0624
307.4927,357.4306,274.8004
307.7609,357.512,274.3351
307.941,357.6327,274.1293
308.1395,357.7193,273.9646
308.6511,357.8083,273.7534
308.9246,357.8772,273.6655
309.459,357.9924,273.4713
309.7495,358.0101,273.3951
310.0152,358.0497,273.3461
310.4986,358.1583,273.2904
310.7063,358.1872,273.2696
311.0222,358.1893,273.2941
311.1711,358.1738,273.3383
311.4108,358.2479,273.4175
311.4695,358.2964,273.4543
311.547,358.2471,273.5298
311.5832,358.1822,273.5519
311.6162,358.1612,273.5574
311.6719,358.1505,273.4702
311.7351,358.0782,273.402
311.9413,357.9188,273.268
312.1242,357.8808,273.1545
312.5985,357.8071,272.8252
312.9543,357.7306,272.5988
313.9344,357.5912,272.1034
314.4664,357.6461,271.8358
315.0191,357.7622,271.5671
316.3171,357.8175,271.0675
317.9323,357.806,270.5265
318.8311,357.8659,270.2078
319.798,357.9417,269.814
320.7854,358.0304,269.3544
322.6863,358.3122,268.2647
323.6227,358.5014,267.6677
325.4286,359.0327,266.3938
326.9428,359.7642,264.8953
327.6425,0.05214338,264.1307
328.3489,0.2508583,263.3854
329.705,0.6634763,262.7461
330.3811,0.8496145,262.3295
331.0299,1.008164,261.8615
332.1417,1.220968,261.0971
333.212,1.304913,260.5948
333.212,1.304913,260.5948
333.964,1.450602,260.2897
334.4632,1.42829,260.2137
334.7105,1.353894,260.2301
334.9005,1.322919,260.2737
335.091,1.341125,260.3845
335.091,1.341125,260.3845
335.091,1.341125,260.3845
335.091,1.341125,260.3845
335.091,1.341125,260.3845
335.091,1.341125,260.3845
335.091,1.341125,260.3845
335.091,1.341125,260.3845
335.091,1.341125,260.3845
335.091,1.341125,260.3845
337.5152,1.064016,262.4216
338.2002,1.042516,262.8636
338.6051,1.024148,263.1167
339.0616,1.02914,263.3806
340.0222,1.092202,263.9091
340.5768,1.055876,264.1874
341.8544,0.9791801,264.8476
341.8544,0.9791801,264.8476
343.8239,1.216013,265.9407
344.549,1.21986,266.3345
346.1067,1.201146,267.1469
346.8816,1.251517,267.5921
347.6486,1.279259,268.0485
349.2273,1.149865,268.9063
350.0134,1.059093,269.3179
351.4141,0.9866056,270.1007
352.0002,0.9708626,270.4614
352.5562,0.9061493,270.8038
353.5981,0.6800947,271.4687
354.5573,0.4799579,272.2256
354.5573,0.4799579,272.2256
355.4574,0.355336,272.9611
356.3385,0.154064,273.5804
356.3385,0.154064,273.5804
357.6703,0.06781557,274.4759
358.0112,0.1035259,274.7193
358.5822,0.02744456,275.0748
358.8293,359.9797,275.2194
359.215,-0.004231596,275.4565
359.3524,-9.356825E-05,275.5345
359.4608,359.9691,275.5877
359.6431,359.8623,275.5955
359.6876,359.839,275.5382
359.6599,359.816,275.3442
359.6398,359.7666,275.222
359.6969,359.7205,275.0235
359.7323,359.7637,274.9158
