H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.051304,1.134574,0.0317162,-0.009099156,-0.002545774,-0.6739757,0.7386932
-1.051304,1.134574,0.0317162,-0.009099156,-0.002545774,-0.6739757,0.7386932
-1.051304,1.134574,0.0317162,-0.009099156,-0.002545774,-0.6739757,0.7386932
-1.051304,1.134574,0.0317162,-0.009099156,-0.002545774,-0.6739757,0.7386932
-1.051304,1.134574,0.0317162,-0.009099156,-0.002545774,-0.6739757,0.7386932
-1.051144,1.134541,0.03164959,-0.009140283,-0.002370507,-0.6738248,0.7388309
-1.051182,1.134469,0.03163275,-0.008769572,-0.002660513,-0.6739827,0.7386904
-1.051153,1.13444,0.0317384,-0.008846074,-0.003180981,-0.6739724,0.7386968
-1.051094,1.134426,0.03181562,-0.008232713,-0.004058808,-0.6738918,0.7387732
-1.051094,1.134426,0.03181562,-0.008232713,-0.004058808,-0.6738918,0.7387732
-1.0511,1.134434,0.03181168,-0.007604301,-0.004583001,-0.6739181,0.7387528
-1.051111,1.134457,0.03176181,-0.00447759,-0.008542448,-0.6738029,0.7388484
-1.051147,1.13445,0.03195655,-0.002866596,-0.01083201,-0.6735904,0.73902
-1.051219,1.134512,0.03228959,0.0004884005,-0.016931,-0.6732699,0.7392029
-1.051219,1.134512,0.03228959,0.0004884005,-0.016931,-0.6732699,0.7392029
-1.051194,1.134602,0.03245126,0.009013027,-0.02975807,-0.6722667,0.739656
-1.051194,1.134602,0.03245126,0.009013027,-0.02975807,-0.6722667,0.739656
-1.051244,1.134627,0.03261814,0.01220512,-0.03506243,-0.6718369,0.7397683
-1.051416,1.1345,0.03265707,0.0207409,-0.04666331,-0.6707318,0.7399402
-1.051298,1.134541,0.0325723,0.03148004,-0.06056502,-0.6689204,0.7401936
-1.051274,1.134557,0.03278181,0.0365209,-0.0685308,-0.6676626,0.740403
-1.050967,1.134466,0.03267604,0.049532,-0.08509576,-0.6641315,0.7411038
-1.050427,1.134578,0.03298584,0.06236416,-0.1039472,-0.6595536,0.7418188
-1.050278,1.134632,0.03345881,0.06783873,-0.1139489,-0.6571868,0.7419698
-1.049981,1.13471,0.0337339,0.08137265,-0.1335271,-0.6522413,0.7417078
-1.049742,1.134836,0.0339438,0.08834842,-0.1439403,-0.6494694,0.7413943
-1.049586,1.135004,0.03450331,0.09433651,-0.1549232,-0.6465416,0.7410017
-1.049404,1.135193,0.03537419,0.1073109,-0.1770965,-0.6403595,0.7396358
-1.049335,1.135227,0.0355562,0.1150473,-0.1882301,-0.6371119,0.7385271
-1.049369,1.135512,0.03630771,0.1299038,-0.2118309,-0.630666,0.735196
-1.049547,1.135654,0.03685082,0.1363926,-0.2238178,-0.6275378,0.7331433
-1.049669,1.135703,0.03725679,0.1432952,-0.2352089,-0.6242208,0.7310895
-1.049716,1.135889,0.03762388,0.1589598,-0.2567204,-0.6172514,0.7265173
-1.049816,1.135998,0.03801237,0.1662906,-0.2676802,-0.6136493,0.7239679
-1.050203,1.136189,0.03890695,0.1802777,-0.2896847,-0.6064383,0.7182031
-1.050011,1.134423,0.03912532,0.1878041,-0.300329,-0.601537,0.7160206
-1.05036,1.134356,0.03971218,0.2017967,-0.3206177,-0.5942822,0.7094443
-1.050596,1.134489,0.04004577,0.2083382,-0.3304814,-0.5907571,0.7059628
-1.051204,1.134867,0.04094902,0.2194474,-0.3494857,-0.5839882,0.6990426
-1.051684,1.135024,0.04145584,0.2240271,-0.358139,-0.5809811,0.6957078
-1.052355,1.13541,0.04241568,0.2327799,-0.3736197,-0.5748497,0.6897607
-1.052577,1.135539,0.04288594,0.2368609,-0.3806083,-0.5717007,0.6871628
-1.052781,1.135674,0.04332694,0.2407443,-0.3868298,-0.5686291,0.684884
-1.053134,1.135984,0.04398115,0.2482191,-0.3979831,-0.5629432,0.6805085
-1.053424,1.136106,0.04430631,0.2513248,-0.4029874,-0.5605223,0.6784186
-1.05401,1.136385,0.04490575,0.256929,-0.4117085,-0.556084,0.6747255
-1.054167,1.136506,0.04509407,0.2598518,-0.4153734,-0.5538673,0.6731813
-1.05448,1.136653,0.04552205,0.2650993,-0.4218291,-0.5500004,0.6702852
-1.054825,1.137377,0.04488358,0.2693257,-0.4241589,-0.5496675,0.667397
-1.05481,1.137624,0.04504307,0.2716746,-0.4262859,-0.5479111,0.6665334
-1.054889,1.137707,0.04509991,0.2742065,-0.4286179,-0.5461717,0.6654277
-1.055296,1.137907,0.04539107,0.2780664,-0.4329398,-0.5437647,0.662995
-1.05563,1.137966,0.0456236,0.2815175,-0.4359554,-0.5416785,0.6612679
-1.055538,1.137967,0.04566984,0.2833543,-0.4371738,-0.5405583,0.6605954
-1.05582,1.138034,0.0459902,0.2847791,-0.4390147,-0.5397752,0.6594012
-1.055135,1.139096,0.04581569,0.286162,-0.4387187,-0.5393949,0.6593107
-1.053523,1.141604,0.04492281,0.2891476,-0.4375801,-0.5390358,0.6590583
-1.054011,1.143145,0.04228511,0.287225,-0.4375814,-0.5341014,0.6638978
-1.050666,1.144743,0.03817767,0.2975158,-0.4316688,-0.5347926,0.6626791
-1.051155,1.136219,0.04553412,0.2913684,-0.4335653,-0.53431,0.6645589
-1.049891,1.135175,0.0484186,0.2877612,-0.4338981,-0.531501,0.6681563
-1.051183,1.134099,0.04809155,0.2848263,-0.4318571,-0.5352975,0.6677051
-1.051849,1.133932,0.04824378,0.2832048,-0.4307365,-0.5372012,0.6675898
-1.052088,1.133767,0.04837896,0.282095,-0.4294127,-0.5387028,0.6677024
-1.052348,1.133498,0.04834332,0.280203,-0.4264099,-0.5422904,0.6675195
-1.052541,1.13337,0.04823489,0.278958,-0.4245703,-0.5448472,0.6671314
-1.053126,1.133152,0.0478407,0.2763676,-0.420106,-0.55075,0.6661881
-1.053233,1.133079,0.04763709,0.2753979,-0.4179977,-0.5535095,0.6656286
-1.053743,1.132942,0.04739694,0.2721648,-0.4142835,-0.5598891,0.6639428
-1.054173,1.132831,0.04729576,0.2695208,-0.4120763,-0.564099,0.6628304
-1.054779,1.132667,0.04716428,0.2664829,-0.4090726,-0.56888,0.6618325
-1.055487,1.132349,0.04626998,0.2620945,-0.400101,-0.5789794,0.6603096
-1.055661,1.132172,0.0456678,0.2601239,-0.3949414,-0.5840131,0.6597618
-1.056379,1.131947,0.04515804,0.2532122,-0.3844305,-0.5946851,0.6591256
-1.056622,1.131798,0.04499583,0.2494956,-0.3786055,-0.5994675,0.6595823
-1.056268,1.131477,0.04462413,0.2436709,-0.3666781,-0.6069049,0.6616935
-1.055882,1.131322,0.04464245,0.2403178,-0.3612188,-0.6101666,0.6629217
-1.055851,1.131192,0.04515882,0.2307625,-0.3505092,-0.6176657,0.6651174
-1.055916,1.131203,0.04545608,0.2259168,-0.3451012,-0.621152,0.666361
-1.05545,1.131106,0.04591124,0.21794,-0.3354473,-0.6266007,0.6688415
-1.055257,1.130971,0.04612118,0.2140357,-0.3310658,-0.6291483,0.6698931
-1.055204,1.130837,0.04630396,0.210331,-0.3268119,-0.6317306,0.6707246
-1.054944,1.130534,0.04626155,0.2052846,-0.3192716,-0.6361569,0.6717355
-1.054742,1.130389,0.04623346,0.2032711,-0.3160633,-0.6380687,0.6720515
-1.054654,1.130081,0.04638676,0.1981402,-0.3099557,-0.6421022,0.6725867
-1.054613,1.129867,0.04632713,0.1963047,-0.3068765,-0.6437546,0.6729572
-1.054394,1.129665,0.04612122,0.1953526,-0.3040536,-0.6449291,0.6733911
-1.053962,1.129565,0.0459557,0.193234,-0.3001134,-0.6467247,0.6740474
-1.053912,1.129562,0.04608729,0.1914126,-0.2985121,-0.6476511,0.6743885
-1.053755,1.129511,0.04607496,0.1892997,-0.2951906,-0.6487741,0.6753669
-1.05356,1.129552,0.04594579,0.1889675,-0.2938759,-0.6490337,0.6757838
-1.053395,1.129638,0.0459276,0.1876731,-0.2922827,-0.6493599,0.6765217
-1.053333,1.129655,0.04593119,0.1869076,-0.2916302,-0.6493447,0.6770296
-1.052874,1.129598,0.04574099,0.1863995,-0.2896587,-0.6487254,0.6786079
-1.052666,1.129602,0.04565838,0.1860862,-0.2886592,-0.6484249,0.6794064
-1.052513,1.129628,0.04559638,0.185472,-0.2875959,-0.6483078,0.6801367
-1.052467,1.129629,0.04544084,0.1838067,-0.2849775,-0.6488366,0.6811859
-1.052455,1.129639,0.04521737,0.1832279,-0.2834403,-0.6493477,0.681496
-1.052459,1.129676,0.0449692,0.1827143,-0.2820076,-0.6499689,0.6816362
