Yaw,Pitch,Roll
357.4559,0.5533537,277.2841
357.4672,0.5414319,277.2823
357.5045,0.5345517,277.2633
357.5179,0.5316086,277.25
357.5179,0.5316086,277.25
357.5179,0.5316086,277.25
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5375,0.5480967,277.2411
357.5126,0.6296967,277.0568
357.4983,0.6404425,277.0284
357.4861,0.6458262,277.0069
357.4733,0.6436439,277.0109
357.4497,0.6302264,277.0302
357.4219,0.614673,277.0687
357.4219,0.614673,277.0687
357.3629,0.6208457,277.081
357.3484,0.6339299,277.0892
357.3354,0.6352708,277.081
357.3369,0.6377372,277.0588
357.3737,0.6385251,277.0436
357.5636,0.7083912,276.9875
357.681,0.7351303,276.9572
357.8305,0.7604937,276.9145
357.8305,0.7604937,276.9145
357.8305,0.7604937,276.9145
359.0438,0.9929603,276.6921
359.3767,1.018628,276.6442
0.2446369,1.075484,276.6027
0.731481,1.153884,276.5839
1.686178,1.291846,276.4965
2.168353,1.316465,276.4328
3.249802,1.410964,276.3623
3.815425,1.542126,276.3466
4.366458,1.661248,276.3251
4.881772,1.737082,276.2966
5.869025,1.780216,276.2082
6.839874,1.816321,276.0633
7.304169,1.85123,275.991
7.733223,1.890479,275.8943
8.520949,1.901869,275.694
8.880015,1.927777,275.5935
9.536304,1.987239,275.426
9.838595,2.00403,275.3769
10.41251,2.030761,275.3325
10.68665,2.058398,275.314
11.14017,2.076495,275.298
11.35717,2.055786,275.3174
11.77763,2.03074,275.3951
11.96512,2.03827,275.4171
12.12805,2.037074,275.4363
12.39988,1.997151,275.4189
12.52473,1.97669,275.4148
12.79476,1.970991,275.4488
12.92441,2.002297,275.4583
13.10503,2.006642,275.423
13.16369,1.981326,275.394
13.26066,1.992029,275.3779
13.30775,2.000433,275.3869
13.32616,2.014496,275.3814
13.3055,1.978387,275.3536
13.28593,1.956554,275.3422
13.24026,1.960556,275.3557
13.2155,1.96867,275.3635
13.17746,1.966238,275.3604
13.13724,1.94383,275.333
13.125,1.948065,275.3223
13.10911,1.975304,275.3182
13.11252,1.980165,275.3232
13.16556,1.917544,275.3172
13.22855,1.89865,275.324
13.3522,1.919816,275.3052
13.45066,1.910161,275.3117
13.59063,1.882057,275.3763
13.80813,1.896431,275.4912
14.73461,2.143321,275.8327
14.73461,2.143321,275.8327
16.27117,2.419179,276.4796
16.92073,2.614693,276.7461
18.30536,2.982851,277.1961
19.02118,3.133982,277.4549
19.77602,3.308474,277.7643
21.34984,3.686798,278.3515
22.10371,3.846333,278.5624
23.57616,4.051158,279.0325
24.31928,4.14997,279.2919
25.04803,4.238533,279.5367
26.39549,4.363128,279.8881
27.03412,4.393026,280.0927
28.25287,4.483033,280.5081
28.81844,4.521667,280.7136
29.34826,4.548741,280.9136
30.45401,4.430386,281.4571
30.93841,4.448967,281.7053
31.71,4.416242,282.1077
32.01822,4.345604,282.2837
32.48568,4.24235,282.6476
32.65744,4.21078,282.8264
32.77681,4.177028,282.9705
32.53214,4.515645,283.0945
35.54833,8.517192,289.067
32.7934,2.876384,283.9307
32.09854,4.007816,283.3626
32.88859,2.843478,282.3091
32.79038,2.787871,282.6821
32.66135,2.748192,282.7233
32.44009,2.756564,282.8164
32.3295,2.745639,282.8091
32.12733,2.703079,282.8026
32.05281,2.697361,282.826
31.94542,2.743143,282.882
31.8816,2.75607,282.8795
31.84008,2.762183,282.8718
31.80216,2.777063,282.9053
31.81135,2.802059,282.9949
31.81396,2.792564,283.0197
31.79296,2.78318,283.0222
31.76128,2.764838,283.0187
31.72914,2.780082,283.0046
31.69451,2.79324,282.9825
31.57734,2.81715,282.9083
31.37249,2.819498,282.7842
31.22064,2.817978,282.687
31.02086,2.812842,282.5659
30.40118,2.796472,282.2521
29.94908,2.778001,282.0851
28.81013,2.746116,281.7102
28.05458,2.766367,281.4953
26.15582,2.845091,281.0887
24.996,2.773053,280.905
23.77056,2.601432,280.7382
21.14296,2.47206,280.4865
19.68614,2.425168,280.4573
16.58896,1.967914,280.5099
15.02927,1.758188,280.5182
12.12944,1.537685,280.4669
10.71815,1.550752,280.4556
7.883301,1.498045,280.2595
6.556422,1.327426,280.0971
5.288056,1.213913,279.9353
3.029269,1.199113,279.5666
1.967931,1.288916,279.3787
359.8743,1.306172,278.9772
358.9731,1.197426,278.7706
357.4421,1.159887,278.4052
356.791,1.25615,278.2458
356.2097,1.358656,278.0872
355.1017,1.444374,277.7805
