H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.264338,1.138358,0.005781896,0.03568575,-0.03641221,-0.6612431,0.7484373
-1.264338,1.138358,0.005781896,0.03568575,-0.03641221,-0.6612431,0.7484373
-1.264338,1.138358,0.005781896,0.03568575,-0.03641221,-0.6612431,0.7484373
-1.264338,1.138358,0.005781896,0.03568575,-0.03641221,-0.6612431,0.7484373
-1.264202,1.138159,0.005545147,0.03380489,-0.03548127,-0.6617844,0.7480908
-1.264137,1.138182,0.00542295,0.03403881,-0.03568253,-0.6613859,0.7484231
-1.264083,1.138178,0.005493887,0.03378919,-0.03619912,-0.661214,0.7485614
-1.264073,1.138168,0.005494766,0.03387356,-0.03636405,-0.6611575,0.7485995
-1.263987,1.138177,0.00534372,0.03448623,-0.03672495,-0.6608752,0.7488031
-1.263891,1.138191,0.005311683,0.03471082,-0.03757074,-0.6604413,0.7491336
-1.263835,1.138177,0.005314454,0.03485852,-0.03814301,-0.6601549,0.7493502
-1.26374,1.138162,0.005286902,0.03521657,-0.0388239,-0.6597928,0.7496174
-1.263598,1.138183,0.005222231,0.03620386,-0.04057661,-0.6590201,0.750157
-1.26352,1.138201,0.005210064,0.03677112,-0.0416863,-0.658545,0.7504857
-1.263419,1.138205,0.005140066,0.03768456,-0.04307026,-0.6579704,0.7508662
-1.263293,1.138279,0.005221508,0.03932968,-0.04703668,-0.6567551,0.7516074
-1.26325,1.138363,0.005476885,0.04002798,-0.04925302,-0.6560654,0.7520307
-1.263088,1.138395,0.005570263,0.04217061,-0.05361503,-0.6545037,0.7529756
-1.262949,1.138421,0.005535543,0.04385909,-0.05596322,-0.6534364,0.7536349
-1.262508,1.138517,0.005671561,0.04757282,-0.06285301,-0.6507599,0.7551808
-1.262508,1.138517,0.005671561,0.04757282,-0.06285301,-0.6507599,0.7551808
-1.262136,1.138611,0.006289586,0.05077368,-0.07168689,-0.64789,0.7566518
-1.26155,1.138812,0.006896012,0.05786142,-0.08698979,-0.642795,0.7588805
-1.26155,1.138812,0.006896012,0.05786142,-0.08698979,-0.642795,0.7588805
-1.261187,1.138974,0.007617623,0.06254613,-0.09864166,-0.6389204,0.7603543
-1.260962,1.1391,0.008046649,0.06883988,-0.1106652,-0.6349863,0.7614505
-1.260764,1.139238,0.008203276,0.07263124,-0.117335,-0.6326776,0.7620212
-1.260764,1.139238,0.008203276,0.07263124,-0.117335,-0.6326776,0.7620212
-1.260327,1.13956,0.009089418,0.07918143,-0.1323173,-0.6274148,0.7632649
-1.260064,1.139746,0.009975091,0.08602041,-0.1477134,-0.6219079,0.7642067
-1.259956,1.139838,0.01026873,0.0901708,-0.1555566,-0.6191184,0.764437
-1.259917,1.140195,0.01126166,0.09799337,-0.1725238,-0.6134935,0.7643682
-1.259905,1.140395,0.0118584,0.1017215,-0.1815135,-0.6105089,0.7641889
-1.259831,1.140716,0.01310618,0.109361,-0.1996265,-0.603937,0.7638387
-1.259716,1.140898,0.01376154,0.1131095,-0.2084846,-0.6004264,0.7636942
-1.259571,1.141241,0.01495283,0.1209344,-0.2258391,-0.5931803,0.7632226
-1.25961,1.141406,0.01554359,0.1248703,-0.2345477,-0.5896704,0.762682
-1.259732,1.141575,0.01616673,0.1287207,-0.2432557,-0.5862854,0.7619235
-1.260025,1.141996,0.01728556,0.1366805,-0.2604442,-0.5795988,0.7599689
