Yaw,Pitch,Roll
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5127,357.8512,271.0323
358.5177,357.9744,271.0974
358.5337,357.9608,271.1042
358.5337,357.9608,271.1042
358.5539,357.9368,271.1187
358.5681,357.939,271.0963
358.61,357.9222,271.1111
358.6262,357.9118,271.1152
358.6523,357.8999,271.1142
358.6751,357.8856,271.1089
358.6751,357.8856,271.1089
358.6751,357.8856,271.1089
358.6751,357.8856,271.1089
358.6751,357.8856,271.1089
358.6922,357.8847,271.0464
358.6766,357.8884,271.0559
358.6267,357.8947,271.1025
358.6267,357.8947,271.1025
358.5957,357.8906,271.112
358.5957,357.8906,271.112
358.5924,357.8909,271.1192
358.5907,357.889,271.1482
358.5981,357.8906,271.151
358.6142,357.8837,271.1497
358.6373,357.8966,271.1544
358.6264,357.9333,271.1835
358.6093,357.919,271.221
358.6076,357.9017,271.2259
358.6178,357.847,271.2052
358.6338,357.8204,271.1724
358.6408,357.8188,271.1529
358.6661,357.8112,271.1475
358.697,357.8276,271.147
358.706,357.8423,271.1479
358.7027,357.8569,271.1597
358.6881,357.8458,271.1632
358.618,357.8272,271.1811
358.5684,357.8233,271.1989
358.5296,357.794,271.2051
358.4772,357.7415,271.2415
358.4109,357.7599,271.2872
357.8876,357.7572,271.3828
357.472,357.6346,271.4487
356.4784,357.3118,271.5842
355.8596,357.2159,271.6704
354.1285,357.064,271.9262
353.0624,356.9053,272.0723
351.9194,356.6887,272.2295
349.4699,356.2105,272.5331
348.1728,356.0888,272.6791
345.2087,356.0063,273.1668
343.618,355.8553,273.5112
340.4315,355.3769,274.3317
338.8352,355.1472,274.7404
337.2508,354.9808,275.1595
334.0472,354.7084,276.1359
332.4148,354.6419,276.6867
329.1926,354.5704,277.9002
327.6755,354.5185,278.5439
324.8895,354.5998,279.7761
323.5694,354.7747,280.3525
320.9644,355.2184,281.4714
319.7251,355.3429,282.0088
318.5406,355.4338,282.5195
316.3613,355.6351,283.38
315.2944,355.7693,283.7718
313.1767,356.0149,284.4407
312.1691,356.2007,284.7075
310.2636,356.4549,284.7953
309.4197,356.5957,284.916
308.6934,356.8092,284.9625
307.4652,357.2878,285.0131
307.0209,357.4332,285.0393
306.4468,357.7039,284.9639
306.2772,357.8105,284.8877
306.1227,358.1792,284.8116
306.1154,358.3289,284.8321
306.2283,358.5131,284.8125
306.3087,358.6425,284.7737
306.3677,358.7892,284.7346
306.4321,359.0412,284.749
306.5216,359.1002,284.7586
306.7003,359.28,284.7216
306.7654,359.3722,284.7398
306.8578,359.4091,284.7402
307.1266,359.5126,284.5997
307.218,359.6504,284.5379
307.3369,359.8487,284.5471
307.4453,359.8772,284.5703
307.7769,359.9338,284.5146
307.9453,359.9888,284.481
308.1964,0.0811478,284.485
308.3398,0.1015342,284.4535
308.5064,0.1054735,284.3612
308.7975,0.1410623,284.1121
308.9116,0.1508944,284.0194
309.102,0.1404971,283.7296
309.2218,0.1275488,283.4794
309.4149,0.2537987,282.8443
309.4973,0.3365698,282.5281
309.715,0.4374266,281.8023
309.8729,0.4732094,281.3641
310.0266,0.5380168,280.92
310.2812,0.6453487,280.2637
310.3665,0.6238921,280.0231
310.6299,0.4901335,279.3906
310.7429,0.4983745,279.0608
310.7838,0.4828677,278.7282
310.7459,0.435801,278.6428
310.6842,0.3638313,278.5358
310.6052,0.2147229,278.1415
310.5843,0.1902092,277.9283
310.5482,0.2091443,277.7064
310.5826,0.1795421,277.6574
310.7283,0.195967,277.4942
310.7991,0.2445147,277.4138
310.8681,0.2593654,277.4022
310.9735,0.269399,277.4298
311.002,0.3138983,277.4222
311.0783,0.3325945,277.4223
311.1596,0.3173954,277.4409
311.4111,0.2593107,277.4725
311.5948,0.2372131,277.4499
312.1904,0.1121996,277.3345
312.6891,-0.0003176038,277.2644
313.3271,359.9048,277.1892
315.1966,359.6161,276.9894
316.4229,359.4299,276.8562
319.2684,359.131,276.5851
320.7897,359.0597,276.48
323.8944,359.0443,276.2523
325.5578,358.8988,275.9971
328.6295,358.8079,275.6714
330.1703,358.7094,275.5125
331.6681,358.623,275.3636
334.4865,358.4809,275.0768
335.8492,358.3979,274.9245
338.5809,358.2213,274.6553
339.9149,358.1491,274.5933
341.1971,358.1225,274.5512
343.6827,358.0273,274.5159
346.0929,357.8897,274.4062
347.2346,357.8508,274.5597
348.3227,357.773,274.4767
350.2849,357.6008,274.2679
351.1984,357.5018,274.1944
352.86,357.3929,274.0953
353.5443,357.325,274.0362
354.153,357.2507,273.9863
355.0663,356.9734,273.8257
355.4682,356.8854,273.7386
356.1247,356.9015,273.6231
356.3307,356.9301,273.5999
356.4608,356.8996,273.5891
356.4627,356.8869,273.6047
356.4899,356.9249,273.6591
356.5266,356.9489,273.6804
356.5833,356.9766,273.6788
356.6277,356.9919,273.6904
356.6311,356.9834,273.7042
356.6346,356.9515,273.7131
356.6528,356.9547,273.7089
356.7274,356.9586,273.6432
356.7803,356.9507,273.6133
356.8222,356.9443,273.5914
356.9805,356.9813,273.5767
357.1128,357.0148,273.5778
357.4912,357.097,273.5821
357.7247,357.1451,273.5625
358.3335,357.2116,273.5378
358.7365,357.248,273.5403
359.2299,357.3116,273.5555
0.3104738,357.427,273.6023
0.9051844,357.455,273.6364
2.270521,357.5275,273.7301
3.023448,357.5923,273.7949
3.79878,357.6773,273.834
5.364293,357.8128,273.8868
7.043751,357.9026,273.885
7.881146,357.9589,273.8592
8.687633,357.9943,273.8321
10.22251,358.0399,273.7982
10.95742,358.0746,273.7861
12.40499,358.174,273.753
13.07789,358.2467,273.7176
