H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.105476,1.025783,-0.01902407,0.0592491,-0.0490776,-0.6695276,0.7387922
-1.104933,1.026468,-0.01809253,0.06553039,-0.05350715,-0.662107,0.7446188
-1.104473,1.026322,-0.01822434,0.06674555,-0.05450019,-0.6609619,0.7454559
-1.104362,1.026314,-0.01820688,0.06753519,-0.05533785,-0.6603703,0.7458471
-1.104215,1.026399,-0.01805687,0.06944102,-0.05779234,-0.6589711,0.7467231
-1.103909,1.026476,-0.01792829,0.07146928,-0.06081688,-0.657041,0.7479912
-1.103718,1.026514,-0.01785827,0.07245544,-0.06233841,-0.6558969,0.7487747
-1.103524,1.026567,-0.01773767,0.07349625,-0.06384143,-0.6546522,0.7496355
-1.103096,1.026642,-0.01775067,0.07672703,-0.06722903,-0.6519217,0.7513931
-1.102927,1.026737,-0.01770394,0.07836986,-0.06933218,-0.6505047,0.75226
-1.102534,1.026881,-0.01735817,0.08112347,-0.07427064,-0.6472871,0.7542695
-1.102324,1.02699,-0.01715267,0.08263162,-0.0769304,-0.6455547,0.7553232
-1.101964,1.027147,-0.01682898,0.08619365,-0.08257616,-0.6419513,0.7573972
-1.101835,1.027195,-0.01668987,0.08820358,-0.08564717,-0.6402029,0.7583041
-1.101642,1.027353,-0.0163852,0.09246498,-0.09238356,-0.6366727,0.759976
-1.101537,1.027428,-0.01615384,0.09453475,-0.09590694,-0.6347492,0.7608933
-1.101417,1.027516,-0.0159777,0.09692201,-0.09952724,-0.6326761,0.761854
-1.101128,1.027716,-0.01560807,0.101835,-0.1074299,-0.6284045,0.763673
-1.101001,1.027823,-0.01535617,0.1042378,-0.1116329,-0.6262296,0.7645321
-1.100771,1.02805,-0.01488765,0.1094675,-0.1199597,-0.6217068,0.7662293
-1.100551,1.028169,-0.01478039,0.1125832,-0.1240903,-0.6192154,0.7671369
-1.100152,1.028479,-0.01422262,0.1182718,-0.1327993,-0.6140782,0.7689501
-1.099957,1.028642,-0.01388668,0.1209418,-0.1372278,-0.6114434,0.7698563
-1.099505,1.028865,-0.01333235,0.1267755,-0.1460647,-0.6058608,0.7717032
-1.099284,1.028991,-0.01300393,0.129672,-0.1505597,-0.6030273,0.772577
-1.099106,1.029139,-0.01261392,0.132433,-0.1551531,-0.6002456,0.7733657
-1.098826,1.029449,-0.01190443,0.1381849,-0.1639523,-0.5946072,0.7748982
-1.098652,1.029636,-0.01161169,0.1412666,-0.1683203,-0.5916903,0.7756383
-1.098311,1.029891,-0.01086594,0.146826,-0.1768286,-0.5857447,0.7772241
-1.098357,1.032349,-0.0104527,0.1499595,-0.1807151,-0.5839118,0.7771109
-1.097992,1.032865,-0.00987035,0.1566957,-0.1890399,-0.5777242,0.778425
-1.097949,1.033049,-0.009401754,0.159558,-0.1936423,-0.5747262,0.7789312
-1.097971,1.033222,-0.008911699,0.1621804,-0.1982125,-0.5719541,0.7792804
-1.097931,1.033597,-0.008230776,0.1679355,-0.206019,-0.5666695,0.7798972
-1.097958,1.033865,-0.007911608,0.1710668,-0.2094037,-0.5641758,0.7801231
-1.098019,1.034282,-0.007067144,0.176652,-0.2169876,-0.5587947,0.7806786
-1.09799,1.034425,-0.006615594,0.1792374,-0.2208215,-0.5559706,0.7810305
-1.097982,1.034781,-0.005818531,0.1840536,-0.2277417,-0.5511303,0.7813536
-1.098026,1.034959,-0.005527571,0.1862417,-0.2305321,-0.5491271,0.7814273
-1.098246,1.0352,-0.005105525,0.1902687,-0.2348578,-0.5455831,0.7816514
-1.098349,1.03533,-0.00494349,0.1921135,-0.2364506,-0.5439966,0.7818257
-1.098441,1.03547,-0.004792765,0.1938737,-0.2378978,-0.5425638,0.7819479
-1.098653,1.035681,-0.004395887,0.196582,-0.2408508,-0.5401048,0.7820699
-1.098818,1.035757,-0.00429441,0.1976886,-0.2418527,-0.5391614,0.7821329
-1.099185,1.035894,-0.004246175,0.1995496,-0.242366,-0.5377885,0.7824465
-1.099311,1.035989,-0.004291862,0.2003338,-0.2421004,-0.5371658,0.782756
-1.099533,1.036157,-0.004220128,0.2009382,-0.2414081,-0.5361584,0.7835051
-1.099648,1.036181,-0.004168049,0.2008126,-0.24085,-0.5358729,0.7839043
-1.099898,1.036233,-0.004038766,0.2005994,-0.2401126,-0.5356851,0.7843133
-1.100119,1.036324,-0.004067823,0.1997849,-0.2383149,-0.5355766,0.7851432
-1.100193,1.036365,-0.004086003,0.1991427,-0.2372389,-0.5355282,0.785665
-1.10026,1.036463,-0.004140183,0.1974641,-0.2346687,-0.5355379,0.7868531
-1.100243,1.03649,-0.004261538,0.1966863,-0.2330881,-0.5354565,0.7875729
-1.100104,1.036549,-0.004414722,0.1947377,-0.230162,-0.5350838,0.7891693
-1.099945,1.036663,-0.004425272,0.1932645,-0.2287516,-0.5348728,0.7900841
-1.099741,1.036821,-0.004469886,0.1901262,-0.2252032,-0.5347191,0.7919666
-1.099622,1.036902,-0.004652023,0.1888424,-0.2229279,-0.5346375,0.792972
-1.099503,1.036934,-0.004865974,0.187589,-0.2206088,-0.5345485,0.7939774
-1.09933,1.037047,-0.005225033,0.1844304,-0.2156277,-0.5345939,0.7960526
-1.09919,1.037123,-0.005378768,0.1823848,-0.2128587,-0.5345553,0.797294
-1.098668,1.037335,-0.005657986,0.1775085,-0.2063074,-0.5340141,0.8004732
-1.098448,1.037476,-0.005824074,0.1746368,-0.2026717,-0.5337471,0.8022097
-1.098,1.037829,-0.006051645,0.1675937,-0.1947528,-0.533432,0.8058748
-1.097744,1.037982,-0.006158471,0.1634139,-0.1903976,-0.5333676,0.8078142
-1.097175,1.038271,-0.006635934,0.154069,-0.1791984,-0.5335826,0.8120594
-1.096888,1.0384,-0.007045463,0.1493846,-0.1725074,-0.53376,0.8142639
-1.096539,1.03855,-0.007544741,0.1448484,-0.1655997,-0.5338344,0.8164659
-1.095707,1.038875,-0.008542284,0.1352597,-0.1516805,-0.5335938,0.8209603
-1.095308,1.038997,-0.008812234,0.1295201,-0.1447219,-0.5334189,0.8232524
-1.094696,1.039341,-0.009414718,0.1178978,-0.1302567,-0.5333005,0.8274806
-1.094402,1.039519,-0.009838745,0.1126573,-0.123172,-0.5331907,0.8293641
-1.093954,1.039826,-0.01073471,0.1024939,-0.1099149,-0.5330103,0.8326548
-1.093701,1.039964,-0.01118355,0.09772901,-0.1036244,-0.5327286,0.834213
-1.093254,1.040108,-0.01201799,0.08901605,-0.09196943,-0.5321615,0.8369123
-1.093085,1.040178,-0.01234492,0.08455005,-0.08661467,-0.5319536,0.838078
-1.092854,1.040257,-0.01268459,0.07990062,-0.08098027,-0.5314618,0.8394085
-1.092229,1.040614,-0.01378273,0.07110617,-0.06758234,-0.5298355,0.8424079
-1.091785,1.040797,-0.01439998,0.06679617,-0.06029585,-0.5287135,0.8440171
-1.090878,1.04117,-0.01539464,0.05710945,-0.04585874,-0.5261357,0.8472408
-1.09044,1.041402,-0.0158919,0.0516967,-0.0381518,-0.5246314,0.8489016
-1.089667,1.041859,-0.0172397,0.04067969,-0.02087343,-0.5217471,0.8518742
-1.089389,1.042069,-0.01801351,0.03503485,-0.01181963,-0.5205184,0.8530496
-1.089152,1.042243,-0.0188095,0.02933213,-0.002640992,-0.5193447,0.8540574
-1.088726,1.042528,-0.02037261,0.01787047,0.01549265,-0.5169272,0.8557026
-1.088561,1.042659,-0.02118004,0.0122306,0.02447733,-0.5156987,0.8563331
-1.08824,1.042858,-0.02251028,0.0005437434,0.04121509,-0.5134097,0.8571532
-1.088102,1.042872,-0.02309877,-0.005445868,0.04905215,-0.512308,0.8573827
-1.08817,1.042916,-0.0244124,-0.01674157,0.0644213,-0.510625,0.8572234
-1.088323,1.042962,-0.02514523,-0.02175196,0.07182226,-0.5100667,0.856855
-1.088689,1.042974,-0.02623969,-0.03152771,0.08464462,-0.5094461,0.8557489
-1.088868,1.042906,-0.0266391,-0.03661993,0.09027424,-0.509212,0.8551098
-1.089101,1.042796,-0.02716539,-0.0413025,0.0960165,-0.5091412,0.8543128
-1.08962,1.042794,-0.02826115,-0.04951729,0.1069166,-0.5090138,0.8526559
-1.08962,1.042794,-0.02826115,-0.04951729,0.1069166,-0.5090138,0.8526559
-1.09011,1.042485,-0.02936386,-0.06112294,0.1190048,-0.5087999,0.8504262
-1.090378,1.042387,-0.02972334,-0.0646183,0.1229268,-0.5089361,0.849528
-1.090718,1.042355,-0.0306739,-0.07074943,0.1307697,-0.5085522,0.8480971
-1.090723,1.042314,-0.03103062,-0.07388368,0.1342155,-0.5079547,0.8476495
-1.090709,1.042242,-0.03132712,-0.07704508,0.1373883,-0.5072781,0.8472648
-1.090938,1.042056,-0.0320273,-0.08288704,0.1441828,-0.5065919,0.845994
-1.091115,1.041998,-0.03244575,-0.08545418,0.1478274,-0.506415,0.8452151
-1.091155,1.041977,-0.03300437,-0.09088907,0.153799,-0.5055997,0.84407
-1.091028,1.041939,-0.03310148,-0.09410086,0.1563821,-0.5048552,0.843689
-1.091072,1.041874,-0.03359961,-0.09968214,0.1628036,-0.5033609,0.8427256
-1.091173,1.041837,-0.03410427,-0.1016765,0.1665344,-0.5026419,0.8421873
-1.091229,1.041833,-0.03451578,-0.1035143,0.1700948,-0.5019236,0.84168
-1.091246,1.041711,-0.0349955,-0.1077132,0.1755382,-0.500652,0.8407925
-1.091242,1.041636,-0.03502554,-0.1102959,0.177888,-0.5000835,0.8403019
-1.09136,1.041576,-0.03536927,-0.1143296,0.1830327,-0.4991549,0.8392094
-1.09136,1.041576,-0.03536927,-0.1143296,0.1830327,-0.4991549,0.8392094
-1.091518,1.041603,-0.03566433,-0.1168569,0.186864,-0.4986882,0.8382939
-1.091527,1.041568,-0.03571064,-0.1180931,0.1880578,-0.4985021,0.8379642
-1.091591,1.041457,-0.03589559,-0.1198823,0.1902126,-0.4982922,0.8373485
