Yaw,Pitch,Roll
357.843,0.7584004,278.7798
357.8464,0.7187635,278.7626
357.8356,0.723392,278.7556
357.8208,0.7025608,278.7133
357.8192,0.6588619,278.6842
357.8188,0.652162,278.6594
357.8043,0.6835802,278.6228
357.8043,0.6835802,278.6228
357.7892,0.6880816,278.5932
357.7892,0.6880816,278.5932
357.7892,0.6880816,278.5932
357.6825,0.6588274,278.6103
357.6559,0.6669908,278.5944
357.6268,0.6616029,278.569
357.6268,0.6616029,278.569
357.5929,0.6559479,278.5539
357.4838,0.6504131,278.5143
357.4282,0.641287,278.4861
357.4282,0.641287,278.4861
356.9831,0.6067451,278.2344
356.857,0.5991639,278.2043
356.6419,0.6083475,278.1544
356.5375,0.6075723,278.1375
356.414,0.6169993,278.1189
356.1131,0.5802408,278.0962
355.9541,0.5355836,278.09
355.6959,0.4697285,278.0833
355.5954,0.4591714,278.0729
355.4984,0.4541955,278.0624
355.4984,0.4541955,278.0624
355.4984,0.4541955,278.0624
355.4984,0.4541955,278.0624
355.0442,0.5511113,278.4698
354.643,0.602793,279.0179
354.3702,0.579513,279.4439
353.5935,0.6011828,280.5325
353.0117,0.6288791,281.2221
351.5076,0.4842611,282.8116
350.5473,0.3411316,283.622
349.4959,0.222447,284.4116
346.9901,359.9822,285.8604
345.6466,359.8521,286.5163
342.9533,359.7325,287.6873
341.6322,359.8066,288.1924
339.0851,0.03388457,289.0176
337.8735,0.1074842,289.3659
336.7156,0.1274429,289.7113
334.5981,0.1113065,290.4209
333.6431,0.1373049,290.7483
332.0366,0.2156612,291.3969
331.3772,0.2601637,291.7131
330.3232,0.513737,292.226
329.9175,0.6555972,292.3904
329.5681,0.785475,292.5132
329.0753,0.9607095,292.6813
328.8828,1.018668,292.7264
328.6146,1.13727,292.7634
328.5126,1.183691,292.7195
328.4207,1.224833,292.662
328.317,1.249776,292.5728
328.2984,1.255785,292.5089
328.2521,1.379288,292.3866
328.219,1.447118,292.3516
328.1462,1.534789,292.3499
328.1359,1.55438,292.3526
328.1402,1.621252,292.3394
328.1374,1.665348,292.3218
328.1374,1.665348,292.3218
328.1374,1.665348,292.3218
328.1374,1.665348,292.3218
328.1374,1.665348,292.3218
328.1374,1.665348,292.3218
328.371,1.72358,292.1502
328.3992,1.735801,292.1536
328.4233,1.739339,292.1385
328.4666,1.781239,292.1358
328.5002,1.805266,292.1453
328.5631,1.813874,292.1546
328.5899,1.815421,292.1544
328.634,1.86176,292.1017
328.6602,1.901601,292.0717
328.6862,1.939447,292.0346
328.7162,1.98102,291.9617
328.7214,1.990653,291.9366
328.7039,2.003943,291.904
328.6933,2.002304,291.8812
328.6935,1.990754,291.8218
328.6915,1.994106,291.8136
328.705,2.010264,291.8069
328.705,2.010264,291.8069
328.705,2.010264,291.8069
328.7021,2.076498,291.8238
328.7021,2.076498,291.8238
328.7086,2.0884,291.8338
328.7207,2.094122,291.8251
328.7285,2.089147,291.8078
328.7285,2.089147,291.8078
328.7285,2.089147,291.8078
328.7285,2.089147,291.8078
328.7285,2.089147,291.8078
328.7285,2.089147,291.8078
328.7285,2.089147,291.8078
328.8292,2.158052,291.7076
328.8356,2.186594,291.7
328.8356,2.186594,291.7
328.8356,2.186594,291.7
328.8356,2.186594,291.7
328.8356,2.186594,291.7
328.8356,2.186594,291.7
328.8356,2.186594,291.7
328.8356,2.186594,291.7
328.8356,2.186594,291.7
328.8356,2.186594,291.7
328.8356,2.186594,291.7
