H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-0.5545996,1.223214,-0.2647781,-0.2541974,-0.1126044,0.02981442,0.960112
-0.5546711,1.223221,-0.2649165,-0.2542106,-0.112764,0.03001517,0.9600835
-0.5548131,1.223223,-0.265202,-0.2543934,-0.112937,0.02966432,0.9600257
-0.5549149,1.223257,-0.2653289,-0.2545436,-0.1130756,0.02982829,0.9599645
-0.5550293,1.223345,-0.2655783,-0.2549133,-0.1132717,0.03054051,0.9598208
-0.5550585,1.22333,-0.2656915,-0.2548563,-0.1132676,0.03059052,0.9598349
-0.5550929,1.223363,-0.2658876,-0.2550751,-0.1127612,0.03077942,0.9598303
-0.555084,1.223418,-0.2659811,-0.2554072,-0.1124521,0.0308571,0.9597757
-0.5550557,1.223455,-0.2660726,-0.2557645,-0.1121921,0.03091731,0.9597091
-0.5550274,1.2235,-0.2662608,-0.2563206,-0.1118686,0.03140144,0.9595827
-0.5550528,1.223516,-0.2663614,-0.2565279,-0.1118762,0.03161503,0.9595195
-0.5550542,1.223611,-0.2665664,-0.2571019,-0.1117369,0.031561,0.9593838
-0.5550157,1.223662,-0.2666401,-0.257514,-0.111397,0.03125129,0.959323
-0.5549458,1.223691,-0.2667316,-0.2577927,-0.1110218,0.03173522,0.9592757
-0.5549645,1.223682,-0.2667841,-0.2578348,-0.1112685,0.03187173,0.9592313
-0.5550667,1.223653,-0.2669111,-0.2578346,-0.1119135,0.03199929,0.9591521
-0.5551305,1.223672,-0.2669743,-0.2579605,-0.1122652,0.03184767,0.9590822
-0.5552143,1.223701,-0.2670273,-0.258242,-0.112663,0.03185282,0.9589596
-0.5554065,1.223731,-0.267029,-0.2586517,-0.1138094,0.0319724,0.9587098
-0.5554836,1.223697,-0.2670214,-0.2586441,-0.1142337,0.03208027,0.9586577
-0.5555593,1.223634,-0.2670178,-0.2583834,-0.1144891,0.03233051,0.9586892
-0.5555555,1.223623,-0.2669805,-0.2582656,-0.1144729,0.03231017,0.9587236
-0.555274,1.223507,-0.2668456,-0.2576162,-0.113279,0.03201506,0.9590499
-0.5550275,1.22345,-0.2667687,-0.2574759,-0.11216,0.03178322,0.9592268
-0.5546592,1.22343,-0.2666787,-0.2574853,-0.1105884,0.03140428,0.9594193
-0.5528409,1.223655,-0.2663165,-0.2577146,-0.1054595,0.02964463,0.959991
-0.551696,1.223755,-0.2661475,-0.2580348,-0.1006094,0.02756302,0.9604874
-0.5486723,1.224155,-0.2657179,-0.2588574,-0.08635502,0.02495574,0.9617239
-0.5466326,1.224564,-0.2654331,-0.2601158,-0.077153,0.02518077,0.9621606
