H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
0.02294719,1.085326,-0.03335309,0.009300629,-0.1225664,0.02999674,-0.9919633
0.02178673,1.08609,-0.03343494,0.01092772,-0.1189838,0.02956349,-0.9923958
0.02005093,1.08681,-0.03369452,0.01492658,-0.1098467,0.02985645,-0.9933879
0.01798278,1.087991,-0.03404535,0.01934828,-0.09825691,0.02702756,-0.9946058
0.01662558,1.088822,-0.03420798,0.02266229,-0.09116909,0.02497752,-0.9952642
0.01372499,1.090653,-0.03463088,0.03117807,-0.07616677,0.0226464,-0.9963503
0.01196299,1.091698,-0.0349493,0.03606447,-0.06765763,0.02116806,-0.9968318
0.01009141,1.092907,-0.03529499,0.04115729,-0.05808945,0.01855277,-0.9972901
0.00602011,1.095514,-0.03598794,0.05278535,-0.03825227,0.01492523,-0.9977614
0.003812354,1.09692,-0.03647175,0.05925129,-0.02842261,0.01375122,-0.9977437
-0.000721924,1.099798,-0.03753629,0.07447477,-0.007159739,0.01048847,-0.997142
-0.003060556,1.101096,-0.03820125,0.08195496,0.003269639,0.009037087,-0.9965897
-0.007847309,1.103645,-0.03979341,0.0946083,0.02291534,0.006503332,-0.9952295
-0.01031401,1.105288,-0.04061485,0.1019066,0.03271963,0.003947273,-0.9942479
-0.01280189,1.10698,-0.0414617,0.1106495,0.04341301,0.001195862,-0.9929101
-0.01778208,1.109715,-0.04351678,0.1267676,0.06332139,-0.001222544,-0.9899085
-0.02014294,1.110885,-0.04472191,0.1327573,0.07154418,-0.002121066,-0.9885608
-0.02496291,1.113818,-0.04703098,0.1458291,0.08833393,-0.005917192,-0.9853405
-0.02745307,1.115603,-0.04825661,0.1548885,0.09722304,-0.008104797,-0.983103
-0.03197227,1.118065,-0.05096703,0.1718018,0.1137031,-0.01151686,-0.97848
-0.03399986,1.118867,-0.05236585,0.1775886,0.1200621,-0.01284502,-0.9766691
-0.03587159,1.119785,-0.05365397,0.1825909,0.1259272,-0.01440298,-0.9749848
-0.03990587,1.122,-0.05650941,0.1933521,0.1369765,-0.01714283,-0.9713694
-0.04171256,1.122818,-0.0579519,0.1995669,0.1427567,-0.01829442,-0.9692569
-0.04477876,1.12402,-0.0606761,0.2086086,0.1517039,-0.02116959,-0.9659297
-0.04639803,1.124777,-0.06210169,0.2127004,0.1557636,-0.02298375,-0.9643485
-0.04979289,1.126333,-0.06509174,0.2220988,0.1649511,-0.0269946,-0.9605907
-0.05121519,1.126444,-0.06621924,0.226548,0.1700513,-0.02710465,-0.9586573
-0.05331437,1.127651,-0.06876355,0.2322435,0.1764463,-0.02925445,-0.9560721
-0.0546069,1.128165,-0.07001492,0.2353581,0.1792654,-0.03053555,-0.954745
-0.05599727,1.128586,-0.07121297,0.2385144,0.183082,-0.03114987,-0.9532164
-0.05822433,1.12915,-0.07331743,0.2441009,0.1913665,-0.03259336,-0.9501218
-0.05896907,1.129144,-0.0741567,0.2459113,0.1941108,-0.03265236,-0.9490956
-0.06027684,1.129797,-0.07587273,0.248673,0.1965084,-0.03454661,-0.9478147
-0.06110771,1.129969,-0.07669371,0.2504636,0.1977366,-0.03516493,-0.9470648
-0.06228002,1.130194,-0.07803338,0.2539996,0.2012906,-0.03615206,-0.9453356
-0.06245776,1.130225,-0.07850093,0.2549402,0.2015719,-0.03663285,-0.9450039
-0.06257854,1.130457,-0.07891775,0.2555262,0.2007678,-0.03698499,-0.9450031
-0.06322058,1.130861,-0.07994299,0.2572738,0.1996386,-0.03686782,-0.9447727
-0.06349375,1.130989,-0.0803206,0.2584368,0.2004854,-0.03670163,-0.9442823
-0.06356592,1.131124,-0.08084808,0.259672,0.2010402,-0.03545332,-0.943873
