Yaw,Pitch,Roll
340.5921,333.7936,4.613468
340.5817,333.7889,4.603229
340.5596,333.8488,4.634193
340.5739,333.8673,4.62511
340.5896,333.9239,4.649022
340.5862,333.9498,4.641337
340.6209,334.0301,4.59645
340.6209,334.0301,4.59645
340.7399,334.1524,4.492571
340.786,334.1706,4.436886
340.8211,334.1626,4.38714
340.9022,334.2325,4.310991
340.9095,334.2752,4.262576
340.9014,334.3134,4.158803
340.92,334.3521,4.119284
340.9779,334.41,4.050373
340.9949,334.4424,4.043795
341.0104,334.4505,4.00978
341.1389,334.4843,3.886194
341.3239,334.5342,3.771501
341.9615,334.6233,3.522301
342.4997,334.6373,3.293412
344.3773,334.6766,2.431812
345.6187,334.7005,1.997857
347.0873,334.6911,1.618351
348.831,334.6647,1.129022
352.9424,334.5988,0.2767468
357.829,334.6321,359.4485
0.2288404,334.6839,359.0751
5.140587,334.7929,358.5392
7.493397,334.887,358.2795
11.94362,334.9791,357.6199
14.10106,334.9342,357.2574
16.1506,334.8203,356.9746
19.68626,335.1905,356.4437
21.29294,335.3957,356.07
24.00377,335.8267,355.175
25.07672,336.0787,355.0104
26.48759,336.8916,354.7271
26.86533,337.495,354.4395
27.11078,338.2256,354.2339
27.36843,340.0948,353.8267
27.41267,341.2198,353.6301
27.26745,343.8771,353.2358
27.14299,345.3763,353.1315
26.56531,348.0201,353.1524
26.289,349.3953,353.0862
25.77276,352.2687,352.7068
25.48325,353.6059,352.6864
25.21777,354.9556,352.7368
24.6265,357.4004,352.9011
24.29312,358.2571,352.9977
23.81734,358.9127,353.0085
23.64285,358.5789,352.9685
23.35619,357.4711,352.7486
23.23031,357.1669,352.6667
23.10662,356.9671,352.6259
22.94151,356.8544,352.8808
22.8474,356.8798,352.9908
22.67078,356.9834,353.1173
22.59934,356.9962,353.1916
22.61067,357.0495,353.1983
22.61746,357.1311,353.2021
22.60824,357.2427,353.2344
22.55965,357.5088,353.4358
22.51396,357.6454,353.5379
22.37222,357.8388,353.7517
22.27887,357.8623,353.8155
22.13629,357.7575,353.9146
22.08163,357.5873,353.9523
22.03894,357.1882,353.9734
21.98922,357.0597,354.0369
21.98464,356.9072,354.0366
21.94028,356.6671,354.0683
21.9157,356.5641,354.0815
21.85319,356.3694,354.1316
21.82676,356.2963,354.1422
21.71775,356.2086,354.1934
21.65462,356.1838,354.2457
21.53917,356.1304,354.35
21.49669,356.0786,354.3561
21.42868,356.045,354.3939
21.29302,355.9711,354.497
21.19816,355.8769,354.5335
20.94691,355.6884,354.647
20.78883,355.5505,354.7218
