Yaw,Pitch,Roll
353.4087,347.3577,359.9726
353.2517,347.0509,359.9568
353.1038,346.7933,359.9114
352.8156,346.1766,359.9464
352.5529,345.7957,0.003502212
352.0855,345.2193,359.8102
351.8982,345.0328,359.6629
351.6142,344.7047,359.6129
351.4799,344.5247,359.6939
351.2256,344.1112,359.9039
351.1113,343.9272,359.9366
351.0256,343.8149,359.9014
350.9255,343.6808,359.9234
350.9148,343.6356,359.9701
350.9229,343.5157,0.02779579
350.9396,343.4685,0.05694607
351.0781,343.4052,0.03389543
351.1721,343.4019,0.02476289
351.2479,343.3771,0.05345586
351.3987,343.2877,0.059357
351.4729,343.2975,0.01942954
351.6361,343.3794,0.01273573
351.7123,343.4125,359.9866
351.8069,343.446,359.9482
351.8477,343.4664,359.9191
351.9847,343.5664,359.8522
352.0509,343.64,359.8418
352.1463,343.6887,359.8276
352.2517,343.7159,359.9
352.2845,343.7293,359.8961
352.3292,343.7735,359.9481
352.3521,343.8221,359.9619
352.4014,343.8686,0.04328063
352.449,343.8819,0.07607993
352.5148,343.9031,0.04638524
352.6371,343.8871,359.9109
352.6395,343.8707,359.9075
352.6139,343.9226,359.9688
352.6099,343.9478,359.9571
352.5547,343.9831,359.9378
352.5421,344.0062,359.9324
352.5481,344.0163,359.9121
352.5959,344.0293,359.9154
352.6373,344.0223,359.9836
352.6871,344.0176,359.9492
352.7289,344.0452,359.8812
352.8975,344.1211,359.7213
353.0075,344.136,359.6837
353.2069,344.1475,359.6371
353.3167,344.1494,359.5919
353.4294,344.1522,359.5639
353.651,344.1309,359.4895
353.7497,344.0864,359.4705
353.8901,344.0158,359.4636
353.9586,344.0208,359.471
354.1272,343.9877,359.4177
354.2088,343.9743,359.4011
354.2629,343.9614,359.404
354.3751,343.9709,359.3755
354.4442,343.9566,359.3535
354.5694,343.9549,359.315
354.5982,343.9581,359.3228
354.6686,343.9878,359.3141
354.7207,344.0085,359.2903
354.8313,344.0176,359.2257
355.0147,344.0176,359.1905
355.101,344.0372,359.185
355.3148,344.0969,359.1088
355.4331,344.1256,359.0619
355.7074,344.1523,358.9902
355.8734,344.1531,358.9222
356.2672,344.1923,358.8017
356.462,344.2146,358.7444
356.6212,344.2325,358.7419
356.9694,344.2832,358.6609
357.1396,344.3163,358.6006
357.5508,344.395,358.3933
357.7567,344.4601,358.3076
358.0665,344.5367,358.2663
358.194,344.5677,358.2244
358.4331,344.67,358.106
358.5437,344.7319,358.0338
358.6689,344.7849,357.9958
358.8244,344.9265,357.9714
358.9578,344.9908,357.9359
359.1288,345.0667,357.9918
359.1871,345.0715,358.0382
359.3986,345.0589,357.9449
359.6261,345.0606,357.7503
359.8969,345.0627,357.5851
0.3592398,345.0898,357.6288
0.5100828,345.1162,357.7164
0.760835,345.2534,357.681
0.906997,345.3069,357.593
1.23797,345.4051,357.451
1.383916,345.4261,357.4406
1.49973,345.4524,357.4394
1.66029,345.4687,357.4623
1.762767,345.4651,357.4219
2.051784,345.4158,357.2702
2.173334,345.3769,357.2727
2.293948,345.3694,357.3799
2.358244,345.4066,357.3573
2.492441,345.5561,357.3105
2.537384,345.6617,357.3015
2.57184,345.7833,357.3098
2.598454,346.063,357.3648
2.608776,346.2288,357.3558
2.63452,346.6336,357.3269
2.655157,346.8386,357.3182
2.67162,347.2809,357.3071
2.67193,347.5038,357.3125
2.686258,347.6915,357.304
2.706618,348.0185,357.2879
2.72674,348.1457,357.2847
2.774473,348.4027,357.2926
2.791672,348.5089,357.3125
2.797153,348.7239,357.3413
2.791124,348.8478,357.3553
2.776999,349.0962,357.3747
2.769931,349.2146,357.3718
2.781291,349.3224,357.3543
2.807449,349.5505,357.3326
