H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-0.05471138,1.237385,0.06704012,-0.2780405,-0.3113045,-0.004050423,0.908717
-0.05479271,1.237457,0.06688534,-0.278348,-0.3111821,-0.003760452,0.908666
-0.05491688,1.23755,0.06657992,-0.2790306,-0.3108072,-0.003376632,0.9085865
-0.05492962,1.237551,0.06643101,-0.2792784,-0.3105858,-0.002902639,0.9085877
-0.05492216,1.237636,0.06617619,-0.280123,-0.3100326,-0.002418609,0.9085181
-0.05492254,1.237687,0.06604188,-0.280644,-0.3099405,-0.00249653,0.9083885
-0.05484606,1.237766,0.06592193,-0.2803186,-0.3088903,-0.002287937,0.9088471
-0.05471393,1.237848,0.06568864,-0.2811096,-0.3082081,-0.001692935,0.9088356
-0.05464062,1.237864,0.06561565,-0.2813241,-0.3080792,-0.001631712,0.9088131
-0.05444382,1.237869,0.06550211,-0.2816544,-0.3071394,-0.001541827,0.9090291
-0.05428932,1.237863,0.0654393,-0.2817377,-0.3067364,-0.001575262,0.9091392
-0.05402131,1.237868,0.06532288,-0.2818325,-0.3059881,-0.00140371,0.9093623
-0.05388372,1.237884,0.06525283,-0.2818667,-0.3054857,-0.001373645,0.9095206
-0.05349054,1.237982,0.06516936,-0.2822133,-0.3039183,-0.001267694,0.9099383
-0.05320555,1.238042,0.06514768,-0.282563,-0.3027649,-0.00113085,0.9102144
-0.05288902,1.23811,0.06511997,-0.2828549,-0.3016656,-0.0007346925,0.9104891
-0.0521965,1.238304,0.06500251,-0.2837305,-0.2997568,-0.0003391381,0.9108472
-0.05190506,1.238424,0.06488713,-0.2843468,-0.2989248,-0.0003094183,0.9109285
-0.05137375,1.238794,0.06449676,-0.2860703,-0.2977941,-0.0007201241,0.910759
-0.05109717,1.238935,0.06435638,-0.2868333,-0.2972434,-0.000642625,0.910699
-0.05048125,1.23913,0.06408048,-0.2881643,-0.2957937,-0.0007478666,0.9107507
-0.05017553,1.239241,0.0639253,-0.2887526,-0.2950428,-0.0007099307,0.910808
-0.04983649,1.239342,0.06382071,-0.2895699,-0.2943113,-0.0005627488,0.9107853
-0.04911517,1.239626,0.06360693,-0.2911243,-0.2923518,-0.0006119364,0.9109208
-0.04860142,1.23985,0.06365112,-0.2921591,-0.2908206,-0.0004097343,0.9110797
-0.04716674,1.240208,0.06400917,-0.2938615,-0.2855458,-0.0001239499,0.9122001
-0.04613462,1.24033,0.06434695,-0.2947172,-0.2807329,0.0002390685,0.9134171
-0.0434296,1.241274,0.06529817,-0.2968768,-0.267955,0.002711029,0.9165462
-0.04177326,1.24164,0.06590461,-0.2987273,-0.25938,0.003797774,0.918406
-0.0398325,1.242,0.0667669,-0.3009318,-0.2491781,0.004843144,0.9205036
-0.0353972,1.242778,0.06845764,-0.3044617,-0.225822,0.007247712,0.9253404
-0.03279409,1.243225,0.06926984,-0.3065955,-0.2118686,0.009570034,0.9279113
-0.02758063,1.244333,0.07084384,-0.3110393,-0.1841673,0.01447011,0.9322701
-0.02497191,1.244744,0.07150634,-0.3127505,-0.1698721,0.01539133,0.9343948
-0.01935894,1.245398,0.07287452,-0.315005,-0.1403371,0.01677847,0.9385072
-0.01636745,1.245838,0.07344166,-0.3160734,-0.1253509,0.01897726,0.9402258
-0.01067872,1.246839,0.07419706,-0.3190303,-0.09583695,0.02332189,0.942598
-0.007955916,1.247154,0.07448808,-0.3204525,-0.08223619,0.02436038,0.9433737
-0.005340843,1.247214,0.07478794,-0.3210533,-0.06882054,0.02385007,0.9442562
0.0004860684,1.247267,0.0752805,-0.3207034,-0.04114641,0.02600836,0.945928
0.003390397,1.247506,0.07534558,-0.320602,-0.02722774,0.02813413,0.9464045
0.008945547,1.247669,0.07541528,-0.3206635,0.0002039781,0.03058325,0.9466993
0.01179805,1.247541,0.07533342,-0.320297,0.01425986,0.03162038,0.9466819
0.01778401,1.247472,0.07481363,-0.3187419,0.04336892,0.03589439,0.9461682
0.02065012,1.247686,0.07447318,-0.3185247,0.05757087,0.0383555,0.9453869
0.02330085,1.247774,0.07407928,-0.318887,0.07199929,0.03940528,0.9442322
0.02915981,1.247574,0.07317819,-0.3191795,0.100772,0.04302491,0.9413386
0.03204121,1.247418,0.07254548,-0.3181214,0.1149308,0.04523418,0.93997
0.03760709,1.24709,0.07115607,-0.3150728,0.1430283,0.04701514,0.9370494
0.04049227,1.246782,0.07052037,-0.313848,0.1575559,0.04897593,0.9350278
0.04604233,1.2464,0.06914734,-0.3111199,0.1846605,0.05218135,0.9307964
0.04871682,1.246142,0.06837008,-0.3096184,0.197616,0.05291971,0.9285924
0.05411386,1.245563,0.06695115,-0.3067602,0.2234313,0.05287719,0.9236777
0.05683596,1.24539,0.0661056,-0.3052571,0.235869,0.05414354,0.9210062
0.05945614,1.245177,0.06525574,-0.3036949,0.247629,0.0550656,0.9183774
0.06423956,1.244494,0.06388773,-0.3004344,0.2695439,0.05532255,0.9132496
0.06646208,1.244078,0.06318823,-0.2982433,0.2792794,0.0551853,0.9110481
0.07041365,1.243236,0.06231523,-0.2940495,0.2956016,0.05434033,0.9073046
0.07207326,1.242926,0.06202631,-0.2921044,0.3023952,0.05397981,0.9057143
0.07468503,1.242234,0.06201827,-0.2883448,0.311444,0.05289296,0.903915
0.07586628,1.241872,0.06220901,-0.2868201,0.3144882,0.05198773,0.9033984
0.07703038,1.241547,0.06248429,-0.285127,0.3170266,0.05171875,0.9030625
0.07866683,1.240804,0.06341352,-0.2809226,0.3199107,0.05078511,0.903416
0.07900222,1.240252,0.06437203,-0.2785257,0.3193462,0.04973127,0.904416
0.07905365,1.239336,0.06680091,-0.2734174,0.3150552,0.04764539,0.9075864
0.07879858,1.238997,0.06827044,-0.2709359,0.3107743,0.04696879,0.909839
0.07765429,1.238259,0.07167773,-0.265671,0.3002413,0.04725855,0.9148993
0.07673077,1.237834,0.07370712,-0.2624963,0.293469,0.0485626,0.9179397
0.07344747,1.23744,0.0782766,-0.251565,0.2749723,0.05100832,0.9265546
0.07139253,1.236241,0.08129002,-0.248611,0.2621159,0.05187877,0.931019
0.06914496,1.234898,0.08430726,-0.244929,0.2481909,0.05110502,0.9358415
0.06397921,1.233024,0.08991466,-0.2341334,0.2199814,0.04859994,0.9457419
0.06144704,1.231984,0.09264454,-0.2278861,0.2054815,0.04897292,0.9504983
0.05539659,1.229563,0.09837901,-0.2152613,0.173188,0.05062499,0.9597425
0.05210066,1.228102,0.1012429,-0.2086675,0.1564715,0.04917138,0.9641352
0.04582471,1.224922,0.1066089,-0.1950922,0.1251033,0.04411958,0.9717724
0.04286553,1.223413,0.1090543,-0.1876929,0.1099776,0.04324254,0.975093
0.03987685,1.221808,0.1113842,-0.1804412,0.09468048,0.04303886,0.9780717
0.03365529,1.218325,0.1156617,-0.1654938,0.06457449,0.04160046,0.9832148
0.03065441,1.216507,0.1175823,-0.1576689,0.05075926,0.04034894,0.9853609
0.02553459,1.212983,0.1209923,-0.1419119,0.02693314,0.04023344,0.9886945
0.02327854,1.211025,0.122495,-0.1342277,0.01655449,0.04238841,0.9899051
0.01866805,1.207377,0.1251579,-0.118346,-0.003971199,0.04241522,0.9920582
0.01677656,1.205683,0.1264172,-0.1118206,-0.0116466,0.03963259,0.9928694
0.01539318,1.204475,0.1275082,-0.1065032,-0.01660617,0.03798781,0.9934477
0.01350801,1.203526,0.1296278,-0.09854236,-0.02427124,0.0411547,0.9939852
0.01265527,1.202089,0.1307137,-0.09577506,-0.02804698,0.04542669,0.9939703
0.01042266,1.200574,0.1326023,-0.09006791,-0.0311029,0.04390674,0.9944811
0.01006207,1.199994,0.1335602,-0.08859552,-0.03206718,0.04225943,0.9946541
0.009782634,1.199702,0.1352397,-0.08763417,-0.03112806,0.0432521,0.9947264
0.009758324,1.199458,0.135975,-0.08735443,-0.03018525,0.04509287,0.9946983
0.009471338,1.198629,0.1372309,-0.08557207,-0.02780703,0.04748775,0.9948111
0.009466704,1.198336,0.1378047,-0.08436193,-0.02640914,0.04764316,0.9949451
0.009511832,1.198098,0.1382576,-0.08346104,-0.02516325,0.04764951,0.9950531
0.009668995,1.197668,0.1393495,-0.08154576,-0.02249348,0.04838151,0.9952404
0.009648616,1.197575,0.1396909,-0.08038106,-0.02065136,0.04873323,0.995358
0.01003921,1.197201,0.140606,-0.07913859,-0.01794896,0.04950525,0.9954718
0.01015507,1.196961,0.1409973,-0.07850333,-0.01654021,0.04971549,0.995536
0.01037014,1.196424,0.1416261,-0.07672597,-0.0139448,0.04978522,0.9957108
0.01043072,1.196245,0.1418799,-0.07565922,-0.01275197,0.04966689,0.9958144
0.01058217,1.196105,0.142148,-0.0748379,-0.01169647,0.04956246,0.9958946
0.01098012,1.195953,0.1425833,-0.07389096,-0.009758756,0.04889915,0.9960189
0.01111175,1.195907,0.1427607,-0.07355861,-0.008760784,0.0486506,0.996065
0.01129817,1.195688,0.1431678,-0.07340442,-0.007459124,0.04821818,0.996108
0.01143178,1.195665,0.143288,-0.07344301,-0.007009161,0.04791249,0.9961232
0.01156799,1.195619,0.1434327,-0.07328712,-0.006338822,0.04734926,0.9961661
0.01154397,1.195597,0.1434614,-0.07331442,-0.006211236,0.04702819,0.9961801
0.011468,1.195626,0.1434556,-0.07370023,-0.006030323,0.04685911,0.9961607
0.01147337,1.195719,0.143462,-0.07401351,-0.005918168,0.04695377,0.9961337
0.01149272,1.195805,0.1434431,-0.07427351,-0.005861321,0.04731717,0.9960974
0.01139276,1.195893,0.1432708,-0.07441729,-0.005894446,0.04795949,0.9960558
0.01130067,1.195927,0.1431738,-0.07461192,-0.005979833,0.04807817,0.996035
0.01114684,1.196077,0.1429963,-0.07509951,-0.006212611,0.04825151,0.9959886
0.01109903,1.196195,0.1429135,-0.07553897,-0.00622839,0.04841278,0.9959474
0.01102467,1.196435,0.1426953,-0.07642987,-0.00604125,0.04913969,0.995845
0.01099191,1.196541,0.1425784,-0.07688987,-0.005926199,0.049556,0.9957896
0.01100256,1.196642,0.1424845,-0.07735831,-0.005938711,0.0499051,0.9957359
0.01094064,1.196893,0.142344,-0.07832027,-0.006354776,0.04986069,0.9956603
0.01082876,1.197038,0.1422681,-0.07880256,-0.006313839,0.04948475,0.9956413
0.01061631,1.197351,0.1421059,-0.0799408,-0.006256046,0.04896122,0.9955768
0.01061424,1.197499,0.1420479,-0.08047545,-0.006527313,0.0491481,0.9955227
0.01054423,1.197769,0.1418995,-0.08145376,-0.006648959,0.04935621,0.9954321
0.01044919,1.197883,0.1418005,-0.0818066,-0.006775565,0.04940037,0.9954001
0.0103385,1.197979,0.1416924,-0.08214682,-0.006835207,0.04942874,0.9953703
0.01018229,1.198157,0.1414364,-0.08267627,-0.007076298,0.04948029,0.9953222
0.01010045,1.198271,0.1412926,-0.08314767,-0.00717318,0.04945672,0.9952834
