H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
0.03476414,1.2026,-0.0394467,-0.2342665,-0.2474729,-0.0531447,0.9386437
0.03498618,1.202377,-0.03927424,-0.2344558,-0.247164,-0.05274584,0.9387003
0.034869,1.202483,-0.03914844,-0.2343158,-0.2470784,-0.05329791,0.9387267
0.03480169,1.202526,-0.0391328,-0.2340407,-0.246984,-0.05361946,0.9388018
0.03465337,1.202588,-0.03912957,-0.2336738,-0.2469477,-0.05477518,0.938836
0.03444523,1.202693,-0.03912541,-0.2340619,-0.2469783,-0.05529639,0.9387007
0.03395357,1.203058,-0.039048,-0.2355081,-0.2476026,-0.05498899,0.9381925
0.03366948,1.203233,-0.03902245,-0.23605,-0.2478419,-0.05486136,0.9380006
0.03340034,1.203355,-0.03902163,-0.2362643,-0.2482542,-0.05475617,0.9378437
0.03288943,1.203627,-0.0389788,-0.2370497,-0.2493638,-0.05480457,0.9373482
0.03261763,1.203824,-0.03892555,-0.2378709,-0.2500336,-0.05495909,0.9369526
0.03197992,1.204044,-0.03868529,-0.2392875,-0.2515253,-0.05523727,0.9361759
0.03171105,1.204044,-0.03853929,-0.2397574,-0.2520585,-0.05540134,0.9359025
0.03110491,1.204127,-0.03822426,-0.2399539,-0.2529649,-0.0552109,0.9356189
0.03079663,1.204117,-0.03805372,-0.2397753,-0.2534547,-0.05512287,0.9355373
0.03018627,1.20403,-0.03770591,-0.2391009,-0.2544285,-0.05460718,0.9354758
0.02988068,1.203984,-0.03748914,-0.2387239,-0.2549737,-0.05448079,0.935431
0.02959349,1.20389,-0.0373077,-0.2383713,-0.255336,-0.05456514,0.9354172
0.02904784,1.203784,-0.0370642,-0.237701,-0.2560167,-0.05496243,0.9353784
0.02880867,1.203717,-0.03691122,-0.2373649,-0.256393,-0.05518761,0.9353474
0.02845474,1.203521,-0.03660741,-0.2363026,-0.2567455,-0.05538112,0.9355083
0.02835691,1.203358,-0.03644187,-0.2356419,-0.2564404,-0.05557974,0.9357468
0.02814526,1.203193,-0.03607596,-0.2336297,-0.2545601,-0.05576214,0.9367534
0.0283006,1.20306,-0.03577974,-0.2322633,-0.2526113,-0.05609842,0.9376003
0.02855408,1.20292,-0.03541727,-0.2309147,-0.2498012,-0.05653488,0.9386595
0.03082458,1.202407,-0.03379593,-0.2275435,-0.2387985,-0.05705535,0.9423078
0.0319843,1.202345,-0.03295036,-0.2260694,-0.2317111,-0.05717953,0.9444221
0.03532081,1.202337,-0.03107502,-0.2255919,-0.2103415,-0.05606812,0.94959
0.0374149,1.202481,-0.02987988,-0.2261364,-0.1972603,-0.05518034,0.952316
0.04215696,1.202644,-0.02781883,-0.2281445,-0.1684086,-0.05314568,0.957478
0.04470628,1.202771,-0.0269217,-0.2291344,-0.1531372,-0.05220232,0.9598548
0.05024097,1.202961,-0.02528415,-0.2320018,-0.1199173,-0.05064321,0.9639659
0.05328224,1.202934,-0.02455392,-0.2329883,-0.1033262,-0.04931933,0.9657162
0.0564655,1.202822,-0.02403147,-0.2334746,-0.0859853,-0.04810328,0.9673584
0.06313868,1.202655,-0.02316261,-0.2341926,-0.0496884,-0.04782656,0.969741
0.06656955,1.202825,-0.02285501,-0.2351784,-0.03068397,-0.04772001,0.970295
0.07364079,1.203244,-0.02271395,-0.2380603,0.006626043,-0.04434946,0.9702147
0.07720558,1.20331,-0.02290075,-0.2389992,0.02499286,-0.04181423,0.969797
0.08391796,1.20334,-0.02348279,-0.2406287,0.0616134,-0.03853498,0.9678929
0.08720856,1.203219,-0.02393105,-0.2417734,0.07874548,-0.03615499,0.9664562
0.09038712,1.203219,-0.02447901,-0.2424667,0.09530684,-0.03317013,0.964897
0.0960272,1.202957,-0.02564478,-0.2429769,0.1255679,-0.02872147,0.9614416
0.09837413,1.20279,-0.02615042,-0.2427525,0.1391073,-0.02748642,0.9596692
0.1025356,1.20202,-0.02715598,-0.2415317,0.1624401,-0.0234766,0.9564123
0.1044091,1.201732,-0.02755666,-0.2398742,0.1715536,-0.02067681,0.9553022
0.1059922,1.20143,-0.02796202,-0.2381354,0.1797616,-0.01800297,0.9542815
0.1083945,1.201021,-0.02839326,-0.2355956,0.1922107,-0.01436854,0.9525457
0.1093011,1.200392,-0.02853856,-0.2347009,0.1963685,-0.01197875,0.9519514
0.1100458,1.199966,-0.02797585,-0.2325471,0.2004734,-0.01194496,0.9516247
0.1100083,1.199453,-0.02770456,-0.2298895,0.2010451,-0.01062803,0.9521653
0.1091158,1.198334,-0.02636069,-0.2232778,0.1961405,-0.01034657,0.9547611
0.1080057,1.197784,-0.02542508,-0.2199709,0.1929678,-0.01184257,0.9561569
0.1057764,1.196225,-0.02319671,-0.2096695,0.1800002,-0.01089335,0.9609995
0.1043888,1.195343,-0.02175901,-0.2040925,0.1724542,-0.01003189,0.9635897
0.1001156,1.193193,-0.01863061,-0.190399,0.1517169,-0.008719787,0.9698732
0.0976731,1.192011,-0.01684004,-0.1828328,0.1396836,-0.007752309,0.9731395
0.09501384,1.190765,-0.01492735,-0.1746349,0.1254925,-0.00704527,0.9765781
0.08920896,1.187943,-0.01105671,-0.1571333,0.09648897,-0.006521081,0.9828309
0.08607367,1.186426,-0.009071826,-0.1475771,0.08108024,-0.006123875,0.9857025
0.07929552,1.183296,-0.005081078,-0.1277487,0.04936019,-0.005424458,0.9905627
0.07566532,1.181554,-0.003197992,-0.1170299,0.03259812,-0.004730106,0.992582
0.0681019,1.177903,0.0004635481,-0.09463692,-0.002826678,-0.001723014,0.9955063
0.06403103,1.175969,0.002165342,-0.08262605,-0.02127588,-0.0004041911,0.9963534
0.06004968,1.173795,0.003816461,-0.07025779,-0.04014546,0.0005502476,0.9967206
0.05201989,1.168997,0.006967499,-0.04557531,-0.07613602,0.001971164,0.9960534
0.04871832,1.166721,0.00738842,-0.03062728,-0.09424748,0.005431492,0.9950628
0.04114252,1.161608,0.009243958,-0.003516999,-0.1281448,0.01176066,0.9916795
0.03733283,1.159528,0.0102297,0.007950034,-0.1442353,0.01106108,0.9894497
0.0305042,1.155297,0.01219273,0.02702981,-0.1737733,0.008938159,0.9843741
0.02787254,1.153435,0.01275588,0.03610478,-0.1869518,0.01079791,0.981646
