Yaw,Pitch,Roll
357.4214,328.0211,1.991893
357.3907,328.0277,2.022226
357.3643,328.0185,2.056281
357.3491,328.0021,2.064181
357.3347,327.9836,2.099111
357.3551,327.9633,2.080058
357.3718,327.9481,2.054233
357.3843,327.946,2.051545
357.3857,327.9602,2.064338
357.3758,327.9916,2.077927
357.3747,328.0033,2.075619
357.3846,328.025,2.085835
357.3787,328.0328,2.1202
357.399,328.0623,2.113034
357.4191,328.1025,2.069562
357.4219,328.1418,2.053357
357.4356,328.2225,2.060986
357.4451,328.2574,2.072572
357.4618,328.2798,2.023153
357.482,328.29,1.974611
357.4636,328.3041,2.026818
357.4609,328.3069,2.036596
357.4629,328.3252,2.042411
357.4674,328.3856,2.027921
357.4692,328.4159,2.037692
357.4125,328.4844,2.107569
357.3689,328.552,2.156127
357.1701,328.6917,2.326578
357.0605,328.7845,2.42275
356.5703,329.0709,2.727872
356.1815,329.279,2.880812
355.7244,329.4978,3.026006
354.729,329.9385,3.433729
354.1688,330.2337,3.745613
352.7596,331.169,4.279587
352.0189,331.6395,4.488926
350.432,332.6191,5.122398
349.6336,333.1736,5.457617
348.8275,333.7862,5.734139
347.2953,335.0298,6.233611
346.5046,335.6558,6.517145
345.0868,336.9401,6.836853
344.4288,337.6187,6.889668
343.0955,338.9377,7.060771
342.4315,339.5549,7.117904
341.7407,340.1162,7.120893
340.4348,341.2505,7.081979
339.7802,341.7839,7.13341
338.5871,342.7346,7.296223
338.0764,343.2344,7.279023
337.2811,344.3338,7.128265
336.926,344.9378,7.072439
336.3089,346.2363,7.049663
335.9835,346.9342,7.067351
335.5009,348.6282,6.891995
335.224,349.6087,6.990023
335.3018,350.6819,6.337029
334.895,352.8704,5.866244
334.7201,354.0201,5.733456
334.5372,356.3349,5.155333
334.4118,357.377,4.953283
334.2706,359.0518,4.796679
334.2328,359.7334,4.786534
334.227,0.2530364,4.8304
334.3535,1.430676,4.805696
334.4443,2.092255,4.784311
334.6613,3.261643,4.726921
334.7628,3.71635,4.670702
335.0038,4.639972,4.578008
335.1679,5.067159,4.547273
335.3176,5.457352,4.544254
335.5721,6.008842,4.631265
335.6918,6.213544,4.645934
335.9578,6.729991,4.596389
336.1279,6.976442,4.548073
336.5657,7.423868,4.500376
336.8398,7.648285,4.455218
337.1599,7.869417,4.386246
338.0922,8.331161,4.15571
338.6729,8.564091,4.054763
340.0575,8.958735,3.992352
340.7822,9.145843,4.030618
342.2832,9.668608,3.893092
343.0986,9.916027,3.80144
344.7459,10.05131,3.778399
345.5451,10.12014,3.737241
346.3398,10.3366,3.681146
347.9813,10.72685,3.570611
348.74,10.75655,3.450751
350.1865,10.86339,3.471818
350.9353,10.97439,3.359476
352.2551,11.1258,3.234943
352.8704,11.14166,3.178854
354.0966,11.02002,2.958777
354.692,10.98317,2.83661
355.2865,10.95692,2.712398
356.5414,10.90003,2.45748
357.2025,10.88732,2.346169
358.5249,10.8748,2.235505
359.2263,10.85595,2.193827
0.636694,10.87113,2.069664
1.342583,10.90617,2.018884
2.036093,10.95928,1.967193
3.496322,11.07422,1.909942
4.228528,11.14604,1.94907
5.716421,11.25758,2.059851
6.50545,11.23472,2.203108
8.166964,11.05742,2.48209
9.026754,11.03323,2.658529
9.855034,11.01058,2.850968
11.43388,10.81659,3.084945
12.12255,10.69217,3.189439
13.40599,10.62518,3.367478
13.95401,10.63681,3.370744
14.94112,10.57208,3.532806
15.35159,10.48997,3.620376
15.74826,10.39855,3.708778
16.37304,10.32337,3.847824
16.63183,10.28612,3.838007
17.04224,10.17154,3.796249
17.19177,10.11087,3.757118
17.42451,10.09096,3.717779
17.50463,9.997191,3.709841
17.65998,9.658114,3.762736
17.73235,9.516818,3.814476
17.80769,9.423348,3.777975
17.95433,9.097635,3.791919
18.04331,8.752195,3.856625
18.23046,8.195408,4.045807
18.35789,8.011113,4.071945
18.59139,7.589933,4.153541
18.72022,7.289367,4.191535
18.86654,6.947077,4.226866
19.15216,6.349843,4.28476
19.29036,6.081614,4.302689
19.57214,5.420019,4.381836
19.70683,5.04143,4.419828
19.99538,4.252497,4.513592
20.13006,3.8773,4.546725
20.40882,2.993278,4.716637
20.56852,2.435592,4.869568
20.72601,1.675102,5.103713
21.17839,0.07305658,5.603875
21.46506,359.397,5.749536
21.90977,357.8717,5.813697
22.09014,357.0323,5.836267
22.39887,355.6442,6.036402
22.55988,355.0647,6.1309
22.68926,354.5125,6.183915
22.82512,353.5737,6.187665
22.897,353.2294,6.152283
23.02477,352.7669,6.044947
23.0525,352.5715,6.026245
23.06557,352.145,5.960622
23.06888,351.9802,5.917963
23.08063,351.8498,5.842688
23.10503,351.6385,5.698976
23.08522,351.5238,5.622309
23.04978,351.1935,5.465652
23.03382,351.0721,5.388685
23.03921,350.9425,5.2333
23.04502,350.8857,5.160759
23.06222,350.8228,5.09832
23.08014,350.8219,5.062102
23.11299,350.8359,5.015539
23.16877,350.9007,4.963055
23.18809,350.8572,4.933014
23.23364,350.6332,4.830253
23.26052,350.5533,4.785975
23.3044,350.4792,4.665576
23.31348,350.4688,4.62391
23.31946,350.4645,4.592565
23.32664,350.4747,4.497917
23.32594,350.4739,4.459891
23.34984,350.4916,4.362615
23.34566,350.5274,4.346896
23.32525,350.5569,4.357099
23.31096,350.52,4.334524
23.28751,350.5693,4.331264
23.27067,350.6588,4.337312
23.26852,350.7792,4.359439
23.26517,350.8897,4.455671
23.27066,350.9131,4.504311
23.33973,351.0215,4.592677
23.37002,351.0583,4.645735
23.45892,351.1432,4.762424
23.5235,351.1845,4.809759
23.57121,351.223,4.851593
23.68552,351.2745,4.944056
23.76012,351.3189,4.987289
23.88679,351.3614,5.031497
23.9469,351.3677,5.015862
24.05054,351.3657,4.980954
24.1025,351.3644,4.973615
24.15007,351.384,4.980373
24.22168,351.3629,4.960794
24.22253,351.3271,4.938377
24.17401,351.3159,4.859751
24.13786,351.3339,4.829912
24.06818,351.3216,4.822972
24.03787,351.3244,4.835412
24.00799,351.3316,4.836751
24.00112,351.3179,4.838132
23.98554,351.3074,4.858968
23.9896,351.2883,4.904419
24.02286,351.2664,4.953688
24.03776,351.2462,4.994765
24.06414,351.227,5.001863
24.07751,351.1877,5.034982
24.0879,351.1557,5.039737
24.10283,351.1309,5.041678
