Yaw,Pitch,Roll
358.8625,355.5953,358.8487
358.8532,355.5001,358.8708
358.8744,355.3558,358.8419
358.8994,355.3008,358.8634
358.9505,355.114,358.8238
358.955,354.9942,358.8233
358.9905,354.8889,358.8055
359.0443,354.7325,358.7494
359.0723,354.7189,358.7004
359.1142,354.7711,358.6398
359.1263,354.7984,358.6368
359.1878,354.9055,358.5949
359.2271,354.9865,358.5768
359.2602,355.1096,358.5649
359.2935,355.3077,358.5226
359.3249,355.3428,358.5022
359.3726,355.3077,358.5544
359.3984,355.2823,358.5706
359.4341,355.257,358.5262
359.4857,355.1934,358.494
359.5867,355.0838,358.4422
-0.00286864,354.6051,358.3343
0.2913013,354.2306,358.3295
1.219647,353.1987,358.1388
1.862111,352.5272,357.9385
3.673269,350.4372,357.631
4.675827,349.2453,357.6848
5.715138,348.064,357.738
7.925471,345.589,357.69
8.962756,344.1772,357.7272
10.82742,341.3871,357.9023
11.75767,340.2079,357.8571
13.80046,338.4875,357.3287
14.73763,337.8547,357.0919
16.56782,336.713,356.6479
17.48514,336.2132,356.4461
18.30845,335.6942,356.4431
19.91054,334.8684,356.2358
20.57394,334.5497,356.1594
21.65117,334.216,356.033
22.13781,334.1632,355.935
22.92923,334.2205,355.7964
23.18265,334.3647,355.7554
23.59705,334.7626,355.6822
23.71138,335.0674,355.6871
23.76945,335.4726,355.6932
23.86954,336.6635,355.5837
23.90856,337.4515,355.5478
24.04042,339.44,355.3525
24.13158,340.5833,355.206
24.44538,343.3218,354.8748
24.61061,344.8193,354.7277
24.7977,346.4858,354.6428
25.18791,350.1437,354.5282
25.3679,352.0898,354.5325
25.65742,356.0161,354.6096
25.8168,358.1326,354.6434
26.01376,2.159407,354.8286
26.11184,3.970314,354.963
26.25607,5.421826,355.109
26.77816,7.45522,355.4879
27.08257,8.125438,355.7933
27.59497,9.155058,356.3446
27.87406,9.526053,356.4524
28.20779,10.04273,356.6864
28.28637,10.20895,356.9265
28.24883,10.42954,357.284
28.12476,10.44758,357.3538
27.92407,10.4283,357.3136
27.32872,10.26568,357.3325
26.9346,10.06238,357.4111
25.99066,9.433043,357.4232
25.37996,9.096888,357.4051
23.82139,8.426516,357.3387
22.88908,8.030065,357.3155
20.54382,7.024363,357.1335
19.17086,6.500371,357.0369
17.6493,5.950167,357.0203
13.94712,4.712604,356.9725
11.85948,3.9909,356.8636
7.365639,2.661174,356.5321
4.967612,2.125807,356.4534
0.03795744,1.113254,356.5183
357.66,0.5972225,356.5905
355.403,0.1594419,356.6614
351.1542,359.3749,356.9414
349.153,359.0829,357.0973
345.6746,358.5728,357.2162
344.3304,358.3908,357.1929
342.2838,357.9968,357.2209
341.485,357.765,357.3588
340.1363,357.3135,357.8951
339.6564,357.1171,357.983
339.3892,356.8877,358.052
339.2296,356.6087,358.6375
339.2289,356.5307,358.8763
339.5465,356.501,359.2155
339.7415,356.5523,359.3855
339.9222,356.6441,359.5797
340.3793,356.928,359.9197
340.6027,357.0689,0.05436682
341.0217,357.3284,0.2559396
341.1858,357.4586,0.3191232
341.4012,357.6938,0.3755929
341.5039,357.8052,0.4110067
341.675,357.9242,0.5079041
341.7365,357.9714,0.5659127
341.7851,357.999,0.6194556
341.9191,358.1103,0.7439344
341.9659,358.1624,0.7989494
342.0077,358.1992,0.8142496
341.9746,358.2037,0.8101841
341.8915,358.2318,0.8146114
341.8408,358.2572,0.8023399
341.6637,358.3195,0.7775327
341.5323,358.335,0.7333312
341.4146,358.3571,0.7053069
341.1855,358.3723,0.6754363
341.069,358.3884,0.6757773
340.8263,358.4327,0.6952451
340.717,358.4839,0.6915194
340.5848,358.5359,0.6556115
340.538,358.548,0.6621572
340.4767,358.581,0.6725343
340.3567,358.697,0.6859462
340.3171,358.761,0.6767919
340.2731,358.8619,0.6448056
340.2436,358.9053,0.6532262
340.1994,359.0002,0.641548
340.1862,359.0377,0.6260834
340.1806,359.0651,0.613394
340.1873,359.0489,0.614049
340.1765,359.0403,0.6280187
340.1501,359.0242,0.6119064
340.1509,359.0006,0.5885202
340.2053,358.9326,0.4970731
340.2153,358.9264,0.5111642
340.1794,358.8711,0.5456778
