L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
346.8047,355.9283,0.7339852,347.2823,355.8307,0.7786712
344.0229,350.8812,0.8715807,344.6118,350.8065,0.9828832
344.0229,350.8812,0.8715807,344.6118,350.8065,0.9828832
344.0744,350.9217,0.8704908,345.1716,350.8304,0.9819052
344.0857,352.1136,0.8365532,345.186,352.0134,0.9334216
344.0857,352.1136,0.8365532,345.186,352.0134,0.9334216
344.3545,352.6009,0.8231781,345.701,352.4928,0.913856
344.3545,352.6009,0.8231781,345.701,352.4928,0.9138556
344.3545,352.6009,0.8231781,345.701,352.4928,0.9138556
344.3416,352.5838,0.8236434,344.6649,352.5021,0.913479
343.533,351.8837,0.8422708,344.3896,351.7889,0.9425988
343.533,351.8837,0.8422708,344.3896,351.7889,0.9425988
343.533,351.8837,0.8422691,344.3896,351.7889,0.9426019
342.6775,351.1788,0.8609905,343.8255,351.0754,0.9718363
339.0663,349.3728,0.9059183,340.3186,349.261,1.04673
339.0663,349.3728,0.9059183,340.3186,349.261,1.04673
337.401,348.7321,0.9204974,338.699,348.6162,1.073556
338.5209,349.3784,0.9044261,339.7911,349.2628,1.046654
338.4915,348.9142,0.9179722,339.7579,348.8034,1.065755
338.4915,348.9142,0.9179722,339.7579,348.8034,1.065755
338.4915,348.9142,0.9179734,339.7579,348.8034,1.065755
338.4925,349.172,0.9103984,339.7689,349.058,1.055165
338.4925,349.172,0.9103984,339.7689,349.058,1.055165
338.2296,349.1906,0.9091889,339.5312,349.0738,1.054507
338.2256,349.1903,0.9091896,339.5271,349.0735,1.054518
338.2256,349.1903,0.9091896,339.5271,349.0735,1.054518
338.5349,349.6242,0.8972812,339.7942,349.5069,1.036531
338.5349,349.6242,0.8972781,339.7942,349.5069,1.036531
338.5314,349.401,0.9037922,339.8005,349.2853,1.045719
338.5314,349.401,0.9037922,339.8005,349.2853,1.045719
338.7745,349.3874,0.9047915,340.0311,349.2737,1.046201
338.4719,348.9159,0.9178742,339.7191,348.8061,1.065641
339.0016,347.4248,0.9635311,340.2313,347.3331,1.127304
339.0016,347.4248,0.9635311,340.2313,347.3331,1.127304
346.336,347.1979,0.9826615,346.6297,347.1732,1.134041
1.983209,347.0036,0.9784729,2.086609,346.9939,1.141605
1.983209,347.0036,0.9784729,2.086609,346.9939,1.141605
1.975594,347.0006,0.9785819,2.078992,346.9906,1.141746
12.94122,347.5833,0.925136,13.12948,347.5839,1.116759
12.94122,347.5833,0.925136,13.12948,347.5839,1.116759
14.29057,347.7299,0.9147736,14.92966,347.7593,1.1094
14.2968,347.9991,0.9067773,14.93025,348.0317,1.097979
14.02607,347.9839,0.9084549,14.21778,347.9907,1.099696
14.02607,347.9839,0.9084549,14.21778,347.9907,1.099696
14.0156,347.9736,0.9088096,14.20725,347.981,1.1001
13.76132,347.9988,0.9092046,14.18248,348.0186,1.098529
13.76132,347.9988,0.9092046,14.18248,348.0186,1.098529
13.75982,348.0064,0.9089862,14.15191,348.0247,1.098274
12.66143,348.1957,0.9081911,13.12024,348.2189,1.090149
12.43577,348.1924,0.9092459,12.86912,348.2139,1.090359
12.43577,348.1924,0.9092459,12.86912,348.2139,1.090359
11.87423,347.7973,0.923282,11.82634,347.7892,1.108141
10.48522,347.3817,0.9412073,11.01412,347.3956,1.124681
10.48522,347.3817,0.9412059,11.01413,347.3956,1.124681
10.48522,347.3817,0.9412059,11.01413,347.3956,1.124681
10.46838,347.3881,0.9410806,10.77109,347.3914,1.124853
10.46838,347.3881,0.9410806,10.77109,347.3914,1.124853
10.46838,347.3881,0.9410806,10.77109,347.3914,1.124853
9.673524,346.6219,0.9671204,10.22861,346.6282,1.157066
9.126997,346.0838,0.9854605,9.444069,346.0732,1.180611
9.093971,346.1202,0.9844736,9.193288,346.1004,1.179458
9.093971,346.1202,0.9844736,9.193288,346.1004,1.179458
9.087472,346.1163,0.984618,9.186777,346.0962,1.179636
7.736759,347.0258,0.9617902,8.087625,347.0252,1.140285
7.756784,347.0218,0.9618464,8.107618,347.0216,1.140437
7.756784,347.0218,0.9618464,8.107618,347.0216,1.140437
7.734689,346.8141,0.968177,7.573749,346.7928,1.150101
7.734689,346.8141,0.968177,7.573749,346.7928,1.150101
8.83697,347.3222,0.949101,8.632346,347.3036,1.12855
8.83697,347.3222,0.949101,8.632346,347.3036,1.12855
8.836972,347.3222,0.9491022,8.632346,347.3036,1.12855
8.85316,347.5663,0.9417514,8.893876,347.5601,1.117762
8.833242,347.8121,0.9345028,8.895126,347.8094,1.107294
8.849701,347.8229,0.9341208,8.911601,347.8206,1.106824
8.849701,347.8229,0.9341208,8.911601,347.8206,1.106824
7.461377,348.0094,0.9333204,7.564229,348.0095,1.098908
7.478477,348.0099,0.9332509,7.581302,348.011,1.098845
7.478477,348.0099,0.9332509,7.581302,348.011,1.098845
7.193846,348.0022,0.9344009,7.302388,348.0023,1.099211
6.374589,347.7801,0.9435863,7.041831,347.7955,1.10788
5.002508,347.4561,0.9572888,5.444421,347.459,1.122008
5.002508,347.4561,0.9572888,5.444421,347.459,1.122008
5.002505,347.4561,0.9572886,5.444422,347.459,1.122008
4.18549,346.94,0.9750315,4.389482,346.9325,1.144199
4.18549,346.94,0.9750315,4.389482,346.9325,1.144199
2.810034,345.4343,1.024466,3.055606,345.419,1.208522
2.81003,345.4343,1.024467,3.055608,345.419,1.208522
2.81003,345.4343,1.024467,3.055608,345.419,1.208522
2.831026,346.0749,1.004729,3.066884,346.0627,1.181059
13.72476,349.6761,0.8603325,14.40797,349.7322,1.027204
26.89453,350.1066,0.7741939,28.9823,350.3268,1.002644
26.89453,350.1066,0.7741939,28.9823,350.3268,1.002644
27.98166,350.7091,0.7496901,30.41588,350.9734,0.9760306
27.98164,350.7091,0.7496896,30.41588,350.9734,0.9760331
27.98166,350.7091,0.7496868,30.41588,350.9734,0.9760299
27.98166,350.7091,0.7496868,30.41588,350.9734,0.9760299
27.48405,351.6771,0.7258414,29.90985,351.9437,0.936276
26.20889,351.7812,0.7314434,28.27782,352.0128,0.9334505
26.20889,351.7812,0.7314434,28.27782,352.0128,0.9334505
24.01727,351.7972,0.7450086,26.15743,352.0188,0.9332057
21.76398,351.8643,0.7566971,22.95661,352.0137,0.9334159
19.9387,351.8228,0.7682161,21.70614,351.9933,0.9342495
19.9387,351.8228,0.7682161,21.70614,351.9933,0.9342495
19.9387,351.8228,0.7682161,21.70614,351.9933,0.9342492
18.89959,351.2671,0.7895179,19.40828,351.356,0.9603305
18.89959,351.2671,0.7895179,19.40828,351.356,0.9603305
18.31273,351.2877,0.7920433,18.84518,351.3762,0.9595029
18.31273,351.2877,0.7920433,18.84518,351.3762,0.9595029
17.74773,351.9649,0.7758868,18.29648,352.0638,0.9313623
16.15236,352.2605,0.775547,16.93292,352.3658,0.9190385
16.11315,351.9845,0.7834788,16.18497,352.0574,0.9316288
16.11315,351.9845,0.7834788,16.18497,352.0574,0.9316288
15.327,350.9296,0.8170494,15.43491,350.9823,0.9756622
14.78305,350.9323,0.8195086,14.90903,350.9845,0.9755749
14.78305,350.9323,0.8195086,14.90903,350.9845,0.9755749
14.79015,350.9339,0.8194304,14.91613,350.9865,0.9754923
14.61681,353.0146,0.7617129,14.80629,353.1031,0.8890138
14.82618,359.4538,0.5871796,15.44112,359.6482,0.625421
14.82618,359.4538,0.5871796,15.44112,359.6482,0.625421
17.50168,13.60396,0.2143024,19.52285,13.89225,0.0434961
18.03204,19.64662,0.05818142,20.02646,19.95878,359.7776
18.03204,19.64662,0.05818142,20.02646,19.95878,359.7776
18.26158,22.92934,359.9717,20.18143,23.25832,359.6245
18.26159,22.92934,359.9717,20.18142,23.25833,359.6245
17.96036,23.43384,359.9602,19.86545,23.76024,359.6006
17.96036,23.43384,359.9602,19.86545,23.76024,359.6006
17.85279,23.44262,359.9605,19.75695,23.7674,359.6003
17.57351,23.50344,359.9605,19.47404,23.8242,359.5976
17.57351,23.50344,359.9605,19.47404,23.8242,359.5976
16.07851,23.55044,359.9672,17.96739,23.84826,359.5964
15.7323,23.64595,359.9665,17.59556,23.94162,359.5919
15.7323,23.64595,359.9665,17.59556,23.94164,359.5919
15.7323,23.64595,359.9665,17.59556,23.94164,359.5919
15.69025,23.44294,359.972,17.53895,23.73997,359.6016
14.9422,21.68646,0.02153523,16.44339,22.013,359.6831
14.9422,21.68646,0.02153523,16.44339,22.013,359.6831
14.59395,20.45698,0.05491664,15.55015,20.83546,359.7376
13.68864,20.29977,0.06320211,14.56336,20.66571,359.7454
13.68863,20.29976,0.0632012,14.56335,20.6657,359.7454
13.68863,20.29976,0.0632012,14.56335,20.6657,359.7454
13.50428,20.24928,0.06534079,14.38011,20.61066,359.7479
12.9733,19.66025,0.08279879,13.95315,19.9964,359.7759
12.85172,19.17211,0.09578329,13.87621,19.49899,359.7984
12.85172,19.17211,0.09578329,13.87621,19.49899,359.7984
13.08651,19.13595,0.09566243,13.87657,19.4902,359.7988
13.04624,18.19279,0.1198107,13.81744,18.54221,359.8413
13.04624,18.19279,0.1198107,13.81744,18.54221,359.8413
12.92622,17.22729,0.1447856,13.47033,17.58734,359.8836
12.92622,17.22729,0.1447867,13.47032,17.58732,359.8836
12.86183,15.79332,0.1812242,13.38106,16.14244,359.9468
12.86183,15.79332,0.1812242,13.38106,16.14244,359.9468
12.72371,15.5785,0.1872295,13.28957,15.91951,359.9565
11.69221,15.76981,0.1867539,12.28642,16.08681,359.9492
11.69221,15.76981,0.1867539,12.28642,16.08681,359.9492
11.69117,15.87527,0.1841047,12.15785,16.20233,359.9442
11.16352,15.94807,0.1844155,11.77481,16.25329,359.942
11.16352,15.94808,0.1844151,11.77481,16.25329,359.942
11.16352,15.94808,0.1844151,11.77481,16.25329,359.942
10.38803,16.76542,0.1669033,10.75902,17.07511,359.9061
2.442511,17.96819,0.1612234,3.206989,18.08248,359.8617
2.442511,17.96819,0.1612234,3.206989,18.08248,359.8617
348.6533,24.34316,0.01114454,349.8666,24.16137,359.5814
335.9529,24.54967,359.9811,337.2701,24.11282,359.5837
