N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
-0.01163266,1.104854,-0.1300679,0.7674108,-0.5092575,-0.2813175,0.2694402
-0.01163266,1.104854,-0.1300679,0.7674108,-0.5092575,-0.2813175,0.2694402
-0.01182952,1.104697,-0.1300216,0.7675537,-0.509343,-0.2810996,0.2690987
-0.01189758,1.1046,-0.130081,0.7678321,-0.5091205,-0.2810019,0.2688275
-0.01186398,1.104572,-0.1301559,0.7686974,-0.5081103,-0.2805731,0.2687136
-0.0118105,1.104547,-0.1301274,0.7691516,-0.5079008,-0.2797957,0.2686204
-0.01220372,1.104601,-0.1301114,0.7686576,-0.5083633,-0.2797683,0.2691877
-0.01220372,1.104601,-0.1301114,0.7686576,-0.5083633,-0.2797683,0.2691877
-0.0121013,1.104825,-0.1295244,0.7680682,-0.5087353,-0.2786529,0.2713158
-0.01202437,1.105213,-0.1287736,0.7674003,-0.5098035,-0.2767513,0.2731411
-0.01244475,1.105271,-0.1286952,0.7660196,-0.5112443,-0.2766411,0.2744323
-0.01273129,1.105416,-0.1283958,0.7644095,-0.5127297,-0.2761083,0.2766777
-0.01273129,1.105416,-0.1283958,0.7644095,-0.5127297,-0.2761083,0.2766777
-0.01285355,1.105491,-0.1279506,0.7630342,-0.5143214,-0.2748193,0.2787951
-0.01294141,1.105629,-0.1278829,0.7616709,-0.5155444,-0.2744861,0.2805867
-0.01294141,1.105629,-0.1278829,0.7616709,-0.5155444,-0.2744861,0.2805867
-0.01312502,1.105805,-0.1279148,0.7606566,-0.516112,-0.2748073,0.2819768
-0.01323099,1.106249,-0.1273409,0.7585951,-0.5174863,-0.2740301,0.2857426
-0.01336923,1.106543,-0.1266743,0.7563578,-0.5193661,-0.2728258,0.2893921
-0.01397087,1.106962,-0.1263107,0.7531624,-0.5218917,-0.2730227,0.2929746
-0.01397087,1.106962,-0.1263107,0.7531624,-0.5218917,-0.2730227,0.2929746
-0.01509118,1.107567,-0.1251173,0.748087,-0.5258452,-0.2727439,0.2991044
-0.01563808,1.107874,-0.124272,0.7453381,-0.5281904,-0.2719119,0.3025723
-0.01716401,1.108096,-0.1225244,0.7390465,-0.534098,-0.2703596,0.3089586
-0.01778161,1.108279,-0.1216784,0.7359712,-0.5371071,-0.2696311,0.3117074
-0.01936907,1.108404,-0.1203428,0.7289061,-0.543153,-0.2686864,0.3185722
-0.01973546,1.108461,-0.1193681,0.7256602,-0.5459919,-0.2673333,0.3222469
-0.01973546,1.108461,-0.1193681,0.7256602,-0.5459919,-0.2673333,0.3222469
-0.02015306,1.108917,-0.1181656,0.7200439,-0.5506485,-0.2650284,0.3287599
-0.02173604,1.109547,-0.1172304,0.710454,-0.5585118,-0.2636698,0.3373396
-0.02248656,1.109925,-0.1152884,0.7032334,-0.5643945,-0.2602206,0.3452636
-0.02248656,1.109925,-0.1152884,0.7032334,-0.5643945,-0.2602206,0.3452636
