H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-0.03402555,1.113206,-0.06236672,0.3877759,-0.7280331,-0.152712,0.5443131
-0.03399372,1.113181,-0.06246626,0.3879016,-0.7280764,-0.1524769,0.5442315
-0.03402483,1.11314,-0.06248343,0.387965,-0.7281266,-0.1524231,0.5441343
-0.03410041,1.113079,-0.06250536,0.3880867,-0.7282075,-0.1523215,0.5439675
-0.03409851,1.113092,-0.06261003,0.388121,-0.7283289,-0.1519521,0.543884
-0.03409851,1.113092,-0.06261003,0.388121,-0.7283289,-0.1519521,0.543884
-0.0341599,1.113107,-0.06260741,0.3882419,-0.7284467,-0.1515185,0.5437607
-0.03417313,1.11315,-0.06260514,0.3884391,-0.7284531,-0.1510215,0.5437496
-0.03417313,1.11315,-0.06260514,0.3884391,-0.7284531,-0.1510215,0.5437496
-0.03420842,1.113196,-0.06270802,0.3885219,-0.7286699,-0.1505959,0.543518
-0.03425872,1.113197,-0.06271064,0.3885733,-0.7287139,-0.1504965,0.5434498
-0.03430462,1.113185,-0.0626874,0.3887451,-0.7287726,-0.1502365,0.5433202
-0.03431499,1.113189,-0.06270611,0.3887564,-0.728842,-0.150124,0.5432501
-0.03434205,1.113193,-0.06276906,0.3886864,-0.7289816,-0.150071,0.5431275
-0.03431582,1.113229,-0.06278431,0.3887751,-0.7289931,-0.1497557,0.5431356
-0.03430581,1.113214,-0.06280553,0.3887463,-0.7289576,-0.1496572,0.543231
-0.03425813,1.113218,-0.06283534,0.388653,-0.7289849,-0.1496642,0.5432591
-0.03419578,1.113233,-0.06288326,0.3884523,-0.7290424,-0.149663,0.5433259
-0.03419709,1.113217,-0.0628984,0.3883437,-0.7290676,-0.1496155,0.5433828
-0.03419673,1.113204,-0.06290996,0.3882036,-0.729071,-0.1496116,0.5434794
-0.03416145,1.11319,-0.06287134,0.3878044,-0.7291113,-0.1495746,0.5437206
-0.03405476,1.113187,-0.06287777,0.3874804,-0.7289618,-0.1496764,0.5441238
-0.03405476,1.113187,-0.06287777,0.3874804,-0.7289618,-0.1496764,0.5441238
-0.03398573,1.1132,-0.06290877,0.3871068,-0.728727,-0.149945,0.5446299
-0.03386366,1.113174,-0.06289279,0.3864557,-0.7283364,-0.150743,0.545394
-0.03371823,1.11316,-0.06281984,0.38486,-0.7272418,-0.1529001,0.5473789
-0.03371823,1.11316,-0.06281984,0.38486,-0.7272418,-0.1529001,0.5473789
-0.03320456,1.11316,-0.06241596,0.381794,-0.7249538,-0.1575492,0.5512291
-0.03299546,1.113167,-0.06223977,0.3796853,-0.7234285,-0.1607757,0.5537521
-0.03254187,1.113231,-0.06183064,0.3737645,-0.7190069,-0.1692532,0.5609658
-0.03185689,1.113256,-0.06119633,0.3665976,-0.7129305,-0.1789729,0.5703553
-0.03185689,1.113256,-0.06119633,0.3665976,-0.7129305,-0.1789729,0.5703553
-0.03109491,1.113316,-0.0604949,0.3586924,-0.7062938,-0.1893623,0.5801989
-0.03011024,1.113336,-0.05963802,0.3506851,-0.6990588,-0.1996596,0.5903159
-0.02921152,1.113422,-0.05875015,0.3425036,-0.6917243,-0.2100035,0.6000894
-0.02921152,1.113422,-0.05875015,0.3425036,-0.6917243,-0.2100035,0.6000894
-0.0284003,1.113421,-0.05779052,0.3342949,-0.6844537,-0.2203492,0.6092752
-0.02739048,1.113409,-0.05679226,0.3268697,-0.6768774,-0.2299011,0.6181737
-0.02739048,1.113409,-0.05679226,0.3268697,-0.6768774,-0.2299011,0.6181737
-0.0295192,1.113769,-0.05912256,0.3213893,-0.6725838,-0.2404621,0.6217057
-0.02810717,1.113123,-0.05735862,0.3158529,-0.6644741,-0.2497543,0.6295506
-0.02726233,1.113075,-0.05710101,0.3100082,-0.6561124,-0.259377,0.6372873
-0.02690721,1.113085,-0.05680966,0.3070436,-0.6521971,-0.2637152,0.6409505
-0.02608335,1.113117,-0.05607224,0.3010532,-0.6442579,-0.2717047,0.6484407
-0.02570915,1.113078,-0.05568314,0.2983479,-0.6403783,-0.2754657,0.6519377
-0.02485728,1.112988,-0.05513167,0.2943422,-0.6332135,-0.2818283,0.6580093
-0.0245086,1.113,-0.05495489,0.292843,-0.6300821,-0.2845998,0.6604866
-0.02389526,1.112976,-0.05463994,0.2905516,-0.6244848,-0.2894629,0.6646877
-0.0235405,1.112928,-0.05456412,0.2897828,-0.6219544,-0.2915584,0.6664776
-0.02306736,1.112823,-0.05458629,0.2886244,-0.61756,-0.2956195,0.6692718
-0.02270317,1.112782,-0.05492306,0.287957,-0.6130447,-0.2999623,0.6717736
-0.02270317,1.112782,-0.05492306,0.287957,-0.6130447,-0.2999623,0.6717736
-0.02221799,1.112802,-0.05550778,0.286826,-0.6074681,-0.3048989,0.6750926
-0.0218749,1.112854,-0.05635178,0.2853571,-0.6016254,-0.3103772,0.6784424
-0.0218749,1.112854,-0.05635178,0.2853571,-0.6016254,-0.3103772,0.6784424
-0.02138817,1.11291,-0.05731618,0.2828751,-0.5941491,-0.3167119,0.6831268
-0.0212127,1.112938,-0.05778682,0.280946,-0.5898208,-0.3203458,0.6859733
-0.02091432,1.112944,-0.05849016,0.2763551,-0.5813335,-0.3273764,0.6917398
-0.02077949,1.112901,-0.05909979,0.2743712,-0.5768256,-0.3313124,0.6944241
-0.02068639,1.112854,-0.06017947,0.2695751,-0.5676628,-0.3395211,0.6998668
-0.02070832,1.112858,-0.06063318,0.2669053,-0.5634348,-0.3436112,0.7023064
-0.02070618,1.112954,-0.06166506,0.2620487,-0.5549411,-0.3518826,0.7067882
-0.0207485,1.113272,-0.06232345,0.2569535,-0.5461744,-0.3593318,0.7117227
-0.0207485,1.113272,-0.06232345,0.2569535,-0.5461744,-0.3593318,0.7117227
-0.02053893,1.113563,-0.06194437,0.2488077,-0.5362613,-0.3676002,0.7179058
-0.02053893,1.113563,-0.06194437,0.2488077,-0.5362613,-0.3676002,0.7179058
-0.02010143,1.113381,-0.06147802,0.2463163,-0.5332651,-0.3693083,0.7201167
-0.01956058,1.112913,-0.06018293,0.240803,-0.5280442,-0.3726248,0.7241092
-0.01928508,1.112529,-0.05962646,0.2384544,-0.5256639,-0.3742505,0.725778
-0.01808262,1.111607,-0.05777884,0.2322068,-0.5196802,-0.3773305,0.7305028
-0.01808262,1.111607,-0.05777884,0.2322068,-0.5196802,-0.3773305,0.7305028
-0.01741946,1.11205,-0.05617678,0.2279127,-0.5162157,-0.3785436,0.733677
-0.01665592,1.111969,-0.0548557,0.2254475,-0.5149744,-0.3778196,0.7356815
-0.01527095,1.111843,-0.05478406,0.2246906,-0.510578,-0.3798304,0.7379385
-0.01478755,1.111748,-0.0548085,0.2243001,-0.5084615,-0.3812445,0.7387888
-0.01385558,1.111439,-0.05528808,0.2242971,-0.5039167,-0.3847883,0.7400654
-0.01341808,1.111216,-0.05564177,0.224407,-0.5014261,-0.3870254,0.7405571
-0.01277649,1.111249,-0.0559268,0.2245548,-0.4989217,-0.3890077,0.7411649
-0.01245749,1.110639,-0.05640352,0.2237643,-0.4934542,-0.3943048,0.7422643
-0.01220644,1.110192,-0.05676043,0.2231086,-0.4889442,-0.3995535,0.7426393
-0.0118674,1.109732,-0.05736256,0.2221175,-0.483619,-0.4053702,0.7432709
-0.0118674,1.109732,-0.05736256,0.2221175,-0.483619,-0.4053702,0.7432709
-0.01185274,1.109459,-0.05754662,0.2213595,-0.4810767,-0.408416,0.7434794
-0.0117476,1.109206,-0.05773163,0.2208006,-0.4784456,-0.4114563,0.7436671
-0.01156163,1.108687,-0.05809319,0.2198817,-0.4731487,-0.4173105,0.7440661
-0.008563042,1.108993,-0.05989051,0.2223428,-0.4642273,-0.4241955,0.7450603
-0.008464813,1.108377,-0.06072521,0.2230653,-0.4613917,-0.4277594,0.744568
-0.007772207,1.107848,-0.06203914,0.2253575,-0.4576957,-0.4310804,0.7442435
-0.00634861,1.106814,-0.0646894,0.2297368,-0.4501456,-0.4376518,0.7436739
-0.008263946,1.105232,-0.0640471,0.2319262,-0.4465783,-0.4482316,0.7388278
-0.007833123,1.104562,-0.06423581,0.2292098,-0.4433424,-0.4483128,0.7415699
-0.007627964,1.104102,-0.06483734,0.2308379,-0.4407597,-0.4515477,0.7406412
-0.007497072,1.103288,-0.06602621,0.2343188,-0.4361559,-0.4583935,0.7380638
-0.007497072,1.103288,-0.06602621,0.2343188,-0.4361559,-0.4583935,0.7380638
-0.00745821,1.102917,-0.06674099,0.2363522,-0.433914,-0.4619232,0.7365347
-0.007466674,1.102324,-0.0682385,0.24088,-0.4296721,-0.4688097,0.733196
-0.007450581,1.10187,-0.06960249,0.2458705,-0.4258363,-0.4751184,0.729708
-0.007511735,1.101425,-0.0706712,0.2505516,-0.4226771,-0.4810854,0.7260336
-0.007565022,1.101046,-0.07190609,0.2555979,-0.41971,-0.4864521,0.722411
-0.007520199,1.100887,-0.07258153,0.2584079,-0.4181702,-0.4889601,0.7206088
-0.007520199,1.100887,-0.07258153,0.2584079,-0.4181702,-0.4889601,0.7206088
-0.007600784,1.100574,-0.07382882,0.2639008,-0.415466,-0.4941899,0.7166037
-0.007598877,1.100333,-0.07447112,0.2667784,-0.4142148,-0.4966874,0.7145327
-0.007653356,1.099927,-0.0758903,0.2728172,-0.411828,-0.5016088,0.710181
-0.007668972,1.099609,-0.07734776,0.2792054,-0.4095807,-0.5062996,0.7056549
-0.007657647,1.099487,-0.07802463,0.2824022,-0.4085636,-0.5084929,0.7033917
-0.007707596,1.099204,-0.07914078,0.2881271,-0.4072094,-0.5122631,0.6991065
-0.007707596,1.099204,-0.07914078,0.2881271,-0.4072094,-0.5122631,0.6991065
-0.008524537,1.100325,-0.07817781,0.2902457,-0.4077757,-0.5150889,0.695816
-0.008783937,1.100834,-0.07745588,0.2907919,-0.4086589,-0.5158879,0.6944767
-0.01156747,1.102278,-0.07448721,0.287666,-0.4154442,-0.5195136,0.6890284
-0.00972259,1.101143,-0.0749929,0.2873104,-0.4172997,-0.5107764,0.6945655
-0.007593393,1.100102,-0.07456088,0.2940179,-0.4164242,-0.5131856,0.6904962
-0.007593393,1.100102,-0.07456088,0.2940179,-0.4164242,-0.5131856,0.6904962
-0.008627057,1.098926,-0.07477081,0.2969535,-0.414188,-0.5198257,0.6856007
-0.00788331,1.099102,-0.07485712,0.2963664,-0.4148946,-0.5152065,0.6889062
