Yaw,Pitch,Roll
284.5513,353.7263,284.8793
284.7334,353.6826,285.1525
284.8995,353.6178,285.4416
284.9647,353.5743,285.5504
285.0294,353.524,285.6498
285.1311,353.4255,285.8094
285.2023,353.3608,285.8175
285.2023,353.3608,285.8175
285.2203,353.3395,285.811
285.2476,353.3074,285.7854
285.2579,353.2894,285.7814
285.2847,353.2481,285.7559
285.3035,353.2067,285.6677
285.3092,353.1747,285.6237
285.3092,353.1747,285.6237
285.3173,353.1331,285.5845
285.3384,353.1029,285.5244
285.3429,353.0871,285.4861
285.3495,353.0662,285.4271
285.3544,353.0581,285.3998
285.3725,353.0353,285.3784
285.3792,353.0308,285.3728
285.3825,353.0306,285.3637
285.3752,353.0277,285.3642
285.3607,353.0079,285.3633
285.3283,352.97,285.3759
285.3146,352.9742,285.3753
285.2884,352.9766,285.3783
285.277,352.979,285.3817
285.2623,352.9866,285.3807
285.2568,352.984,285.3823
285.2568,352.984,285.3823
285.2432,352.972,285.3825
285.2151,352.9597,285.3977
285.2151,352.9597,285.3977
285.1914,352.9656,285.3747
285.1527,352.9643,285.3677
285.1409,352.9658,285.3708
285.1096,352.9531,285.3468
285.0999,352.952,285.3285
285.0809,352.9523,285.311
285.0473,352.9536,285.2761
285.0417,352.9467,285.2776
285.0351,352.9486,285.273
285.0289,352.9508,285.2408
285.0289,352.9508,285.2408
285.0196,352.9479,285.2099
285.0148,352.9324,285.1511
285.0148,352.9324,285.1511
285.0063,352.9229,285.1083
284.9844,352.917,285.0771
284.9618,352.9084,285.0464
284.9618,352.9084,285.0464
284.944,352.9091,285.0327
284.9102,352.9398,285.0435
284.8871,352.9313,285.0464
284.8653,352.9127,285.0495
284.8653,352.9127,285.0495
284.861,352.9179,285.0402
284.849,352.9098,285.012
284.8373,352.8936,284.9969
284.8373,352.8936,284.9969
284.8438,352.9045,285.0154
284.8572,352.8971,285.0062
284.8572,352.8971,285.0062
284.8581,352.8933,284.9796
284.8497,352.8908,284.9741
284.8342,352.908,284.9584
284.798,352.8903,284.9437
284.7726,352.885,284.9514
284.7726,352.885,284.9514
284.7556,352.8994,284.9509
284.743,352.8951,284.9417
284.7323,352.8946,284.9377
284.717,352.8985,284.9466
284.7045,352.8987,284.9311
284.6823,352.8944,284.9033
284.6823,352.8944,284.9033
284.602,352.9325,284.8981
284.5384,352.959,284.8837
284.3304,353.0035,284.8295
284.0618,353.0684,284.783
284.0618,353.0684,284.783
283.7396,353.2113,284.7627
283.2964,353.3997,284.6619
282.72,353.6694,284.5677
282.4008,353.8184,284.5742
281.7112,354.1269,284.4301
281.339,354.298,284.3189
281.339,354.298,284.3189
280.5185,354.7122,284.1528
279.5893,355.1227,283.9329
278.5811,355.5291,283.7285
278.5811,355.5291,283.7285
277.5307,356.0537,283.5449
276.986,356.3107,283.4673
275.9109,356.7827,283.3607
274.9316,357.1852,283.2866
274.48,357.3743,283.2969
273.6302,357.6779,283.4055
273.2602,357.8193,283.437
272.6648,358.0834,283.5085
272.6648,358.0834,283.5085
272.4201,358.2008,283.5568
272.0151,358.3776,283.6092
