H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-0.06554806,1.296699,-0.09555407,-0.2455191,-0.218438,-0.0340297,0.943847
-0.06552018,1.2967,-0.09555289,-0.2455655,-0.2182756,-0.03393001,0.9438761
-0.06525779,1.296769,-0.09562375,-0.2461415,-0.2172467,-0.03333872,0.9439845
-0.06513676,1.296806,-0.09568096,-0.2464468,-0.2168714,-0.03334895,0.9439908
-0.06504467,1.296938,-0.09577993,-0.2473889,-0.2159199,-0.03369145,0.9439504
-0.0650216,1.296988,-0.09580895,-0.2476149,-0.2155816,-0.03357723,0.9439725
-0.06501912,1.297075,-0.09587389,-0.2477743,-0.215139,-0.03310761,0.9440482
-0.06505599,1.297061,-0.09591781,-0.2476087,-0.2152088,-0.03283876,0.9440851
-0.06518099,1.297024,-0.09597098,-0.247456,-0.2155629,-0.03264159,0.9440512
-0.06541079,1.29696,-0.09606288,-0.2468459,-0.2159363,-0.03253349,0.9441293
-0.06543553,1.296877,-0.09609788,-0.2464374,-0.2161355,-0.03198881,0.944209
-0.06571244,1.296722,-0.09595311,-0.2460515,-0.2165171,-0.03232011,0.944211
-0.06592987,1.29663,-0.09593305,-0.2455511,-0.2170068,-0.03219652,0.9442331
-0.06624955,1.296424,-0.0957692,-0.2441346,-0.2172219,-0.03161842,0.9445704
-0.06632658,1.296317,-0.09562711,-0.2437519,-0.2166981,-0.03147487,0.9447943
-0.06637408,1.296235,-0.09547849,-0.2434885,-0.2163659,-0.0313765,0.9449416
-0.06655753,1.296093,-0.09515122,-0.2431506,-0.2160286,-0.03146246,0.9451029
-0.06666877,1.296002,-0.09500156,-0.2426995,-0.2159886,-0.0313977,0.9452302
-0.06680179,1.295751,-0.09468929,-0.241691,-0.2158349,-0.03105089,0.9455351
-0.06677692,1.295679,-0.09446755,-0.2416112,-0.2154447,-0.03102497,0.9456453
-0.06675626,1.295626,-0.0940306,-0.2413581,-0.2144489,-0.03151558,0.9459201
-0.06676618,1.295562,-0.0938293,-0.2408174,-0.213971,-0.03179453,0.9461567
-0.06671445,1.295428,-0.09361544,-0.2398988,-0.2134318,-0.03184673,0.94651
-0.06648179,1.295078,-0.09307778,-0.2386311,-0.2117535,-0.03144028,0.9472207
-0.0661611,1.294914,-0.09264369,-0.2380866,-0.2107598,-0.03134419,0.9475825
-0.06585165,1.294409,-0.09186882,-0.2362598,-0.2083557,-0.03118414,0.9485762
-0.06558897,1.294152,-0.09144635,-0.2348158,-0.2069618,-0.03097448,0.9492465
-0.06470248,1.293415,-0.09037019,-0.2310297,-0.2031172,-0.02995717,0.9510369
-0.06433135,1.292913,-0.08971702,-0.2287275,-0.2008015,-0.02964434,0.9520944
-0.06347653,1.291893,-0.08823425,-0.22286,-0.1959992,-0.02895376,0.9545048
-0.06278595,1.29144,-0.0875036,-0.219603,-0.1927993,-0.02830564,0.9559298
-0.06209232,1.290938,-0.08685147,-0.2166999,-0.1893716,-0.0277776,0.957292
-0.06118147,1.289862,-0.08550557,-0.212225,-0.1845306,-0.02806759,0.9592295
-0.06066616,1.289273,-0.08482582,-0.2096258,-0.1826603,-0.02798475,0.960161
-0.05924243,1.288051,-0.08317966,-0.2032764,-0.1780959,-0.02753711,0.9623941
-0.05853743,1.287452,-0.08246244,-0.2002885,-0.1749895,-0.02752858,0.9635898
-0.05756485,1.286205,-0.08083256,-0.1950239,-0.1705993,-0.02687234,0.9654737
-0.05701766,1.285509,-0.0800688,-0.1915164,-0.16876,-0.02634382,0.9665131
-0.05609625,1.284933,-0.07918008,-0.188002,-0.1663776,-0.02549927,0.9676381
-0.05437591,1.283795,-0.07724739,-0.1827185,-0.1595887,-0.02477224,0.9698101
-0.0537703,1.283039,-0.07631511,-0.1801665,-0.1562151,-0.02509894,0.9708279
-0.05216185,1.281308,-0.07450309,-0.1720866,-0.150647,-0.02483833,0.9731777
-0.05105068,1.280396,-0.0733446,-0.166859,-0.147014,-0.02420553,0.9746584
-0.04859321,1.278502,-0.07084877,-0.1576264,-0.1371896,-0.02320752,0.9776474
-0.04752288,1.277294,-0.06959109,-0.1533369,-0.1319135,-0.02336673,0.9790509
-0.04639256,1.275939,-0.06834134,-0.147931,-0.1267649,-0.02316682,0.9805664
-0.04301877,1.273369,-0.0655935,-0.1340143,-0.1148451,-0.02172271,0.9840624
-0.04133078,1.27227,-0.06408522,-0.1287706,-0.107728,-0.02158333,0.9855694
-0.03803324,1.269576,-0.06098643,-0.120811,-0.09376352,-0.02200215,0.9879924
-0.03620452,1.267808,-0.05957665,-0.1147235,-0.08642337,-0.02233015,0.989379
-0.03187796,1.264381,-0.05683643,-0.09870797,-0.07029067,-0.02185689,0.9923902
-0.02987373,1.262823,-0.05528731,-0.09166791,-0.06189543,-0.02222889,0.9936155
-0.02605181,1.259355,-0.05238499,-0.07970801,-0.0471904,-0.02336088,0.9954265
-0.02399494,1.257288,-0.05104363,-0.07245383,-0.04003661,-0.02335478,0.9962943
-0.02158979,1.255217,-0.04968043,-0.06366557,-0.0329877,-0.02272639,0.997167
-0.01721316,1.251234,-0.04701269,-0.04764817,-0.01727551,-0.02393512,0.9984279
-0.01515152,1.24932,-0.04578072,-0.04123619,-0.009916095,-0.0253243,0.9987792
-0.01020398,1.244651,-0.04329013,-0.02545811,0.00474993,-0.02609188,0.999324
-0.007704598,1.241988,-0.04222549,-0.01586009,0.01355624,-0.02529832,0.9994622
-0.002468858,1.237074,-0.03994359,0.00099571,0.03123439,-0.02433978,0.9992152
0.0002100952,1.234362,-0.03898434,0.008777773,0.03981518,-0.02457969,0.9988661
0.005568367,1.228881,-0.03724707,0.02863022,0.05814113,-0.02425719,0.9976029
0.008404274,1.226302,-0.0364665,0.03947145,0.0675901,-0.02359914,0.9966527
0.01130927,1.22393,-0.03542928,0.04729306,0.07707316,-0.02244589,0.9956502
0.01643984,1.218876,-0.03362761,0.05990494,0.09460613,-0.02188383,0.9934698
0.01903106,1.216202,-0.03297234,0.06768563,0.1021607,-0.02095146,0.9922413
0.02410233,1.211782,-0.03230448,0.08590193,0.1179532,-0.01897955,0.9891146
0.02667057,1.209801,-0.03163556,0.09241879,0.1261829,-0.01803029,0.987528
0.03091414,1.205705,-0.03060126,0.1027312,0.1398426,-0.01742459,0.9846759
0.0329209,1.20338,-0.03024071,0.1084312,0.1451404,-0.0171498,0.983302
0.03469212,1.201624,-0.03033532,0.1164805,0.1505907,-0.01690616,0.9815645
0.03864342,1.198422,-0.02953771,0.1274377,0.1614275,-0.01676112,0.9784783
0.04019728,1.196836,-0.02897567,0.130867,0.1657246,-0.0185467,0.9772744
0.04301383,1.193419,-0.02886786,0.1405357,0.1712929,-0.02061682,0.9749274
0.04449698,1.191851,-0.02871077,0.1463622,0.1738759,-0.02118201,0.9735998
0.04692356,1.189307,-0.02818868,0.1539432,0.1794268,-0.02362143,0.9713648
0.04774062,1.188068,-0.02777555,0.1561118,0.1807998,-0.02555582,0.9707149
0.04871624,1.186848,-0.02760765,0.1598287,0.1814937,-0.02699815,0.9699412
0.0503738,1.184161,-0.02722317,0.1676763,0.1828807,-0.02961688,0.9682779
0.05101636,1.182992,-0.02684512,0.1705703,0.1839507,-0.03218139,0.9674876
0.05242972,1.180821,-0.02641407,0.1759266,0.1847688,-0.03664429,0.966213
0.05322075,1.179383,-0.02587334,0.1790893,0.185334,-0.03840619,0.965455
0.05428565,1.177951,-0.02604335,0.1852269,0.1862219,-0.03960955,0.9640765
0.05472935,1.177315,-0.02550527,0.1860368,0.1871268,-0.03999136,0.9637295
0.05600585,1.176327,-0.0251297,0.1888063,0.1877602,-0.03892314,0.9631112
0.05648478,1.176009,-0.02504543,0.1902449,0.1885901,-0.03800634,0.9627025
0.05669208,1.175873,-0.02473534,0.190582,0.1897052,-0.03767143,0.9624299
0.0573263,1.176308,-0.02412741,0.1897116,0.1898006,-0.03720511,0.9626012
0.05762315,1.176562,-0.02402295,0.1887308,0.1900989,-0.03695824,0.9627446
0.05790776,1.177631,-0.02359697,0.1848309,0.1902979,-0.03586995,0.9635028
0.05778412,1.178427,-0.02339093,0.1819333,0.1899427,-0.03635619,0.9641059
0.0579211,1.180343,-0.02338268,0.176863,0.1891135,-0.03677944,0.9651957
0.05812374,1.181158,-0.02344422,0.174201,0.1890105,-0.03599429,0.9657295
0.0581338,1.182268,-0.02343476,0.1714485,0.1893532,-0.0350703,0.9661888
0.05776275,1.185115,-0.02325834,0.1630734,0.1883645,-0.03357972,0.9678834
0.05765251,1.186364,-0.02333529,0.1584102,0.1875371,-0.0338583,0.9688084
0.05753943,1.189005,-0.02360266,0.1500967,0.187858,-0.03464359,0.9700413
0.05741888,1.190662,-0.02364931,0.1448027,0.187595,-0.03365302,0.9709314
0.0568108,1.194261,-0.02375487,0.1322901,0.1859723,-0.0320804,0.9730799
0.05670231,1.196325,-0.02435215,0.1260556,0.1867542,-0.0312038,0.973786
0.05702081,1.199471,-0.02545296,0.1154212,0.1895879,-0.02936036,0.974614
0.05692425,1.201558,-0.02585727,0.1104127,0.1903992,-0.02771876,0.975084
0.0565724,1.203502,-0.02648768,0.103847,0.1907476,-0.02552909,0.9757968
0.05635003,1.208026,-0.0277598,0.09095423,0.189225,-0.02192293,0.9774664
0.0558838,1.209538,-0.02851433,0.08403481,0.1903767,-0.02131521,0.9778755
0.05521879,1.213735,-0.03008472,0.07159763,0.1905054,-0.02228031,0.9788182
0.05482514,1.216138,-0.03085057,0.06444965,0.1894969,-0.02153402,0.9795272
0.0542785,1.22057,-0.03273223,0.05001255,0.1877932,-0.01976445,0.9807354
0.05401743,1.222359,-0.03380121,0.04293085,0.1878798,-0.01966185,0.9810563
0.0535182,1.224538,-0.03485284,0.03612293,0.1881276,-0.01980874,0.9812801
0.05255325,1.22966,-0.03687555,0.02020127,0.1861497,-0.01796057,0.9821495
0.05230162,1.23191,-0.03820989,0.01113843,0.1841631,-0.01610491,0.9827006
0.05141328,1.236224,-0.0407846,-0.00406451,0.1840339,-0.0152154,0.9827937
0.05096652,1.238993,-0.04220187,-0.01178098,0.1838689,-0.01456219,0.9827723
0.05008428,1.244848,-0.04495409,-0.03224567,0.1817568,-0.01078907,0.9827554
0.0498283,1.247177,-0.04654125,-0.04229118,0.1811645,-0.009212308,0.9824999
0.04943854,1.249297,-0.04823461,-0.05088039,0.1819475,-0.008826467,0.9819513
0.04853936,1.253888,-0.051736,-0.06699511,0.1825925,-0.007354502,0.9808759
0.04787778,1.256567,-0.0533914,-0.07514192,0.1824237,-0.005925435,0.9803266
0.04725836,1.260869,-0.0569482,-0.09139974,0.181058,-0.002968841,0.9792116
0.04685583,1.262801,-0.05876769,-0.09857247,0.1812987,-0.002191848,0.978473
0.04568501,1.267496,-0.06237657,-0.113582,0.1816886,-0.0004351425,0.9767744
0.04527217,1.269707,-0.06420936,-0.1228801,0.1810772,0.002156182,0.9757596
0.04435497,1.273369,-0.06788003,-0.1386608,0.1816241,0.00570102,0.9735262
0.04396354,1.275199,-0.06979483,-0.1454941,0.1818367,0.006836948,0.9724814
0.04350597,1.277105,-0.07180113,-0.1527113,0.1820061,0.008450076,0.9713298
0.04257085,1.280838,-0.07527461,-0.168267,0.1817979,0.01252561,0.9687512
0.04199996,1.282336,-0.07698319,-0.1747294,0.1816483,0.01354414,0.9676208
0.04074091,1.286128,-0.08084876,-0.1876027,0.1817875,0.01650134,0.9651355
0.04044446,1.288113,-0.08262655,-0.1963795,0.1816017,0.01971878,0.9633624
0.03944189,1.290723,-0.08586092,-0.2126223,0.1827266,0.02328883,0.9596147
0.03885857,1.291869,-0.08743577,-0.2171803,0.1830233,0.02262691,0.9585527
0.03852013,1.293027,-0.08900715,-0.2207954,0.1828798,0.02294772,0.9577462
0.0378023,1.294799,-0.09180643,-0.2292805,0.1825533,0.0252522,0.9557547
0.03747391,1.295847,-0.09324735,-0.2323154,0.1821749,0.02623783,0.9550673
0.03669935,1.296773,-0.09554986,-0.2373934,0.1816785,0.02481393,0.9539505
0.03643703,1.297277,-0.09658053,-0.2390327,0.1812487,0.0241494,0.9536399
0.03600865,1.298421,-0.0983938,-0.2436044,0.1800957,0.02424759,0.9526985
0.03569173,1.298794,-0.0992228,-0.2461466,0.1797183,0.02429548,0.952115
0.03499277,1.299471,-0.1010367,-0.2471618,0.1785228,0.0230276,0.9521084
0.03494053,1.299775,-0.1011221,-0.2488817,0.1778633,0.02305601,0.9517831
0.03450581,1.299857,-0.1022704,-0.2503211,0.1768041,0.02274898,0.9516103
0.03418,1.300456,-0.1033031,-0.2545193,0.1753969,0.02314658,0.9507471
0.03393835,1.300702,-0.1037433,-0.2556084,0.1751574,0.0223262,0.9505187
0.03357588,1.300957,-0.1046142,-0.2571493,0.174074,0.021585,0.9503192
0.03329241,1.301096,-0.1048981,-0.2581578,0.1731532,0.02141003,0.950218
0.03281625,1.301136,-0.105562,-0.2590651,0.1711846,0.02114289,0.9503337
0.03269531,1.301134,-0.1058563,-0.2588652,0.1710379,0.02108444,0.9504158
0.03238358,1.301608,-0.106412,-0.2566393,0.1718233,0.02087838,0.9508823
0.03232399,1.30122,-0.1064049,-0.258913,0.1712588,0.02131165,0.950358
0.03209385,1.30122,-0.1064397,-0.2585375,0.1707361,0.02086249,0.9505642
0.03171299,1.30099,-0.1063138,-0.2573586,0.1697674,0.02139338,0.9510457
0.03160747,1.300819,-0.1061978,-0.2566813,0.1696371,0.02184187,0.9512418
0.03132055,1.300597,-0.1059804,-0.2560122,0.168387,0.02202695,0.9516398
