NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,0.02273324,3.319235e-25
-1.0,-1.0,-1.0,-1.0,0.02203149,1.6487230000000001e-25
-1.0,-1.0,-1.0,-1.0,0.02203149,1.6487230000000001e-25
-1.0,-1.0,-1.0,-1.0,0.02201721,1.161977e-25
-1.0,-1.0,-1.0,-1.0,0.02620522,8.189364999999999e-26
-1.0,-1.0,-1.0,-1.0,0.02620522,8.189364999999999e-26
-1.0,-1.0,-1.0,-1.0,0.02303546,5.77168e-26
-1.0,-1.0,-1.0,-1.0,0.02303546,5.77168e-26
-1.0,-1.0,-1.0,-1.0,0.02229463,4.0677609999999995e-26
-1.0,-1.0,-1.0,-1.0,0.02552431,2.86688e-26
-1.0,-1.0,-1.0,-1.0,0.02552431,2.86688e-26
-1.0,-1.0,-1.0,-1.0,0.02315478,2.020525e-26
-1.0,-1.0,-1.0,-1.0,0.02315478,2.020525e-26
-1.0,-1.0,-1.0,-1.0,0.02547086,1.42403e-26
-1.0,-1.0,-1.0,-1.0,0.04421158,1.003618e-26
-1.0,-1.0,-1.0,-1.0,0.04421158,1.003618e-26
-1.0,-1.0,-1.0,-1.0,0.09525701,7.073284e-27
-1.0,-1.0,-1.0,-1.0,0.1224782,4.9851210000000006e-27
-1.0,-1.0,-1.0,-1.0,0.1224782,4.9851210000000006e-27
-1.0,-1.0,-1.0,-1.0,0.1708447,3.5134310000000005e-27
-1.0,-1.0,-1.0,-1.0,0.1708447,3.5134310000000005e-27
-1.0,-1.0,-1.0,-1.0,0.1708967,2.4762090000000002e-27
-1.0,-1.0,-1.0,-1.0,0.1416533,1.7451730000000002e-27
-1.0,-1.0,-1.0,-1.0,0.1416533,1.7451730000000002e-27
-1.0,-1.0,-1.0,-1.0,0.1224517,1.2299550000000002e-27
-1.0,-1.0,-1.0,-1.0,0.1224517,1.2299550000000002e-27
-1.0,-1.0,-1.0,-1.0,0.1136744,8.668494e-28
-1.0,-1.0,-1.0,-1.0,0.1136744,8.668494e-28
-1.0,-1.0,-1.0,-1.0,0.08321803,6.109352e-28
-1.0,-1.0,-1.0,-1.0,0.08321803,6.109352e-28
-1.0,-1.0,-1.0,-1.0,0.06115051,4.305762e-28
-1.0,-1.0,-1.0,-1.0,0.06225453,3.0346120000000004e-28
-1.0,-1.0,-1.0,-1.0,0.06225453,3.0346120000000004e-28
-1.0,-1.0,-1.0,-1.0,0.1110128,2.138729e-28
-1.0,-1.0,-1.0,-1.0,0.1089296,1.507333e-28
-1.0,-1.0,-1.0,-1.0,0.1089296,1.507333e-28
-1.0,-1.0,-1.0,-1.0,0.08248308,1.062321e-28
-1.0,-1.0,-1.0,-1.0,0.08248308,1.062321e-28
-1.0,-1.0,-1.0,-1.0,0.06082941,7.487021e-29
-1.0,-1.0,-1.0,-1.0,0.05243829,5.276709e-29
-1.0,-1.0,-1.0,-1.0,0.05243829,5.276709e-29
-1.0,-1.0,-1.0,-1.0,0.03597872,3.718935e-29
