NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,0.0004261521,1.427993e-22
-1.0,-1.0,-1.0,-1.0,0.001454545,1.006417e-22
-1.0,-1.0,-1.0,-1.0,0.000917839,7.092908000000001e-23
-1.0,-1.0,-1.0,-1.0,0.000917839,7.092908000000001e-23
-1.0,-1.0,-1.0,-1.0,0.000917839,7.092908000000001e-23
-1.0,-1.0,-1.0,-1.0,0.001728715,4.9988850000000004e-23
-1.0,-1.0,-1.0,-1.0,0.00107878,3.523127e-23
-1.0,-1.0,-1.0,-1.0,0.001815166,2.4830200000000002e-23
-1.0,-1.0,-1.0,-1.0,0.001815166,2.4830200000000002e-23
-1.0,-1.0,-1.0,-1.0,0.006130031,1.749989e-23
-1.0,-1.0,-1.0,-1.0,0.006130031,1.749989e-23
-1.0,-1.0,-1.0,-1.0,0.01462456,1.2333430000000001e-23
-1.0,-1.0,-1.0,-1.0,0.01462456,1.2333430000000001e-23
-1.0,-1.0,-1.0,-1.0,0.0121477,8.692393e-24
-1.0,-1.0,-1.0,-1.0,0.0121477,8.692393e-24
-1.0,-1.0,-1.0,-1.0,0.01084652,6.126215e-24
-1.0,-1.0,-1.0,-1.0,0.007264729,4.3176509999999996e-24
-1.0,-1.0,-1.0,-1.0,0.007264729,4.3176509999999996e-24
-1.0,-1.0,-1.0,-1.0,0.005404587,3.043008e-24
-1.0,-1.0,-1.0,-1.0,0.002615316,2.144654e-24
-1.0,-1.0,-1.0,-1.0,0.002615316,2.144654e-24
-1.0,-1.0,-1.0,-1.0,0.001352125,1.511508e-24
-1.0,-1.0,-1.0,-1.0,0.001352125,1.511508e-24
-1.0,-1.0,-1.0,-1.0,0.001875627,1.065278e-24
-1.0,-1.0,-1.0,-1.0,0.001875627,1.065278e-24
-1.0,-1.0,-1.0,-1.0,0.001010249,7.507849e-25
-1.0,-1.0,-1.0,-1.0,0.0005698599,5.291387e-25
-1.0,-1.0,-1.0,-1.0,0.0005698599,5.291387e-25
-1.0,-1.0,-1.0,-1.0,0.0003342327,3.729238e-25
-1.0,-1.0,-1.0,-1.0,0.0003342327,3.729238e-25
-1.0,-1.0,-1.0,-1.0,0.0001260974,1.852374e-25
-1.0,-1.0,-1.0,-1.0,0.0001260974,1.852374e-25
-1.0,-1.0,-1.0,-1.0,8.027665e-05,1.3055040000000001e-25
-1.0,-1.0,-1.0,-1.0,8.027665e-05,1.3055040000000001e-25
-1.0,-1.0,-1.0,-1.0,5.205111e-05,9.200914e-26
-1.0,-1.0,-1.0,-1.0,3.426015e-05,6.484652999999999e-26
-1.0,-1.0,-1.0,-1.0,3.426015e-05,6.484652999999999e-26
-1.0,-1.0,-1.0,-1.0,2.282844e-05,4.570248e-26
-1.0,-1.0,-1.0,-1.0,2.282844e-05,4.570248e-26
-1.0,-1.0,-1.0,-1.0,1.536477e-05,3.2210289999999997e-26
-1.0,-1.0,-1.0,-1.0,1.042663e-05,2.270124e-26
-1.0,-1.0,-1.0,-1.0,1.042663e-05,2.270124e-26
-1.0,-1.0,-1.0,-1.0,7.123353e-06,1.599946e-26
