L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
354.3554,350.5518,2.050207,3.717481,350.2906,1.101981
354.3554,350.5518,2.050207,3.717481,350.2906,1.101981
354.6276,350.6946,1.904977,3.981233,350.4561,0.9775207
354.5665,350.647,1.783234,4.026429,350.4273,0.8539142
354.5665,350.647,1.783234,4.026429,350.4273,0.8539142
354.6415,350.6884,1.643091,4.101085,350.4912,0.718753
354.7106,350.5936,1.618425,4.172828,350.4017,0.6786057
354.7384,350.7032,1.617822,4.284978,350.5097,0.6977174
356.1861,350.8672,1.747241,5.449434,350.6577,0.8368002
356.2329,350.7685,1.868909,5.498682,350.5407,0.9408196
356.2329,350.7685,1.868909,5.498682,350.5407,0.9408196
356.4813,350.7329,1.978448,5.51407,350.4915,1.032116
356.5208,350.6266,2.060469,5.556218,350.3738,1.096245
356.3529,350.5784,2.076739,5.574257,350.3212,1.11169
356.3937,350.4726,2.105123,5.617897,350.2122,1.122522
356.2417,350.4405,2.114388,5.625683,350.1768,1.131919
356.2417,350.4405,2.114388,5.625683,350.1768,1.131919
356.2541,350.3793,2.123505,5.642656,350.1148,1.131222
356.313,350.79,2.071685,5.397115,350.5333,1.129801
356.4666,350.2611,2.155892,5.654641,349.9956,1.136933
356.4666,350.2611,2.155892,5.654641,349.9956,1.136933
356.3808,350.134,2.177611,5.572458,349.8672,1.13785
356.9915,346.7699,2.577707,6.567236,346.4719,1.035415
356.9627,346.7231,2.572716,6.540313,346.4265,1.022475
356.9778,345.906,2.661966,6.588358,345.6035,0.9845959
356.9012,345.3138,2.718806,6.535223,345.0087,0.9474087
357.3964,342.9239,3.012756,7.020204,342.5956,0.8587303
357.3964,342.9239,3.012756,7.020204,342.5956,0.8587303
357.3844,342.456,3.031415,7.032236,342.13,0.7998006
357.3724,341.6113,3.097681,7.427692,341.285,0.732641
357.394,341.2974,3.12904,7.467988,340.9708,0.7056105
357.3841,340.9632,3.22461,7.478283,340.6259,0.7379303
357.6692,340.3227,3.364273,7.225655,339.9694,0.7615954
357.6692,340.3227,3.364273,7.225655,339.9694,0.7615954
357.6709,339.7579,3.478301,7.262373,339.3946,0.7744369
357.6136,338.5903,3.696743,7.281647,338.2072,0.7868389
357.635,339.1013,3.629718,7.563226,338.7238,0.8000429
357.635,339.1013,3.629718,7.563226,338.7238,0.8000429
357.9326,338.9296,3.644755,7.908117,338.5507,0.7857444
357.9326,338.9296,3.644756,7.908119,338.5507,0.7857428
357.9351,339.1119,3.621047,7.902048,338.735,0.7928495
357.7174,338.9291,3.650061,7.567674,338.5497,0.79337
357.7174,338.9291,3.650062,7.567674,338.5497,0.79337
357.7021,338.6038,3.692828,7.57224,338.2209,0.7808257
358.2826,335.5526,4.087826,8.770885,335.1393,0.6351151
358.2826,335.5526,4.087826,8.770885,335.1393,0.6351151
358.2826,335.5526,4.087826,8.770885,335.1393,0.6351162
358.2598,335.0386,4.159651,8.786981,334.6195,0.6144521
358.2598,335.0386,4.159651,8.786979,334.6195,0.61445
357.9589,335.0151,4.170561,8.565873,334.5966,0.6187258
357.7921,334.9893,4.178362,8.56718,334.5722,0.6177423
357.7921,334.9894,4.17836,8.567179,334.5722,0.6177437
357.5229,334.9883,4.185279,8.314718,334.571,0.6235863
357.5359,336.1158,4.029249,7.961936,335.7081,0.6759103
357.5359,336.1158,4.029249,7.961936,335.7081,0.6759129
357.3362,336.413,3.993687,7.580488,336.0076,0.6962044
357.3618,336.7964,3.941129,7.773597,336.3958,0.7067055
357.3618,336.7964,3.941129,7.773597,336.3958,0.7067055
357.3618,336.7964,3.941131,7.773593,336.3958,0.7067063
357.3618,336.7964,3.941131,7.773593,336.3958,0.7067063
357.4703,336.9731,3.914641,8.01404,336.5752,0.7080901
357.4651,336.9736,3.914716,8.008861,336.5758,0.7082312
357.4582,336.7867,3.940076,8.02542,336.387,0.7006056
357.1811,334.0718,4.323022,8.087202,333.6447,0.5925934
357.1811,334.0718,4.323022,8.087202,333.6447,0.5925934
356.8602,334.0698,4.331351,7.74762,333.6421,0.6004286
356.8464,335.0898,4.187973,7.51061,334.6718,0.6461646
356.8454,335.0938,4.187439,7.509363,334.6755,0.6463355
356.8454,335.0938,4.187439,7.509363,334.6755,0.6463355
356.538,335.3494,4.159429,7.2105,334.9339,0.6632366
356.0357,335.4303,4.160459,6.811338,335.0149,0.6755032
356.0877,336.5302,4.008165,6.791145,336.1252,0.7186657
356.0877,336.5302,4.008165,6.791145,336.1252,0.7186649
356.0877,336.5302,4.008165,6.791145,336.1252,0.7186649
356.294,336.5296,4.003273,6.961349,336.1251,0.7148079
356.294,336.5296,4.003273,6.961349,336.1251,0.7148079
356.3208,336.9501,3.945728,6.955455,336.5497,0.7311847
356.3454,337.4958,3.871938,6.945675,337.1004,0.7524021
356.1289,337.4966,3.876999,6.337816,337.1018,0.7660859
356.1289,337.4966,3.876999,6.337816,337.1018,0.7660859
355.7216,336.0195,4.086697,6.346205,335.6093,0.7089455
355.7216,336.0195,4.086697,6.346201,335.6093,0.7089463
355.694,335.4998,4.159066,6.353746,335.0847,0.6886
355.694,335.4998,4.159066,6.353746,335.0847,0.6886
355.3166,335.5017,4.16784,6.252397,335.085,0.6909089
355.9279,335.6093,4.138259,6.595957,335.1955,0.6873767
356.2805,336.1435,4.056242,6.778048,335.7354,0.7040119
356.2805,336.1435,4.056242,6.778048,335.7354,0.7040119
