L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
351.8621,3.090539,13.07239,1.609533,0.8041964,13.67138
351.8621,3.090539,13.07239,1.609533,0.8041964,13.67138
352.4539,2.347426,13.13182,1.924184,0.1351469,13.64002
352.4539,2.347426,13.13182,1.924184,0.1351469,13.64002
352.3762,2.371008,13.15946,1.845378,0.153888,13.67115
352.4485,2.357607,13.19425,1.904535,0.1390596,13.70341
352.4485,2.357607,13.19425,1.904535,0.1390596,13.70341
352.4699,2.48894,13.23967,1.922941,0.2620412,13.76623
352.1707,2.975412,13.24997,1.778255,0.6997538,13.83338
352.128,2.860676,13.28615,1.732668,0.5809099,13.84987
352.128,2.860676,13.28615,1.732668,0.5809099,13.84987
352.3954,3.222306,13.23702,1.807205,0.9976483,13.85942
352.3347,3.227893,13.19031,1.748358,1.010786,13.81431
352.2763,3.154466,13.18721,1.692226,0.9378054,13.80206
352.2763,3.154466,13.18721,1.692226,0.9378054,13.80206
352.2996,3.209139,13.19076,1.675403,1.001287,13.81686
351.8701,3.095756,13.20837,1.540883,0.8101593,13.8049
351.8701,3.095756,13.20837,1.540883,0.8101593,13.8049
351.629,2.862038,13.20936,1.271847,0.5825048,13.77474
351.1237,1.67592,13.31611,0.8875631,359.3582,13.71172
351.0816,1.612911,13.30776,0.8462595,359.2972,13.6936
347.9417,352.6364,14.30704,357.5728,350.2915,13.44853
347.7831,352.3346,14.25471,357.4251,350.0027,13.34535
347.3273,351.2462,14.42174,356.841,348.9315,13.36558
345.4616,351.0721,14.52646,355.2944,348.6536,13.43828
345.4616,351.0721,14.52646,355.2944,348.6536,13.43828
345.0609,349.3658,14.78792,354.7976,346.9612,13.45943
345.0609,349.3658,14.78792,354.7976,346.9612,13.45943
343.8495,344.6274,15.6021,353.666,342.173,13.57236
344.9198,344.373,15.59983,355.0714,341.8541,13.51116
344.9198,344.373,15.59984,355.0714,341.8541,13.51116
345.3429,344.3365,15.58634,355.1065,341.9085,13.50811
345.3429,344.3365,15.58634,355.1065,341.9085,13.50811
346.0607,346.3833,15.2071,356.2528,343.8801,13.41226
346.0607,346.3833,15.2071,356.2528,343.8801,13.41226
346.7594,346.2213,15.19889,356.4348,343.8402,13.40294
348.38,343.536,15.56086,358.2635,341.1154,13.3424
349.8331,341.9818,15.74343,0.6116848,339.3967,13.22003
349.8331,341.9818,15.74343,0.6116848,339.3967,13.22003
348.1187,335.7436,17.13233,359.2953,333.0031,13.58459
348.1187,335.7436,17.13233,359.2953,333.0031,13.58459
347.4694,335.264,17.28895,358.7016,332.4984,13.66077
347.5107,335.3101,17.27535,358.74,332.5471,13.65485
344.6007,335.8731,17.33474,355.1694,333.2038,13.86732
341.9455,337.5813,17.0825,352.2032,334.9739,13.92856
341.9481,337.5057,17.09934,352.2097,334.8946,13.9328
342.3581,338.792,16.79883,352.5473,336.2086,13.84468
342.3581,338.792,16.79883,352.5473,336.2086,13.84468
342.7766,339.2596,16.68074,352.8294,336.7133,13.80576
343.2722,340.0351,16.49726,353.1459,337.5377,13.75209
343.2722,340.0351,16.49726,353.1459,337.5377,13.75209
344.5612,340.9849,16.24535,354.3806,338.5162,13.64866
345.2239,341.8406,16.04685,354.9721,339.3994,13.5854
345.6362,341.7478,16.04305,355.4685,339.2916,13.56159
345.6362,341.7478,16.04305,355.4685,339.2916,13.56159
345.6199,341.6772,16.05733,355.4529,339.2201,13.56486
345.6199,341.6772,16.05733,355.4529,339.2201,13.56486
345.6199,341.6772,16.05733,355.4529,339.2202,13.56486
339.8076,337.0111,17.2993,349.7727,334.4576,14.06862
339.0491,337.198,17.28237,349.3001,334.5735,14.07983
339.83,337.077,17.2832,349.7935,334.5244,14.06356
339.83,337.077,17.2832,349.7935,334.5244,14.06356
339.83,337.077,17.2832,349.7935,334.5244,14.06357
339.4599,337.332,17.23753,349.4138,334.784,14.06223
339.4049,337.3268,17.24061,349.3583,334.7773,14.06477
339.4049,337.3268,17.2406,349.3583,334.7773,14.06478
339.035,337.4186,17.23185,349.2133,334.8131,14.06803
339.035,337.4186,17.23186,349.2133,334.8131,14.06803
338.5575,338.5867,16.98223,348.5555,336.0305,14.01859
337.7813,337.745,17.19394,348.0958,335.103,14.08917
337.766,337.7292,17.19798,348.0811,335.0861,14.0907
336.8206,337.9951,17.15992,346.8647,335.4228,14.10607
336.8206,337.9951,17.15993,346.8647,335.4228,14.10607
336.8206,337.9951,17.15993,346.8647,335.4228,14.10607
336.9964,337.8197,17.1963,347.4495,335.1399,14.10708
336.9964,337.8197,17.1963,347.4495,335.1399,14.10708
337.154,338.2604,17.09184,347.5854,335.5881,14.0753
337.154,338.2604,17.09184,347.5854,335.5881,14.0753
337.0082,338.5943,17.0197,347.2166,335.9808,14.06248
337.4472,339.8505,16.73396,347.5897,337.2586,13.98089
337.4472,339.8505,16.73396,347.5897,337.2586,13.98089
337.756,339.7699,16.74432,347.8504,337.1912,13.97702
337.756,339.7699,16.74433,347.8504,337.1912,13.97702
337.756,339.7699,16.74433,347.8504,337.1912,13.97702
337.756,339.7699,16.74433,347.8504,337.1912,13.97702
339.483,345.8661,15.52395,348.9607,343.4633,13.71238
339.483,345.8661,15.52395,348.9607,343.4633,13.71238
340.4424,352.4821,14.47442,349.6952,350.1422,13.63418
340.4424,352.4821,14.47441,349.6952,350.1422,13.63418
340.4424,352.4821,14.47441,349.6952,350.1422,13.63418
340.6088,353.111,14.38527,349.8425,350.7766,13.63457
340.6088,353.111,14.38527,349.8425,350.7766,13.63457
340.6088,353.111,14.38527,349.8425,350.7766,13.63457
341.066,353.0017,14.39153,350.3589,350.6578,13.62164
340.8346,352.6087,14.44968,349.9631,350.3024,13.62886
340.8079,352.5988,14.45156,349.9413,350.291,13.6293
340.8079,352.5988,14.45156,349.9413,350.291,13.6293
340.8079,352.5988,14.45156,349.9413,350.291,13.6293
342.0444,359.5271,13.58783,351.4949,357.1505,13.72487
344.0742,8.187869,12.79202,353.4479,5.841359,14.12053
344.0742,8.187869,12.79202,353.4479,5.841362,14.12053
259.345,17.74901,3.377294,269.3343,16.80927,6.481648
263.8217,25.11275,1.136999,273.799,24.48559,5.469168
263.8217,25.11275,1.136999,273.799,24.48559,5.469168
265.1561,26.50641,0.4057012,275.2608,25.97268,5.021146
269.7902,33.93102,359.4113,281.5794,33.43016,5.741708
273.6619,37.94779,358.4464,286.5619,37.51761,5.937691
278.2893,42.56658,357.7509,291.6681,42.19841,6.417685
278.2893,42.56658,357.7509,291.6681,42.19841,6.417685
281.169,45.58387,356.744,295.2661,45.30136,6.441982
287.0048,49.26702,356.7586,302.4527,48.87983,7.968622
289.9895,51.32702,356.9416,306.3999,50.82057,9.134805
293.7622,53.9692,356.4457,311.1854,53.43596,9.918244
296.6227,55.40706,356.6995,314.7399,54.75975,10.95739
310.2709,57.13267,2.546686,328.4873,55.53098,17.23044
315.3174,57.67954,3.394866,333.7654,55.88609,18.41064
315.3174,57.67954,3.394866,333.7654,55.88609,18.41064
320.9784,59.13154,4.695594,339.9958,57.04236,20.42282
324.8905,57.70337,5.717948,342.2138,55.69915,20.07664
324.8905,57.70337,5.717948,342.2138,55.69915,20.07664
324.5786,56.80511,3.591435,342.617,54.92591,18.31076
327.6824,54.91792,4.058399,343.9695,53.19446,17.27471
329.3738,55.31971,3.907824,345.4771,53.6305,17.10225
329.3738,55.31971,3.907824,345.4771,53.6305,17.10225
330.0754,53.43496,3.340636,345.3437,51.8964,15.65838
331.6892,53.70243,3.832802,347.0128,52.07682,16.23116
331.6515,54.25709,2.44497,347.2419,52.7912,15.16674
333.0862,54.59867,2.722526,348.7787,53.07662,15.57752
335.4712,55.03188,3.198406,351.2887,53.41962,16.2189
346.4907,57.47046,9.880993,3.15534,54.72211,23.77371
346.4907,57.47046,9.880993,3.15534,54.72211,23.77371
348.1896,57.59719,10.35671,4.850458,54.77031,24.26051
348.8274,56.94706,10.2854,4.763135,54.26614,23.57643
349.4903,56.87585,10.51253,5.374067,54.16369,23.74696
349.9189,56.19511,10.23989,5.785255,53.48901,23.33291
349.9189,56.19511,10.23989,5.785255,53.48901,23.33291
350.8244,54.80193,10.11087,6.020117,52.21171,22.49478
350.9194,54.64733,9.745273,6.180403,52.09154,22.14929
352.0638,53.84443,9.969241,7.038007,51.28234,22.01535
352.0845,53.09766,9.506931,6.835598,50.62017,21.26544
352.0845,53.09766,9.506931,6.835598,50.62017,21.26544
353.5884,52.82923,9.956796,8.202374,50.29647,21.55192
354.7575,52.38507,10.2901,9.207589,49.81577,21.68354
355.0152,52.73592,10.18786,9.748688,50.12543,21.81834
355.7028,52.19347,10.12522,10.72835,49.49446,21.81626
357.3445,51.82954,10.53341,11.59663,49.23455,21.66514
357.3445,51.82954,10.53341,11.59663,49.23455,21.66514
358.4823,51.21615,10.55128,12.56051,48.63711,21.45308
359.5061,50.95198,10.48925,13.61173,48.36807,21.34616
359.5061,50.95198,10.48925,13.61173,48.36807,21.34616
0.1669092,50.00772,10.12357,14.13775,47.48339,20.72174
0.1669092,50.00772,10.12357,14.13775,47.48339,20.72174
0.8960311,49.49342,9.870518,14.85357,47.00009,20.358
5.12816,48.62702,12.15774,18.66965,45.86172,22.18303
5.785985,47.93985,11.77711,19.19848,45.25385,21.6038
16.74201,45.47844,16.70968,29.78058,42.04007,25.71791
17.48257,45.42905,16.58319,30.5212,42.01648,25.5706
17.30521,44.83626,15.78337,30.51739,41.46976,24.74496
17.30521,44.83626,15.78337,30.51739,41.46976,24.74496
18.40075,43.86972,15.37601,31.45968,40.5947,24.07775
18.5896,43.28469,14.94331,31.41183,40.13793,23.42523
20.05413,44.06576,15.1221,32.77757,40.95558,23.6718
20.05413,44.06576,15.1221,32.77757,40.95558,23.6718
21.60087,44.24308,15.48585,34.37438,41.05375,24.06583
21.54311,45.00296,15.20026,34.47244,41.8198,23.98791
21.54311,45.00296,15.20026,34.47244,41.8198,23.98791
21.57894,45.25581,14.42787,34.62883,42.16234,23.32207
23.14145,43.99318,14.51004,35.93685,40.91843,23.02493
24.72984,41.82877,14.49037,37.21867,38.77453,22.4395
26.03399,40.856,14.68215,38.52216,37.73327,22.41799
28.59851,38.44554,15.17694,40.66698,35.29695,22.24341
28.59851,38.44554,15.17694,40.66698,35.29695,22.24341
37.32191,30.72461,17.55962,48.23682,27.46467,22.84064
38.82245,29.03302,17.47909,49.59954,25.81107,22.40969
41.76247,25.88475,18.05843,52.23844,22.62202,22.32719
42.56354,25.27213,18.13084,53.22106,21.89316,22.27446
43.62593,20.65862,17.12687,54.19643,17.43505,20.40314
43.62593,20.65862,17.12687,54.19643,17.43505,20.40314
45.32209,13.45943,16.21025,54.93783,10.75612,18.22351
42.96517,6.006794,16.6461,52.38328,3.27885,17.64659
48.17874,356.4174,13.16187,57.77312,354.3943,12.62771
50.11246,340.3045,13.70308,60.44908,338.3286,10.67282
50.11246,340.3045,13.70308,60.44908,338.3286,10.67282
52.17984,333.774,14.13221,64.24003,331.6653,9.653402
52.17986,333.774,14.1322,64.24004,331.6653,9.653376
51.71811,332.1986,14.51269,63.94782,330.0391,9.733222
51.71811,332.1986,14.51269,63.94782,330.0391,9.733222
49.61274,332.5715,14.99759,61.70019,330.3088,10.32301
49.45594,334.3327,14.74385,60.51247,332.185,10.61881
49.45594,334.3327,14.74385,60.51247,332.185,10.61881
49.54621,336.221,14.4241,60.42645,334.1142,10.64011
49.91499,336.1563,14.34149,60.80895,334.0661,10.54373
55.39824,333.4023,13.33422,67.97326,331.4419,8.650782
55.39824,333.4023,13.33422,67.97326,331.4419,8.65078
55.39824,333.4023,13.33422,67.97326,331.4419,8.65078
55.51427,333.3877,13.30509,68.09241,331.4341,8.618252
55.62551,333.9629,13.18617,67.92606,332.038,8.667597
54.24155,334.6406,13.45345,66.14998,332.6691,9.15022
54.18939,334.9163,13.4255,65.85027,332.9653,9.232048
54.18939,334.9163,13.4255,65.85027,332.9653,9.232048
54.18938,334.9163,13.42551,65.85026,332.9653,9.232038
54.18938,334.9163,13.42551,65.85026,332.9653,9.232038
53.39104,335.6889,13.51999,64.77701,333.7253,9.520946
53.22871,335.0896,13.65248,64.66975,333.1068,9.545037
58.16533,334.7779,12.37282,70.56694,333.0064,7.954823
58.13675,334.8015,12.37724,70.53574,333.0283,7.963718
58.13675,334.8015,12.37724,70.53574,333.0283,7.963718
58.22737,335.0313,12.31913,70.60442,333.2666,7.948
58.22737,335.0313,12.31913,70.60442,333.2666,7.948
56.96267,334.8444,12.69178,69.40469,332.9962,8.273798
56.96267,334.8444,12.69178,69.40469,332.9962,8.273798
56.5898,334.5782,12.83237,69.05467,332.7042,8.366215
56.42546,334.0064,12.96277,68.94864,332.1155,8.389458
56.42546,334.0064,12.96277,68.94863,332.1155,8.389463
56.42546,334.0064,12.96277,68.94863,332.1155,8.389463
56.7226,333.2941,12.99055,69.08394,331.4266,8.346669
56.67248,333.0237,13.04616,69.08507,331.1481,8.344372
56.67246,333.0237,13.04617,69.08508,331.1481,8.344363
57.12132,332.9235,12.9384,69.77216,331.0618,8.154111
57.12132,332.9235,12.9384,69.77216,331.0618,8.154111
57.40287,334.2002,12.6669,69.70103,332.3845,8.185784
57.40289,334.2003,12.66689,69.70102,332.3845,8.185799
57.43763,334.1669,12.66237,69.80824,332.3485,8.155928
56.79793,333.067,13.00504,69.4285,331.1873,8.250012
56.83569,333.0287,13.00059,69.471,331.1509,8.238009
56.83567,333.0287,13.0006,69.471,331.1509,8.238002
57.04946,333.017,12.94367,69.6889,331.152,8.177825
57.08637,333.1579,12.91175,69.71061,331.2969,8.172978
57.08637,333.1579,12.91175,69.71061,331.2969,8.172978
57.08637,333.1579,12.91175,69.71061,331.2969,8.172978
56.81524,334.6415,12.76176,68.95248,332.8035,8.395144
54.82901,337.4042,12.89683,66.64131,335.4901,9.049293
54.86227,337.4444,12.88253,66.67125,335.5325,9.041986
49.42564,346.1411,13.16635,59.46452,344.2015,11.05029
48.76306,348.7503,13.05107,58.88433,346.7613,11.27944
48.76308,348.7503,13.05106,58.88435,346.7613,11.27944
48.88307,349.8772,12.91428,58.95438,347.9043,11.31059
48.88304,349.8772,12.91429,58.95438,347.9043,11.31059
48.29603,351.0887,12.93775,58.17207,349.121,11.54763
49.14504,352.136,12.65011,58.88534,350.2438,11.43708
49.14504,352.136,12.65011,58.88534,350.2438,11.43708
43.65237,346.4823,5.979942,53.96791,345.7871,3.748446
36.66105,347.7122,6.71011,46.91587,346.8702,4.695142
36.66105,347.7122,6.71011,46.91587,346.8702,4.695142
