L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
353.9513,6.814219,357.8681,3.35033,7.110816,359.3023
353.9513,6.814219,357.8681,3.35033,7.110816,359.3023
353.2968,7.260308,357.7944,2.912553,7.558747,359.3013
353.2905,7.2844,357.7803,2.906703,7.584702,359.2914
353.2905,7.2844,357.7803,2.906703,7.584702,359.2914
353.1474,7.630949,357.7204,2.786941,7.935575,359.2837
352.9043,7.664667,357.7101,2.386352,7.963129,359.2712
352.903,7.666055,357.7221,2.385027,7.962514,359.2833
352.903,7.666055,357.7221,2.385027,7.962514,359.2833
353.2943,7.665932,357.7641,2.680428,7.960119,359.3215
353.2921,7.305852,357.8263,2.704874,7.593859,359.3332
353.2779,7.312811,357.8342,2.69085,7.599469,359.342
353.2779,7.312811,357.8342,2.69085,7.599469,359.342
353.2423,7.297229,357.8213,2.654873,7.586169,359.3268
353.7865,7.284876,357.827,3.269172,7.584024,359.335
353.7604,7.267543,357.842,3.242737,7.564486,359.3469
353.7379,7.219651,357.8546,3.219252,7.515213,359.3513
353.7086,7.119106,357.8741,3.187779,7.412848,359.3539
351.6417,358.5054,358.7033,1.373653,358.7235,358.9515
349.6585,356.3961,358.8472,359.4286,356.5955,358.7877
349.6585,356.3961,358.8472,359.4286,356.5955,358.7877
349.6585,356.3961,358.8472,359.4286,356.5955,358.7877
349.6585,356.3961,358.8472,359.4286,356.5955,358.7877
349.7167,357.7661,358.7076,359.5795,357.976,358.8503
349.7167,357.7661,358.7076,359.5795,357.976,358.8503
352.0703,353.4455,359.2441,2.378661,353.6476,358.7808
352.0703,353.4455,359.2441,2.378661,353.6476,358.7808
352.0703,353.4456,359.2441,2.378662,353.6476,358.7808
352.0703,353.4456,359.2441,2.378662,353.6476,358.7808
352.0703,353.4456,359.2441,2.378662,353.6476,358.7808
351.4475,356.2326,358.9316,2.140379,356.464,358.8904
351.4475,356.2326,358.9316,1.928883,356.4575,358.8815
351.4475,356.2326,358.9316,1.928884,356.4575,358.8815
351.5503,348.3112,359.7596,1.582402,348.468,358.5128
349.7195,344.7266,0.0681738,359.3729,344.8578,358.2432
349.7063,344.7701,0.06299622,359.3579,344.9022,358.2448
349.7195,344.7266,0.06817723,359.3729,344.8578,358.2432
349.9529,345.7649,359.9666,0.02907918,345.9128,358.3238
349.9529,345.7649,359.9666,0.02907918,345.9128,358.3238
350.8389,346.8625,359.8846,0.3509592,346.9956,358.3909
350.8389,346.8625,359.8846,0.3509609,346.9956,358.3909
350.8389,346.8625,359.8846,0.3509604,346.9956,358.3909
350.604,345.9382,359.9735,359.5897,346.0514,358.3129
350.604,345.9382,359.9735,359.5897,346.0514,358.3129
346.8241,345.5139,359.8737,356.5503,345.6686,358.1733
346.8241,345.5139,359.8737,356.5503,345.6686,358.1733
345.9777,345.314,359.8632,355.1541,345.4654,358.1095
344.7584,345.2918,359.8205,353.966,345.4528,358.0645
344.7584,345.2918,359.8205,353.966,345.4528,358.0645
344.7584,345.2918,359.8205,353.966,345.4528,358.0645
341.1525,344.3184,359.7937,350.6236,344.5076,357.8944
341.1525,344.3184,359.7937,350.6236,344.5076,357.8944
341.6341,346.7283,359.558,350.6052,346.907,358.0193
341.6341,346.7283,359.558,350.6052,346.907,358.0193
341.6341,346.7283,359.558,350.6052,346.907,358.0193
341.8125,347.5312,359.4807,350.7905,347.7059,358.0659
342.4591,347.8379,359.4715,351.5061,348.0088,358.1059
342.4591,347.8379,359.4715,351.5061,348.0088,358.1059
342.4602,347.5565,359.5008,351.5198,347.7282,358.0924
339.5932,342.7364,359.9067,349.2547,342.9417,357.7613
339.5932,342.7364,359.9067,349.2547,342.9417,357.7613
339.0285,341.8151,359.9852,348.6926,342.0299,357.6906
338.3001,341.3648,0.008268584,348.515,341.5752,357.6583
338.3001,341.3648,0.008268584,348.515,341.5752,357.6583
338.3301,341.8252,359.9602,348.533,342.0335,357.6854
338.3301,341.8252,359.9602,348.533,342.0335,357.6854
338.6988,341.9007,359.9648,348.7469,342.1096,357.697
338.6988,341.9007,359.9648,348.7469,342.1096,357.697
338.6988,341.9007,359.9648,348.7469,342.1096,357.697
333.2418,336.288,0.3907064,344.4502,336.5206,357.2099
333.2418,336.288,0.3907031,344.4502,336.5206,357.2099
333.2418,336.288,0.3907064,344.4502,336.5206,357.2099
333.5401,336.269,0.4025409,344.605,336.5091,357.2141
333.5401,336.269,0.4025381,344.605,336.5091,357.2141
333.6006,336.0924,0.4240963,344.6542,336.3342,357.2039
333.6006,336.0924,0.4240903,344.6542,336.3342,357.2039
333.7741,335.9382,0.4469241,344.9942,336.1696,357.2036
334.0043,336.0845,0.438275,345.0301,336.3252,357.2153
334.0043,336.0845,0.4382721,345.0301,336.3252,357.2153
334.0043,336.0845,0.4382721,345.0301,336.3252,357.2153
333.7741,335.9382,0.4469288,344.9484,336.1725,357.2023
331.3698,333.5703,0.6345875,343.4775,333.7679,356.9868
331.3698,333.5703,0.6345875,343.4775,333.7679,356.9868
331.3657,333.4742,0.6453686,343.4871,333.6714,356.9801
331.4073,333.4922,0.6446609,343.5065,333.691,356.9821
331.4073,333.4922,0.6446609,343.5065,333.691,356.9821
331.6456,334.1766,0.5748327,343.6828,334.3741,357.037
332.087,338.0846,0.1572161,343.6528,338.2863,357.301
332.087,338.0846,0.1572161,343.6528,338.2863,357.301
332.7643,355.3275,358.3895,342.4775,355.4674,358.1664
332.7643,355.3275,358.3895,342.4775,355.4674,358.1664
331.4681,358.8694,357.9873,341.4347,358.9873,358.2835
331.4681,358.8694,357.9873,341.4347,358.9873,358.2835
331.2897,3.940076,357.4499,341.2279,4.025971,358.4703
331.2897,3.940076,357.4499,341.2279,4.025971,358.4703
330.4403,11.75943,356.562,340.4923,11.80156,358.7144
330.837,12.30609,356.5104,341.7205,12.44638,358.7689
330.8723,13.304,356.3953,342.1918,13.49342,358.8151
330.8723,13.304,356.3953,342.1918,13.49342,358.8151
330.8723,13.304,356.3953,342.1918,13.49342,358.8151
338.0048,14.78276,356.4441,347.8546,14.91112,359.0343
340.5195,23.30126,355.4605,352.1816,23.62587,359.4483
320.3008,347.6024,27.59195,330.1772,342.765,24.38903
325.8441,348.2288,23.81654,335.5242,344.2607,21.03042
325.8441,348.2288,23.81654,335.5242,344.2607,21.03042
325.6216,347.7745,23.92072,335.5363,343.7223,20.93057
324.1729,344.7094,24.62183,334.3644,340.5252,21.13935
324.1729,344.7094,24.62183,334.3644,340.5252,21.13935
328.9714,358.1175,19.68237,339.0658,354.5375,18.73799
330.6993,5.663276,17.318,340.3909,2.516814,17.85335
330.6993,5.663276,17.318,340.3909,2.516814,17.85335
332.5875,13.3432,14.60944,342.5759,10.53958,16.52398
336.3009,31.44951,8.304378,347.7422,29.43087,13.85088
340.4319,42.41416,5.963756,354.4286,40.46171,14.54632
340.4319,42.41416,5.963756,354.4286,40.46171,14.54632
342.0181,46.33413,5.01205,356.1606,44.57922,14.6239
343.1951,48.3982,4.110002,358.0609,46.7179,14.61423
346.2477,53.38299,3.083558,2.692919,51.72801,15.7148
346.2477,53.38299,3.083558,2.692919,51.72801,15.7148
