L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
2.481564,349.403,0.2641582,12.78935,349.4184,358.6836
2.481564,349.403,0.2641582,12.78935,349.4184,358.6836
2.501774,349.4973,0.2454093,13.00616,349.5234,358.6399
2.501774,349.4973,0.2454093,13.00616,349.5234,358.6399
2.501868,349.3603,0.2656122,13.22571,349.3946,358.5974
2.501868,349.3603,0.2656122,13.22571,349.3946,358.5974
2.506632,349.4432,0.2514973,13.22715,349.4786,358.5993
2.112355,348.8559,0.4057894,12.85984,348.8676,358.657
2.135381,348.9516,0.4237596,12.87883,348.9583,358.693
2.145694,348.964,0.4048658,12.88863,348.9739,358.6768
2.145694,348.964,0.4048658,12.88863,348.9739,358.6768
2.608826,349.2019,0.2443855,13.33592,349.2426,358.5564
2.594347,349.7166,0.1707368,13.38937,349.7654,358.5495
2.594347,349.7166,0.1707368,13.38937,349.7654,358.5495
2.406334,349.5995,0.27503,13.12353,349.6251,358.6515
2.419301,349.5618,0.2799375,13.13791,349.5871,358.6495
2.402411,349.5548,0.2901415,13.12131,349.5785,358.6582
2.402411,349.5548,0.2901415,13.12131,349.5785,358.6582
2.595143,349.37,0.2660237,13.3167,349.4038,358.6095
2.760305,348.9627,0.2862422,13.50532,349.0027,358.5695
2.760305,348.9627,0.2862422,13.50532,349.0027,358.5695
4.277622,342.7791,0.7459766,15.52966,342.8658,358.0274
4.277622,342.7791,0.7459766,15.52966,342.8658,358.0274
5.374015,341.1844,0.6840711,16.31686,341.3037,357.7952
5.62522,339.5826,1.029722,16.67964,339.6683,357.8355
5.838569,336.8044,1.764691,17.3288,336.8146,357.9178
5.838569,336.8044,1.764691,17.3288,336.8146,357.9178
6.646613,333.6451,2.406692,18.43542,333.6024,357.8544
7.349244,330.6622,2.701077,19.23598,330.6222,357.5981
7.349244,330.6622,2.701077,19.23598,330.6222,357.5981
8.023274,326.4825,3.312911,20.44869,326.4239,357.2185
9.335287,322.6896,3.930321,22.36447,322.6133,356.7953
9.262839,321.5708,4.353714,22.75168,321.4557,356.7645
9.262839,321.5708,4.353714,22.75168,321.4557,356.7645
8.966589,321.646,5.018948,22.6988,321.4108,357.2156
10.71496,324.6534,5.727169,23.69501,324.1988,358.8448
10.71496,324.6534,5.727169,23.69501,324.1988,358.8448
7.172331,318.8093,10.71544,21.25985,317.6025,1.990103
9.705503,318.849,9.634115,23.79026,317.8391,0.9360998
12.39801,312.0035,8.912669,27.66137,311.3547,358.3131
11.62882,304.8788,10.80577,30.95524,304.227,356.1378
11.62882,304.8788,10.80577,30.95524,304.227,356.1378
12.71389,303.3879,10.73264,32.28838,302.819,355.4915
14.61412,299.175,11.17707,36.74739,298.8053,352.9283
14.61412,299.175,11.17707,36.74739,298.8053,352.9283
16.35501,297.3845,10.46496,39.7543,297.287,350.7772
16.55454,296.028,10.82948,41.07713,295.9799,349.8941
16.55454,296.028,10.82948,41.07713,295.9799,349.8941
16.24788,294.6547,11.53297,42.41856,294.6381,348.8929
16.81945,286.8318,12.50824,52.36898,287.5894,339.7679
15.87061,284.4786,13.46041,56.53604,285.5779,335.3876
15.87061,284.4786,13.46041,56.53604,285.5779,335.3876
14.84342,282.1019,14.6471,62.11531,283.6589,329.7311
14.84342,282.1019,14.6471,62.11531,283.6589,329.7311
13.25931,279.887,16.49228,68.67088,281.9507,323.189
10.82267,279.1668,18.95821,72.90837,281.6185,319.1673
9.687503,277.8275,20.27917,78.84065,280.8972,313.2743
9.687503,277.8275,20.27917,78.84065,280.8972,313.2743
7.303308,277.6702,22.41715,77.97603,280.4059,313.7102
7.303308,277.6702,22.41715,77.97603,280.4059,313.7102
7.954144,277.36,21.62584,80.57114,280.6086,311.0489
5.577134,276.7834,23.45516,82.32001,280.1518,308.6441
4.097974,276.6246,24.77377,82.84115,279.9676,307.9427
4.097974,276.6246,24.77377,82.84115,279.9676,307.9427
359.3175,275.4257,29.28501,89.26463,279.3703,301.1589
341.9774,273.3135,46.5365,104.2544,278.7681,285.9205
341.9774,273.3135,46.5365,104.2544,278.7681,285.9205
236.4606,272.6488,152.7624,133.3463,279.9593,257.2357
216.1881,274.0686,173.4425,141.0928,281.1898,249.7379
213.5229,274.0772,176.1778,140.8185,281.4212,250.0405
213.5229,274.0772,176.1778,140.8185,281.4212,250.0405
210.7732,274.9224,179.215,144.5205,281.9407,246.5445
211.3818,274.3018,178.5965,142.0138,281.5729,249.0169
212.4507,274.271,177.5335,141.8756,281.5578,249.1927
212.4507,274.271,177.5335,141.8756,281.5578,249.1927
226.8266,273.4835,164.5001,140.2222,280.5378,252.2741
209.6288,272.9078,180.3219,135.2923,281.2152,255.8315
209.6288,272.9078,180.3219,135.2923,281.2152,255.8315
204.6842,273.8452,185.3556,139.0547,281.9013,252.1299
202.3981,274.7193,188.1073,142.67,282.4852,248.8999
176.8138,278.0157,215.9203,145.5377,286.7385,248.0872
176.8138,278.0157,215.9203,145.5377,286.7385,248.0872
171.3683,279.4663,222.7744,146.0822,288.5429,248.9355
169.7565,280.8517,226.1083,147.8431,290.02,248.8598
169.7565,280.8517,226.1083,147.8431,290.02,248.8598
162.8536,281.3134,234.9666,145.7176,291.0564,253.0242
149.8081,283.633,251.3185,141.5126,294.165,260.7412
145.7729,285.2736,259.3166,141.3745,296.0133,264.9907
145.7729,285.2736,259.3166,141.3745,296.0133,264.9907
132.3686,286.8911,275.3925,134.6755,297.7264,274.6626
128.1423,286.1015,281.2545,133.0336,297.0812,278.1865
128.1423,286.1015,281.2545,133.0336,297.0812,278.1865
124.8663,287.5797,286.6915,131.643,298.2535,281.8658
114.8184,288.2287,297.2785,125.3281,298.0983,288.8247
87.72832,297.3723,322.2341,102.6044,304.8634,310.2007
85.16364,299.8176,325.7204,99.99924,306.7991,314.0265
85.16364,299.8176,325.7204,99.99924,306.7991,314.0265
83.71797,313.9982,328.2074,94.42374,319.7171,321.2407
84.58642,325.4255,329.0143,94.75339,331.4684,323.7798
84.58642,325.4255,329.0143,94.75339,331.4684,323.7798
87.32349,330.553,329.8277,97.40823,336.5709,325.3976
90.17927,332.6575,331.3646,100.3619,338.4221,327.3313
90.17927,332.6575,331.3646,100.3619,338.4221,327.3313
90.60958,333.6526,333.9088,100.7764,338.8286,330.1137
91.65984,337.3647,335.4926,101.7509,342.2295,332.311
91.65984,337.3647,335.4926,101.7509,342.2295,332.311
91.18071,340.5493,337.7765,100.9755,344.8241,335.1815
87.47217,343.3598,341.097,97.75455,347.1321,338.7701
81.28866,357.8971,342.7654,91.48094,1.197156,342.4313
81.28866,357.8971,342.7654,91.48094,1.197156,342.4313
79.07172,10.38525,342.8292,89.32196,13.45284,344.383
82.05381,16.48044,343.4448,92.82697,19.4369,346.1525
