L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
342.1675,13.49058,354.3314,353.3268,14.43118,356.9938
342.1675,13.49058,354.3314,353.3268,14.43118,356.9938
342.1675,13.49058,354.3314,353.3268,14.43118,356.9938
341.4743,14.15656,354.1904,352.7921,15.11081,356.9621
341.4743,14.15656,354.1904,352.7921,15.11081,356.9621
341.4743,14.15656,354.1904,352.7921,15.11081,356.9621
341.4868,14.16723,354.1902,352.7932,15.12109,356.9625
341.4868,14.16723,354.1902,352.7932,15.12109,356.9625
341.4868,14.16723,354.1902,352.7932,15.12109,356.9625
347.2298,9.46314,355.251,358.2778,10.34322,357.3459
347.2298,9.46314,355.251,358.2778,10.34322,357.3459
347.2454,9.047038,355.2985,358.3042,9.923422,357.3345
348.9857,8.625464,355.5461,0.04544785,9.454871,357.4941
348.9857,8.625464,355.5461,0.04544785,9.454871,357.4941
349.2065,8.75892,355.5888,0.2715785,9.579024,357.5527
351.5005,8.573261,355.8259,2.622728,9.370523,357.7611
351.5005,8.573261,355.8259,2.622728,9.370523,357.7611
353.4762,6.336178,356.2794,4.348308,7.082945,357.8643
353.4762,6.336178,356.2794,4.348308,7.082945,357.8643
354.7546,359.4716,357.2087,5.632168,0.1146124,357.7896
354.7546,359.4716,357.2087,5.632168,0.1146124,357.7896
354.6766,358.186,357.3151,5.563273,358.8217,357.6585
354.6766,358.186,357.3151,5.563273,358.8217,357.6585
352.9041,357.0391,357.2339,3.618692,357.6797,357.3358
352.9041,357.0391,357.2339,3.618692,357.6797,357.3358
352.6353,356.273,357.1368,3.163983,356.9285,357.0931
350.8778,356.5515,356.7784,1.581459,357.2778,356.7226
350.1416,355.301,356.5129,0.8553436,356.0937,356.2275
350.1416,355.301,356.5129,0.8553436,356.0937,356.2275
348.9399,353.494,356.3537,359.4921,354.3209,355.7492
348.2022,345.2245,356.8765,359.2731,346.0718,354.9656
347.7628,343.6823,356.7879,358.9097,344.5749,354.5718
347.7628,343.6823,356.7879,358.9097,344.5749,354.5718
347.6773,343.2051,356.742,358.8492,344.1152,354.4311
347.2943,345.1857,356.3782,358.3403,346.1424,354.3438
347.2943,345.1857,356.3782,358.3403,346.1424,354.3438
347.16,344.312,356.3134,358.4206,345.3212,354.0739
346.8341,343.1614,356.2118,357.9749,344.1911,353.7705
346.0282,341.5676,356.0754,357.4333,342.6732,353.2924
346.0282,341.5676,356.0754,357.4333,342.6732,353.2924
344.6571,338.5918,355.8657,356.258,339.7964,352.4617
343.0824,325.3167,357.1821,355.9486,326.4604,351.1896
343.0824,325.3167,357.1821,355.9486,326.4604,351.1896
341.9343,323.1654,357.2226,355.1387,324.3574,350.6386
339.2423,321.3006,357.9253,352.5773,322.38,350.8089
337.752,318.5469,358.3528,351.6196,319.6259,350.3858
337.752,318.5469,358.3528,351.6196,319.6259,350.3858
335.9863,318.0133,358.8245,350.0689,319.0464,350.5375
334.6762,317.1901,359.2198,348.6442,318.1552,350.6681
334.6762,317.1901,359.2198,348.6442,318.1552,350.6681
333.8932,315.896,359.6344,348.1683,316.8268,350.6357
331.7791,314.4472,0.6110132,346.6998,315.2943,350.8546
330.5137,312.6881,1.295289,345.9513,313.4763,350.8288
330.5137,312.6881,1.295289,345.9513,313.4763,350.8288
329.3526,310.7378,1.986204,344.8045,311.4024,351.0702
327.3374,305.2672,3.847604,345.1675,305.8492,350.2415
327.3374,305.2672,3.847604,345.1675,305.8492,350.2415
325.942,303.431,4.889699,344.6573,303.9212,350.2112
324.4196,301.6294,6.109944,344.1223,302.0042,350.2607
324.4756,303.2907,5.862464,344.1891,303.7236,350.3207
324.4756,303.2907,5.862464,344.1891,303.7236,350.3207
324.6511,301.8865,5.772601,344.2286,302.3346,349.9685
323.1518,299.941,6.873428,343.8936,300.3127,349.7075
323.1518,299.941,6.873428,343.8936,300.3127,349.7075
312.6546,296.0874,15.51762,336.6487,295.1769,354.7094
304.5584,290.5259,23.28614,336.2488,288.8479,354.5193
301.0922,289.1743,26.61292,335.2533,287.1003,355.2116
301.0922,289.1743,26.61292,335.2533,287.1003,355.2116
295.4804,287.0658,32.22908,334.4279,284.364,355.8221
294.2831,286.2824,33.60971,333.9302,283.4839,356.2341
289.72,285.2616,38.14068,332.6257,281.9063,357.3575
289.72,285.2616,38.14068,332.6257,281.9063,357.3575
289.0965,286.1331,38.63327,328.8554,282.4786,0.9211583
282.4305,285.2903,45.21304,322.4295,280.7101,6.944234
282.4305,285.2903,45.21304,322.4295,280.7101,6.944234
275.4334,284.5511,52.21782,317.1201,278.9714,12.10104
269.1495,286.7537,57.78182,301.5677,279.7885,26.92123
269.1495,286.7537,57.78182,301.5677,279.7885,26.92123
261.338,287.4365,65.21046,286.6088,279.4353,41.29457
