L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
347.3925,346.6691,0.5805317,358.042,346.6876,358.8352
347.3925,346.6691,0.5805317,358.042,346.6876,358.8352
346.1308,350.0727,0.3197922,357.0546,350.0762,359.0563
346.1308,350.0727,0.3197922,357.0546,350.0762,359.0563
348.4608,340.7665,1.137779,359.9588,340.8033,358.4113
348.4608,340.7665,1.137779,359.9588,340.8033,358.4113
350.4061,340.7587,0.9782048,0.9360446,340.8148,358.333
350.662,340.9945,0.931093,1.59712,341.0664,358.2924
350.6596,341.4469,0.8813975,1.366382,341.5152,358.3328
350.6596,341.4469,0.8813975,1.366382,341.5152,358.3328
350.6596,341.4469,0.8813982,1.366382,341.5152,358.3328
350.6596,341.4469,0.8813979,1.366382,341.5152,358.3328
350.6596,341.4469,0.8813979,1.366382,341.5152,358.3328
350.1764,340.3113,1.046809,0.7408694,340.362,358.3264
350.1729,340.3134,1.046856,0.737276,340.364,358.3268
350.3997,340.5361,1.003415,0.740307,340.5869,358.3376
350.3997,340.5361,1.003415,0.740307,340.5869,358.3376
350.4013,340.5397,1.002884,0.7386209,340.5904,358.3379
350.4013,340.5397,1.002884,0.7386209,340.5904,358.3379
349.9543,340.5334,1.040403,0.5091751,340.5811,358.3559
349.9446,340.0837,1.091303,0.5231929,340.1297,358.3325
350.5232,336.2271,1.481122,1.372597,336.2706,358.0623
350.5232,336.2271,1.481122,1.372597,336.2706,358.0623
350.5232,336.2271,1.48112,1.372597,336.2706,358.0623
351.592,333.5131,1.709021,2.879582,333.5687,357.7844
351.592,333.5131,1.709022,2.879582,333.5687,357.7844
351.5772,332.6067,1.818866,3.14876,332.6646,357.7079
351.5772,332.6067,1.818866,3.148759,332.6646,357.7079
351.5628,332.6018,1.820696,3.146185,332.6598,357.7078
351.3157,331.2398,2.007932,3.202848,331.2938,357.6188
351.513,331.0174,2.018168,3.236539,331.0682,357.6017
351.513,331.0174,2.018168,3.236539,331.0682,357.6017
353.9517,326.6546,3.150456,6.237056,326.5994,357.6491
354.9479,326.4557,3.051597,6.840894,326.4093,357.568
354.9411,324.6471,3.366545,7.285706,324.5908,357.4101
355.0656,323.2401,3.580795,7.42118,323.1705,357.3049
355.0127,322.7387,3.681062,7.450947,322.6637,357.268
354.8764,321.6911,3.900285,7.49558,321.6035,357.1941
354.8764,321.6911,3.900285,7.49558,321.6035,357.1941
354.4134,321.2274,4.103772,8.171327,321.1581,356.9644
354.343,320.6266,4.218306,8.219655,320.5533,356.8907
354.1414,319.3664,4.425272,7.675791,319.267,356.8724
354.0649,317.0782,4.758961,8.677265,317.0093,356.3104
354.0741,315.6637,4.857153,9.033393,315.6235,355.9063
354.0741,315.6637,4.857153,9.033393,315.6235,355.9063
354.9655,312.7917,4.824739,10.56653,312.8487,354.905
354.7896,308.3061,5.441257,11.86932,308.421,353.7042
355.6326,306.5809,5.152334,12.63472,306.7681,352.9223
355.6326,306.5809,5.152334,12.63472,306.7681,352.9223
355.824,305.2022,5.040174,13.33719,305.4673,352.1423
355.9326,304.6762,4.957202,13.66749,304.9804,351.7877
354.8441,304.2615,5.411551,13.17082,304.5421,351.7763
355.1479,305.5013,4.984426,12.99702,305.8092,351.9199
355.4258,304.8221,4.777436,13.58123,305.2034,351.3327
355.4258,304.8221,4.777436,13.58123,305.2034,351.3327
355.6164,303.821,4.712324,14.2236,304.265,350.7175
355.5253,303.7444,4.683599,13.57855,304.1468,350.9268
354.3479,303.4506,5.355122,13.6755,303.8464,350.7784
354.5292,302.5631,5.29174,13.79979,302.978,350.4353
354.5292,302.5631,5.29174,13.79979,302.978,350.4353
354.5994,301.6351,5.360411,14.36018,302.0912,349.9229
354.6416,300.8604,5.424411,14.83488,301.3516,349.4788
354.6416,300.8604,5.424411,14.83488,301.3516,349.4788
355.8575,299.1884,4.890857,17.56215,299.9398,347.5306
356.6462,298.8398,4.428855,18.2886,299.6716,347.0039
356.0359,298.415,4.863436,18.24749,299.2274,346.92
356.0359,298.415,4.863436,18.24749,299.2274,346.92
356.296,298.0862,4.712292,18.7178,298.9504,346.5271
356.2917,297.9563,4.723685,18.23553,298.7629,346.7915
356.1064,297.3315,4.95882,18.46703,298.1372,346.553
356.615,297.2225,4.721619,19.03058,298.0779,346.2516
356.615,297.2225,4.721619,19.03058,298.0779,346.2516
359.0294,295.0556,3.444251,23.5799,296.3845,342.9617
359.2774,295.0888,3.280978,23.77893,296.4434,342.8512
0.8059863,293.7259,2.421494,26.40333,295.3584,340.8569
1.581318,293.6004,1.8468,27.12043,295.3297,340.32
1.581318,293.6004,1.8468,27.12043,295.3297,340.32
2.284772,293.9388,1.341575,27.44248,295.7227,340.2307
1.543634,294.3205,1.79037,26.30996,295.9705,341.0578
2.138738,294.8323,1.305362,26.52422,296.5381,341.05
2.530438,294.4463,1.099839,27.15303,296.2116,340.5826
3.303519,295.1385,0.5402882,27.27551,296.9386,340.7426
3.303519,295.1385,0.5402882,27.27551,296.9386,340.7426
4.737718,296.1099,359.5566,27.68647,297.9761,340.8183
5.231855,296.9438,359.2808,27.6004,298.8,341.2488
5.375,299.4593,358.9936,24.69541,300.9708,343.546
5.375,299.4593,358.9936,24.69541,300.9708,343.546
3.78121,301.6851,359.648,23.37236,303.167,344.8308
4.019167,307.7421,358.8959,21.16096,309.096,347.0919
4.019167,307.7421,358.8959,21.16096,309.096,347.0919
4.250024,309.0185,358.5866,20.92379,310.373,347.3852
4.611415,312.2903,357.9691,20.35481,313.647,348.091
8.54699,320.3819,355.9345,21.78194,321.7872,348.8617
8.632271,323.3391,355.8881,21.3685,324.677,349.6467
9.856874,329.8003,355.2544,22.04045,331.1761,350.4703
9.856874,329.8003,355.2544,22.04045,331.1761,350.4703
9.888203,333.8122,355.0349,21.68029,335.1591,351.0746
10.17425,336.7227,355.1238,21.71425,337.9932,351.8021
10.21614,344.3568,354.6847,20.87451,345.5402,352.7013
10.8074,351.2338,354.4829,21.39822,352.3861,353.6402
11.02793,354.1521,354.7008,21.56526,355.2153,354.3921
11.02793,354.1521,354.7008,21.56526,355.2153,354.3921
11.17303,357.1157,354.8532,21.68164,358.1013,355.0839
