L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
352.3456,1.397224,1.293564,1.795961,1.127434,1.583641
352.3456,1.397224,1.293564,1.795961,1.127434,1.583641
351.6962,1.836403,1.365011,1.318504,1.535486,1.691623
351.8942,2.517266,1.120685,1.349054,2.251938,1.590544
351.8942,2.517266,1.120685,1.349054,2.251938,1.590544
351.7112,2.434966,1.141564,1.350691,2.163303,1.569159
351.7106,2.684093,1.078346,1.351368,2.419476,1.548739
351.7024,2.402629,1.055524,1.347816,2.145276,1.491958
351.7024,2.402629,1.055524,1.347816,2.145276,1.491958
351.7022,2.583475,1.019822,1.349037,2.329517,1.487097
351.8712,1.460846,1.099231,1.529646,1.212178,1.409268
352.2994,1.280627,0.9754878,2.150531,1.063879,1.232262
352.5061,359.4079,1.067398,2.355391,359.2036,1.06444
352.5061,359.4079,1.067398,2.355391,359.2036,1.06444
352.5148,359.2449,1.103547,2.366084,359.0363,1.080044
352.5228,358.4737,1.137539,2.379437,358.2695,1.003143
352.5228,358.4737,1.137539,2.379437,358.2695,1.003143
352.5429,358.3024,1.113626,2.400722,358.1049,0.9504068
352.7897,357.9533,1.103358,2.600098,357.7663,0.8969193
352.7922,357.6868,1.11174,2.604423,357.5023,0.8597317
352.8598,351.1872,1.746014,2.576825,350.9814,0.5869886
352.8444,350.5389,1.815358,2.574699,350.33,0.557261
352.8444,350.5389,1.815358,2.574699,350.33,0.557261
353.6764,349.1916,1.776358,3.447843,349.0183,0.3124188
354.7496,348.3069,1.639503,4.56509,348.1819,0.03552575
354.7298,347.0629,1.784396,4.578637,346.9292,359.9871
354.7298,347.0629,1.784396,4.578637,346.9292,359.9871
354.7206,346.8031,1.820671,4.579973,346.6671,359.9772
354.2076,345.2762,2.073514,3.908514,345.1101,0.03142909
353.9489,343.6649,2.289994,3.879623,343.483,359.9579
353.8969,342.8029,2.374568,3.864348,342.6188,359.8984
353.8969,342.8029,2.374568,3.864348,342.6188,359.8984
356.6877,339.528,2.142171,6.83048,339.4473,359.1338
356.6751,339.3286,2.156474,6.83124,339.2486,359.1103
356.6556,338.223,2.198634,6.866193,338.1496,358.9628
356.6556,338.223,2.198634,6.866193,338.1496,358.9628
356.5331,336.5302,2.3613,6.474965,336.4396,358.9204
356.5308,335.9999,2.341003,6.513011,335.9205,358.8001
356.5298,335.2682,2.360606,6.558547,335.1944,358.6898
356.8326,333.5108,2.343454,7.332363,333.4742,358.2648
356.8326,333.5108,2.343454,7.332363,333.4742,358.2648
356.8802,333.4115,2.241425,7.388362,333.3931,358.1442
356.918,333.4429,2.182222,7.422797,333.4336,358.0924
356.0066,336.1069,2.084814,5.786265,336.0594,358.6079
355.1397,336.2834,2.278168,5.083796,336.2035,358.7825
355.2149,336.5798,2.166984,5.136173,336.5129,358.7287
355.9221,336.0035,2.027447,5.889671,335.9687,358.4934
355.9221,336.0035,2.027447,5.889671,335.9687,358.4934
356.0583,335.5935,2.024244,6.397681,335.5752,358.3365
356.2152,335.2669,1.953466,6.569958,335.2633,358.2147
356.3845,335.3311,1.864323,6.733326,335.3409,358.1395
356.3845,335.3311,1.864323,6.733326,335.3409,358.1395
356.1722,335.35,1.94209,6.336751,335.3386,358.2654
356.2169,334.8866,2.051034,6.411926,334.863,358.2923
355.9025,334.9062,2.137084,6.407619,334.878,358.3024
355.9669,334.8802,2.110522,6.474088,334.8568,358.2711
356.3938,334.8409,2.032541,6.759224,334.8274,358.2234
356.3938,334.8409,2.032541,6.759224,334.8274,358.2234
356.6695,335.7571,1.896818,6.979039,335.7564,358.2474
357.5879,336.1844,1.599564,7.919484,336.2346,358.016
357.5858,336.0904,1.572128,7.924558,336.1466,357.9706
356.6523,335.5251,1.838294,6.996021,335.5382,358.1401
356.6366,335.3684,1.850767,6.993164,335.3821,358.1214
356.9248,336.2227,1.697088,7.40953,336.2612,358.0682
356.9248,336.2227,1.697088,7.40953,336.2612,358.0682
356.9013,336.0755,1.705419,7.39883,336.115,358.0469
357.0841,336.226,1.622242,7.417092,336.2726,358.0295
357.0511,336.1116,1.623166,7.393123,336.1598,358.008
357.0229,336.3036,1.599229,7.35424,336.3538,358.016
356.5778,336.0562,1.750965,7.079794,336.0881,358.0811
356.5778,336.0562,1.750965,7.079794,336.0881,358.0811
356.6349,335.9229,1.726493,7.148156,335.9612,358.0302
356.6349,335.9229,1.726493,7.148156,335.9612,358.0302
356.8654,335.3943,1.665578,7.250022,335.4432,357.922
357.163,333.9318,1.718556,7.774592,333.9966,357.6835
357.2185,333.8339,1.682968,7.838633,333.9063,357.6285
357.8519,331.3449,1.773867,8.134123,331.4062,357.4084
357.8519,331.3449,1.773867,8.134123,331.4062,357.4084
357.8818,331.2269,1.777578,8.175621,331.2895,357.3881
358.1858,330.8958,1.692148,8.692212,330.9865,357.1896
358.194,330.8044,1.678677,8.709571,330.8988,357.1573
358.2326,330.6032,1.652984,8.768461,330.7051,357.0899
358.2326,330.6032,1.652984,8.768461,330.7051,357.0899
358.2266,330.4047,1.678262,8.78318,330.5059,357.073
358.2323,330.2777,1.603568,8.619481,330.3822,357.0254
358.3282,329.4998,1.623849,9.113236,329.6298,356.8001
358.3282,329.4998,1.623849,9.113236,329.6298,356.8001
358.279,329.4521,1.700757,9.070076,329.5707,356.8652
358.279,329.4521,1.700757,9.070076,329.5707,356.8652
358.2708,329.4214,1.731283,9.06565,329.5356,356.8885
358.273,328.9309,1.752208,9.106126,329.0471,356.8152
357.9855,328.5894,1.861842,8.850674,328.692,356.8538
357.9754,328.528,1.865419,8.847652,328.6311,356.8437
357.9741,328.4297,1.869704,8.857733,328.5339,356.8262
357.9741,328.4297,1.869704,8.857733,328.5339,356.8262
357.9795,329.0573,1.794271,8.805737,329.1667,356.8736
357.4783,328.9712,1.946079,8.156451,329.048,357.0503
357.4889,328.9146,1.947332,8.173356,328.9922,357.0392
357.5138,330.0399,1.844132,8.110617,330.1216,357.1501
357.5134,330.2764,1.817493,8.095958,330.36,357.167
357.5242,330.2025,1.941257,8.11577,330.2677,357.2729
357.3277,330.1643,2.029148,8.086726,330.2239,357.3015
357.3277,330.1643,2.029148,8.086726,330.2239,357.3015
357.2893,330.1596,2.041538,7.881304,330.2087,357.3635
357.0856,330.166,2.103806,7.845999,330.2129,357.3745
357.0552,330.6375,2.05953,7.607496,330.6773,357.4709
357.0552,330.6375,2.05953,7.607496,330.6773,357.4709
357.0552,330.6375,2.05953,7.607492,330.6773,357.4709
357.0552,330.6374,2.059532,7.607495,330.6773,357.4709
357.191,330.1654,2.197007,7.780447,330.1888,357.5181
356.9565,329.7915,2.36325,7.744935,329.8007,357.557
356.9565,329.7915,2.36325,7.744935,329.8007,357.557
356.9585,329.8182,2.369582,7.744081,329.8259,357.569
357.17,329.8682,2.298225,7.783269,329.8791,357.5606
357.2145,329.9846,2.260797,7.81215,329.9995,357.5495
357.1949,330.6487,2.211084,7.537386,330.6534,357.6891
357.1949,330.6487,2.211084,7.537386,330.6534,357.6891
357.2474,330.8872,2.160457,7.565495,330.8961,357.6883
356.2993,331.1194,2.444051,6.788901,331.0856,357.957
356.2993,331.1194,2.444051,6.788901,331.0856,357.957
356.2562,342.385,1.23947,6.347919,342.4187,358.5999
356.3256,349.9014,0.428329,6.170208,349.9836,358.924
356.3325,350.1483,0.3665696,6.169514,350.2373,358.906
356.1356,350.8389,0.386272,6.147754,350.9182,358.978
356.1602,351.5862,0.3326823,6.146908,351.6648,359.043
356.1602,351.5862,0.3326823,6.146908,351.6648,359.043
356.1294,351.8855,0.2721517,5.922237,351.9642,359.0845
355.8592,352.616,0.2206983,5.634019,352.6904,359.1453
355.8368,352.7554,0.210322,5.60853,352.8294,359.1589
355.3961,353.808,0.2152607,5.531239,353.8712,359.2254
355.3746,353.9947,0.184184,5.506228,354.0605,359.2278
355.3414,354.1838,0.1470246,5.469589,354.2524,359.2245
355.3407,355.9343,359.9012,5.434788,356.0236,359.2416
355.3506,356.243,359.7964,5.440856,356.3459,359.1927
355.3506,356.243,359.7964,5.440856,356.3459,359.1927
354.9016,356.8151,359.8027,4.813287,356.8955,359.3289
354.911,358.0624,359.6525,4.801892,358.1523,359.3666
355.3488,358.6317,359.4604,5.046572,358.749,359.3099
355.3488,358.6317,359.4604,5.046572,358.749,359.3099
355.3709,358.8104,359.4124,5.06795,358.9333,359.2926
355.4265,359.902,359.2433,5.107179,0.03948415,359.2916
356.0216,0.4817998,359.0205,5.531133,0.6561579,359.1986
358.1395,10.40785,357.4165,8.808802,10.81177,358.7937
358.1395,10.40785,357.4165,8.808802,10.81177,358.7937
358.1654,10.55341,357.3669,8.839851,10.96397,358.7726
358.1699,10.89434,357.2831,8.859204,11.31427,358.7519
357.6035,11.99311,357.2026,8.291047,12.40024,358.8513
357.6035,11.99311,357.2026,8.291047,12.40024,358.8513
357.5876,12.18563,357.1308,8.282735,12.60245,358.8172
357.6003,12.57447,357.0585,8.304228,12.99844,358.8102
357.6003,12.57447,357.0585,8.304228,12.99844,358.8102
357.604,12.69003,357.0477,8.31276,13.1139,358.8214
357.7815,12.92715,356.9814,8.509161,13.36252,358.8001
357.2178,13.10972,357.0495,8.132866,13.52196,358.8676
357.0123,13.17419,357.0693,7.5313,13.5705,358.9682
357.0118,13.26923,357.0573,7.534937,13.66608,358.9742
357.0118,13.26923,357.0573,7.534937,13.66608,358.9742
356.6286,13.32979,357.1107,7.339725,13.71192,359.0045
356.6274,13.33096,357.1108,7.338506,13.71321,359.0047
356.6682,13.55258,356.9954,7.389095,13.95183,358.9336
356.6713,13.56013,357.0078,7.392597,13.95702,358.9472
356.6859,13.56085,356.991,7.210078,13.95636,358.9639
355.3992,13.61944,357.1643,6.361457,13.96885,359.0668
355.3992,13.61944,357.1643,6.361457,13.96885,359.0668
355.1978,13.64568,357.1597,6.160895,13.99204,359.0667
355.1946,13.63414,357.1066,6.157023,13.99055,359.0122
355.1946,13.63414,357.1066,6.157023,13.99055,359.0122
355.9962,13.53734,356.9739,6.955455,13.93375,358.8658
355.9962,13.53734,356.9739,6.955455,13.93375,358.8658
356.0115,13.51737,356.9775,6.969593,13.91355,358.8652
356.0262,13.45807,356.9298,6.981599,13.86405,358.8069
355.8547,13.41535,356.9418,6.807683,13.8165,358.8095
355.6858,13.37029,356.9918,6.636414,13.75953,358.8492
355.6858,13.37029,356.9918,6.636414,13.75953,358.8492
355.7215,13.33922,356.9692,6.670632,13.7332,358.8209
355.5418,13.33374,356.9838,6.490205,13.72176,358.8333
355.5738,13.29179,356.95,6.520326,13.68679,358.7921
355.5942,13.27523,356.9465,6.540024,13.6712,358.7854
355.611,13.25921,356.9472,6.556026,13.65536,358.783
357.5775,12.01763,356.7632,7.875828,12.48356,358.5368
357.6096,12.00412,356.759,8.498916,12.48645,358.4292
357.6403,11.96141,356.7433,7.93926,12.43175,358.5067
357.653,11.93073,356.7611,7.950882,12.39847,358.5187
357.6602,11.91907,356.7701,7.957615,12.38546,358.5254
357.6602,11.91907,356.7701,7.957615,12.38546,358.5254
