L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.09843,0.7164079,1.399131,92.49771,0.5210785,1.722751
83.09843,0.7164079,1.399131,92.49771,0.5210785,1.722751
83.09847,0.7212332,1.398635,92.49769,0.5259468,1.722948
83.09847,0.7212332,1.398635,92.49769,0.5259468,1.722948
83.74761,0.8072306,1.310057,92.99789,0.6412976,1.667086
83.74761,0.8072306,1.310057,92.99789,0.6412976,1.667086
83.74761,0.8072306,1.310057,92.99789,0.6412976,1.667086
83.81593,1.203693,1.261519,93.00737,1.044775,1.682192
86.93756,1.669939,0.8263612,96.75811,1.622536,1.2488
86.93638,1.683575,0.8251134,96.7567,1.636264,1.249516
94.17205,3.00169,359.7744,104.6196,3.230722,0.3467786
100.7762,4.269526,358.7952,111.8818,4.728599,359.5143
100.7762,4.269526,358.7952,111.8818,4.728599,359.5143
102.5127,4.729174,358.5231,113.6241,5.258203,359.3218
100.9851,5.659139,359.2348,112.1186,6.033978,0.2008978
101.2454,5.332507,359.3956,112.3837,5.684453,0.3150212
101.2454,5.332507,359.3956,112.3837,5.684453,0.3150212
101.3638,5.346108,359.3808,112.5027,5.702272,0.3030564
101.8411,5.122966,359.3507,112.9842,5.493178,0.2444286
101.8411,5.122966,359.3507,112.9842,5.493178,0.2444286
101.8411,5.122966,359.3507,112.9842,5.493178,0.2444286
101.9992,4.911945,359.3554,113.1445,5.285356,0.2199294
102.0131,4.378392,359.4104,113.1619,4.746665,0.198537
102.249,4.348291,359.3871,113.3995,4.72428,0.1726588
102.249,4.348291,359.3871,113.3995,4.72428,0.1726588
102.251,4.372625,359.3843,113.4014,4.748946,0.1733528
102.251,4.372625,359.3843,113.4014,4.748946,0.1733528
102.3875,4.243531,359.3827,113.5398,4.623085,0.1542012
102.3008,4.087395,359.409,113.4536,4.462406,0.157475
94.38278,3.056806,0.3999151,105.1211,3.176065,0.9908159
94.38278,3.056806,0.3999151,105.1211,3.176065,0.9908159
94.3609,3.050837,0.4029449,105.0993,3.169341,0.992864
87.09618,2.501198,1.250213,96.49371,2.420341,1.867846
74.25783,3.397417,2.478613,84.00702,2.845809,3.150338
76.89394,3.453655,0.8490274,86.65666,3.176903,1.554517
67.3279,3.808032,1.681677,76.76328,3.200544,2.460164
60.22577,5.494379,2.118766,70.50014,4.671067,3.074604
60.22577,5.494379,2.118766,70.50014,4.671067,3.074604
56.55664,6.97038,2.270865,67.67607,6.072643,3.379711
56.55667,6.970371,2.270866,67.67608,6.072643,3.379714
56.14742,7.347182,2.266851,67.26857,6.436959,3.431233
56.15689,7.551638,2.246529,67.27795,6.641406,3.440155
56.15689,7.551638,2.246529,67.27795,6.641406,3.440155
57.11933,8.315198,2.097395,68.23586,7.43227,3.396877
57.11933,8.315198,2.097395,68.23586,7.432275,3.396874
66.51348,7.805021,1.357168,76.43235,7.1679,2.663903
83.5825,3.772768,0.1818608,92.79725,3.733553,1.002233
83.58505,3.776653,0.181213,92.79976,3.737483,1.002151
84.1928,3.561502,0.1451418,93.88776,3.538435,0.8923195
84.1928,3.561502,0.1451418,93.88776,3.538435,0.8923195
85.19125,2.428486,0.1668351,94.7477,2.432635,0.7693784
85.19125,2.428486,0.1668351,94.7477,2.432635,0.7693784
85.03267,355.1455,0.9398229,94.74249,355.0842,0.4906698
87.52258,355.0761,0.709469,98.26962,355.0895,0.1641342
87.52258,355.0761,0.709469,98.26962,355.0895,0.1641342
83.79742,357.3387,0.8282921,93.35344,357.2577,0.7021887
83.79744,357.3387,0.8282878,93.35344,357.2577,0.7021887
83.87704,358.776,0.6713749,93.38663,358.7083,0.7543302
83.87821,358.7731,0.6715611,93.3879,358.705,0.75409
80.89047,2.905021,0.5285956,90.28807,2.764083,1.19949
80.79943,3.939234,0.4307981,90.29659,3.800172,1.23945
80.79943,3.939234,0.4307981,90.29659,3.800172,1.23945
80.01012,1.956519,1.061027,89.47163,1.740961,1.536026
79.87811,358.1483,1.464852,89.77401,357.9065,1.345003
79.87811,358.1483,1.464852,89.77401,357.9065,1.345003
79.87811,358.1483,1.464852,89.77401,357.9065,1.345003
83.57169,354.3674,1.372447,94.82333,354.237,0.5541517
83.90591,354.3541,1.330023,95.15839,354.2361,0.5109921
85.04781,354.4273,1.172468,96.2991,354.3525,0.3685827
85.04781,354.4273,1.172468,96.29913,354.3525,0.3685778
86.49551,354.3824,0.9865674,97.75028,354.3617,0.1822352
86.49552,354.3824,0.9865687,97.75028,354.3617,0.1822352
88.19046,355.5161,0.6447208,99.41177,355.5663,0.01400795
88.16844,354.6349,0.7394689,99.41753,354.6785,359.9799
88.16844,354.6349,0.7394689,99.41753,354.6785,359.9799
88.16844,354.6349,0.7394689,99.41753,354.6785,359.9799
84.74405,353.6779,1.290537,96.02061,353.5875,0.3754003
84.74405,353.6779,1.290535,96.02061,353.5875,0.3754003
