L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
79.22508,355.1967,356.7489,89.56863,355.7899,356.2626
79.22508,355.1967,356.7489,89.56863,355.7899,356.2626
79.22508,355.1967,356.7489,89.56863,355.7899,356.2626
78.53694,355.0474,356.8368,88.96215,355.6244,356.3179
78.53694,355.0474,356.8368,88.96215,355.6244,356.3179
78.32,355.0359,356.8608,88.7513,355.6063,356.3387
78.32,355.0359,356.8608,88.7513,355.6063,356.3387
78.32,355.0359,356.8608,88.7513,355.6063,356.3387
77.92245,355.3558,356.8688,88.66917,355.9411,356.3591
77.90428,355.3553,356.8708,88.25153,355.9071,356.4005
77.90427,355.3553,356.8708,88.25153,355.9071,356.4005
77.90427,355.3553,356.8708,88.25153,355.9071,356.4005
78.54897,355.3911,356.799,88.47361,355.9292,356.3786
79.21993,355.4221,356.7254,89.75996,356.0327,356.2521
79.21993,355.4221,356.7254,89.75997,356.0327,356.2521
79.21993,355.4221,356.7254,89.75997,356.0327,356.2521
79.21965,355.4214,356.7255,89.76099,356.0321,356.252
79.23132,355.1996,356.7479,89.77666,355.8096,356.2425
79.23132,355.1996,356.7479,89.77666,355.8096,356.2425
79.23132,355.1996,356.7479,89.77666,355.8096,356.2425
79.24319,355.1962,356.747,89.98318,355.8227,356.2222
79.24277,355.1976,356.7469,89.98243,355.824,356.2224
79.23959,355.1921,356.7478,89.9874,355.819,356.2217
79.23959,355.1921,356.7478,89.9874,355.819,356.2217
79.69083,354.5361,356.7703,89.84137,355.1241,356.2109
79.69083,354.5361,356.7703,89.84137,355.1241,356.2109
79.69081,354.5361,356.7703,89.84137,355.1241,356.2109
79.64433,355.2151,356.7032,89.77901,355.8042,356.242
79.64433,355.2151,356.7032,89.77901,355.8042,356.242
80.28363,355.704,356.5849,90.40433,356.3157,356.1978
80.24394,356.3832,356.5163,90.35092,356.9969,356.2269
80.24393,356.3832,356.5163,90.35092,356.9969,356.2269
80.24393,356.3832,356.5163,90.35092,356.9969,356.2269
79.37764,356.5678,356.5864,89.88845,357.1883,356.2797
78.00804,356.7733,356.0271,88.51739,357.4924,355.7764
78.65101,356.6967,355.8423,88.95422,357.4427,355.6089
78.65101,356.6967,355.8423,88.95422,357.4427,355.6089
78.36611,356.7975,355.7308,88.66753,357.5618,355.5173
78.44868,356.8791,355.6112,88.74475,357.6662,355.4148
78.44868,356.8791,355.6112,88.74475,357.6662,355.4148
78.12508,357.0306,355.4554,88.41781,357.843,355.2887
77.67079,357.5942,355.1712,87.74883,358.4305,355.1166
77.09707,357.9313,354.8085,87.16963,358.8255,354.8179
77.09707,357.9313,354.8085,87.16963,358.8255,354.8179
76.51591,358.2917,354.42,86.58134,359.2487,354.4992
76.51448,358.7827,353.9422,86.77052,359.8487,354.1064
76.51448,358.7827,353.9422,86.77052,359.8487,354.1064
75.4127,359.5262,353.248,85.65437,0.7041833,353.547
75.4127,359.5262,353.248,85.65437,0.7041833,353.547
70.77054,2.231888,352.5143,81.20876,3.48234,353.1898
70.77054,2.231888,352.5143,81.20876,3.48234,353.1898
70.77054,2.231888,352.5143,81.20876,3.48234,353.1898
64.88206,2.972873,352.0676,75.34032,4.22391,352.8353
64.88206,2.972873,352.0676,75.34032,4.22391,352.8353
63.27885,3.925261,351.3463,73.3203,5.208325,352.2767
63.27885,3.925261,351.3463,73.3203,5.208325,352.2767
62.55746,2.814503,350.8456,72.79295,4.24694,351.629
64.62003,3.150903,350.2545,74.62328,4.684433,351.119
63.37492,6.078818,349.089,73.40205,7.776759,350.4883
63.37492,6.078818,349.089,73.40205,7.776759,350.4883
62.58117,6.182014,348.5692,72.5959,7.968206,349.9926
61.75355,6.219342,348.0581,71.75382,8.09335,349.4939
61.75355,6.219342,348.0581,71.75382,8.09335,349.4939
59.13173,6.374981,347.4915,69.1256,8.317365,348.9453
56.27907,8.503781,346.6808,66.29146,10.52025,348.4298
52.40336,10.99201,345.7897,63.06202,13.2382,347.8921
52.40336,10.99201,345.7897,63.06202,13.2382,347.8921
47.17314,11.724,345.0262,58.03808,14.09121,347.2068
46.31571,11.63498,344.5712,57.15875,14.08773,346.7382
46.31571,11.63498,344.5712,57.15875,14.08773,346.7382
45.29898,11.49052,344.1427,55.91317,13.95329,346.2835
44.09952,10.97353,343.7527,54.85835,13.57053,345.8136
43.39272,10.70169,343.2842,54.13574,13.39507,345.308
43.39272,10.70169,343.2842,54.13574,13.39507,345.308
43.08791,9.689192,342.9119,53.75657,12.46485,344.8012
42.41108,9.718116,342.3997,52.95889,12.55228,344.2971
42.41108,9.718116,342.3997,52.95889,12.55228,344.2971
41.65449,9.700027,341.8973,52.17754,12.62502,343.795
40.94383,10.29642,341.3246,51.22042,13.22355,343.3027
40.07693,10.47432,340.8741,50.83974,13.67624,342.8741
40.07693,10.47432,340.8741,50.83974,13.67624,342.8741
39.53081,10.37826,340.4746,50.16974,13.61773,342.4574
38.5119,10.79476,339.9778,49.22036,14.14931,342.002
37.93811,10.8857,339.5984,48.50684,14.25948,341.6281
37.93811,10.8857,339.5984,48.50684,14.25948,341.6281
37.31445,10.65313,339.255,47.85286,14.09265,341.2422
36.66959,10.5899,338.9001,47.17073,14.08822,340.8659
36.86307,12.10813,338.2089,47.35593,15.71243,340.3851
36.86307,12.10813,338.2089,47.35593,15.71243,340.3851
36.47235,12.43569,337.6955,46.7487,16.03847,339.9128
36.10676,12.54051,337.2819,46.35359,16.21262,339.507
36.10676,12.54051,337.2819,46.35359,16.21262,339.507
35.64869,13.28218,336.6682,46.16487,17.18616,338.9767
35.21774,13.07508,336.2798,45.69631,17.05141,338.5482
35.21774,13.07508,336.2798,45.69631,17.05141,338.5482
35.61174,13.27803,335.8859,45.77705,17.1925,338.1942
35.94925,12.89441,335.6725,46.08292,16.8649,337.9281
36.57284,12.29053,335.5217,46.10683,16.03779,337.7095
36.57284,12.29053,335.5217,46.10683,16.03779,337.7095
36.35457,11.52201,335.4735,45.85422,15.29072,337.5458
39.2584,4.513339,336.4674,48.72278,8.303327,337.628
39.2584,4.513339,336.4674,48.72278,8.303327,337.628
38.95898,4.202976,336.3237,48.40676,8.02076,337.4337
38.63111,2.230853,336.527,48.03711,6.025475,337.3679
39.23479,1.510846,336.4918,48.4304,5.240619,337.2423
39.23479,1.510846,336.4918,48.4304,5.240619,337.2423
38.97676,1.227664,336.5522,48.1708,4.95039,337.2566
38.96012,1.031183,336.6371,48.34589,4.835752,337.3035
39.0282,0.7490933,336.7525,48.41799,4.542538,337.3714
39.0282,0.7490933,336.7525,48.41799,4.542538,337.3714
38.89339,0.2756931,337.0181,48.29469,4.032146,337.5566
39.82947,359.9897,337.1491,49.22509,3.742998,337.6463
39.82947,359.9897,337.1491,49.22509,3.742998,337.6463
41.55333,355.0976,337.8654,51.02591,358.8341,337.7154
42.54498,350.2207,338.4959,52.10773,353.9257,337.6827
42.54498,350.2207,338.4959,52.10773,353.9257,337.6827
42.60187,349.3319,338.8696,52.20649,352.9896,337.9143
41.68273,348.5304,339.3523,51.72653,352.2674,338.2266
41.19635,348.6696,339.7238,51.43839,352.4077,338.5724
41.19635,348.6696,339.7238,51.43839,352.4077,338.5724
41.11911,348.1811,340.0919,51.398,351.8628,338.8428
40.65653,347.6457,340.4798,50.60574,351.1218,339.1481
40.37398,346.7365,340.7128,50.36397,350.1869,339.2153
40.37398,346.7365,340.7128,50.36397,350.1869,339.2153
39.86688,340.8179,341.357,49.75567,344.1175,339.0087
40.08581,337.9157,341.3471,50.11292,341.2684,338.5453
40.08581,337.9157,341.3471,50.11292,341.2684,338.5453
40.40673,337.4137,341.0955,50.62673,340.8838,338.1835
39.55519,338.8604,340.9,49.68573,342.3372,338.1882
39.26333,338.0231,340.3523,49.4038,341.6027,337.5059
39.26333,338.0231,340.3523,49.4038,341.6027,337.5059
38.57632,337.6409,340.1733,48.73701,341.2578,337.2455
38.50751,337.1993,339.7717,48.662,340.891,336.7781
38.50751,337.1993,339.7717,48.662,340.891,336.7781
38.34373,336.5975,339.3309,48.79073,340.4886,336.181
37.79506,338.1634,339.0871,47.84159,341.9518,336.2298
37.48912,337.6573,338.5981,47.52802,341.5325,335.6671
37.48912,337.6573,338.5981,47.52802,341.5325,335.6671
37.90013,337.712,338.2451,47.89943,341.6479,335.333
37.44203,337.2464,338.0598,47.45415,341.2191,335.0699
