L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.25246,355.2908,356.9725,92.71281,355.8477,356.5879
83.24952,355.3097,356.9646,92.70957,355.8676,356.5832
83.31523,354.7925,357.012,92.6149,355.3365,356.5738
83.31523,354.7925,357.012,92.6149,355.3365,356.5738
83.31523,354.7925,357.012,92.6149,355.3365,356.5738
83.31109,354.7844,357.0283,92.61102,355.3259,356.5886
83.30196,355.0854,357.0056,92.6523,355.6315,356.6036
83.39819,355.745,356.9525,92.8477,356.3027,356.6348
83.37683,356.1431,356.9254,92.81698,356.7008,356.6648
83.37184,356.1346,356.9371,92.81223,356.6905,356.675
83.81244,355.9225,356.9259,92.88498,356.4633,356.6724
83.80841,355.9116,356.9388,92.88132,356.4505,356.6836
83.77639,355.9017,356.9751,93.13541,356.4546,356.6882
83.47785,355.8157,357.0166,93.1327,356.379,356.684
83.46496,355.7952,357.0194,93.12008,356.3583,356.6833
83.45927,355.9546,357.0079,93.00915,356.5108,356.7052
83.45927,355.9546,357.0079,93.00915,356.5108,356.7052
83.5725,356.1227,356.9775,92.99668,356.6755,356.7125
83.5725,356.1227,356.9775,92.99668,356.6755,356.7125
83.59042,356.1294,356.9887,93.01476,356.6803,356.7246
83.6291,356.1766,356.9794,93.05441,356.7293,356.7221
83.62909,356.1766,356.9794,93.05439,356.7293,356.7221
83.62909,356.1766,356.9794,93.05439,356.7293,356.7221
83.63039,356.1497,356.9821,93.05631,356.7022,356.7209
83.80916,356.156,356.9618,93.16832,356.71,356.7093
83.81459,356.0425,356.9733,93.17605,356.5957,356.7045
83.81459,356.0425,356.9733,93.17605,356.5957,356.7045
83.50892,355.6627,357.0476,93.05846,356.2153,356.7037
83.51273,355.573,357.0568,93.06446,356.125,356.6998
83.51311,355.5727,357.0568,93.06487,356.1248,356.6998
83.44949,355.5704,357.064,92.76035,356.1038,356.7316
82.9847,355.4985,357.107,92.54002,356.0343,356.7395
82.9847,355.4985,357.107,92.54002,356.0343,356.7395
82.99039,355.4939,357.0967,92.54564,356.0314,356.7286
82.99554,355.3215,357.0875,92.55483,355.8625,356.6948
82.98762,355.333,357.0939,92.54682,355.8728,356.7031
83.22441,355.5298,357.0609,92.69539,356.0706,356.7084
83.53707,355.4343,357.0374,92.90725,355.9773,356.683
83.53707,355.4343,357.0374,92.90726,355.9773,356.683
83.525,355.4644,357.0355,92.88226,356.0064,356.6866
83.52449,355.4641,357.0356,92.88229,356.0061,356.6866
83.52449,355.4641,357.0356,92.88228,356.0062,356.6866
83.12172,355.449,357.0807,92.45372,355.9762,356.7304
83.12645,355.3228,357.0936,92.46244,355.8493,356.7249
83.12645,355.3228,357.0936,92.46244,355.8493,356.7249
83.12643,355.3228,357.0936,92.46243,355.8493,356.7249
83.12643,355.3228,357.0936,92.46244,355.8493,356.7249
82.65666,355.8475,357.0886,92.22672,356.3794,356.7685
82.65666,355.8475,357.0886,92.22672,356.3794,356.7685
82.62614,356.3406,357.0392,92.09286,356.8685,356.7997
82.64867,355.8491,357.0893,92.12618,356.3743,356.7789
82.64864,355.8491,357.0893,92.12618,356.3743,356.7789
83.26534,356.1647,356.9887,92.62484,356.7048,356.7382
83.28593,355.7226,357.0338,92.65498,356.26,356.7194
83.28594,355.7226,357.0338,92.65498,356.26,356.7194
83.01521,355.3989,357.0975,92.44765,355.9291,356.7293
83.01521,355.3989,357.0975,92.44765,355.9291,356.7293
83.01521,355.3989,357.0975,92.41833,355.9271,356.7323
83.01126,355.4009,357.0977,92.41432,355.929,356.7328
83.12183,355.9327,356.9547,92.34206,356.4664,356.6848
82.94353,355.9601,356.9721,92.35136,356.501,356.6868
83.004,354.9411,357.0735,92.52634,355.4832,356.6322
