L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.47395,357.1889,0.2688054,93.40919,357.1254,0.1484198
82.47395,357.1889,0.2688054,93.40919,357.1254,0.1484198
82.65455,357.2984,0.2930734,93.40114,357.2288,0.1994359
82.65455,357.2984,0.2930734,93.40114,357.2288,0.1994359
82.6498,357.54,0.2748972,93.20282,357.4681,0.2227884
82.66101,357.4929,0.2991252,93.21385,357.4173,0.2379833
82.47109,357.0164,0.3632298,93.40616,356.9375,0.2190139
82.47109,357.0164,0.3632298,93.40616,356.9375,0.2190139
82.90701,357.0078,0.3486637,93.84155,356.937,0.2040228
82.90703,357.0078,0.3486632,93.84159,356.937,0.2040219
82.68939,357.0102,0.3561327,93.62505,356.9354,0.2114031
82.68939,357.0102,0.3561327,93.62505,356.9354,0.2114031
82.90701,357.0077,0.3486776,93.84109,356.9369,0.2040339
82.90701,357.0077,0.3486776,93.84109,356.9369,0.2040339
82.6892,357.0097,0.3561944,93.62542,356.9349,0.2113713
82.90506,356.7808,0.3726214,93.84281,356.7089,0.1952444
82.90503,356.7807,0.3726225,93.84281,356.7089,0.1952444
82.90503,356.7807,0.3726225,93.84281,356.7089,0.1952444
82.90503,356.7807,0.3726225,93.84281,356.7089,0.1952444
84.69753,356.3515,0.5020266,95.6358,356.2774,0.2540268
84.69753,356.3515,0.5020266,95.6358,356.2774,0.2540268
84.90161,356.509,0.5629528,95.65611,356.4199,0.3400458
84.90161,356.509,0.5629528,95.65611,356.4199,0.3400458
85.11546,356.2642,0.6788673,96.0561,356.1539,0.399378
85.30556,356.1816,0.6895278,96.24619,356.0708,0.3942215
85.30556,356.1816,0.6895278,96.24619,356.0708,0.3942215
86.14994,356.1649,0.6519583,96.7083,356.0689,0.3731993
88.80379,356.1319,0.531105,99.73484,356.0923,0.2373006
93.59755,356.0703,0.3109662,104.3308,356.1264,0.03292609
93.59755,356.0703,0.3109662,104.3308,356.1264,0.03292609
98.4152,354.9116,0.2038817,109.1625,355.0531,359.7791
106.2297,353.7123,359.4635,116.7916,354.0536,358.8619
106.5554,353.6277,359.4226,117.1185,353.9783,358.806
106.5554,353.6277,359.4226,117.1185,353.9783,358.806
112.9367,352.3709,358.9915,120.1331,352.7095,358.4357
114.7776,352.161,358.7067,126.1714,352.7571,357.8555
115.4956,351.4829,358.6753,126.9128,352.0965,357.7254
115.4956,351.4829,358.6753,126.9128,352.0965,357.7254
116.3558,349.9249,358.6888,127.8287,350.5558,357.5041
117.0092,349.7954,358.5519,128.4845,350.4557,357.3441
117.0092,349.7954,358.5519,128.4845,350.4557,357.3441
117.5434,347.6418,358.6797,129.1077,348.3012,357.1409
117.6559,347.3333,358.6919,129.233,347.9928,357.1014
117.6559,347.3333,358.6919,129.233,347.9928,357.1014
117.0599,347.0105,358.7676,126.2786,347.4322,357.2896
118.6554,346.863,358.5222,126.8636,347.2332,357.1034
118.0529,346.9992,358.5608,126.5784,347.3945,357.1342
119.0022,346.9025,358.3947,127.5292,347.3228,356.9556
119.0022,346.9025,358.3947,127.5292,347.3228,356.9556
117.202,346.7519,358.5411,128.6322,347.4088,356.8337
117.3434,346.9068,358.4713,128.7721,347.5744,356.786
117.3434,346.9068,358.4713,128.7721,347.5744,356.786
118.3558,346.945,358.3304,128.2095,347.4945,356.782
119.5932,346.1474,358.2516,127.6815,346.5329,356.732
119.5799,346.1508,358.2525,127.6681,346.5365,356.7333
119.5799,346.1508,358.2525,127.6681,346.5365,356.7333
119.4933,346.1355,358.2619,127.7869,346.5392,356.7233
117.8325,346.0155,358.426,129.2656,346.6968,356.6057
118.103,346.2643,358.2686,129.5565,346.9704,356.4871
118.103,346.2643,358.2686,129.5565,346.9704,356.4871
118.2081,346.4305,358.2358,129.7097,347.1443,356.4841
118.3257,346.3596,358.2221,129.8109,347.0728,356.4681
118.3257,346.3596,358.2221,129.8109,347.0728,356.4681
118.5853,346.5148,358.2136,130.0993,347.2311,356.4896
118.7209,346.658,358.2537,130.2292,347.3636,356.5583
118.7209,346.658,358.2537,130.2292,347.3636,356.5583
119.7358,348.5081,358.0175,131.0722,349.2374,356.6228
121.021,351.9149,357.6086,132.168,352.6927,356.7466
121.021,351.9149,357.6086,132.168,352.6927,356.7466
121.9521,358.3269,356.9864,133.1716,359.178,357.0664
122.0028,2.636748,356.6986,133.1751,3.494389,357.4121
122.0028,2.636748,356.6986,133.1751,3.494389,357.4121
121.499,9.193974,356.1443,132.6752,10.07822,357.8085
121.6347,14.73584,355.6097,132.903,15.65829,358.1082
119.9926,17.31977,355.4798,131.3232,18.21031,358.3698
119.9926,17.31977,355.4798,131.3232,18.21031,358.3698
120.0261,17.60138,355.5781,131.3761,18.46799,358.525
119.9506,18.8637,355.5741,131.3508,19.71118,358.7298
119.9506,18.8637,355.5741,131.3508,19.71118,358.7298
120.0724,19.4953,355.6605,131.5067,20.31603,358.9294
120.1735,19.66722,355.7576,131.6213,20.46643,359.0615
119.7978,19.29298,355.8184,131.2293,20.07979,359.0602
119.7978,19.29298,355.8184,131.2293,20.07979,359.0602
119.9545,19.17144,356.244,131.4067,19.86998,359.4963
119.9399,19.47376,356.3524,131.4134,20.14356,359.6659
119.9399,19.47376,356.3524,131.4134,20.14356,359.6659
119.9883,19.64588,356.389,131.4747,20.30536,359.7384
119.5511,19.84306,356.4229,131.0472,20.48563,359.808
119.5511,19.84306,356.4229,131.0472,20.48563,359.808
119.3374,20.29664,356.4149,130.8575,20.92975,359.882
119.1691,19.93652,356.4973,130.6814,20.55426,359.917
119.0903,20.0376,356.5237,130.6246,20.64414,359.9877
119.0903,20.0376,356.5237,130.6246,20.64414,359.9877
119.4463,19.63306,356.5961,130.9767,20.23377,0.01382632
119.4909,19.93102,356.5856,131.0437,20.52785,0.06731262
119.4532,19.66744,356.6331,130.9998,20.2565,0.08030453
119.4532,19.66744,356.6331,130.9998,20.2565,0.08030453
119.3953,19.65017,356.6339,130.9408,20.23847,0.07794207
119.5204,19.66784,356.7805,131.0881,20.22282,0.2609965
119.5204,19.66784,356.7805,131.0881,20.22282,0.2609965
119.4613,19.77366,356.8091,131.0372,20.31978,0.3124067
119.4613,19.77366,356.8091,131.0372,20.31979,0.3124186
119.1898,19.22476,356.8654,130.7417,19.76326,0.2799363
119.1898,19.22476,356.8654,130.7417,19.76326,0.2799363
118.3352,18.80201,356.8848,129.8649,19.33014,0.227272
112.2689,14.23444,357.205,123.3992,14.68321,359.8033
112.2689,14.23444,357.205,123.3992,14.68321,359.8033
105.7216,9.203562,357.5539,116.4812,9.554468,359.3715
101.2485,9.151022,357.4221,112.3391,9.470629,359.2292
101.2439,9.144217,357.4227,112.3344,9.463786,359.2288
101.2439,9.144217,357.4227,112.3344,9.463786,359.2288
94.11143,14.04166,356.663,105.4282,14.33114,359.1783
92.12139,13.93148,356.6224,103.4376,14.20167,359.1179
92.12139,13.93148,356.6224,103.4376,14.20167,359.1179
87.01866,9.408886,357.3538,98.25066,9.62315,359.1602
